"ori_node","des_node","ori_layer","des_layer","minutes","km"
44423,44423,5,5,1,0
44423,64990,5,5,1,0.569
44423,119705,5,5,2,0.319
44423,122529,5,5,1,0.312
44423,122530,5,5,2,0.3
44423,163862,5,5,2,0.304
44423,163865,5,5,2,0.287
44423,173626,5,5,1,0.382
44423,173627,5,5,4,0.306
44423,183386,5,5,1,0.359
44423,192624,5,5,2,0.426
44423,220090,5,5,1,0.327
53354,173613,5,5,1,0.422
53355,90323,5,5,1,0.148
53355,199153,5,5,1,0.437
53355,251703,5,5,2,0.478
53356,57099,5,5,1,0.017
53356,181711,5,5,1,0.383
53359,165001,5,5,1,0.184
54841,252716,5,5,3,1.498
55052,55053,5,5,1,0.188
55053,159945,5,5,1,0.2
55054,55056,5,5,1,0.157
55055,256050,5,5,1,0.25
55056,55055,5,5,1,0.123
55403,105415,5,5,1,0.965
55403,130630,5,5,1,0.258
55862,177981,5,5,3,4.197
56010,64746,5,5,2,1.075
56248,136356,5,5,1,0.228
56551,56553,5,5,1,0.24
56552,55403,5,5,1,1.066
56552,86944,5,5,2,1.041
56552,130630,5,5,2,1.312
56553,66187,5,5,1,0.582
56553,138527,5,5,1,0.54
56554,56552,5,5,1,0.204
57099,181711,5,5,1,0.4
57099,254358,5,5,1,0.24
57973,57974,5,5,1,0.098
57974,57978,5,5,1,0.148
57975,148719,5,5,2,0.671
57975,257849,5,5,1,1.472
57976,57973,5,5,1,0.406
57978,147452,5,5,1,0.122
58084,131759,5,5,1,0.12
58085,187741,5,5,2,0.536
58085,206777,5,5,1,0.22
58371,86945,5,5,1,0.181
58374,55862,5,5,3,1.525
58374,119699,5,5,4,1.735
58374,177981,5,5,8,3.925
58375,103934,5,5,2,0.952
58375,241555,5,5,1,0.625
59385,56552,5,5,1,0.734
59385,56554,5,5,1,0.529
59753,239481,5,5,2,0.579
59753,247766,5,5,1,0.023
59754,247766,5,5,2,0.57
60068,159714,5,5,1,0.94
60069,250837,5,5,2,0.671
61354,81605,5,5,3,0.529
61493,205964,5,5,1,0.223
61494,61497,5,5,1,0.302
61494,176019,5,5,1,0.166
61496,61493,5,5,1,0.141
61497,222033,5,5,2,0.638
61497,251703,5,5,2,0.173
61499,61496,5,5,1,0.314
61499,185806,5,5,1,0.164
63039,63042,5,5,1,0.263
63039,197415,5,5,1,0.603
63040,177985,5,5,1,0.168
63041,63040,5,5,1,0.222
63042,63044,5,5,1,0.223
63044,206778,5,5,1,0.194
63806,210187,5,5,1,0.323
64746,144037,5,5,1,0.867
64987,234618,5,5,1,0.115
64987,234620,5,5,1,0.161
64988,64987,5,5,1,0.222
64989,82279,5,5,1,0.363
64989,244465,5,5,1,0.301
64989,251703,5,5,6,0.94
64990,87898,5,5,2,0.303
64990,100506,5,5,2,0.4
64990,255578,5,5,1,0.358
66112,72529,5,5,1,0.221
66113,72531,5,5,1,0.182
66113,207073,5,5,1,0.145
66183,66189,5,5,1,0.115
66186,66188,5,5,1,0.112
66187,66186,5,5,1,0.206
66188,222581,5,5,1,0.093
66189,59385,5,5,1,0.302
67973,152379,5,5,1,0.226
68585,138644,5,5,3,0.393
68698,136843,5,5,1,0.388
68845,80689,5,5,2,1.52
68845,156410,5,5,1,1.266
69167,122529,5,5,30,3.525
69167,139248,5,5,1,0.142
69167,187063,5,5,5,1.757
70995,53354,5,5,1,0.411
70995,82280,5,5,4,0.856
70995,256766,5,5,3,0.435
70999,170296,5,5,1,0.099
71000,195784,5,5,1,0.145
72528,72532,5,5,1,0.262
72528,195119,5,5,1,0.59
72529,72530,5,5,1,0.246
72530,74439,5,5,1,0.251
72530,187064,5,5,1,0.671
72531,63041,5,5,1,0.288
72532,66113,5,5,1,0.29
72889,127492,5,5,1,0.418
74087,260230,5,5,1,0.136
74438,72528,5,5,1,0.281
74439,187064,5,5,1,0.421
74440,207350,5,5,1,0.204
74979,166087,5,5,1,0.41
77267,136468,5,5,1,0.294
77736,218615,5,5,1,0.385
77736,243223,5,5,1,0.39
77737,194382,5,5,3,1.347
78167,106799,5,5,2,0.377
78167,122529,5,5,5,0.592
78167,155706,5,5,1,0.388
78167,173628,5,5,4,0.547
78167,192525,5,5,1,0.401
78167,224347,5,5,1,0.401
79981,119019,5,5,1,0.217
80079,128709,5,5,1,0.554
80079,237356,5,5,1,0.198
80614,99971,5,5,1,0.95
80689,119702,5,5,1,0.663
80690,109746,5,5,1,0.614
80691,126958,5,5,1,0.146
80691,137828,5,5,1,0.163
80692,129392,5,5,1,1.386
80692,156411,5,5,1,0.253
80692,159712,5,5,2,1.51
80693,80614,5,5,2,1.65
80823,110031,5,5,2,1.16
80824,127492,5,5,2,1.144
81357,212140,5,5,1,0.221
81358,101091,5,5,1,0.85
81359,169536,5,5,1,0.172
81361,212137,5,5,1,0.105
81605,236024,5,5,2,1.105
81605,243223,5,5,6,0.974
82275,91883,5,5,1,0.155
82278,82280,5,5,1,0.247
82278,223706,5,5,2,0.404
82278,244465,5,5,1,0.33
82278,254359,5,5,1,0.625
82279,144078,5,5,1,0.711
82279,173614,5,5,1,0.393
82280,82275,5,5,1,0.103
82280,223706,5,5,1,0.16
84059,216712,5,5,2,1.006
84472,59754,5,5,3,1.86
84793,91879,5,5,1,0.219
86943,56551,5,5,1,0.992
86944,116198,5,5,1,0.595
86945,97117,5,5,6,2.475
87898,78167,5,5,1,0.113
87898,100506,5,5,1,0.169
87898,119019,5,5,1,0.405
87898,126957,5,5,1,0.299
87898,173612,5,5,2,1.085
87898,173615,5,5,1,0.939
87898,192525,5,5,3,0.448
87898,224347,5,5,1,0.495
87898,226798,5,5,10,6.176
87898,255578,5,5,2,0.298
87958,78167,5,5,2,0.382
87958,119019,5,5,1,0.134
90262,147454,5,5,1,0.836
90322,53354,5,5,1,0.162
90322,256766,5,5,4,0.642
90323,120877,5,5,1,0.212
91879,64988,5,5,2,0.408
91879,64989,5,5,2,0.79
91879,108001,5,5,1,0.277
91881,186555,5,5,1,0.45
91883,91881,5,5,1,0.112
91884,64988,5,5,2,0.103
91884,74979,5,5,1,0.527
92577,154033,5,5,1,0.114
92982,128707,5,5,3,1.503
92982,167216,5,5,2,1.306
95769,173562,5,5,1,0.425
95773,137585,5,5,1,0.101
95775,95773,5,5,1,0.113
97118,55862,5,5,1,0.416
97118,177981,5,5,5,4.25
97119,55863,5,5,5,1.529
97119,97117,5,5,5,2.629
97119,119699,5,5,1,0.256
98271,64989,5,5,1,0.229
98272,98271,5,5,1,0.192
98736,112180,5,5,1,0.961
99632,235003,5,5,7,3.341
99773,80689,5,5,2,1.298
99954,68845,5,5,1,1.547
99954,226798,5,5,1,0.047
99971,129394,5,5,1,0.755
99973,137132,5,5,2,1.082
100074,126955,5,5,2,0.212
100506,87898,5,5,3,0.169
100506,255578,5,5,1,0.2
101091,177340,5,5,1,0.955
103322,108493,5,5,1,0.226
103322,125628,5,5,1,0.178
103335,116197,5,5,5,2.374
103335,232164,5,5,5,1.747
103336,78167,5,5,4,1.327
103336,232164,5,5,8,2.982
103933,117880,5,5,1,0.318
103933,139249,5,5,2,0.907
103934,74440,5,5,1,0.267
103934,207350,5,5,1,0.471
104685,173790,5,5,2,1.076
104686,81358,5,5,5,0.862
104960,140534,5,5,5,3.825
104960,223109,5,5,2,0.723
105408,216712,5,5,1,0.471
105410,105411,5,5,1,0.122
105411,234620,5,5,1,0.146
105413,56551,5,5,2,1.995
105413,130630,5,5,1,0.727
105413,198405,5,5,1,0.902
105415,224977,5,5,1,0.282
106407,106408,5,5,1,0.086
106407,137425,5,5,1,0.325
106408,114555,5,5,2,0.531
106408,134033,5,5,1,0.963
106425,204086,5,5,3,1.278
106799,63039,5,5,1,0.59
106799,173628,5,5,2,0.388
106799,220090,5,5,1,0.872
106799,224347,5,5,1,0.228
106799,224348,5,5,2,0.227
106799,256767,5,5,12,5.469
107460,233386,5,5,1,0.538
108001,248622,5,5,1,0.194
108490,236025,5,5,1,0.45
108493,200541,5,5,1,0.156
109426,99773,5,5,1,0.921
110027,252341,5,5,2,1.235
110028,80824,5,5,3,1.182
110028,177981,5,5,4,1.484
110030,110027,5,5,2,1.067
110031,144036,5,5,2,1.69
110628,200338,5,5,1,1.067
112180,120983,5,5,4,2.141
112180,230410,5,5,2,0.42
113765,261025,5,5,2,1.462
113768,254299,5,5,1,1.485
114555,145578,5,5,2,0.608
114555,150480,5,5,1,0.556
114632,125630,5,5,3,1.569
114632,148707,5,5,3,1.816
114633,243157,5,5,3,1.489
115665,213201,5,5,2,1.376
116197,86943,5,5,1,0.625
116198,103335,5,5,5,2.38
117170,246166,5,5,1,0.131
117880,139249,5,5,1,0.604
119019,163850,5,5,1,0.211
119698,206005,5,5,3,2.152
119698,256765,5,5,2,1.212
119699,119700,5,5,1,0.183
119699,163502,5,5,1,0.228
119700,119698,5,5,1,0.206
119700,163502,5,5,1,0.05
119700,177981,5,5,5,4.249
119702,80691,5,5,1,0.435
119702,146016,5,5,1,0.61
119703,80692,5,5,1,0.62
119705,106799,5,5,2,0.38
120314,140326,5,5,1,0.133
120314,191625,5,5,1,0.162
120837,173991,5,5,1,0.183
120876,205414,5,5,1,0.151
120877,61494,5,5,1,0.219
120878,246252,5,5,1,0.169
120983,129120,5,5,7,3.383
122529,64990,5,5,1,0.388
122529,69167,5,5,20,3.525
122529,106799,5,5,2,0.39
122529,126183,5,5,2,0.869
122529,173626,5,5,1,0.129
122529,197347,5,5,8,2.167
122529,220090,5,5,1,0.482
122529,224348,5,5,4,0.369
122530,64990,5,5,1,0.403
122530,173626,5,5,1,0.145
122530,220090,5,5,1,0.465
122530,224348,5,5,2,0.384
124651,130631,5,5,1,0.162
125628,114633,5,5,2,1.426
125628,257849,5,5,1,1.684
125629,200546,5,5,1,0.256
125630,181086,5,5,1,0.805
125631,108493,5,5,1,0.214
125631,125628,5,5,1,0.143
125631,125629,5,5,1,0.118
126183,177984,5,5,1,0.518
126955,78167,5,5,1,0.391
126955,87898,5,5,1,0.285
126956,117170,5,5,1,0.114
126957,228197,5,5,1,0.237
126958,137828,5,5,1,0.153
126958,198760,5,5,2,0.415
126959,163849,5,5,1,0.142
127492,136843,5,5,1,0.385
127492,256225,5,5,3,0.328
128706,131762,5,5,1,0.406
128707,68845,5,5,1,1.572
128707,87898,5,5,10,6.167
128707,222034,5,5,1,0.061
128708,128710,5,5,1,0.272
128709,140472,5,5,1,0.231
128710,144489,5,5,1,0.532
128710,185811,5,5,1,0.359
129120,216451,5,5,2,0.985
129392,129393,5,5,1,1.044
129393,99973,5,5,1,1.528
129393,165573,5,5,5,1.047
129393,176018,5,5,1,0.796
129394,109426,5,5,2,1.011
130629,237555,5,5,1,0.247
130630,56551,5,5,4,1.268
130630,105415,5,5,1,0.717
130630,224977,5,5,1,0.997
130631,207927,5,5,4,0.578
130631,208649,5,5,1,0.25
131699,74979,5,5,1,0.391
131759,156878,5,5,3,0.923
131759,163851,5,5,1,0.354
131761,141744,5,5,1,0.338
131762,58084,5,5,1,0.119
131763,131761,5,5,1,0.249
132567,205415,5,5,1,0.141
134033,183332,5,5,1,0.328
134035,150480,5,5,2,0.95
134035,204832,5,5,3,1.422
134371,68585,5,5,3,0.562
134371,159948,5,5,1,0.273
