"ori_node","des_node","ori_layer","des_layer","minutes","km"
23389,36400,2,2,5,2.332
34777,48631,2,2,5,6.182
34777,48904,2,2,7,8.912
36400,23389,2,2,5,2.332
48631,34777,2,2,7,6.182
48904,34777,2,2,8,8.912
594,27759,5,5,1,0.217
594,32098,5,5,1,0.938
1734,51127,5,5,1,0.221
1734,51129,5,5,1,0.177
2209,7855,5,5,1,0.61
2209,28669,5,5,4,2.12
2588,2588,5,5,1,0
2588,23389,5,5,10,8.492
2588,42748,5,5,1,0.619
2588,47266,5,5,7,5.984
2886,17416,5,5,1,0.229
5227,5227,5,5,1,0
5227,16140,5,5,2,1.253
5227,16141,5,5,1,0.853
5227,20876,5,5,1,0.365
5854,9264,5,5,3,3.219
5854,23384,5,5,2,3.469
5854,33694,5,5,2,1.737
6680,20518,5,5,1,0.148
6680,24665,5,5,1,0.124
6680,122477,5,5,1,0.395
6680,209519,5,5,1,0.271
7791,14276,5,5,1,0.44
7791,44976,5,5,1,0.431
7791,48904,5,5,7,1.665
7854,7855,5,5,3,1.532
7854,44968,5,5,1,0.402
7854,44977,5,5,1,0.35
7855,2209,5,5,1,0.61
7855,7854,5,5,3,1.532
7855,44968,5,5,4,1.903
8910,1734,5,5,2,0.504
8910,14272,5,5,1,0.474
8910,51127,5,5,1,0.284
9264,5854,5,5,3,3.219
9264,23384,5,5,2,0.39
9264,36695,5,5,3,1.614
9264,255984,5,5,2,0.75
10375,10377,5,5,1,0.52
10375,49960,5,5,1,0.476
10377,10375,5,5,1,0.52
10377,24665,5,5,1,0.515
10377,143815,5,5,4,1.695
10907,29126,5,5,1,0.38
10907,47266,5,5,1,0.051
10907,158069,5,5,1,0.227
10907,159568,5,5,1,0.276
12576,12881,5,5,1,1.043
12576,35302,5,5,1,0.571
12576,48631,5,5,1,0.548
12577,20876,5,5,5,1.051
12577,38687,5,5,6,3.037
12881,12576,5,5,1,1.043
12881,12882,5,5,1,0.343
12882,12881,5,5,1,0.343
14272,8910,5,5,1,0.474
14272,14273,5,5,1,0.173
14272,44969,5,5,1,1.316
14272,48560,5,5,1,0.53
14273,14272,5,5,1,0.173
14273,20091,5,5,2,0.514
14273,20594,5,5,5,3.135
14274,14275,5,5,1,0.613
14274,24666,5,5,1,0.288
14275,14274,5,5,1,0.613
14275,23389,5,5,1,0.601
14276,7791,5,5,1,0.44
14276,20090,5,5,1,0.511
14276,42748,5,5,3,0.962
14546,27057,5,5,1,0.457
16139,48631,5,5,1,0.551
16139,177583,5,5,1,0.356
16140,16141,5,5,1,0.4
16140,77566,5,5,1,0.375
16140,135230,5,5,1,0.511
16141,16140,5,5,1,0.4
16141,81213,5,5,1,0.359
17416,2886,5,5,1,0.229
17416,55891,5,5,1,0.101
19574,19926,5,5,1,0.579
19574,42159,5,5,1,0.627
19926,19574,5,5,1,0.579
19926,23437,5,5,8,8.825
19926,32098,5,5,1,1.201
19926,42159,5,5,1,1.198
19927,19928,5,5,2,0.779
19927,43135,5,5,2,0.724
19928,19927,5,5,2,0.779
19928,19930,5,5,2,1.348
19929,19929,5,5,1,0
