"ori_node","des_node","ori_layer","des_layer","minutes","km"
33667,42467,2,2,5,7.539
37324,42467,2,2,5,7.291
42467,33667,2,2,6,7.539
42467,37324,2,2,6,7.291
4635,55342,5,5,1,0.184
4635,64928,5,5,1,0.238
4635,216133,5,5,1,0.102
5099,5099,5,5,1,0
5099,104868,5,5,4,1.753
5099,113500,5,5,1,0.592
5099,152433,5,5,6,0.567
5099,202939,5,5,1,0.389
5099,202941,5,5,1,1.071
5099,212588,5,5,1,0.607
7124,69723,5,5,1,0.45
7124,89158,5,5,1,0.344
7124,226041,5,5,2,2.115
11430,11430,5,5,1,0
11430,156130,5,5,1,0.736
11430,158105,5,5,5,2.055
11430,158110,5,5,2,0.183
11430,199820,5,5,2,0.443
11430,206448,5,5,3,0.945
11430,256383,5,5,2,1.12
14751,50313,5,5,7,1.589
14751,118410,5,5,1,0.235
14751,123058,5,5,1,0.33
14751,128045,5,5,5,0.631
14751,145031,5,5,1,0.639
14751,146172,5,5,3,1.182
14751,177375,5,5,5,0.597
14751,189615,5,5,3,1.484
30117,30117,5,5,1,0
30117,97440,5,5,1,0.925
30117,97447,5,5,1,0.481
30117,116979,5,5,1,0.564
30117,116980,5,5,1,0.523
33667,169335,5,5,2,1.623
33667,241624,5,5,1,0.434
37324,37324,5,5,1,0
37324,107129,5,5,1,0.5
37324,121742,5,5,1,0.414
37324,157522,5,5,3,1.367
37324,178153,5,5,1,0.35
42467,42467,5,5,1,0
42467,58564,5,5,1,0.478
42467,105250,5,5,1,0.49
42467,147033,5,5,1,0.344
42467,167087,5,5,1,0.559
42467,249863,5,5,1,0.618
50313,14751,5,5,9,1.589
50313,74373,5,5,1,0.171
50313,95625,5,5,1,0.215
50313,108543,5,5,10,1.995
50313,118406,5,5,2,1.604
50313,118409,5,5,5,0.501
50313,128045,5,5,5,1.453
50313,128050,5,5,2,0.457
50313,226926,5,5,1,0.253
52143,52151,5,5,1,0.263
52143,52152,5,5,1,0.26
52144,253091,5,5,1,0.106
52145,52144,5,5,1,0.173
52145,52151,5,5,1,0.26
52146,52148,5,5,1,0.507
52147,52145,5,5,1,0.465
52148,61891,5,5,1,0.67
52149,61895,5,5,1,0.393
52149,61898,5,5,1,0.383
52149,236633,5,5,6,3.522
52149,253088,5,5,1,0.156
52150,52144,5,5,1,0.171
52151,52149,5,5,1,0.348
52152,52146,5,5,1,0.493
53102,53104,5,5,1,0.169
53103,230172,5,5,2,0.432
53104,53106,5,5,1,0.306
53105,53103,5,5,1,0.187
53106,195502,5,5,2,0.586
53106,195504,5,5,1,0.52
53107,53105,5,5,1,0.291
53626,53628,5,5,1,0.268
53627,111664,5,5,1,0.043
53628,53626,5,5,1,0.268
53628,53630,5,5,1,0.399
53629,189620,5,5,1,0.153
53630,53632,5,5,1,0.43
53630,206449,5,5,1,0.145
53631,72828,5,5,1,0.243
53632,111662,5,5,1,0.453
53633,187103,5,5,1,0.155
53634,53626,5,5,1,0.534
53634,53628,5,5,1,0.794
53634,53632,5,5,2,1.624
54485,188610,5,5,3,0.416
54485,249868,5,5,1,0.185
55333,55335,5,5,1,0.27
55334,141252,5,5,1,0.201
55335,151134,5,5,1,0.123
55336,55334,5,5,1,0.238
55337,179940,5,5,1,0.222
55338,55341,5,5,2,0.478
55339,55333,5,5,1,0.184
55340,55338,5,5,2,0.283
55341,151132,5,5,1,0.217
55342,55340,5,5,1,0.229
55342,151132,5,5,3,0.583
55342,256380,5,5,1,0.25
57785,87208,5,5,1,0.199
57793,87207,5,5,1,0.353
58563,259751,5,5,1,0.332
58564,171684,5,5,1,0.324
58564,259750,5,5,1,0.267
58565,58568,5,5,1,0.264
58566,58565,5,5,1,0.249
58567,58563,5,5,1,0.316
58568,58567,5,5,1,0.332
58568,254693,5,5,2,0.321
61891,217031,5,5,1,0.912
61892,52147,5,5,1,0.519
61894,61896,5,5,1,0.217
61895,71400,5,5,1,0.551
61896,253088,5,5,1,0.069
61896,253090,5,5,1,0.509
61897,253088,5,5,1,0.457
61897,253090,5,5,1,0.225
61898,61900,5,5,3,2.335
61898,175751,5,5,5,5.878
61899,61897,5,5,3,2.358
61900,236637,5,5,1,0.707
61901,61892,5,5,1,0.689
62790,140936,5,5,1,0.666
62790,140953,5,5,1,0.509
62791,158109,5,5,1,0.204
62792,158109,5,5,3,1.782
62793,187469,5,5,1,0.511
62794,230172,5,5,5,0.794
62794,254098,5,5,1,0.189
62795,244173,5,5,1,0.251
62796,187106,5,5,1,0.29
62797,128044,5,5,1,0.338
63310,69720,5,5,1,0.073
63310,72822,5,5,1,0.253
63311,72821,5,5,1,0.329
63313,58566,5,5,1,0.306
63313,230171,5,5,1,0.356
63314,63319,5,5,1,0.252
63315,63313,5,5,1,0.155
63316,63314,5,5,1,0.243
63317,63310,5,5,1,0.353
63318,63311,5,5,1,0.264
63319,111662,5,5,1,0.477
64303,126373,5,5,1,0.498
64303,230175,5,5,1,0.514
64926,64931,5,5,1,0.238
64927,50313,5,5,1,0.282
64928,64926,5,5,1,0.265
64928,246567,5,5,1,0.972
64929,64930,5,5,1,0.43
64930,74381,5,5,1,0.25
64931,226929,5,5,1,0.466
64932,64927,5,5,1,0.221
65459,108192,5,5,1,0.369
66585,149421,5,5,1,0.475
67866,67867,5,5,1,0.293
67867,67870,5,5,1,0.428
67868,67869,5,5,1,0.212
67869,67866,5,5,1,0.321
67870,77507,5,5,1,0.37
68231,68236,5,5,1,0.22
68233,68231,5,5,1,0.22
68233,197113,5,5,1,0.223
68234,172036,5,5,1,0.293
68235,68233,5,5,1,0.464
68236,68238,5,5,1,0.512
68237,68235,5,5,1,0.268
68238,68240,5,5,1,0.245
68239,68237,5,5,1,0.303
68240,77880,5,5,1,0.365
69717,128043,5,5,1,0.196
69718,108550,5,5,1,0.347
69719,206789,5,5,1,0.246
69720,69722,5,5,1,0.161
69721,64929,5,5,1,0.502
69722,69724,5,5,1,0.22
69723,69721,5,5,2,1.569
69724,79480,5,5,1,0.09
71086,53102,5,5,1,0.541
71086,244167,5,5,1,0.694
71400,206786,5,5,3,1.191
71401,61894,5,5,1,0.555
72366,195501,5,5,1,0.29
72821,72823,5,5,1,0.286
72822,182052,5,5,1,0.241
72823,72825,5,5,1,0.261
72825,69720,5,5,1,0.455
72825,72827,5,5,1,0.457
72825,111664,5,5,1,0.288
72826,53631,5,5,1,0.211
72827,189613,5,5,1,0.398
72828,63318,5,5,1,0.327
