"ori_node","des_node","ori_layer","des_layer","minutes","km"
1899,22658,2,2,2,1.345
1986,9433,2,2,4,3.094
2667,9433,2,2,4,1.86
2667,23672,2,2,2,1.596
9433,1986,2,2,3,3.094
9433,2667,2,2,3,1.86
9433,18401,2,2,7,6.941
18401,9433,2,2,6,6.941
18609,23672,2,2,2,1.641
18609,48070,2,2,2,1.453
22658,1899,2,2,2,1.345
22658,48070,2,2,3,3.076
23672,2667,2,2,2,1.596
23672,18609,2,2,3,1.641
48070,18609,2,2,2,1.453
48070,22658,2,2,4,3.076
122,29910,5,5,2,0.681
122,32831,5,5,1,0.23
122,37399,5,5,1,0.621
270,20152,5,5,1,0.325
270,32832,5,5,1,0.322
270,48248,5,5,1,0.325
289,9306,5,5,1,0.13
289,32832,5,5,1,0.237
289,107276,5,5,1,0.042
487,1986,5,5,1,0.705
585,14769,5,5,1,0.114
585,36878,5,5,1,0.123
585,216761,5,5,3,0.526
700,704,5,5,1,0.294
700,33067,5,5,1,0.221
704,700,5,5,1,0.294
704,705,5,5,1,0.311
704,220919,5,5,1,0.318
705,704,5,5,1,0.311
705,4122,5,5,1,0.356
1050,8613,5,5,1,0.628
1050,41233,5,5,1,0.165
1155,6610,5,5,1,0.342
1155,37440,5,5,4,1.477
1155,125514,5,5,1,0.231
1292,47079,5,5,1,0.263
1292,100424,5,5,1,0.177
1323,9433,5,5,2,0.63
1323,10957,5,5,1,0.306
1323,40824,5,5,1,0.307
1323,163809,5,5,6,0.79
1327,1331,5,5,1,0.331
1327,2667,5,5,1,0.532
1331,1327,5,5,1,0.331
1331,1333,5,5,1,0.425
1333,1331,5,5,1,0.425
1333,25918,5,5,1,0.517
1379,8066,5,5,1,0.403
1379,20408,5,5,1,0.882
1379,20409,5,5,1,0.317
1379,48070,5,5,1,0.525
1413,19025,5,5,1,0.223
1413,31670,5,5,1,0.235
1413,226390,5,5,1,0.255
1454,15807,5,5,1,0.333
1454,48835,5,5,1,0.259
1460,1461,5,5,1,0.228
1460,8094,5,5,1,0.293
1460,243654,5,5,2,0.654
1460,255811,5,5,1,0.151
1461,1413,5,5,1,0.341
1461,1460,5,5,1,0.228
1461,28436,5,5,3,0.592
1584,1596,5,5,1,0.293
1584,2933,5,5,1,0.264
1584,43056,5,5,1,0.218
1584,117641,5,5,2,0.198
1596,1584,5,5,1,0.293
1596,4881,5,5,2,0.349
1596,21101,5,5,4,0.375
1596,43055,5,5,1,0.242
1689,20791,5,5,1,0.155
1689,149954,5,5,1,0.142
1690,1691,5,5,1,0.272
1690,2667,5,5,1,0.569
1691,1690,5,5,1,0.272
1691,1904,5,5,1,0.078
1691,1905,5,5,1,0.145
1877,27845,5,5,1,0.191
1877,45768,5,5,1,0.155
1899,1899,5,5,1,0
1899,29625,5,5,1,0.599
1899,30432,5,5,1,0.56
1899,225821,5,5,1,0.304
1904,1691,5,5,1,0.078
1904,1906,5,5,1,0.124
1904,48363,5,5,1,0.345
1904,223754,5,5,2,0.079
1905,1691,5,5,1,0.145
1905,34269,5,5,1,0.272
1905,223753,5,5,1,0.083
1906,1904,5,5,1,0.124
1906,34269,5,5,2,0.273
1906,141002,5,5,1,0.26
1986,487,5,5,1,0.705
1986,1986,5,5,1,0
1986,9919,5,5,1,0.729
1986,28606,5,5,1,0.7
1986,40407,5,5,2,0.818
1986,50994,5,5,1,0.608
1986,235988,5,5,1,0.279
1986,255798,5,5,1,0.327
2475,2476,5,5,1,0.228
2475,9433,5,5,1,0.539
2476,2475,5,5,1,0.228
2476,2479,5,5,1,0.212
2479,2476,5,5,1,0.212
2479,2481,5,5,1,0.234
2481,2479,5,5,1,0.234
2481,2482,5,5,1,0.209
2482,2481,5,5,1,0.209
2482,46471,5,5,1,0.26
2667,1327,5,5,1,0.532
2667,1689,5,5,1,0.673
2667,1690,5,5,1,0.569
2667,2667,5,5,1,0
2667,11623,5,5,2,0.615
2667,16889,5,5,3,0.895
2667,24526,5,5,5,1.231
2667,27691,5,5,1,0.574
2667,43427,5,5,1,0.537
2667,48118,5,5,1,0.589
2667,59270,5,5,1,0.318
2667,159468,5,5,1,0.289
2667,169350,5,5,1,0.328
2667,217917,5,5,1,0.279
2794,7813,5,5,1,0.139
2794,7821,5,5,1,0.276
2933,1584,5,5,1,0.264
2933,4881,5,5,1,0.276
2933,148212,5,5,1,0.122
2965,7821,5,5,1,0.167
2965,17660,5,5,1,0.051
2965,105360,5,5,1,0.584
3535,34892,5,5,1,0.209
3535,239626,5,5,1,0.141
3582,21792,5,5,2,1.274
3700,3701,5,5,1,0.192
3700,249547,5,5,1,0.191
3701,3700,5,5,1,0.192
3713,33853,5,5,1,0.315
3769,33313,5,5,1,0.179
3769,35101,5,5,1,0.136
4089,4091,5,5,1,0.318
4089,4126,5,5,1,0.325
4089,47374,5,5,1,0.288
4091,4089,5,5,1,0.318
4091,17603,5,5,1,0.172
4122,705,5,5,1,0.356
4122,4126,5,5,1,0.452
4126,4089,5,5,1,0.325
4126,4122,5,5,1,0.452
4451,4456,5,5,1,0.207
4451,15936,5,5,1,0.312
4456,4451,5,5,1,0.207
4456,4461,5,5,1,0.266
4461,4456,5,5,1,0.266
4461,17828,5,5,1,0.267
4469,33811,5,5,1,0.328
4469,249706,5,5,1,0.056
4469,256063,5,5,1,0.142
4472,12736,5,5,1,0.263
4472,12742,5,5,1,0.778
4472,22076,5,5,1,0.607
4472,164150,5,5,8,1.919
4476,21792,5,5,1,0.244
4476,28134,5,5,1,0.265
4478,15455,5,5,1,0.29
4478,18958,5,5,1,0.3
4478,22422,5,5,1,0.29
4881,1596,5,5,2,0.349
4881,2933,5,5,1,0.276
4881,143621,5,5,1,0.14
5200,5207,5,5,1,0.264
5200,42450,5,5,1,0.366
5207,5200,5,5,1,0.264
5207,26245,5,5,1,0.472
5409,5411,5,5,1,0.414
5409,5415,5,5,1,0.166
5411,5409,5,5,1,0.414
5411,43776,5,5,1,0.354
5415,5409,5,5,1,0.166
5415,18851,5,5,2,0.429
5467,27845,5,5,1,0.327
5467,46837,5,5,1,0.278
5507,10572,5,5,1,0.298
5507,24775,5,5,1,0.223
5507,43810,5,5,1,0.173
5958,36516,5,5,1,0.29
5958,36525,5,5,1,0.379
5958,114126,5,5,1,0.216
5960,5964,5,5,1,0.144
5960,36516,5,5,1,0.281
5964,5960,5,5,1,0.144
5964,42274,5,5,1,0.112
6181,18733,5,5,1,0.312
6181,38801,5,5,1,0.215
6242,23672,5,5,1,0.591
6242,37860,5,5,1,0.152
6273,13267,5,5,1,0.367
6273,212025,5,5,1,0.183
6276,20791,5,5,2,0.555
6276,24775,5,5,1,0.448
6276,48448,5,5,1,0.248
6276,92513,5,5,1,0.136
6282,20023,5,5,1,0.203
6282,50699,5,5,1,0.22
6282,212026,5,5,1,0.235
6341,15640,5,5,1,0.223
6341,30469,5,5,1,0.187
6607,33168,5,5,1,0.154
6610,1155,5,5,1,0.342
6610,32587,5,5,1,0.243
6664,248878,5,5,1,0.408
6665,6664,5,5,2,0.796
6665,6666,5,5,1,0.507
6665,209981,5,5,1,0.276
6666,6665,5,5,1,0.507
6666,39163,5,5,1,0.129
6762,15066,5,5,1,0.223
6762,41252,5,5,1,0.27
6762,45822,5,5,4,0.69
6762,135475,5,5,2,0.371
6762,246161,5,5,1,0.16
7136,7137,5,5,1,0.198
7136,45287,5,5,1,0.38
7137,7136,5,5,1,0.198
7137,7138,5,5,1,0.288
7138,7137,5,5,1,0.288
7138,14263,5,5,1,0.391
7205,6276,5,5,1,0.378
7205,16880,5,5,1,0.157
7312,25775,5,5,1,0.208
7312,33313,5,5,1,0.165
7331,46772,5,5,1,0.242
7331,102177,5,5,1,0.229
7462,12980,5,5,12,3.887
7462,32024,5,5,1,0.281
7462,55666,5,5,1,0.309
7462,145866,5,5,12,4.783
7462,180896,5,5,3,0.75
7462,190488,5,5,2,0.251
7462,204958,5,5,1,0.15
7462,204959,5,5,1,0.063
7813,2794,5,5,1,0.139
7813,44133,5,5,1,0.127
7821,2794,5,5,1,0.276
7821,2965,5,5,1,0.167
8066,1379,5,5,1,0.403
8066,255979,5,5,1,0.311
8067,47484,5,5,1,0.382
8067,187789,5,5,1,0.247
8094,1460,5,5,1,0.293
8094,50020,5,5,1,0.051
8445,11623,5,5,1,0.27
8445,20023,5,5,1,0.152
8613,1050,5,5,1,0.628
8614,41233,5,5,1,0.227
8614,117486,5,5,1,0.301
9000,16558,5,5,1,0.176
9000,26547,5,5,1,0.197
9302,9303,5,5,1,0.223
9302,9306,5,5,1,0.337
9303,9302,5,5,1,0.223
9303,9304,5,5,1,0.148
9304,9303,5,5,1,0.148
9304,32236,5,5,1,0.207
9304,50345,5,5,1,0.385
9306,289,5,5,1,0.13
9306,9302,5,5,1,0.337
9394,41792,5,5,1,0.299
9394,62626,5,5,1,0.347
9433,1323,5,5,1,0.63
9433,2475,5,5,1,0.539
9433,2476,5,5,1,0.744
9433,9433,5,5,1,0
9433,15066,5,5,2,1.543
9433,18191,5,5,1,0.561
9433,18401,5,5,17,6.941
9433,18851,5,5,14,4.836
9433,31022,5,5,1,0.685
9433,31312,5,5,10,4.288
9433,36558,5,5,4,1.838
9433,43756,5,5,1,0.548
9433,45577,5,5,15,5.623
9433,46809,5,5,1,0.559
9433,49397,5,5,1,0.567
9433,60156,5,5,11,4.949
9433,63581,5,5,1,0.306
9433,73090,5,5,1,0.515
9433,91636,5,5,1,0.248
9433,140254,5,5,1,0.718
9433,142637,5,5,1,0.283
9433,163809,5,5,1,0.256
9545,9548,5,5,1,0.322
9545,47707,5,5,1,0.377
9548,9545,5,5,1,0.322
9548,9549,5,5,1,0.574
9549,9548,5,5,1,0.574
9549,18733,5,5,1,0.733
9632,10572,5,5,1,0.349
9632,46829,5,5,1,0.181
9905,33068,5,5,1,0.291
9905,42858,5,5,1,0.336
9919,1986,5,5,1,0.729
9919,41216,5,5,1,0.153
9956,10129,5,5,1,0.139
9956,49550,5,5,1,0.305
9977,7462,5,5,1,0.436
9977,183011,5,5,1,0.254
9977,189019,5,5,1,0.254
9977,204958,5,5,1,0.29
9977,204959,5,5,1,0.392
10122,10129,5,5,1,0.141
10122,50679,5,5,1,0.351
10129,9956,5,5,1,0.139
10129,10122,5,5,1,0.141
10178,46948,5,5,1,0.359
10178,49394,5,5,1,0.345
10530,25777,5,5,3,1.005
10530,249490,5,5,3,0.952
10555,25075,5,5,1,0.23
10555,25077,5,5,1,0.256
10572,5507,5,5,1,0.298
10572,9632,5,5,1,0.349
10612,19195,5,5,1,0.338
10612,36130,5,5,1,0.202
10636,10638,5,5,1,0.302
10637,10638,5,5,1,0.168
10637,16987,5,5,1,0.197
10638,10636,5,5,1,0.302
10638,10637,5,5,1,0.168
10641,12899,5,5,1,0.28
10641,17002,5,5,1,0.281
10957,1323,5,5,2,0.306
10957,50020,5,5,1,0.588
11313,9433,5,5,5,0.611
11313,32236,5,5,1,0.361
11313,36558,5,5,6,1.416
11410,30568,5,5,1,0.199
11410,50345,5,5,1,0.221
11623,8445,5,5,1,0.27
11623,44240,5,5,1,0.25
12035,12065,5,5,1,0.354
12035,173084,5,5,1,0.306
12045,12068,5,5,1,0.198
12045,44949,5,5,1,0.251
