"ori_node","des_node","ori_layer","des_layer","minutes","km"
906,4515,2,2,3,3.862
906,26198,2,2,1,1.2
2029,4515,2,2,3,4.54
2029,18990,2,2,3,4.751
4515,906,2,2,2,3.862
4515,2029,2,2,3,4.54
4515,26198,2,2,4,4.728
10208,17695,2,2,2,1.611
17695,10208,2,2,5,1.611
18990,2029,2,2,4,4.751
26198,906,2,2,1,1.2
26198,4515,2,2,5,4.728
4515,26198,4,4,10,4.728
26198,4515,4,4,10,4.728
41,16255,5,5,1,0.234
41,33222,5,5,1,0.285
41,34667,5,5,1,0.17
245,21633,5,5,1,0.355
245,26198,5,5,2,0.901
883,16753,5,5,1,0.223
883,160110,5,5,1,0.294
883,165101,5,5,1,0.315
906,906,5,5,1,0
906,20738,5,5,1,0.837
906,21388,5,5,1,0.726
906,26198,5,5,1,1.2
958,19170,5,5,1,0.394
958,19957,5,5,1,0.353
958,65271,5,5,1,0.236
959,2249,5,5,1,0.268
959,19958,5,5,1,0.318
959,19959,5,5,2,0.53
1614,1619,5,5,1,0.507
1614,20709,5,5,1,0.26
1614,253801,5,5,1,0.21
1619,1614,5,5,1,0.507
1619,9927,5,5,1,0.301
1619,211574,5,5,2,0.24
1619,253801,5,5,2,0.589
1684,4475,5,5,1,0.299
1684,20737,5,5,1,0.474
1687,4547,5,5,1,0.387
1687,10119,5,5,1,0.424
1862,10119,5,5,1,0.233
1862,34050,5,5,1,0.393
1862,101308,5,5,1,0.113
2029,2029,5,5,1,0
2029,9928,5,5,1,0.893
2029,20708,5,5,1,0.642
2029,21322,5,5,1,0.544
2057,36848,5,5,1,0.563
2057,40412,5,5,1,0.189
2249,959,5,5,1,0.268
2249,19959,5,5,1,0.269
2339,14140,5,5,1,0.212
2339,210538,5,5,1,0.161
2664,17420,5,5,1,0.244
2664,19964,5,5,1,0.234
2664,34736,5,5,1,0.32
2666,2664,5,5,1,0.125
2666,2666,5,5,1,0
2666,19964,5,5,1,0.287
2666,34736,5,5,1,0.231
3052,9442,5,5,1,0.127
3052,9443,5,5,1,0.194
3250,23418,5,5,1,0.246
3250,47368,5,5,1,0.26
3250,50579,5,5,1,0.252
3250,202609,5,5,1,0.264
3787,14135,5,5,1,0.207
3787,14140,5,5,1,0.256
3959,4475,5,5,1,0.056
3959,34649,5,5,1,0.395
4084,13214,5,5,1,0.293
4084,17695,5,5,1,0.58
4086,4087,5,5,1,0.36
4086,203163,5,5,1,0.228
4087,4086,5,5,1,0.36
4087,41828,5,5,1,0.205
4117,16867,5,5,1,0.271
4117,16978,5,5,1,0.194
4475,1684,5,5,1,0.299
4475,4547,5,5,1,0.37
4515,4515,5,5,1,0
4515,8379,5,5,2,0.795
4515,19166,5,5,3,0.981
4515,20508,5,5,1,0.673
4515,24587,5,5,4,1.006
4515,24593,5,5,1,0.553
4515,26952,5,5,1,0.525
4515,30840,5,5,1,0.695
4515,34048,5,5,1,0.863
4515,34671,5,5,1,0.567
4515,38344,5,5,3,0.794
4515,39554,5,5,1,0.673
4515,43297,5,5,1,0.747
4515,141352,5,5,1,0.509
4547,1687,5,5,1,0.387
4547,3959,5,5,1,0.343
4547,4475,5,5,1,0.37
4741,4744,5,5,1,0.203
4741,72035,5,5,1,0.204
4744,4741,5,5,1,0.203
4744,47471,5,5,1,0.731
4777,29340,5,5,1,0.183
4777,46111,5,5,1,0.537
4780,4939,5,5,1,0.319
4780,7842,5,5,1,0.322
4780,29340,5,5,1,0.205
4939,4780,5,5,1,0.319
4939,196443,5,5,1,0.236
5204,14116,5,5,1,0.886
5204,50538,5,5,1,0.654
5204,50541,5,5,1,0.347
5609,41829,5,5,1,0.107
5609,241530,5,5,1,0.163
5611,22424,5,5,2,0.277
5611,207127,5,5,1,0.094
5877,5880,5,5,1,0.368
5877,41828,5,5,1,0.335
5877,206855,5,5,1,0.551
5879,22500,5,5,1,0.259
5879,25013,5,5,1,0.168
5880,5877,5,5,1,0.368
5880,22500,5,5,1,0.085
5880,206855,5,5,1,0.215
6150,27027,5,5,1,0.237
6150,34636,5,5,1,0.133
6150,42973,5,5,1,0.937
6151,18115,5,5,1,0.379
6151,23418,5,5,1,0.233
6156,18115,5,5,1,0.278
6156,34636,5,5,1,0.287
