"ori_node","des_node","ori_layer","des_layer","minutes","km"
1960,20509,5,5,2,2.058
1960,25257,5,5,5,3.597
2134,16342,5,5,3,1.589
2134,20526,5,5,4,1.794
2134,42847,5,5,6,2.578
2573,2575,5,5,1,0.246
2573,15593,5,5,1,0.274
2575,2573,5,5,1,0.246
2575,19626,5,5,1,0.289
3343,49247,5,5,1,0.274
3343,50665,5,5,1,0.31
3343,50670,5,5,1,0.3
3343,255435,5,5,1,0.307
3609,3610,5,5,1,0.193
3609,22003,5,5,1,0.312
3610,3609,5,5,1,0.193
3610,41436,5,5,1,0.333
3885,34065,5,5,3,2.044
3885,39111,5,5,1,0.497
4890,4892,5,5,1,0.299
4890,4893,5,5,1,0.186
4892,4890,5,5,1,0.299
4892,4894,5,5,1,0.253
4893,4890,5,5,1,0.186
4893,30867,5,5,2,0.316
4893,42961,5,5,3,0.824
4894,4892,5,5,1,0.253
4894,14604,5,5,5,2.191
4894,50654,5,5,4,2.686
4894,68631,5,5,6,3.022
4895,30867,5,5,1,0.399
5421,28072,5,5,1,0.47
5421,28075,5,5,1,0.181
5606,42844,5,5,1,0.256
5606,42846,5,5,2,0.498
5606,50685,5,5,1,0.251
5606,162265,5,5,1,0.225
6600,28072,5,5,1,0.28
6600,28073,5,5,1,0.2
6600,202848,5,5,2,0.901
7147,39116,5,5,4,2.073
7147,42841,5,5,2,0.614
8158,8197,5,5,2,0.88
8158,27024,5,5,1,0.35
8197,8158,5,5,2,0.88
8197,27061,5,5,2,0.663
8237,27024,5,5,1,0.175
10565,34761,5,5,2,2.268
10597,14783,5,5,2,2.133
10597,35714,5,5,5,2.264
10597,46556,5,5,3,2.853
12259,12347,5,5,1,0.277
12259,34761,5,5,3,1.929
12347,12259,5,5,1,0.277
12943,50668,5,5,1,0.315
12943,50669,5,5,1,0.414
12943,258235,5,5,1,0.183
14604,4894,5,5,4,2.191
14604,14608,5,5,1,0.269
14608,14604,5,5,1,0.269
14608,14611,5,5,1,0.284
14611,14608,5,5,1,0.284
14611,18692,5,5,1,0.63
14774,14777,5,5,1,0.126
14774,50653,5,5,1,0.226
14776,18692,5,5,1,0.513
14776,21944,5,5,1,0.209
14776,50654,5,5,2,0.384
14777,14774,5,5,1,0.126
14777,50656,5,5,1,0.258
14778,14779,5,5,1,0.216
14778,49248,5,5,1,0.357
14779,14778,5,5,1,0.216
14779,14782,5,5,1,0.224
14782,14779,5,5,1,0.224
14782,41436,5,5,2,0.444
14783,10597,5,5,1,2.133
14783,18948,5,5,2,1.4
14783,35714,5,5,1,0.179
14783,46556,5,5,1,0.722
14783,50649,5,5,3,2.471
15593,2573,5,5,2,0.274
15593,50649,5,5,4,0.427
16342,2134,5,5,3,1.589
16342,33499,5,5,2,1.857
16342,42847,5,5,7,2.153
16342,242206,5,5,1,0.155
16949,16955,5,5,1,0.471
16949,20509,5,5,1,0.856
16949,44836,5,5,1,1.066
16950,16951,5,5,1,0.251
16950,16953,5,5,1,0.321
16951,16950,5,5,1,0.251
16951,40545,5,5,1,0.224
16952,16953,5,5,1,0.288
16952,50815,5,5,1,0.321
16953,16950,5,5,1,0.321
16953,16952,5,5,1,0.288
16954,16956,5,5,1,0.308
16954,75902,5,5,1,0.287
16955,16949,5,5,1,0.471
