"ori_node","des_node","ori_layer","des_layer","minutes","km"
42605,42605,5,5,1,0
42605,91314,5,5,1,0.304
42605,127899,5,5,1,0.259
42605,170038,5,5,1,0.538
52030,52033,5,5,1,0.278
52032,52035,5,5,1,0.315
52033,52032,5,5,1,0.148
52033,225298,5,5,1,0.117
52034,52037,5,5,1,0.547
52035,52034,5,5,1,0.476
52036,61781,5,5,1,0.241
52036,119333,5,5,1,0.545
52037,52036,5,5,1,0.31
52037,61781,5,5,1,0.36
53351,140214,5,5,1,0.604
53352,257274,5,5,1,0.243
54704,214037,5,5,1,0.38
54704,216437,5,5,1,0.287
54965,66501,5,5,1,0.498
54965,76026,5,5,1,0.241
54965,137872,5,5,10,3.207
54965,137875,5,5,12,4.129
54965,228524,5,5,2,0.72
55297,64886,5,5,2,0.406
55298,130643,5,5,1,0.129
55299,74241,5,5,1,0.267
55300,55298,5,5,1,0.277
56874,56877,5,5,1,0.407
56875,56874,5,5,1,0.609
56875,119339,5,5,1,0.72
56875,236530,5,5,1,0.777
56876,56885,5,5,1,0.652
56876,227978,5,5,1,0.516
56877,56876,5,5,1,0.51
56877,93428,5,5,1,0.234
56877,227978,5,5,1,1.026
56878,85709,5,5,1,0.318
56878,196802,5,5,1,0.115
56878,228538,5,5,1,0.507
56879,56881,5,5,1,0.548
56880,56875,5,5,1,0.547
56881,56880,5,5,1,0.222
56881,227977,5,5,1,0.203
56885,118271,5,5,1,0.657
56886,189653,5,5,1,0.497
59184,59188,5,5,1,0.293
59185,204333,5,5,1,0.315
59186,59184,5,5,1,0.26
59188,139147,5,5,1,0.258
59189,59185,5,5,1,0.296
59190,214037,5,5,1,0.297
61145,128173,5,5,1,0.267
61145,236532,5,5,4,1.128
61146,61145,5,5,1,0.132
61146,66493,5,5,1,0.265
61776,61777,5,5,1,0.188
61777,61785,5,5,1,0.348
61777,178224,5,5,1,0.206
61778,61777,5,5,1,0.265
61778,238269,5,5,1,0.233
61779,61780,5,5,1,0.38
61779,178224,5,5,1,0.201
61780,61778,5,5,1,0.195
61780,238269,5,5,1,0.371
61781,61782,5,5,1,0.526
61782,61779,5,5,1,0.43
61782,149518,5,5,1,0.276
61785,61786,5,5,2,0.556
61785,149517,5,5,1,0.241
61785,149518,5,5,1,0.161
61786,121328,5,5,1,0.306
64882,74313,5,5,1,0.504
64883,119938,5,5,1,0.373
64884,52034,5,5,2,0.404
64885,64883,5,5,1,0.254
64885,119940,5,5,1,0.212
64886,64885,5,5,1,0.148
66493,85708,5,5,1,0.227
66493,228538,5,5,1,0.286
66494,66500,5,5,1,0.304
66494,76034,5,5,1,0.418
66496,66497,5,5,1,0.216
66497,76029,5,5,1,0.285
66498,85708,5,5,2,0.511
66498,228525,5,5,1,0.359
66499,54965,5,5,1,0.397
66499,66496,5,5,1,0.392
66499,145744,5,5,1,0.56
66499,169610,5,5,1,0.189
66500,66499,5,5,1,0.347
66501,61146,5,5,1,0.241
66501,76034,5,5,1,0.187
66502,76028,5,5,1,0.416
66503,66502,5,5,1,0.122
66503,100266,5,5,1,0.195
66503,256756,5,5,1,0.171
67090,67093,5,5,1,0.286
67090,150740,5,5,1,0.084
67091,246878,5,5,1,0.213
67092,67091,5,5,1,0.449
67093,96176,5,5,4,0.399
67093,191815,5,5,1,0.487
71277,80972,5,5,1,0.211
71278,71277,5,5,1,0.464
71278,224949,5,5,3,0.671
71278,236165,5,5,3,0.808
71281,71285,5,5,1,0.225
71283,71278,5,5,1,0.391
71283,90586,5,5,1,0.563
71284,119599,5,5,1,0.433
71284,171881,5,5,1,0.134
71285,71284,5,5,1,0.377
72762,74314,5,5,3,0.534
72762,139783,5,5,2,0.368
72762,254651,5,5,2,0.217
74208,160578,5,5,1,0.385
74208,160580,5,5,1,0.32
74241,228538,5,5,1,0.156
74313,139783,5,5,2,0.323
74313,234936,5,5,1,0.224
74314,74315,5,5,1,0.387
74315,52037,5,5,2,0.472
76026,66498,5,5,1,0.312
76026,66501,5,5,1,0.265
76026,145744,5,5,2,0.451
76026,169610,5,5,2,0.166
76027,66498,5,5,1,0.478
76027,66501,5,5,1,0.397
76027,76026,5,5,1,0.165
76027,145744,5,5,2,0.377
76028,76027,5,5,1,0.147
76028,228532,5,5,1,0.513
76029,66503,5,5,1,0.132
76030,66502,5,5,1,0.122
76031,100264,5,5,1,0.209
76031,149519,5,5,1,0.298
76032,228532,5,5,1,0.455
76032,228533,5,5,1,0.136
76033,76031,5,5,1,0.352
76033,228533,5,5,1,0.245
76034,66497,5,5,2,0.655
76034,76033,5,5,1,0.309
77435,96170,5,5,1,0.402
