"ori_node","des_node","ori_layer","des_layer","minutes","km"
20036,27199,2,2,10,5.161
27199,20036,2,2,7,5.161
27199,36726,2,2,9,9.424
36726,27199,2,2,11,9.424
20036,27199,4,4,15,5.161
27199,20036,4,4,10,5.161
268,50602,5,5,1,0.113
268,185298,5,5,1,0.341
268,233536,5,5,1,0.458
526,49720,5,5,1,0.324
526,214189,5,5,1,0.304
748,21481,5,5,2,1.047
748,46394,5,5,1,0.429
748,46403,5,5,1,0.393
749,750,5,5,1,0.194
749,24896,5,5,1,0.392
750,749,5,5,1,0.194
750,34784,5,5,1,1.043
750,45856,5,5,3,1.153
751,3206,5,5,1,0.26
751,19018,5,5,1,0.097
751,24896,5,5,1,0.461
751,187719,5,5,2,0.631
752,3206,5,5,1,0.436
752,10222,5,5,1,1.298
753,11053,5,5,1,0.296
753,34820,5,5,1,1.043
753,188971,5,5,1,0.111
754,756,5,5,2,0.26
754,4466,5,5,1,0.71
754,33118,5,5,1,0.362
755,33118,5,5,1,0.384
755,33119,5,5,1,0.4
756,754,5,5,1,0.26
756,4466,5,5,1,0.92
756,33118,5,5,1,0.263
940,941,5,5,1,0.307
940,45343,5,5,1,0.481
941,940,5,5,1,0.307
941,947,5,5,1,0.41
941,35276,5,5,1,0.256
942,35276,5,5,1,0.239
942,36305,5,5,2,1.35
947,941,5,5,1,0.41
947,11622,5,5,2,1.704
947,35276,5,5,2,0.255
977,11258,5,5,1,0.636
977,17864,5,5,2,1.033
1313,1314,5,5,1,0.193
1313,9182,5,5,2,0.312
1314,1313,5,5,1,0.193
1314,33953,5,5,1,0.164
1369,3527,5,5,1,0.106
1369,17864,5,5,3,2.398
1369,128825,5,5,2,0.65
1599,7798,5,5,1,0.375
1599,26997,5,5,1,0.331
1599,46397,5,5,1,0.257
2125,2948,5,5,1,0.17
2125,109605,5,5,1,0.384
2948,2125,5,5,1,0.17
2948,34322,5,5,1,0.313
3206,751,5,5,1,0.26
3206,752,5,5,1,0.436
3222,10855,5,5,2,1.007
3222,34218,5,5,1,0.29
3222,42120,5,5,1,0.891
3334,17419,5,5,1,0.287
3334,34218,5,5,1,0.3
3527,128825,5,5,2,0.754
4109,4111,5,5,1,0.523
4109,4114,5,5,2,0.52
4109,42662,5,5,1,0.313
4111,4109,5,5,1,0.523
4111,30554,5,5,1,1.176
4111,126524,5,5,3,2.133
4114,6588,5,5,2,1.367
4114,8459,5,5,4,1.664
4114,24969,5,5,1,0.388
4114,42662,5,5,1,0.23
4114,51450,5,5,1,1.622
4114,168701,5,5,1,0.199
4114,183136,5,5,2,0.362
4466,754,5,5,1,0.71
4466,756,5,5,1,0.92
4466,4466,5,5,1,0
4466,11053,5,5,1,0.231
4466,17916,5,5,1,0.489
4466,23704,5,5,13,4.348
4466,34062,5,5,10,2.721
4466,183593,5,5,10,4.149
4477,15742,5,5,1,0.213
4477,36303,5,5,1,0.239
4734,30554,5,5,1,0.198
4734,30577,5,5,1,0.186
5152,5155,5,5,1,0.373
5152,192913,5,5,1,0.477
5153,10859,5,5,1,0.73
5153,16611,5,5,1,0.565
5153,24275,5,5,1,0.412
5153,24278,5,5,1,0.106
5153,26521,5,5,1,1.008
5153,40988,5,5,1,0.74
5153,42624,5,5,1,0.179
5154,5156,5,5,1,0.355
5154,24285,5,5,1,0.416
5155,5152,5,5,1,0.373
5155,5156,5,5,1,0.199
5156,5154,5,5,1,0.355
5156,5155,5,5,1,0.199
5156,67198,5,5,1,0.128
5157,24282,5,5,1,0.48
5157,33120,5,5,1,0.269
5157,155820,5,5,2,0.365
5194,7472,5,5,4,1.835
