"ori_node","des_node","ori_layer","des_layer","minutes","km"
925,25903,2,2,3,0.878
3963,5797,2,2,10,3.676
3963,41207,2,2,2,1.586
5797,3963,2,2,5,3.676
5797,5797,2,2,1,0
5797,7082,2,2,2,0.806
5797,13968,2,2,8,5.129
5797,41207,2,2,4,2.147
7082,5797,2,2,2,0.806
7082,7082,2,2,1,0
7082,25903,2,2,3,2.585
11009,25903,2,2,2,1.397
13968,5797,2,2,11,5.129
13968,41207,2,2,5,3.327
18426,103512,2,2,2,1.193
25903,925,2,2,2,0.878
25903,7082,2,2,3,2.585
25903,11009,2,2,2,1.397
41207,3963,2,2,2,1.586
41207,5797,2,2,6,2.147
41207,13968,2,2,5,3.327
41433,103512,2,2,2,2.094
103512,18426,2,2,2,1.193
103512,41433,2,2,2,2.094
234,13894,4,4,3,1.366
234,122631,4,4,2,0.783
13894,234,4,4,3,1.366
13894,49251,4,4,2,1.182
49251,13894,4,4,2,1.182
122631,234,4,4,2,0.783
234,82229,5,5,1,0.232
234,115353,5,5,1,0.175
234,260145,5,5,2,0.621
925,925,5,5,1,0
925,69650,5,5,1,0.314
925,76901,5,5,1,0.48
925,163356,5,5,1,0.423
3963,220261,5,5,1,0.274
3963,223651,5,5,1,0.455
3963,242707,5,5,1,0.577
5797,5797,5,5,1,0
5797,7082,5,5,1,0.806
5797,27157,5,5,7,0.775
5797,62171,5,5,1,0.397
5797,62172,5,5,1,0.414
5797,112954,5,5,1,0.497
5797,112958,5,5,1,0.535
5797,119428,5,5,1,0.448
5797,122631,5,5,1,0.512
5797,124999,5,5,2,0.509
5797,125699,5,5,1,0.438
5797,147342,5,5,1,0.462
5797,154718,5,5,1,1.055
5797,183531,5,5,1,0.523
5797,183534,5,5,1,0.483
5797,201649,5,5,1,0.473
5797,210860,5,5,3,0.77
5797,214121,5,5,1,0.162
5797,220805,5,5,1,0.549
5797,243533,5,5,1,0.496
7082,5797,5,5,1,0.806
7082,7082,5,5,1,0
7082,27157,5,5,1,0.542
7082,88683,5,5,1,0.809
7082,91796,5,5,1,0.621
7082,102846,5,5,1,0.811
7082,124996,5,5,1,0.359
7082,124997,5,5,2,0.341
7082,124998,5,5,2,0.345
7082,124999,5,5,2,0.335
7082,147342,5,5,1,0.461
7082,152382,5,5,1,0.195
7082,160622,5,5,1,0.652
7082,184202,5,5,2,0.825
7082,204169,5,5,2,0.44
7082,219282,5,5,1,0.481
7082,220805,5,5,1,0.564
7082,240152,5,5,1,0.603
11009,11009,5,5,1,0
11009,69004,5,5,1,0.32
11009,199155,5,5,1,0.441
13894,59134,5,5,1,0.492
13894,109255,5,5,1,0.258
13968,13968,5,5,1,0
13968,81658,5,5,1,0.373
13968,130292,5,5,1,0.499
13968,138158,5,5,1,0.266
13968,178102,5,5,1,0.469
13968,211396,5,5,1,0.5
18426,18426,5,5,1,0
18426,72984,5,5,2,0.477
18426,172266,5,5,1,0.557
25903,25903,5,5,1,0
25903,57658,5,5,1,0.598
25903,208753,5,5,1,0.287
25903,225475,5,5,1,0.46
25903,254849,5,5,1,0.593
27157,7082,5,5,1,0.542
27157,62171,5,5,4,1.115
27157,88683,5,5,1,0.268
27157,102846,5,5,1,0.293
27157,106600,5,5,5,3.714
27157,125702,5,5,1,0.388
27157,206112,5,5,1,0.168
41207,41207,5,5,1,0
41207,80602,5,5,1,0.662
41207,90254,5,5,1,0.318
41207,107521,5,5,1,0.338
41207,109256,5,5,1,0.526
41207,217357,5,5,2,0.836
41433,204951,5,5,1,0.4
49251,112203,5,5,1,0.341
49251,240263,5,5,1,0.343
51690,80601,5,5,1,0.261
51691,61393,5,5,1,0.46
52023,80921,5,5,1,0.288
52023,135688,5,5,1,0.406
52023,245129,5,5,2,0.349
52492,172029,5,5,1,0.13
52492,233539,5,5,1,0.752
52492,240152,5,5,1,0.252
53156,260767,5,5,1,0.162
53426,195921,5,5,1,0.119
53817,111861,5,5,1,0.26
56176,257269,5,5,1,0.349
56177,237529,5,5,1,0.375
57658,150568,5,5,1,0.318
57658,191034,5,5,1,0.345
57659,67254,5,5,1,0.326
57968,67626,5,5,1,0.293
57969,259144,5,5,1,0.405
58281,60904,5,5,1,0.294
58283,60904,5,5,1,0.284
58283,60908,5,5,1,0.179
58285,154301,5,5,1,0.245
58286,154299,5,5,1,0.369
58286,154301,5,5,1,0.316
58466,132077,5,5,1,0.399
58468,132077,5,5,1,0.445
58777,122632,5,5,1,0.415
58778,220309,5,5,1,0.642
59134,240264,5,5,1,0.377
59136,13894,5,5,1,0.468
59886,106600,5,5,1,0.202
59886,106602,5,5,1,0.191
59998,183530,5,5,1,0.324
60000,69564,5,5,1,0.237
60000,86121,5,5,1,0.084
60658,255601,5,5,2,0.342
60904,137955,5,5,2,0.536
60904,201673,5,5,1,0.431
60905,58285,5,5,1,0.222
60906,70467,5,5,1,0.276
60906,70468,5,5,1,0.142
60907,70467,5,5,1,0.295
60907,70468,5,5,1,0.161
60908,60906,5,5,1,0.081
60908,70468,5,5,1,0.224
61393,242708,5,5,1,0.224
61393,242710,5,5,1,0.206
61394,51690,5,5,1,0.332
61394,80601,5,5,1,0.594
62171,5797,5,5,4,0.397
62171,112954,5,5,2,0.227
62171,112956,5,5,1,0.249
62171,112958,5,5,1,0.291
62171,122631,5,5,1,0.119
62172,112953,5,5,1,0.21
62172,112958,5,5,2,0.236
63621,154300,5,5,1,0.46
63622,92480,5,5,1,0.319
64178,73619,5,5,1,0.479
64178,216812,5,5,1,0.373
64179,71832,5,5,1,0.245
64179,93029,5,5,1,0.323
65616,92672,5,5,1,0.21
65616,188225,5,5,1,0.486
65616,254847,5,5,1,0.272
65945,109252,5,5,1,0.385
65946,94988,5,5,1,0.294
65947,94985,5,5,1,0.235
65949,75443,5,5,1,0.293
66296,75845,5,5,1,0.415
66297,153401,5,5,1,0.476
66297,163979,5,5,1,0.254
67252,57658,5,5,1,0.37
67252,180605,5,5,1,0.277
67253,57658,5,5,1,0.242
67253,206709,5,5,1,0.299
67254,206709,5,5,1,0.342
67626,77254,5,5,1,0.266
67627,238056,5,5,1,0.408
67628,248014,5,5,1,0.31
67964,77591,5,5,1,0.263
68538,137956,5,5,1,0.456
68766,18426,5,5,1,0.352
69004,104641,5,5,1,0.308
69004,208836,5,5,1,0.149
69052,98117,5,5,1,0.17
69053,221774,5,5,1,0.277
69423,252586,5,5,1,0.327
69423,260763,5,5,1,0.091
69563,59998,5,5,1,0.267
69564,98682,5,5,1,0.254
69789,92361,5,5,1,0.352
69790,73410,5,5,1,0.615
70467,236758,5,5,1,0.379
70468,70467,5,5,1,0.133
70468,77592,5,5,1,0.272
70469,60904,5,5,1,0.362
70469,60905,5,5,1,0.257
71271,116147,5,5,1,0.205
71831,64178,5,5,1,0.238
71832,225106,5,5,1,0.351
72227,69052,5,5,2,0.313
72227,240153,5,5,1,0.398
72984,185691,5,5,2,0.27
73245,78982,5,5,1,0.383
73410,216049,5,5,1,0.228
73410,216050,5,5,1,0.19
73411,69789,5,5,1,0.517
73411,177419,5,5,1,0.21
73618,64179,5,5,1,0.309
73619,58468,5,5,1,0.344
73851,129595,5,5,1,0.392
73852,73851,5,5,1,0.057
73852,129595,5,5,1,0.45
73852,171821,5,5,1,0.34
73852,192716,5,5,1,0.462
73852,199154,5,5,1,0.375
73853,201151,5,5,1,0.466
73853,201152,5,5,1,0.244
73854,201151,5,5,1,0.524
73854,201152,5,5,1,0.303
75189,226222,5,5,1,0.294
