"ori_node","des_node","ori_layer","des_layer","minutes","km"
2625,35069,2,2,2,3.278
12814,30163,2,2,4,4.695
30163,12814,2,2,2,4.695
30163,43757,2,2,2,4.535
35069,2625,2,2,2,3.278
35069,45680,2,2,5,6.019
43757,30163,2,2,2,4.535
43757,192396,2,2,2,2.719
45680,35069,2,2,4,6.019
192396,43757,2,2,2,2.719
130753,140651,4,4,1,0.618
201189,230382,4,4,1,0.541
579,6948,5,5,1,0.931
579,29196,5,5,1,0.856
579,70559,5,5,2,1.12
579,70865,5,5,1,0.627
579,187537,5,5,1,1.875
1959,1959,5,5,1,0
1959,99536,5,5,2,0.852
1959,136260,5,5,1,0.298
1959,162753,5,5,1,0.632
1959,171937,5,5,1,1.127
1959,184249,5,5,1,0.342
2625,211585,5,5,1,0.467
2625,216972,5,5,1,1.914
2625,218762,5,5,1,0.891
6948,579,5,5,1,0.931
6948,63638,5,5,2,0.527
6948,188086,5,5,2,1.005
6948,230755,5,5,4,1.45
12814,56267,5,5,4,1.609
12814,128750,5,5,1,0.322
12814,198559,5,5,4,1.421
15521,15521,5,5,1,0
15521,59338,5,5,1,0.926
15521,59340,5,5,1,0.618
15521,68971,5,5,1,0.438
15521,260552,5,5,1,0.267
27243,154083,5,5,1,0.303
27243,237802,5,5,1,0.749
27243,237803,5,5,1,0.668
27243,245320,5,5,1,0.24
27243,246583,5,5,1,0.582
27243,259307,5,5,1,0.231
27478,116775,5,5,6,3.059
27478,154850,5,5,1,0.281
27478,154852,5,5,1,0.211
27478,184244,5,5,1,0.711
29196,579,5,5,1,0.856
29196,57273,5,5,2,1.535
29196,71472,5,5,14,7.824
29196,85020,5,5,2,1.789
29196,137378,5,5,2,0.636
29196,150454,5,5,1,0.858
30163,213870,5,5,1,0.257
30163,256403,5,5,2,0.711
33078,137374,5,5,1,0.438
33078,137380,5,5,1,0.411
35069,35069,5,5,1,0
35069,57273,5,5,1,0.733
35069,174427,5,5,1,0.57
35069,174428,5,5,1,0.257
40560,114324,5,5,1,0.388
40560,145640,5,5,1,0.411
40560,162985,5,5,1,0.453
43757,228196,5,5,1,0.444
43757,237879,5,5,1,0.535
43927,108541,5,5,1,0.36
43927,128946,5,5,1,0.241
43927,147640,5,5,1,0.465
43927,180319,5,5,1,0.786
43927,188086,5,5,1,0.451
45680,45680,5,5,1,0
45680,71268,5,5,1,0.346
45680,108921,5,5,2,1.317
45680,129656,5,5,1,0.487
45680,175021,5,5,1,0.253
45680,175024,5,5,1,0.367
45680,261806,5,5,1,0.383
45680,261807,5,5,1,0.537
47581,103096,5,5,1,0.294
47581,256344,5,5,1,0.198
52561,203596,5,5,1,0.202
52562,62240,5,5,1,0.19
52563,57760,5,5,1,0.154
52563,70111,5,5,1,0.129
52564,158232,5,5,1,0.091
52565,246115,5,5,1,0.198
52566,70110,5,5,1,0.113
56267,227762,5,5,1,0.218
57272,57277,5,5,1,0.524
57272,179386,5,5,1,0.504
57273,86591,5,5,1,0.539
57273,179386,5,5,1,0.17
57273,258419,5,5,1,0.243
57276,216444,5,5,1,0.298
57277,29196,5,5,4,1.555
57277,35069,5,5,1,0.723
57277,114324,5,5,1,1.199
57277,141467,5,5,2,0.779
57278,57277,5,5,1,0.075
57278,86591,5,5,1,0.51
57350,116773,5,5,1,0.532
57362,95712,5,5,1,0.625
57374,57350,5,5,1,0.598
57759,45680,5,5,1,0.308
57759,161264,5,5,1,0.282
57760,70111,5,5,1,0.184
57760,70119,5,5,1,0.176
58905,133090,5,5,1,0.749
