"ori_node","des_node","ori_layer","des_layer","minutes","km"
13745,35743,1,1,5,1.569
35743,13745,1,1,5,1.569
35743,93787,1,1,5,0.516
13745,13745,2,2,1,0
7125,8582,3,3,1,0.698
7125,37895,3,3,1,0.618
7125,42945,3,3,2,0.664
7125,115099,3,3,2,0.571
8582,7125,3,3,2,0.698
8582,35735,3,3,1,0.804
8582,35743,3,3,1,1.009
8582,48020,3,3,1,0.537
9028,20532,3,3,1,0.71
9028,35735,3,3,2,0.802
9028,35743,3,3,1,0.66
9684,9772,3,3,1,0.645
9684,16192,3,3,2,1.289
9684,20532,3,3,2,0.947
9684,35735,3,3,1,0.549
9772,9684,3,3,1,0.645
13745,32223,3,3,1,0.774
13745,37895,3,3,2,0.819
16192,9684,3,3,2,1.289
16192,16192,3,3,1,0
16192,20348,3,3,2,1.218
16192,38862,3,3,1,0.558
20348,16192,3,3,2,1.218
20348,35458,3,3,1,0.936
20348,35735,3,3,2,0.959
20532,9028,3,3,1,0.71
20532,9684,3,3,2,0.947
20532,27028,3,3,2,0.796
20532,35735,3,3,2,0.921
27028,20532,3,3,2,0.796
32223,13745,3,3,2,0.774
32223,35743,3,3,2,0.799
35458,20348,3,3,1,0.936
35458,35458,3,3,1,0
35458,35735,3,3,2,1.535
35458,48020,3,3,1,0.837
35735,8582,3,3,1,0.804
35735,9028,3,3,2,0.802
35735,9684,3,3,1,0.549
35735,20348,3,3,2,0.959
35735,20532,3,3,2,0.921
35735,35458,3,3,2,1.535
35743,8582,3,3,1,1.009
35743,9028,3,3,1,0.66
35743,32223,3,3,1,0.799
35743,35743,3,3,1,0
35743,115099,3,3,1,0.557
37895,7125,3,3,1,0.618
37895,13745,3,3,1,0.819
38862,16192,3,3,1,0.558
42945,7125,3,3,1,0.664
48020,8582,3,3,1,0.537
48020,35458,3,3,1,0.837
115099,7125,3,3,1,0.571
115099,35743,3,3,1,0.557
6244,16192,4,4,2,0.803
9772,14219,4,4,2,0.461
9772,16192,4,4,5,1.046
13745,35743,4,4,7,1.569
14219,9772,4,4,2,0.461
14219,16192,4,4,2,0.734
16192,6244,4,4,2,0.803
16192,9772,4,4,5,1.046
16192,14219,4,4,2,0.734
35743,13745,4,4,5,1.569
259,7125,5,5,1,0.311
259,8582,5,5,1,0.391
259,30347,5,5,1,0.543
346,27028,5,5,1,0.51
835,16192,5,5,1,0.927
835,20348,5,5,1,0.291
4742,9684,5,5,1,0.255
4742,35735,5,5,1,0.294
6244,47762,5,5,1,0.285
6244,49902,5,5,1,0.23
6793,30599,5,5,1,0.367
6793,38188,5,5,1,0.342
6793,44267,5,5,1,0.358
6793,51214,5,5,1,0.377
7125,259,5,5,1,0.311
7125,7125,5,5,1,0
7125,8582,5,5,1,0.698
7125,19152,5,5,1,0.258
7125,27585,5,5,1,0.551
7125,37895,5,5,1,0.618
7125,42945,5,5,1,0.664
7125,74729,5,5,4,0.926
7125,149750,5,5,1,0.268
8582,259,5,5,1,0.391
8582,8582,5,5,1,0
8582,26472,5,5,1,0.38
8582,30347,5,5,1,0.362
8582,48020,5,5,1,0.537
8582,110010,5,5,3,0.265
9028,8582,5,5,2,0.745
9028,9028,5,5,1,0
9028,23864,5,5,1,0.445
9028,35743,5,5,1,0.66
9028,44900,5,5,1,0.474
9028,136463,5,5,1,0.375
9432,128243,5,5,1,0.296
9684,4742,5,5,2,0.255
9684,9772,5,5,2,0.645
9684,35735,5,5,1,0.549
9772,9684,5,5,1,0.645
9772,9772,5,5,1,0
9772,14219,5,5,1,0.461
9772,16192,5,5,5,1.046
9772,23478,5,5,3,1.036
9772,27028,5,5,3,1.238
9772,38252,5,5,1,0.655
9772,45905,5,5,1,0.514
