"ori_node","des_node","ori_layer","des_layer","minutes","km"
3333,26709,2,2,4,4.737
4901,26709,2,2,4,3.06
26709,3333,2,2,5,4.737
26709,4901,2,2,4,3.06
31255,38780,4,4,5,1.245
38780,31255,4,4,5,1.245
653,3803,5,5,1,1.315
653,10343,5,5,1,3.087
653,207057,5,5,1,0.757
1354,42581,5,5,2,0.769
1354,44009,5,5,2,0.779
1355,31256,5,5,1,0.192
1355,156316,5,5,2,0.282
1356,1357,5,5,1,0.23
1356,1359,5,5,2,0.304
1357,1356,5,5,1,0.23
1357,31255,5,5,2,0.38
1359,1356,5,5,1,0.304
1359,36930,5,5,2,0.288
1719,10343,5,5,1,0.233
1719,40569,5,5,1,0.273
1722,40572,5,5,2,0.356
1722,40578,5,5,1,0.456
3333,3333,5,5,1,0
3333,20550,5,5,7,3.548
3333,31254,5,5,1,0.534
3333,42303,5,5,2,1.187
3333,44009,5,5,1,0.541
3333,88674,5,5,1,0.472
3333,127776,5,5,1,0.462
3802,3333,5,5,2,1.594
3802,3803,5,5,1,0.55
3802,88674,5,5,5,1.603
3802,168141,5,5,5,2.759
3803,653,5,5,1,1.315
3803,3802,5,5,2,0.55
3806,44112,5,5,1,0.413
3850,3851,5,5,1,0.233
3850,10186,5,5,1,1.884
3850,31957,5,5,2,1.034
3851,3850,5,5,1,0.233
3851,3852,5,5,1,0.481
3852,3851,5,5,1,0.481
3852,42730,5,5,3,1.608
3852,43727,5,5,1,1.374
4438,42573,5,5,1,0.267
4438,42574,5,5,1,0.241
4439,4443,5,5,1,0.423
4439,6923,5,5,3,1.985
4440,31250,5,5,1,0.137
4440,137456,5,5,1,0.214
4441,17800,5,5,1,0.502
4441,42580,5,5,1,0.342
4442,4445,5,5,1,0.286
4442,10189,5,5,1,0.36
4443,4439,5,5,1,0.423
4443,4444,5,5,1,0.355
4444,4443,5,5,1,0.355
4444,17801,5,5,1,0.466
4445,4442,5,5,1,0.286
4445,48906,5,5,1,0.268
4446,17801,5,5,1,0.549
4446,31249,5,5,1,0.135
4446,48906,5,5,1,0.377
4725,22881,5,5,1,1.061
4725,43064,5,5,1,0.664
4725,168141,5,5,1,0.237
4901,4901,5,5,1,0
4901,32214,5,5,1,0.71
4901,32215,5,5,1,1.046
4901,223371,5,5,5,2.919
4901,249373,5,5,1,0.908
5046,5048,5,5,1,0.376
5046,11918,5,5,1,0.432
5048,5046,5,5,1,0.376
5048,5050,5,5,1,0.413
5049,5050,5,5,1,0.198
5050,5048,5,5,1,0.413
5050,5049,5,5,1,0.198
5132,5132,5,5,1,0
5132,127523,5,5,1,0.218
5625,12590,5,5,1,0.337
5625,24489,5,5,1,0.406
6289,6289,5,5,1,0
6289,206271,5,5,1,0.372
6290,6290,5,5,1,0
6290,48912,5,5,1,0.36
6291,10186,5,5,1,0.347
6291,10192,5,5,1,0.475
6291,42583,5,5,1,0.342
6292,6292,5,5,1,0
6292,23592,5,5,4,0.37
6923,4439,5,5,4,1.985
6923,25432,5,5,3,1.885
6923,36929,5,5,4,1.729
6923,39463,5,5,1,0.597
6923,112738,5,5,1,0.605
6988,135409,5,5,1,0.219
6990,6993,5,5,1,0.187
6990,42721,5,5,1,0.143
6992,6993,5,5,1,0.212
6992,106080,5,5,1,0.228
6993,6990,5,5,1,0.187
6993,6992,5,5,1,0.212
7085,44008,5,5,1,0.116
7085,50266,5,5,1,0.229
7085,127778,5,5,1,0.151
8288,36928,5,5,2,0.362
8288,48906,5,5,1,0.188
8335,8336,5,5,1,0.292
8335,76132,5,5,1,0.162
8336,47584,5,5,4,2.267
8336,76133,5,5,1,0.143
8598,8599,5,5,1,0.31
8598,31115,5,5,1,1.126
8599,8598,5,5,1,0.31
8599,27833,5,5,1,0.405
8600,8601,5,5,1,0.267
8600,27828,5,5,1,0.302
8601,8600,5,5,1,0.267
8601,8602,5,5,1,0.308
8602,8601,5,5,1,0.308
8602,8603,5,5,1,0.364
8602,27832,5,5,1,0.058
8602,260218,5,5,1,0.068
8603,8602,5,5,1,0.364
8603,8604,5,5,1,0.405
8604,8603,5,5,1,0.405
8604,48923,5,5,1,0.434
8921,8939,5,5,1,0.198
8921,26709,5,5,1,0.52
8939,8921,5,5,1,0.198
8939,26709,5,5,1,0.603
10181,17805,5,5,1,0.135
10181,215975,5,5,1,0.221
