"ori_node","des_node","ori_layer","des_layer","minutes","km"
10516,39262,2,2,9,2.871
31870,40575,2,2,5,5.881
39262,10516,2,2,6,2.871
39262,40575,2,2,4,2.328
40575,31870,2,2,6,5.881
40575,39262,2,2,5,2.328
39262,40575,4,4,5,2.328
40575,39262,4,4,10,2.328
761,12927,5,5,1,0.342
761,38865,5,5,1,0.299
1463,3224,5,5,2,0.903
1463,175072,5,5,2,1.165
2545,38374,5,5,2,0.984
2545,56259,5,5,1,1.068
2576,2577,5,5,1,0.064
2576,192657,5,5,3,1.802
2576,221962,5,5,1,0.212
2576,231599,5,5,1,1.55
2577,42172,5,5,3,1.151
2577,231594,5,5,1,0.383
2577,231599,5,5,1,1.538
3224,1463,5,5,2,0.903
3224,231217,5,5,1,0.29
3224,231226,5,5,1,0.312
3300,3300,5,5,1,0
3300,20551,5,5,1,0.35
3300,22776,5,5,1,0.52
3300,48908,5,5,2,0.933
3300,181212,5,5,2,3.144
3300,181214,5,5,1,2.766
3680,10516,5,5,1,0.609
3680,251534,5,5,1,0.126
3680,251535,5,5,1,0.119
4128,231598,5,5,1,0.712
6813,249852,5,5,1,0.173
6813,249853,5,5,1,0.165
6813,259735,5,5,1,0.158
7042,58553,5,5,1,0.308
7042,68192,5,5,1,0.077
7483,23585,5,5,1,0.5
7483,45777,5,5,1,0.682
8244,192658,5,5,3,1.582
8244,192659,5,5,2,1.574
8244,221962,5,5,2,0.705
8244,221963,5,5,2,0.714
8246,31387,5,5,1,0.466
8246,114439,5,5,1,0.754
8246,166719,5,5,1,0.845
8246,192654,5,5,1,0.317
8932,39262,5,5,10,0.924
8932,66576,5,5,1,0.175
8932,85782,5,5,1,0.218
8932,143157,5,5,2,0.395
10011,68187,5,5,1,0.211
10011,68188,5,5,1,0.181
10011,134648,5,5,1,0.342
10011,241573,5,5,1,0.428
10516,3680,5,5,1,0.609
10516,10516,5,5,1,0
10516,40575,5,5,1,1.034
10516,46412,5,5,4,1.934
10516,153169,5,5,1,1.246
10516,157235,5,5,1,0.388
10516,222202,5,5,1,0.558
10516,239933,5,5,1,0.41
10516,256907,5,5,1,0.41
10516,261480,5,5,1,0.477
10723,48908,5,5,1,0.257
10723,115104,5,5,1,0.276
10723,231216,5,5,1,0.183
10723,232978,5,5,3,0.585
11499,11504,5,5,1,0.274
11499,18057,5,5,1,0.518
11499,23585,5,5,1,1.161
11499,31215,5,5,9,3.524
11502,11503,5,5,1,0.161
11502,18057,5,5,1,0.302
11503,11502,5,5,1,0.161
11503,11503,5,5,1,0
11503,11504,5,5,1,0.545
11503,29016,5,5,1,1.934
11503,31215,5,5,6,4.006
11504,11499,5,5,1,0.274
11504,11503,5,5,1,0.545
11504,18057,5,5,1,0.245
11504,45779,5,5,5,2.634
12193,25772,5,5,1,0.457
12193,137051,5,5,1,0.268
12193,166718,5,5,1,0.494
12193,166720,5,5,1,0.584
12922,12922,5,5,1,0
12922,14420,5,5,2,0.316
12922,148518,5,5,1,0.255
12924,12924,5,5,1,0
12924,12927,5,5,1,0.409
12924,39262,5,5,1,0.711
12924,127173,5,5,1,0.398
12924,211739,5,5,1,0.137
12926,39485,5,5,1,0.605
12926,42063,5,5,1,0.372
12927,761,5,5,1,0.342
12927,12924,5,5,1,0.409
12927,12927,5,5,1,0
12927,27376,5,5,1,0.257
12927,38865,5,5,1,0.641
13006,34246,5,5,1,0.264
13006,35790,5,5,1,0.154
13006,231227,5,5,1,0.243
13316,42081,5,5,1,0.885
13316,81200,5,5,3,1.286
13316,106026,5,5,1,0.569
13316,106032,5,5,1,0.384
14199,8932,5,5,1,0.546
14199,28147,5,5,1,0.25
14199,244128,5,5,1,0.337
14420,12922,5,5,1,0.316
14420,35646,5,5,1,0.216
14707,39485,5,5,1,0.393
14707,115102,5,5,1,0.263
14707,124768,5,5,1,0.234
15086,12926,5,5,1,0.318
15086,20217,5,5,2,0.134
15088,47557,5,5,1,0.228
15088,202667,5,5,1,0.154
15088,253216,5,5,1,0.394
17230,17256,5,5,2,0.522
17230,175068,5,5,1,1.333
17256,17230,5,5,2,0.522
17256,17382,5,5,1,0.956
17280,175068,5,5,1,0.229
17280,175069,5,5,1,0.274
17382,17256,5,5,1,0.956
17382,18337,5,5,1,0.68
18057,11502,5,5,1,0.302
18057,11504,5,5,1,0.245
18057,130858,5,5,1,0.164
18337,3224,5,5,1,0.407
18337,17382,5,5,1,0.68
18337,136316,5,5,1,0.427
18337,136318,5,5,1,0.229
18337,175073,5,5,1,0.162
18596,39485,5,5,1,0.123
18596,58555,5,5,1,0.201
19759,38865,5,5,1,0.301
19759,45182,5,5,1,0.191
20217,15086,5,5,1,0.134
20217,94365,5,5,1,0.314
20551,3300,5,5,1,0.35
20551,48908,5,5,1,0.698
20551,115105,5,5,1,0.391
21017,37387,5,5,1,1.544
21017,37460,5,5,5,1.526
21017,175067,5,5,1,0.18
21017,245029,5,5,3,0.821
21687,212064,5,5,1,0.285
21687,212067,5,5,1,0.43
22360,31215,5,5,1,0.543
22360,35790,5,5,1,0.785
22360,41448,5,5,1,1.119
22360,106030,5,5,1,0.691
22360,208183,5,5,1,0.282
22776,3300,5,5,1,0.52
22776,45284,5,5,1,0.25
22776,231842,5,5,1,0.674
22776,231843,5,5,1,0.669
23090,40053,5,5,4,0.998
23585,7483,5,5,1,0.5
23585,11499,5,5,2,1.161
23608,106032,5,5,1,0.721
23608,175072,5,5,1,0.344
24180,2545,5,5,3,1.723
24180,115106,5,5,7,3.15
24180,245031,5,5,1,0.556
24180,245033,5,5,1,0.276
25772,12193,5,5,1,0.457
25772,35663,5,5,1,0.753
25772,166718,5,5,1,0.28
25772,166720,5,5,1,0.217
27372,27374,5,5,1,0.278
27372,33705,5,5,1,0.222
27372,56958,5,5,1,0.409
27374,27372,5,5,1,0.278
27374,27376,5,5,1,0.307
27374,243296,5,5,2,0.176
27376,12927,5,5,1,0.257
27376,27374,5,5,1,0.307
28146,28149,5,5,1,0.072
28146,56957,5,5,1,0.257
28146,146330,5,5,1,0.192
28147,14199,5,5,1,0.25
28147,28149,5,5,1,0.199
28149,28146,5,5,1,0.072
28149,28147,5,5,1,0.199
28149,59666,5,5,1,0.15
28149,146330,5,5,1,0.166
28608,202663,5,5,1,0.285
28608,212296,5,5,1,0.167
29016,11503,5,5,1,1.934
29016,81199,5,5,1,0.464
30489,10723,5,5,1,0.319
30489,71488,5,5,1,0.317
31215,11503,5,5,5,4.006
31215,22360,5,5,1,0.543
31215,31215,5,5,1,0
31215,41448,5,5,2,1.454
31215,105211,5,5,1,0.477
31215,106030,5,5,1,0.259
31387,8246,5,5,1,0.466
31387,166721,5,5,1,0.311
31870,81202,5,5,1,0.611
31870,208800,5,5,1,0.679
33560,77836,5,5,1,0.301
33560,153169,5,5,1,0.287
33705,27372,5,5,1,0.222
33705,146230,5,5,1,0.23
34246,13006,5,5,1,0.264
34246,175065,5,5,1,0.108
35646,14420,5,5,1,0.216
35646,230168,5,5,1,0.142
35663,25772,5,5,1,0.753
35663,68189,5,5,1,0.333
35663,68191,5,5,1,0.524
35663,134649,5,5,1,0.149
35790,13006,5,5,1,0.154
35790,22360,5,5,1,0.785
35790,35790,5,5,2,0
35790,41448,5,5,1,0.333
35790,43110,5,5,2,0.841
35790,47559,5,5,2,0.969
37387,21017,5,5,1,1.544
37387,40053,5,5,1,0.267
37387,40058,5,5,3,2.46
37460,21017,5,5,4,1.526
38374,2545,5,5,2,0.984
38865,761,5,5,1,0.299
38865,12927,5,5,1,0.641
38865,19759,5,5,1,0.301
38872,46412,5,5,1,0.387
38872,127172,5,5,1,0.349
38872,211737,5,5,1,0.146
39262,8932,5,5,5,0.924
39262,12924,5,5,1,0.711
39262,39262,5,5,1,0
39262,41448,5,5,2,1.987
39262,42063,5,5,5,2.581
39262,43110,5,5,1,1.615
39262,46412,5,5,3,0.989
39262,52246,5,5,1,0.655
39262,52247,5,5,1,0.842
39262,66572,5,5,1,0.927
39262,127173,5,5,1,0.324
39262,260891,5,5,2,0.249
39331,136314,5,5,1,0.292
39331,259732,5,5,1,0.254
39332,39333,5,5,1,0.3
39332,259734,5,5,1,0.203
39333,39332,5,5,1,0.3
39333,259733,5,5,1,0.252
