"ori_node","des_node","ori_layer","des_layer","minutes","km"
25042,29204,2,2,3,4.132
29204,25042,2,2,3,4.132
29204,40881,2,2,2,1.499
40881,29204,2,2,2,1.499
29204,36746,4,4,10,2.655
29204,38398,4,4,5,3.859
36746,29204,4,4,10,2.655
38398,29204,4,4,10,3.859
312,27392,5,5,1,0.143
312,27400,5,5,1,0.332
783,33153,5,5,1,0.146
8211,8218,5,5,1,0.164
8211,140767,5,5,1,0.543
8212,8217,5,5,1,0.513
8212,41387,5,5,1,0.584
8212,137484,5,5,4,1.744
8215,8218,5,5,2,0.655
8215,8219,5,5,2,0.476
8216,218352,5,5,2,1.322
8216,237860,5,5,1,0.455
8217,8212,5,5,2,0.513
8217,8219,5,5,2,0.689
8218,8211,5,5,1,0.164
8218,8215,5,5,1,0.655
8219,8215,5,5,1,0.476
8219,8217,5,5,1,0.689
10052,10055,5,5,1,0.231
10052,258083,5,5,1,0.27
10053,204035,5,5,1,0.155
10055,10052,5,5,1,0.231
10055,10056,5,5,1,0.337
10056,10055,5,5,1,0.337
10056,29565,5,5,1,0.497
10057,29566,5,5,1,0.365
10057,48511,5,5,1,0.53
13983,33150,5,5,1,0.237
18356,183421,5,5,5,2.349
18356,221997,5,5,3,2.174
18356,241413,5,5,1,0.563
22391,22392,5,5,2,0.733
22391,41387,5,5,1,0.238
22391,80208,5,5,2,0.662
22392,22391,5,5,3,0.733
25042,25042,5,5,1,0
25042,67437,5,5,1,0.377
25042,77394,5,5,9,1.167
25042,77397,5,5,1,0.298
25042,93365,5,5,1,0.532
25042,258947,5,5,1,0.404
27392,312,5,5,1,0.143
27392,27393,5,5,1,0.294
27393,27392,5,5,1,0.294
27393,27394,5,5,1,0.19
27394,27393,5,5,1,0.19
27394,27396,5,5,1,0.187
27394,33154,5,5,1,0.291
27395,27396,5,5,1,0.062
27395,33152,5,5,1,0.481
27396,27394,5,5,1,0.187
27396,27395,5,5,1,0.062
27396,27397,5,5,1,1.091
27397,27396,5,5,2,1.091
27397,82133,5,5,2,0.705
27399,33153,5,5,1,0.377
27399,33154,5,5,1,0.167
27400,312,5,5,1,0.332
27400,33153,5,5,1,0.23
27400,52884,5,5,1,0.388
29204,29204,5,5,1,0
29204,36746,5,5,10,2.655
29204,38398,5,5,8,3.859
29204,48537,5,5,2,1.076
29204,59822,5,5,1,0.677
29204,90278,5,5,1,0.44
29204,101622,5,5,1,0.645
29204,108094,5,5,1,0.461
29204,117986,5,5,1,0.354
29204,122991,5,5,6,1.593
29204,142105,5,5,1,0.492
29204,159227,5,5,1,0.71
29204,159232,5,5,1,0.683
29204,161946,5,5,1,0.663
29204,165476,5,5,1,0.459
29204,175233,5,5,1,0.479
29204,185048,5,5,1,0.531
29204,203831,5,5,7,3.095
29204,212490,5,5,1,0.686
29204,212493,5,5,4,0.996
29204,214095,5,5,2,0.782
