"ori_node","des_node","ori_layer","des_layer","minutes","km"
10271,31321,2,2,3,4.103
31321,10271,2,2,4,4.103
1408,31321,5,5,1,0.516
1408,41908,5,5,1,0.378
1408,98021,5,5,1,0.382
1408,107719,5,5,1,0.193
1409,3838,5,5,2,0.596
1409,37015,5,5,1,0.274
1410,13912,5,5,1,0.329
1410,20435,5,5,1,0.378
1410,47693,5,5,1,0.316
3012,31321,5,5,1,0.762
3012,35635,5,5,1,0.141
3213,8855,5,5,1,0.31
3213,12108,5,5,1,0.325
3213,47809,5,5,1,0.246
3215,27307,5,5,3,1.019
3215,45311,5,5,1,0.396
3216,27307,5,5,1,0.291
3216,45311,5,5,2,1.061
3833,3834,5,5,1,0.37
3833,31321,5,5,1,0.658
3833,229514,5,5,1,0.325
3834,3833,5,5,1,0.37
3834,14646,5,5,1,0.458
3834,31280,5,5,2,0.458
3834,130804,5,5,1,0.212
3837,28063,5,5,3,1.022
3837,50309,5,5,1,0.345
3837,65709,5,5,1,0.276
3838,1409,5,5,2,0.596
3838,16458,5,5,1,0.263
3838,153710,5,5,2,0.669
3839,22903,5,5,3,0.433
3839,117596,5,5,1,0.29
4518,16453,5,5,2,0.902
4518,23662,5,5,1,0.095
4518,23666,5,5,1,0.51
4518,31321,5,5,6,2.662
4518,68979,5,5,1,0.1
4520,22903,5,5,2,0.449
4520,31321,5,5,1,0.613
7025,42889,5,5,1,0.588
7025,42897,5,5,1,0.258
8123,27305,5,5,1,0.406
8123,35639,5,5,2,2.303
8123,41906,5,5,2,1.192
8124,12109,5,5,1,0.253
8124,28758,5,5,2,1.471
8125,8856,5,5,1,0.196
8125,34377,5,5,1,0.293
8126,23661,5,5,1,0.359
8126,47695,5,5,2,0.568
8127,8855,5,5,1,0.582
8127,37010,5,5,1,0.219
8338,15293,5,5,1,0.2
8338,46357,5,5,1,0.255
8851,8853,5,5,1,0.494
8851,34377,5,5,2,0.842
8851,114235,5,5,1,0.573
8852,41904,5,5,1,0.485
8852,46022,5,5,1,1.152
8853,8851,5,5,1,0.494
8853,8854,5,5,1,0.424
8854,8853,5,5,1,0.424
8854,26164,5,5,1,0.212
8855,3213,5,5,1,0.31
8855,37016,5,5,1,0.195
8855,47691,5,5,1,0.518
8855,106535,5,5,1,0.335
8856,8125,5,5,1,0.196
8856,12109,5,5,1,0.395
9571,46022,5,5,1,0.965
10271,10271,5,5,1,0
10271,12110,5,5,1,0.655
10271,195680,5,5,2,0.528
10943,13909,5,5,1,0.571
10943,26194,5,5,1,0.434
12104,27305,5,5,1,0.158
12104,41904,5,5,1,0.381
12108,3213,5,5,1,0.325
12108,12828,5,5,1,0.426
12108,37014,5,5,1,0.209
12109,8124,5,5,1,0.253
12109,8856,5,5,1,0.395
12110,10271,5,5,1,0.655
12110,17868,5,5,1,0.99
12827,12830,5,5,1,0.648
12827,32047,5,5,1,1.627
12828,12108,5,5,1,0.426
12828,41909,5,5,1,0.327
12828,61103,5,5,1,0.376
12830,12827,5,5,1,0.648
12830,15287,5,5,1,0.425
13905,13908,5,5,1,0.346
13905,26194,5,5,1,0.402
13905,36661,5,5,2,1.478
13908,13905,5,5,1,0.346
13908,26194,5,5,1,0.746
13908,36661,5,5,1,1.145
13909,10943,5,5,1,0.571
13909,21135,5,5,1,0.429
13910,16453,5,5,1,0.215
13910,106538,5,5,1,0.365
13910,174650,5,5,1,0.371
13912,1410,5,5,1,0.329
13912,16451,5,5,1,0.514
13912,16457,5,5,1,0.243
13925,21132,5,5,1,0.24
13925,33791,5,5,1,0.322
14295,23665,5,5,1,0.356
14295,174650,5,5,1,0.229
14297,16453,5,5,2,1.608
14297,45288,5,5,1,0.339
14639,14641,5,5,1,0.338
14639,14645,5,5,1,0.211
14641,14639,5,5,1,0.338
14641,36900,5,5,1,0.748
14645,14639,5,5,1,0.211
14645,29332,5,5,1,0.413
14646,3834,5,5,1,0.458
14646,14646,5,5,1,0
14646,34379,5,5,1,0.284
14646,50307,5,5,2,0.418
15287,12830,5,5,1,0.425
15287,41909,5,5,1,0.302
15288,45313,5,5,1,0.439
15288,132311,5,5,1,0.381
15293,8338,5,5,1,0.2
15293,23663,5,5,1,0.122
16451,16457,5,5,1,0.282
16451,41331,5,5,1,0.406
16452,22333,5,5,1,0.263
16452,22334,5,5,1,0.229
16453,4518,5,5,4,0.902
16453,13910,5,5,1,0.215
16453,14297,5,5,5,1.608
16453,34380,5,5,1,0.472
16453,106538,5,5,2,0.52
16457,13912,5,5,1,0.243
16457,16451,5,5,1,0.282
16458,3838,5,5,1,0.263
16458,50308,5,5,1,0.244
17868,23655,5,5,1,0.689
17868,123127,5,5,1,0.608
17869,17870,5,5,1,0.231
17869,26192,5,5,1,0.096
17870,17869,5,5,1,0.231
17870,138141,5,5,1,0.096
17871,17869,5,5,1,0.406
17871,26192,5,5,1,0.358
17871,44566,5,5,1,0.316
20435,1410,5,5,1,0.378
20435,3837,5,5,1,0.311
20435,116345,5,5,1,0.099
20440,39585,5,5,1,0.217
20440,193739,5,5,1,0.085
20440,193740,5,5,1,0.088
20442,47693,5,5,2,0.427
20442,117820,5,5,1,0.299
21132,13925,5,5,1,0.24
21132,47050,5,5,1,0.207
21134,41335,5,5,1,1.225
21134,45311,5,5,6,2.695
21134,50315,5,5,1,0.322
21135,10943,5,5,1,1
21135,13909,5,5,1,0.429
21135,42889,5,5,1,0.297
21264,20440,5,5,1,0.442
21264,46357,5,5,1,0.086
21299,31289,5,5,1,0.25
22333,16452,5,5,1,0.263
22333,22337,5,5,1,0.343
22334,16452,5,5,1,0.229
22334,45314,5,5,1,0.41
22335,22338,5,5,1,0.417
22335,34379,5,5,1,0.162
22337,22333,5,5,1,0.343
22337,47809,5,5,1,0.383
22338,22335,5,5,1,0.417
22338,47049,5,5,1,0.294
22903,3839,5,5,1,0.433
22903,4520,5,5,1,0.449
22903,28756,5,5,3,2.631
22903,132928,5,5,1,0.274
23654,23655,5,5,1,0.188
23654,47691,5,5,1,0.308
23655,17868,5,5,2,0.689
23655,23654,5,5,1,0.188
23660,28765,5,5,1,0.032
23660,37009,5,5,1,0.512
23661,242412,5,5,1,0.219
23661,242413,5,5,1,0.241
23662,4518,5,5,1,0.095
23662,23666,5,5,1,0.58
23662,34381,5,5,1,0.187
23662,39579,5,5,2,1.019
23663,15293,5,5,1,0.122
23663,28759,5,5,1,0.485
23663,70613,5,5,3,0.644
23664,37009,5,5,1,0.203
23664,45314,5,5,1,0.181
23665,14295,5,5,1,0.356
23665,45288,5,5,1,0.204
23666,4518,5,5,2,0.51
23666,23662,5,5,1,0.58
23666,39579,5,5,1,0.44
26163,28755,5,5,1,0.472
26163,42897,5,5,1,0.609
26164,8854,5,5,1,0.212
26164,41908,5,5,1,0.397
26188,37014,5,5,1,0.31
26188,47692,5,5,1,0.302
26192,17871,5,5,1,0.358
26192,28755,5,5,1,0.328
26194,10943,5,5,1,0.434
26194,13905,5,5,1,0.402
27305,8123,5,5,1,0.406
27305,12104,5,5,1,0.158
27305,35639,5,5,5,2.701
27305,41906,5,5,1,0.932
27307,3215,5,5,2,1.019
27307,3216,5,5,1,0.291
27307,34379,5,5,10,3.586
27307,41330,5,5,1,0.263
27307,45311,5,5,3,1.334
27307,50307,5,5,11,3.885
27310,132925,5,5,1,0.22
27310,157437,5,5,1,0.128
28063,27310,5,5,1,0.438
28063,28066,5,5,2,0.463
28063,28757,5,5,1,0.252
28063,47049,5,5,1,0.261
28066,27310,5,5,1,0.319
28066,28063,5,5,1,0.463
28066,37017,5,5,1,0.488
28066,50309,5,5,1,0.215
28066,195681,5,5,5,1.483
28753,46334,5,5,2,1.622
28755,26163,5,5,1,0.472
28755,26192,5,5,1,0.328
28756,22903,5,5,3,2.631
28756,36664,5,5,6,4.828
28757,28063,5,5,1,0.252
28757,31290,5,5,2,0.44
28757,34379,5,5,1,0.458
28758,8124,5,5,3,1.471
28758,46334,5,5,2,1.99
28759,23663,5,5,1,0.485
28759,44566,5,5,1,0.42
28759,47691,5,5,6,2.342
28765,41332,5,5,1,0.262
28765,44566,5,5,1,0.276
29332,14645,5,5,1,0.413
31278,31279,5,5,1,0.288
31278,31281,5,5,1,0.245
31279,1410,5,5,1,0.19
31279,31278,5,5,1,0.288
31280,14646,5,5,1,0.075
31280,31282,5,5,2,0.338
31280,123126,5,5,4,1.042
31281,20435,5,5,1,0.303
31281,31278,5,5,1,0.245
31282,31280,5,5,1,0.338
31282,31290,5,5,1,0.248
31289,20442,5,5,1,0.294
31289,21299,5,5,1,0.25
31290,28757,5,5,2,0.44
31290,31282,5,5,1,0.248
31321,1408,5,5,3,0.516
31321,3012,5,5,1,0.762
31321,3833,5,5,1,0.658
31321,4518,5,5,6,2.662
31321,4520,5,5,2,0.613
31321,28759,5,5,9,1.708
31321,31321,5,5,1,0
31321,34379,5,5,3,1.691
31321,47050,5,5,1,0.808
31321,50307,5,5,7,1.742
31321,89969,5,5,1,0.584
31321,99598,5,5,1,0.573
31321,123126,5,5,1,0.337
31321,130804,5,5,5,1.201
31321,183996,5,5,1,0.432
31321,195681,5,5,10,1.582
31321,207473,5,5,2,1.192
32047,12827,5,5,2,1.627
32047,70906,5,5,1,0.779
32051,21132,5,5,1,0.241
32051,34380,5,5,2,1.448
33074,37017,5,5,3,1.793
33791,13925,5,5,1,0.322
33791,39579,5,5,1,0.18
34377,8125,5,5,1,0.293
34377,114235,5,5,1,0.311
34379,14646,5,5,1,0.284
34379,22335,5,5,1,0.162
34379,27307,5,5,11,3.586
34379,28757,5,5,1,0.458
34379,31280,5,5,1,0.312
34379,31321,5,5,6,1.691
34380,4518,5,5,1,0.43
34380,16453,5,5,1,0.472
34381,23662,5,5,1,0.187
34381,23666,5,5,2,0.767
34381,35639,5,5,1,1.229
34381,68979,5,5,1,0.302
35635,3012,5,5,1,0.141
35635,50308,5,5,1,0.439
35637,31321,5,5,2,0.696
35637,244360,5,5,1,0.169
35639,8123,5,5,1,2.303
35639,34381,5,5,1,1.229
35639,46339,5,5,4,3.12
36661,13908,5,5,2,1.145
36661,36900,5,5,1,0.41
36664,28756,5,5,3,4.828
36900,14641,5,5,1,0.748
36900,36661,5,5,1,0.41
37009,23660,5,5,1,0.512
37009,23664,5,5,1,0.203
37010,8127,5,5,1,0.219
37010,47695,5,5,1,0.666
37014,12108,5,5,1,0.209
37014,26188,5,5,1,0.31
37015,1409,5,5,1,0.274
37015,37016,5,5,1,0.336
37016,8855,5,5,1,0.195
37016,37015,5,5,1,0.336
37017,28066,5,5,1,0.488
37017,33074,5,5,3,1.793
37017,50310,5,5,2,0.694
39579,23666,5,5,1,0.44
39579,33791,5,5,1,0.18
39585,20440,5,5,1,0.217
39585,156587,5,5,1,0.244
41330,27307,5,5,1,0.263
41330,41331,5,5,1,0.195
41331,16451,5,5,1,0.406
41331,41330,5,5,1,0.195
41331,67648,5,5,1,0.273
41332,23660,5,5,1,0.248
41332,28765,5,5,1,0.262
41332,31321,5,5,1,0.831
41335,21134,5,5,2,1.225
41335,50316,5,5,4,2.355
41904,8852,5,5,1,0.485
41904,12104,5,5,1,0.381
41906,27305,5,5,1,0.932
41908,1408,5,5,1,0.378
41908,26164,5,5,1,0.397
41909,12828,5,5,1,0.327
41909,15287,5,5,1,0.302
42889,21135,5,5,1,0.297
42889,133675,5,5,1,0.279
42897,7025,5,5,1,0.258
42897,26163,5,5,1,0.609
44566,17871,5,5,1,0.316
44566,28759,5,5,1,0.42
44566,28765,5,5,1,0.276
45288,14297,5,5,1,0.339
45288,23665,5,5,1,0.204
45311,3215,5,5,1,0.396
45311,3216,5,5,3,1.061
45311,21134,5,5,7,2.695
45311,27307,5,5,4,1.334
45311,41335,5,5,5,2.716
45311,50316,5,5,1,0.409
45313,15288,5,5,1,0.439
45313,254245,5,5,1,0.286
45314,22334,5,5,1,0.41
45314,23664,5,5,1,0.181
45314,45315,5,5,1,0.388
45314,244359,5,5,1,0.316
45315,15288,5,5,2,0.634
45315,45314,5,5,1,0.388
46022,8852,5,5,1,1.152
46022,9571,5,5,1,0.965
46334,28753,5,5,3,1.622
46334,28758,5,5,2,1.99
46338,46339,5,5,1,0.593
46339,35639,5,5,6,3.12
46339,46338,5,5,1,0.593
46357,8338,5,5,1,0.255
46357,15288,5,5,1,0.269
46357,21264,5,5,1,0.086
47049,22338,5,5,1,0.294
47049,28063,5,5,1,0.261
47050,21132,5,5,1,0.207
47050,31321,5,5,1,0.808
47050,32051,5,5,1,0.432
47050,174497,5,5,1,0.182
47050,183996,5,5,1,0.384
47691,23654,5,5,1,0.308
47691,202971,5,5,1,0.148
47692,26188,5,5,1,0.302
47692,39585,5,5,1,0.348
47693,20442,5,5,1,0.427
47693,31279,5,5,1,0.339
47695,8126,5,5,1,0.568
47695,37010,5,5,2,0.666
47695,47695,5,5,1,0
47809,3213,5,5,1,0.246
47809,22337,5,5,1,0.383
50307,14646,5,5,1,0.418
50307,27307,5,5,10,3.885
50307,31321,5,5,7,1.742
50307,50310,5,5,1,0.359
50308,16458,5,5,1,0.244
50308,35635,5,5,1,0.439
50309,3837,5,5,1,0.345
50309,28066,5,5,1,0.215
50310,50307,5,5,1,0.359
50310,243102,5,5,1,0.578
50315,21134,5,5,1,0.322
50316,21134,5,5,7,2.464
50316,41335,5,5,4,2.355
50316,45311,5,5,1,0.409
61103,12108,5,5,1,0.064
61103,45313,5,5,1,0.394
64223,88401,5,5,1,0.39
65709,20435,5,5,1,0.095
67648,16451,5,5,1,0.147
68979,32051,5,5,2,1.487
68979,34380,5,5,1,0.33
70613,70614,5,5,1,0.232
70614,70615,5,5,2,0.351
70615,226392,5,5,1,0.121
70906,12827,5,5,1,0.852
75107,29332,5,5,1,0.357
88399,157646,5,5,1,0.093
88401,88399,5,5,1,0.171
88403,39579,5,5,1,0.249
89969,41332,5,5,1,0.31
93931,37014,5,5,1,0.071
98021,3833,5,5,1,0.212
98021,31321,5,5,1,0.463
98025,41908,5,5,1,0.341
98380,35637,5,5,1,0.175
99598,45314,5,5,1,0.336
106534,195681,5,5,1,0.321
106534,196393,5,5,1,0.198
106535,106536,5,5,1,0.127
106536,8127,5,5,1,0.173
106537,13910,5,5,1,0.339
106538,106539,5,5,1,0.275
106539,14295,5,5,1,0.156
107714,112779,5,5,1,0.228
107715,98025,5,5,2,0.446
107716,107717,5,5,1,0.066
107717,107714,5,5,1,0.176
