"ori_node","des_node","ori_layer","des_layer","minutes","km"
7186,22830,2,2,5,3.915
7186,39639,2,2,3,4.036
8758,22830,2,2,5,4.631
8758,83244,2,2,2,1.513
15388,33146,2,2,3,2.581
22830,7186,2,2,5,3.915
22830,8758,2,2,5,4.631
22830,33950,2,2,2,0.903
22830,40529,2,2,5,3.043
22830,42652,2,2,7,7.299
33146,15388,2,2,3,2.581
33146,40827,2,2,4,4.545
33950,22830,2,2,2,0.903
33950,40827,2,2,3,2.74
39639,7186,2,2,3,4.036
40529,22830,2,2,4,3.043
40529,42652,2,2,4,4.261
40529,43692,2,2,3,2.757
40827,33146,2,2,5,4.545
40827,33950,2,2,4,2.74
42652,22830,2,2,7,7.299
42652,43692,2,2,3,1.589
43692,40529,2,2,3,2.757
43692,42652,2,2,2,1.589
83244,8758,2,2,2,1.513
6721,94068,5,5,2,1.747
6721,130466,5,5,1,0.891
6721,157162,5,5,3,0.853
6721,161988,5,5,4,1.555
6721,241774,5,5,3,1.098
6721,245845,5,5,1,0.379
7186,7186,5,5,1,0
7186,108654,5,5,1,0.386
7186,110573,5,5,8,4.061
7186,112441,5,5,1,0.59
8758,57984,5,5,1,0.273
8758,163145,5,5,5,0.819
15388,158261,5,5,3,2.132
15388,165339,5,5,3,0.654
20765,118832,5,5,1,0.694
20765,257023,5,5,1,0.633
22830,22830,5,5,1,0
22830,33950,5,5,2,0.903
22830,34110,5,5,1,0.696
22830,61788,5,5,1,0.255
22830,69607,5,5,1,0.62
22830,102297,5,5,1,0.726
22830,108334,5,5,4,2.767
22830,116094,5,5,6,1.089
22830,169236,5,5,2,0.494
22830,173355,5,5,1,0.714
22830,182663,5,5,4,1.515
22830,215540,5,5,1,0.435
22830,226339,5,5,1,0.793
22830,229009,5,5,2,1.404
22830,229443,5,5,2,0.569
22830,232499,5,5,2,0.692
22830,237152,5,5,2,1.085
22830,237583,5,5,1,0.588
22830,245869,5,5,1,0.6
22830,248795,5,5,1,0.395
29050,135370,5,5,1,0.179
29050,139403,5,5,3,0.148
29050,147725,5,5,1,0.169
29050,233519,5,5,1,0.378
33146,33146,5,5,1,0
33146,72159,5,5,1,0.752
33146,165340,5,5,1,0.498
33146,172793,5,5,1,0.847
33950,22830,5,5,3,0.903
33950,33950,5,5,1,0
33950,34110,5,5,4,0.791
33950,98509,5,5,1,0.249
33950,151272,5,5,4,0.866
33950,181463,5,5,5,2.577
33950,221376,5,5,1,0.288
33950,229443,5,5,1,0.384
33950,244564,5,5,1,0.657
34110,22830,5,5,1,0.696
34110,33950,5,5,6,0.791
34110,102297,5,5,1,0.485
34110,129939,5,5,1,0.17
34110,173355,5,5,1,0.234
34110,226339,5,5,1,0.34
34110,237152,5,5,1,0.389
34110,256309,5,5,1,0.193
39621,39621,5,5,1,0
39621,42652,5,5,2,0.713
39621,60140,5,5,1,0.127
39621,94198,5,5,1,0.715
39621,111472,5,5,1,0.353
39621,124278,5,5,1,0.284
39621,126590,5,5,1,0.503
39621,256202,5,5,4,1.613
39639,126152,5,5,2,0.466
39639,130433,5,5,2,0.64
40529,80998,5,5,1,0.755
40529,179321,5,5,1,0.654
40827,210533,5,5,1,0.622
40827,218750,5,5,1,0.649
42652,39621,5,5,1,0.713
42652,88758,5,5,3,0.732
42652,111472,5,5,1,1.065
42652,230639,5,5,1,1.836
43692,185424,5,5,1,0.719
43692,243372,5,5,1,0.724
51572,162037,5,5,2,1.499
51734,157484,5,5,2,0.469
51734,214808,5,5,1,0.407
51734,246204,5,5,1,0.205
51850,157837,5,5,1,1.071
52138,61349,5,5,1,0.456
52138,175891,5,5,1,0.311
52140,39621,5,5,1,0.325
52140,60140,5,5,1,0.205
52140,226159,5,5,7,4
52296,169398,5,5,3,0.527
52296,254911,5,5,1,0.261
52458,121773,5,5,1,0.444
53262,184175,5,5,1,0.209
53273,224437,5,5,1,0.271
53465,73158,5,5,1,0.354
54244,204716,5,5,1,0.182
54362,144984,5,5,2,1.009
55039,176822,5,5,1,0.415
55349,130466,5,5,1,0.67
55572,63493,5,5,1,0.153
55631,93961,5,5,1,0.797
55631,189668,5,5,5,2.638
55631,261465,5,5,1,1.011
56019,181868,5,5,1,0.202
