"ori_node","des_node","ori_layer","des_layer","minutes","km"
21935,25338,2,2,7,4.512
25338,21935,2,2,6,4.512
25338,31358,2,2,3,2.357
31358,25338,2,2,3,2.357
16319,31358,4,4,20,7.656
31358,16319,4,4,17,7.656
31358,45390,4,4,5,4.297
35070,45390,4,4,4,2.286
45390,31358,4,4,10,4.297
45390,35070,4,4,5,2.286
45,54,5,5,1,0.509
45,8135,5,5,1,0.212
46,5699,5,5,1,0.178
46,32462,5,5,1,0.184
47,1886,5,5,2,0.364
47,8104,5,5,1,0.149
47,8135,5,5,1,0.164
48,8138,5,5,1,0.175
48,108134,5,5,1,0.197
48,252463,5,5,1,0.238
50,1884,5,5,1,0.213
50,6126,5,5,1,0.28
51,32456,5,5,1,0.293
51,32463,5,5,1,0.284
54,45,5,5,1,0.509
54,6126,5,5,1,0.265
55,1886,5,5,1,0.252
55,254157,5,5,2,0.597
476,7929,5,5,1,0.114
476,16511,5,5,1,0.198
477,478,5,5,1,0.155
477,48173,5,5,1,0.188
478,477,5,5,1,0.155
478,479,5,5,1,0.274
479,478,5,5,1,0.274
479,1885,5,5,1,0.254
489,12578,5,5,2,1.213
489,38607,5,5,1,0.283
489,46101,5,5,1,0.919
489,112184,5,5,1,0.083
490,46100,5,5,1,0.177
490,213264,5,5,1,0.162
491,496,5,5,1,0.22
491,24423,5,5,1,0.279
491,162658,5,5,1,0.371
492,2524,5,5,2,0.512
492,15274,5,5,1,0.198
492,19470,5,5,1,0.172
496,491,5,5,1,0.22
496,2524,5,5,1,0.202
1324,40954,5,5,1,0.401
1324,96814,5,5,1,0.133
1324,216526,5,5,1,0.281
1604,20357,5,5,1,0.236
1604,214598,5,5,1,0.19
1781,12007,5,5,1,0.167
1781,27734,5,5,1,0.413
1781,36003,5,5,1,0.149
1883,7929,5,5,1,0.32
1883,48446,5,5,1,0.25
1884,50,5,5,1,0.213
1884,16509,5,5,1,0.285
1885,479,5,5,1,0.254
1885,16511,5,5,1,0.237
1886,47,5,5,1,0.364
1886,55,5,5,1,0.252
1886,48148,5,5,1,0.319
1886,214844,5,5,1,0.466
1887,5700,5,5,1,0.295
1887,34239,5,5,1,0.298
1887,34242,5,5,1,0.467
2524,496,5,5,1,0.202
2524,3269,5,5,1,0.117
2524,13684,5,5,1,0.298
3269,2524,5,5,1,0.117
3269,46100,5,5,1,0.22
3271,11289,5,5,1,0.215
3271,13581,5,5,1,0.149
3271,16319,5,5,2,0.861
3271,32922,5,5,1,0.516
4902,19454,5,5,1,0.425
4902,24204,5,5,1,0.339
4902,45745,5,5,1,0.466
4906,24623,5,5,1,0.241
4906,24625,5,5,1,0.142
5498,5499,5,5,1,0.387
5499,5498,5,5,1,0.387
5499,51560,5,5,1,0.207
5500,32458,5,5,1,0.38
5500,32918,5,5,1,0.608
5501,22630,5,5,1,0.252
5501,252464,5,5,1,0.214
5502,5503,5,5,1,0.2
5502,43656,5,5,1,0.083
5503,5502,5,5,1,0.2
5503,37966,5,5,1,0.261
5691,35697,5,5,1,0.166
5691,43192,5,5,1,0.267
5696,24200,5,5,1,0.176
5696,24201,5,5,2,0.298
5697,32462,5,5,1,0.224
5697,34832,5,5,1,0.295
5698,44645,5,5,1,0.253
5698,46148,5,5,1,0.159
5699,46,5,5,1,0.178
5699,6125,5,5,2,0.489
5699,234437,5,5,3,0.637
5700,1887,5,5,2,0.295
5700,13741,5,5,1,0.191
6125,20601,5,5,1,0.466
6125,24622,5,5,2,0.949
6125,254157,5,5,1,0.166
6126,50,5,5,1,0.28
6126,54,5,5,1,0.265
6126,11936,5,5,1,0.384
6126,172464,5,5,1,0.329
6129,16507,5,5,7,6.943
6129,19694,5,5,1,0.355
6129,48952,5,5,1,0.164
7005,34510,5,5,1,0.208
7005,45078,5,5,1,0.331
7741,16797,5,5,2,0.484
7741,46729,5,5,3,0.733
7927,40897,5,5,1,0.875
7927,48446,5,5,1,0.735
7928,11929,5,5,1,0.37
7928,48173,5,5,2,0.391
7928,48438,5,5,1,0.376
7928,48948,5,5,1,0.456
7929,476,5,5,1,0.114
7929,1883,5,5,1,0.32
7929,48438,5,5,1,0.24
7932,48453,5,5,1,0.197
7932,50886,5,5,1,0.214
7934,6129,5,5,6,6.025
7934,7935,5,5,1,0.305
7934,27127,5,5,1,0.321
7934,35172,5,5,2,0.695
7935,7934,5,5,1,0.305
7935,11929,5,5,1,0.309
8100,43188,5,5,1,0.243
8100,45751,5,5,1,0.105
8104,47,5,5,1,0.149
8104,35696,5,5,1,0.234
8135,45,5,5,1,0.212
8135,47,5,5,1,0.164
8138,48,5,5,1,0.175
8138,35697,5,5,1,0.267
8139,31648,5,5,1,0.292
8139,32917,5,5,1,0.525
9065,18388,5,5,1,0.205
9065,38177,5,5,1,0.226
9065,175312,5,5,1,0.16
9696,25951,5,5,1,0.317
9696,30042,5,5,1,0.347
10123,16795,5,5,1,0.554
10123,35070,5,5,1,0.39
10123,40489,5,5,1,0.52
10743,10744,5,5,1,0.263
10743,45394,5,5,2,1.433
10743,45398,5,5,1,0.856
10744,10743,5,5,1,0.263
10744,44545,5,5,1,0.238
11289,3271,5,5,1,0.215
