"ori_node","des_node","ori_layer","des_layer","minutes","km"
12278,14615,2,2,5,5.382
12278,18806,2,2,4,2.598
14615,12278,2,2,5,5.382
14615,18806,2,2,3,2.786
18806,12278,2,2,3,2.598
18806,14615,2,2,3,2.786
674,14615,4,4,7,1.686
674,17849,4,4,2,0.754
14615,674,4,4,3,1.686
14615,18806,4,4,5,2.786
17849,674,4,4,3,0.754
18806,14615,4,4,4,2.786
18806,22487,4,4,3,2.305
22487,18806,4,4,5,2.305
674,246183,5,5,1,0.304
674,254290,5,5,1,0.374
12278,12278,5,5,1,0
12278,22487,5,5,3,0.576
12278,195514,5,5,1,0.469
12278,257449,5,5,1,0.627
14615,14615,5,5,1,0
14615,115030,5,5,1,0.427
14615,127132,5,5,1,0.729
14615,141741,5,5,1,0.39
14615,172932,5,5,1,0.356
14615,224542,5,5,1,0.717
17849,94823,5,5,1,0.49
17849,169532,5,5,1,0.369
17849,249389,5,5,1,0.259
18806,18806,5,5,1,0
18806,162353,5,5,1,0.671
18806,190622,5,5,1,0.29
18806,221674,5,5,1,0.272
18806,239561,5,5,1,0.369
22487,77136,5,5,1,0.533
22487,208796,5,5,1,0.469
22487,232993,5,5,1,0.054
52606,136537,5,5,1,0.343
53338,65402,5,5,1,0.235
53338,122678,5,5,1,0.259
54246,62357,5,5,1,0.289
54744,151205,5,5,1,0.35
56550,203530,5,5,1,0.261
57335,141839,5,5,1,0.276
58080,14615,5,5,1,0.482
58366,197367,5,5,1,0.227
58871,143474,5,5,1,0.406
62210,256017,5,5,1,0.292
62357,58871,5,5,1,0.32
62357,204415,5,5,1,0.317
64498,18806,5,5,1,0.391
64498,162353,5,5,2,0.962
64500,18806,5,5,1,0.299
65402,12278,5,5,3,0.711
66524,12278,5,5,1,0.627
66856,261998,5,5,1,0.409
69152,93171,5,5,1,0.722
70183,204415,5,5,1,0.351
72321,22487,5,5,1,0.559
72321,232993,5,5,1,0.601
73205,249390,5,5,1,0.526
77136,69152,5,5,1,0.335
77136,163018,5,5,1,0.353
81990,52606,5,5,1,0.295
81990,136537,5,5,1,0.639
85119,22487,5,5,2,0.421
85119,109378,5,5,2,1.4
85675,192641,5,5,1,0.347
86706,110904,5,5,1,0.267
90024,122667,5,5,1,0.257
90965,66856,5,5,1,0.265
93171,123487,5,5,1,1.42
93791,81990,5,5,1,0.309
94389,145269,5,5,1,0.244
94823,86706,5,5,1,0.256
99529,257717,5,5,1,0.391
101189,183125,5,5,1,0.418
101483,14615,5,5,1,0.402
101483,216574,5,5,1,0.173
101958,110149,5,5,1,0.339
101958,192180,5,5,3,0.879
102719,189288,5,5,1,0.298
104120,207360,5,5,1,0.482
105345,251145,5,5,1,0.17
105491,231827,5,5,1,0.171
106566,114777,5,5,1,0.695
109299,117457,5,5,1,0.607
109378,101189,5,5,3,1.874
109378,179079,5,5,2,1.477
110149,136537,5,5,1,0.628
110904,102719,5,5,1,0.278
113415,105345,5,5,1,0.139
113574,105491,5,5,1,0.204
114777,122678,5,5,1,0.425
115030,135180,5,5,1,0.311
115057,218113,5,5,1,0.139
115116,216401,5,5,1,0.499
117457,104120,5,5,1,0.687
118754,18806,5,5,1,0.533
118754,190622,5,5,2,0.512
119228,245512,5,5,1,0.181
122667,179538,5,5,1,0.165
122667,198847,5,5,2,0.308
122678,22487,5,5,1,0.46
123488,106566,5,5,1,1.392
125487,133514,5,5,1,0.161
125487,185656,5,5,1,0.421
127027,58080,5,5,1,0.245
127132,119228,5,5,1,0.303
127132,197367,5,5,1,0.13
127376,166967,5,5,3,1.466
129763,210962,5,5,1,0.181
130745,101189,5,5,2,0.971
130745,166967,5,5,8,1.6
130745,179079,5,5,1,0.682
133514,185656,5,5,1,0.26
134579,216572,5,5,2,0.481
134579,234333,5,5,2,0.815
134579,257718,5,5,1,0.273
135041,169976,5,5,1,0.254
135180,115116,5,5,1,0.287
136537,14615,5,5,1,0.736
140627,140630,5,5,5,1.236
140628,143278,5,5,5,1.365
140628,213049,5,5,9,2.792
140631,140628,5,5,5,1.193
141741,162502,5,5,1,0.167
141741,216572,5,5,2,0.413
141839,125487,5,5,1,0.416
141839,239370,5,5,2,0.409
141839,257771,5,5,1,0.932
143278,213049,5,5,4,1.939
143474,151646,5,5,1,0.383
145269,170966,5,5,1,0.33
145269,242460,5,5,1,0.181
147884,139535,5,5,1,0.212
149639,164951,5,5,3,1.037
149639,206923,5,5,2,0.279
