"ori_node","des_node","ori_layer","des_layer","minutes","km"
32464,57552,5,5,2,0.993
32464,75802,5,5,2,1.031
32464,121816,5,5,10,4.311
44091,75797,5,5,1,0.336
44091,125519,5,5,1,0.167
44091,247267,5,5,1,0.212
51518,88615,5,5,1,0.499
51521,67151,5,5,1,0.164
57551,32464,5,5,2,0.99
57552,85050,5,5,5,1.09
57552,238944,5,5,7,3.178
57553,67148,5,5,2,0.689
57554,67148,5,5,1,0.628
57555,67152,5,5,1,1.12
57556,128144,5,5,1,1.174
61025,144604,5,5,1,0.295
61026,61028,5,5,3,2.014
61027,61025,5,5,3,2.009
61028,61030,5,5,1,0.496
61029,61027,5,5,1,0.39
61030,61031,5,5,1,0.497
61031,61033,5,5,1,0.265
61031,262209,5,5,1,0.258
61032,61029,5,5,1,0.833
61033,252257,5,5,1,0.448
61034,70531,5,5,1,0.399
67142,67144,5,5,1,0.252
67142,75794,5,5,3,2.195
67143,67148,5,5,1,0.241
67144,147385,5,5,3,0.387
67145,67142,5,5,2,1.6
67146,209595,5,5,1,0.116
67147,57551,5,5,13,2.806
67147,57554,5,5,2,0.806
67148,67146,5,5,2,1.608
67148,67147,5,5,1,0.18
67151,67143,5,5,1,0.372
67152,51521,5,5,1,0.498
68929,229812,5,5,1,0.135
70531,124280,5,5,2,0.777
70532,70533,5,5,1,0.448
70533,70537,5,5,1,0.228
70534,61034,5,5,1,0.436
70534,252255,5,5,1,0.507
70535,70532,5,5,1,0.39
70536,70534,5,5,1,0.219
70536,252261,5,5,1,0.247
70537,70538,5,5,1,0.12
70538,70536,5,5,1,0.128
70773,240583,5,5,4,2.146
75761,210023,5,5,3,1.032
75762,148057,5,5,5,1.411
75765,157970,5,5,1,0.576
75793,57553,5,5,4,1.541
75793,75802,5,5,2,1.004
75794,85508,5,5,1,0.314
75796,75798,5,5,1,0.865
75797,75803,5,5,1,0.834
75798,44091,5,5,1,0.303
75800,32464,5,5,2,1.034
75802,75796,5,5,2,1.8
75803,75794,5,5,5,2.678
75803,75800,5,5,3,1.795
78628,90682,5,5,2,1.284
81527,163867,5,5,2,0.864
84839,124295,5,5,1,0.248
84841,213031,5,5,3,1.509
84855,222974,5,5,1,0.389
84855,262213,5,5,2,0.914
85050,67148,5,5,7,3.118
85508,85509,5,5,1,0.402
85509,75802,5,5,2,0.93
85509,85511,5,5,1,0.16
85511,85514,5,5,5,2.599
85512,259161,5,5,1,0.16
85513,85512,5,5,4,2.57
88615,57556,5,5,2,1.088
90678,90683,5,5,2,1.528
90678,105999,5,5,7,1.169
90679,96250,5,5,1,0.193
90680,78628,5,5,3,1.981
90680,183619,5,5,4,2.981
90681,212312,5,5,1,0.372
90684,90679,5,5,1,1.513
90684,96248,5,5,5,1.532
90684,96250,5,5,3,1.689
90684,106000,5,5,3,0.963
90684,244186,5,5,2,0.852
96246,96250,5,5,1,0.329
96246,96251,5,5,1,0.357
96246,121816,5,5,3,0.378
