"ori_node","des_node","ori_layer","des_layer","minutes","km"
8435,11056,2,2,2,1.769
8435,28928,2,2,2,0.848
11056,8435,2,2,3,1.769
11056,47768,2,2,6,4.508
13255,47768,2,2,5,3.771
28928,8435,2,2,2,0.848
47768,11056,2,2,5,4.508
47768,13255,2,2,4,3.771
1911,1912,5,5,1,0.303
1911,34281,5,5,1,0.267
1911,40017,5,5,1,0.498
1911,40018,5,5,1,0.325
1912,1911,5,5,1,0.303
1912,1912,5,5,1,0
1912,1915,5,5,1,0.29
1912,16541,5,5,1,0.34
1912,34282,5,5,1,0.247
1913,1914,5,5,1,0.367
1913,1916,5,5,1,0.444
1914,1913,5,5,1,0.367
1914,1914,5,5,1,0
1914,11056,5,5,1,0.831
1914,12663,5,5,1,0.179
1914,47603,5,5,1,0.479
1915,1912,5,5,1,0.29
1915,1916,5,5,1,0.256
1915,1919,5,5,2,0.58
1915,16541,5,5,1,0.149
1916,1913,5,5,1,0.444
1916,1915,5,5,1,0.256
1916,1916,5,5,1,0
1916,1919,5,5,1,0.347
1916,16541,5,5,1,0.279
1917,1920,5,5,1,0.28
1917,45730,5,5,1,0.562
1917,47604,5,5,1,0.21
1917,225008,5,5,1,0.178
1918,44691,5,5,1,0.605
1918,47604,5,5,1,0.251
1919,1916,5,5,1,0.347
1919,1920,5,5,1,0.291
1920,1917,5,5,1,0.28
1920,1919,5,5,1,0.291
3715,3716,5,5,1,0.343
3715,5051,5,5,1,0.276
3715,205584,5,5,1,0.2
3716,3715,5,5,1,0.343
3716,22819,5,5,1,0.43
3721,5051,5,5,1,0.364
3721,169594,5,5,1,0.48
3721,205584,5,5,1,0.387
3721,217310,5,5,1,0.382
4578,4578,5,5,1,0
4578,4579,5,5,1,0.269
4578,34276,5,5,1,0.357
4578,37069,5,5,1,0.348
4578,40014,5,5,1,0.269
4578,50384,5,5,1,0.28
4579,4578,5,5,1,0.269
4579,4580,5,5,1,0.248
4580,4579,5,5,1,0.248
4580,4581,5,5,1,0.3
4581,4580,5,5,1,0.3
4581,4582,5,5,1,0.279
4582,4581,5,5,1,0.279
4582,4582,5,5,1,0
4582,4583,5,5,1,0.206
4582,17927,5,5,2,0.699
