"ori_node","des_node","ori_layer","des_layer","minutes","km"
27943,42525,2,2,4,2.262
27943,49979,2,2,9,7.408
42525,27943,2,2,4,2.262
42525,231142,2,2,15,5.018
231142,42525,2,2,10,5.018
39655,42525,4,4,10,6.236
39655,49979,4,4,5,3.148
42525,39655,4,4,10,6.236
49979,39655,4,4,5,3.148
27943,27943,5,5,1,0
27943,157873,5,5,1,0.585
27943,216881,5,5,2,0.683
27943,222043,5,5,1,0.459
27943,222046,5,5,1,0.266
27943,239725,5,5,1,0.423
39655,85920,5,5,1,0.726
39655,147972,5,5,1,0.521
39655,233860,5,5,1,0.549
42525,42525,5,5,1,0
42525,67994,5,5,1,0.495
42525,75070,5,5,1,0.268
42525,84887,5,5,2,0.558
42525,94634,5,5,1,0.307
42525,163392,5,5,1,0.51
42525,163400,5,5,1,0.387
49979,39655,5,5,6,3.148
49979,49979,5,5,1,0
49979,56769,5,5,1,0.469
49979,134043,5,5,1,0.335
49979,134044,5,5,1,0.573
49979,141923,5,5,1,0.31
56230,212157,5,5,1,0.173
56631,56633,5,5,1,0.119
56633,68706,5,5,1,0.108
56633,206548,5,5,1,0.21
56769,110450,5,5,1,0.152
57063,118779,5,5,1,0.174
57065,57066,5,5,2,0.378
57065,124200,5,5,1,0.136
57065,204864,5,5,1,0.253
57066,49979,5,5,1,0.329
57067,49979,5,5,1,0.309
57547,157875,5,5,1,0.49
58354,259548,5,5,1,0.236
58357,65656,5,5,1,0.221
58358,192743,5,5,1,0.243
58360,222049,5,5,1,0.206
60127,217877,5,5,2,0.515
64097,64098,5,5,1,0.313
64097,92878,5,5,1,0.295
64098,115522,5,5,1,0.157
64098,119621,5,5,1,0.056
64098,187216,5,5,1,0.357
64104,191756,5,5,1,0.221
65654,75071,5,5,2,0.494
65654,198435,5,5,1,0.088
65655,56631,5,5,1,0.207
65656,58358,5,5,1,0.144
67994,261420,5,5,1,0.383
67997,173209,5,5,1,0.196
67997,237887,5,5,2,0.266
68706,84886,5,5,1,0.224
68708,93059,5,5,1,0.319
68708,182958,5,5,1,0.306
68710,42525,5,5,1,0.355
68711,42525,5,5,1,0.537
68711,68710,5,5,1,0.196
68711,108059,5,5,1,0.018
68712,191757,5,5,1,0.231
69279,186342,5,5,1,0.121
69280,233275,5,5,3,1.144
69281,69280,5,5,1,0.227
69281,191751,5,5,1,0.127
69282,64097,5,5,1,0.213
69283,161211,5,5,1,0.153
70060,154724,5,5,1,0.272
70060,196880,5,5,1,0.197
70061,150418,5,5,2,0.279
70061,154724,5,5,2,0.348
70066,70060,5,5,1,0.168
70067,105569,5,5,1,0.192
71029,195259,5,5,1,0.229
71031,71029,5,5,1,0.806
71033,194557,5,5,1,0.747
71034,92880,5,5,1,0.311
71034,147975,5,5,1,0.471
71037,120814,5,5,1,0.379
71037,150265,5,5,1,0.665
73515,237463,5,5,1,0.172
73516,73515,5,5,1,0.345
73517,237464,5,5,1,0.273
73518,182953,5,5,1,0.281
75067,77657,5,5,1,0.293
75068,112837,5,5,2,1.284
75068,122554,5,5,1,0.323
