"ori_node","des_node","ori_layer","des_layer","minutes","km"
5080,22509,2,2,2,0.934
5080,28041,2,2,7,3.262
22509,5080,2,2,2,0.934
28041,5080,2,2,7,3.262
2793,13509,3,3,1,0.73
2793,26344,3,3,2,1.21
4384,5080,3,3,1,0.634
4384,7436,3,3,2,0.476
4384,22509,3,3,1,0.569
4384,42427,3,3,1,0.424
5080,4384,3,3,1,0.634
7436,4384,3,3,2,0.476
11341,13621,3,3,1,0.844
11341,30353,3,3,2,1.122
11979,13621,3,3,1,0.621
11979,41569,3,3,2,1.305
13509,2793,3,3,1,0.73
13509,30353,3,3,1,0.641
13621,11341,3,3,1,0.844
13621,11979,3,3,1,0.621
22509,4384,3,3,1,0.569
26344,2793,3,3,1,1.21
26344,42427,3,3,1,0.817
30353,11341,3,3,2,1.122
30353,13509,3,3,1,0.641
41569,11979,3,3,2,1.305
42427,4384,3,3,2,0.424
42427,26344,3,3,1,0.817
141945,225092,4,4,2,1.34
215166,225091,4,4,1,0.7
215167,130115,4,4,8,1.734
225091,234720,4,4,2,1.135
225092,215167,4,4,2,0.425
248693,215166,4,4,8,1.844
4384,4384,5,5,1,0
4384,5080,5,5,1,0.634
4384,7436,5,5,1,0.476
4384,22509,5,5,1,0.569
4384,42427,5,5,1,0.424
4384,81099,5,5,7,3.485
4384,99268,5,5,8,3.855
4384,127274,5,5,2,0.478
4384,171180,5,5,1,0.492
4384,187623,5,5,3,0.647
4384,204478,5,5,1,0.294
4384,239064,5,5,2,0.747
4384,248480,5,5,1,0.349
4384,248695,5,5,3,0.268
4384,253462,5,5,2,0.274
4384,253464,5,5,1,0.278
5080,4384,5,5,1,0.634
5080,5080,5,5,1,0
5080,28041,5,5,9,3.262
5080,42427,5,5,2,1.034
5080,57375,5,5,2,0.5
5080,57376,5,5,1,0.399
5080,63792,5,5,10,2.06
5080,66970,5,5,1,0.589
5080,110105,5,5,1,0.506
5080,130115,5,5,1,0.157
5080,171180,5,5,2,0.393
5080,241017,5,5,9,4.766
5080,244374,5,5,10,3.656
5080,248692,5,5,1,0.385
5080,253462,5,5,2,0.523
5080,253464,5,5,2,0.501
7436,4384,5,5,1,0.476
7436,7436,5,5,1,0
7436,42427,5,5,1,0.592
7436,57377,5,5,1,0.369
7436,130115,5,5,2,0.532
7436,147793,5,5,4,1.228
7436,215166,5,5,4,1.456
7436,231459,5,5,1,0.437
7436,241219,5,5,1,0.571
11341,11341,5,5,1,0
11341,42427,5,5,7,3.866
11341,78886,5,5,2,1.819
11341,112402,5,5,1,1.262
11341,112403,5,5,1,0.356
11341,115838,5,5,2,0.342
11341,194375,5,5,2,0.537
11341,194376,5,5,1,0.406
11341,204076,5,5,1,0.674
11341,262260,5,5,1,0.306
11979,11979,5,5,1,0
11979,80321,5,5,1,0.593
11979,80322,5,5,1,0.369
11979,102813,5,5,1,0.378
11979,139670,5,5,6,0.689
11979,139675,5,5,1,0.568
11979,237495,5,5,5,1.2
13621,139670,5,5,1,0.439
22509,4384,5,5,1,0.569
22509,145321,5,5,1,0.345
22509,166903,5,5,1,0.491
22509,166905,5,5,1,0.514
22509,243570,5,5,1,0.327
26344,26344,5,5,1,0
26344,63792,5,5,1,0.355
26344,113748,5,5,1,0.352
26344,142068,5,5,3,0.817
26344,145058,5,5,1,0.314
26344,164779,5,5,1,0.261
26344,195711,5,5,11,0.924
26344,231273,5,5,1,0.373
28041,4384,5,5,13,3.711
28041,5080,5,5,9,3.262
28041,28041,5,5,1,0
28041,42427,5,5,25,3.9
28041,71421,5,5,1,1.574
28041,100436,5,5,1,0.687
28041,100439,5,5,1,0.322
28041,151144,5,5,1,0.635
28041,172698,5,5,1,1.225
28041,243236,5,5,2,0.98
28041,243237,5,5,4,0.855
28041,248694,5,5,10,3.479
28041,253111,5,5,1,0.276
30353,164781,5,5,1,0.262
30353,260147,5,5,2,0.353
30353,262258,5,5,1,0.456
41569,125572,5,5,35,1.162
41569,179188,5,5,1,0.504
41569,179189,5,5,1,0.336
41569,179191,5,5,1,0.275
42427,4384,5,5,1,0.424
42427,5080,5,5,1,1.034
42427,7436,5,5,1,0.592
42427,11341,5,5,9,3.866
42427,26344,5,5,5,0.817
42427,28041,5,5,20,3.9
42427,42427,5,5,1,0
42427,52548,5,5,1,0.292
42427,52550,5,5,1,0.264
42427,81099,5,5,5,3.23
42427,81104,5,5,5,2.83
42427,107319,5,5,5,3.232
42427,145058,5,5,2,0.932
42427,147418,5,5,10,4.508
42427,151229,5,5,1,0.825
42427,164786,5,5,7,3.426
42427,171180,5,5,4,0.911
42427,197838,5,5,1,0.307
42427,204073,5,5,2,3.179
42427,243569,5,5,1,0.497
42427,248692,5,5,2,0.649
42427,248694,5,5,2,0.642
42427,253463,5,5,1,0.355
52546,42427,5,5,1,0.26
52547,42427,5,5,1,0.274
52548,81104,5,5,6,2.717
52548,137833,5,5,1,0.435
52548,147794,5,5,3,0.6
52548,161669,5,5,7,2.893
52550,147794,5,5,1,0.42
53419,63114,5,5,1,0.405
53419,146925,5,5,1,0.096
53420,53424,5,5,1,0.174
53421,53423,5,5,1,0.26
53422,53419,5,5,1,0.28
53423,146921,5,5,1,0.4
53424,53422,5,5,1,0.273
53646,53649,5,5,1,0.171
53649,53650,5,5,1,0.451
53649,71352,5,5,1,0.34
53649,254710,5,5,1,0.202
53650,97966,5,5,1,0.084
53650,125338,5,5,2,0.227
53650,169252,5,5,1,0.284
53650,254715,5,5,1,0.221
54144,42427,5,5,1,0.331
54488,64157,5,5,1,0.512
54488,234724,5,5,1,0.372
54489,54490,5,5,1,0.403
54489,73579,5,5,1,0.324
54490,54488,5,5,1,0.307
54490,234724,5,5,1,0.679
56310,217927,5,5,1,0.237
57292,30353,5,5,1,0.249
57293,89628,5,5,2,0.325
57293,259629,5,5,1,0.236
57375,215169,5,5,1,0.456
