"ori_node","des_node","ori_layer","des_layer","minutes","km"
9311,44311,4,4,3,2.684
15654,9311,4,4,2,1.565
15654,21527,4,4,10,9.88
21527,15654,4,4,15,9.88
44311,107604,4,4,5,2.487
94748,9311,4,4,2,1.678
107604,15654,4,4,5,1.361
107604,94748,4,4,5,1.475
407,5777,5,5,2,1.227
407,33545,5,5,2,0.943
422,425,5,5,1,0.104
422,21328,5,5,4,2.94
423,1780,5,5,1,1.602
423,260808,5,5,3,3.18
424,425,5,5,1,0.135
425,422,5,5,1,0.104
425,424,5,5,1,0.135
983,47025,5,5,1,0.387
983,47026,5,5,1,0.32
1165,9903,5,5,1,0.249
1165,44309,5,5,1,0.383
1367,1679,5,5,1,0.201
1367,24548,5,5,2,1.197
1678,1679,5,5,1,0.282
1678,1681,5,5,1,0.95
1679,1367,5,5,1,0.201
1679,1678,5,5,1,0.282
1680,1681,5,5,1,0.521
1680,15773,5,5,2,0.552
1680,176580,5,5,2,0.917
1681,1678,5,5,1,0.95
1681,1680,5,5,1,0.521
1780,423,5,5,2,1.602
1780,1783,5,5,2,1.551
1783,423,5,5,3,3.131
1783,1780,5,5,1,1.551
1783,42962,5,5,3,2.145
1810,8695,5,5,1,0.344
1810,18014,5,5,1,0.481
1811,18007,5,5,1,0.513
1811,28982,5,5,1,0.406
1811,28983,5,5,1,0.469
1811,29231,5,5,1,0.549
1901,15654,5,5,2,0.306
1901,22463,5,5,2,0.735
1901,44310,5,5,1,0.348
1950,15230,5,5,1,0.266
1950,26746,5,5,1,0.285
1955,114663,5,5,5,1.536
1961,21106,5,5,1,0.254
1961,24941,5,5,1,0.227
2296,2296,5,5,1,0
2296,28983,5,5,1,0.197
2296,28985,5,5,1,0.396
2296,47975,5,5,1,0.257
2516,3966,5,5,1,0.349
2516,13957,5,5,1,0.217
2581,21330,5,5,6,0.967
2581,21344,5,5,1,0.185
2581,42885,5,5,1,0.251
2581,244296,5,5,3,1.089
3205,3208,5,5,1,0.328
3205,20079,5,5,1,0.279
3205,249237,5,5,1,0.106
3208,3205,5,5,1,0.328
3208,19289,5,5,1,0.223
3244,1811,5,5,1,0.049
3244,21325,5,5,1,0.33
3280,19676,5,5,1,0.368
3280,30667,5,5,1,0.37
3743,10674,5,5,1,0.178
3743,10678,5,5,1,0.305
3966,18015,5,5,1,0.297
3966,29246,5,5,2,0.382
5021,19698,5,5,1,0.24
5021,30667,5,5,1,0.219
5037,241896,5,5,1,0.412
5041,14589,5,5,2,2.011
5627,9897,5,5,1,0.333
5627,67905,5,5,1,0.349
5777,407,5,5,2,1.227
5777,33286,5,5,2,0.553
6599,10060,5,5,1,0.281
6599,10101,5,5,1,0.294
6743,12345,5,5,5,2.514
6743,12410,5,5,3,2.25
6743,32504,5,5,7,4.703
6743,48608,5,5,7,3.326
7047,51458,5,5,1,0.174
7047,51459,5,5,1,0.16
7334,7335,5,5,1,0.729
7334,7931,5,5,1,0.349
7334,112055,5,5,1,0.133
7335,7334,5,5,1,0.729
7335,25695,5,5,4,1.532
7335,25697,5,5,1,1.607
7814,21337,5,5,1,0.305
7814,40405,5,5,1,0.408
7814,40409,5,5,1,0.28
7814,178417,5,5,5,0.325
7816,9898,5,5,1,0.249
7816,146392,5,5,1,0.345
7817,7816,5,5,2,0.459
7817,7819,5,5,1,0.279
7818,7816,5,5,1,0.623
7818,21340,5,5,1,0.261
7819,7817,5,5,1,0.279
7819,7820,5,5,1,0.221
7819,21337,5,5,2,0.401
7820,7819,5,5,1,0.221
7820,57456,5,5,1,0.272
7822,145956,5,5,4,0.423
7822,205669,5,5,1,0.136
7822,215282,5,5,1,0.145
7822,231234,5,5,1,0.377
7823,7822,5,5,1,0.477
7823,40418,5,5,1,0.268
7824,1961,5,5,2,0.414
7824,21106,5,5,1,0.297
7824,193936,5,5,4,1.42
7825,21106,5,5,1,0.322
7825,36841,5,5,1,0.343
7825,56153,5,5,1,0.345
7826,7827,5,5,1,0.158
7826,29146,5,5,1,0.345
7827,7826,5,5,1,0.158
7827,41759,5,5,1,0.33
7828,40403,5,5,1,0.327
7828,40409,5,5,2,0.574
7828,52292,5,5,6,0.778
7829,7828,5,5,1,0.256
7829,7830,5,5,1,0.293
7829,41759,5,5,1,0.459
7830,7829,5,5,1,0.293
7830,7832,5,5,1,0.256
7831,3280,5,5,3,1.272
7831,7832,5,5,1,0.37
7831,45820,5,5,2,0.437
7831,52292,5,5,2,0.479
7832,7830,5,5,1,0.256
7832,37196,5,5,1,0.281
7832,257553,5,5,1,0.236
7930,7931,5,5,1,0.244
7930,138516,5,5,1,0.324
7931,7334,5,5,1,0.349
7931,21527,5,5,1,0.301
7931,112055,5,5,2,0.306
7933,21527,5,5,1,0.546
8311,24984,5,5,1,0.415
8311,36739,5,5,1,0.31
8311,36741,5,5,1,0.129
8692,8713,5,5,1,0.297
8692,29239,5,5,1,0.229
8693,8695,5,5,1,0.147
8693,8715,5,5,1,0.212
8695,8693,5,5,1,0.147
8695,29241,5,5,1,0.24
8695,199958,5,5,1,0.19
8698,8713,5,5,1,0.223
8698,34943,5,5,1,0.354
8698,44289,5,5,1,0.327
8703,8708,5,5,1,0.199
8703,44301,5,5,1,0.243
8708,8703,5,5,1,0.199
8708,8715,5,5,1,0.255
8713,8692,5,5,1,0.297
8713,8698,5,5,1,0.223
8715,8693,5,5,1,0.212
8715,8708,5,5,1,0.255
8722,39968,5,5,2,0.288
8722,44300,5,5,1,0.261
8740,44302,5,5,1,0.413
8740,44309,5,5,1,0.248
9307,9309,5,5,1,0.233
9307,67905,5,5,1,0.078
9308,5627,5,5,1,0.617
9308,9307,5,5,1,0.325
9308,158784,5,5,1,0.553
9308,176580,5,5,1,0.256
9309,9307,5,5,1,0.233
9309,9317,5,5,1,0.138
9310,9311,5,5,1,0.185
9310,9312,5,5,1,0.233
