"ori_node","des_node","ori_layer","des_layer","minutes","km"
23471,28682,2,2,6,5.232
23471,40624,2,2,5,8.374
28682,23471,2,2,7,5.232
40624,23471,2,2,6,8.374
68829,242222,4,4,10,4.942
194386,242222,4,4,15,7.945
242222,185067,4,4,15,4.939
242222,194386,4,4,10,7.945
6774,243571,5,5,4,1.389
6774,262365,5,5,4,2.651
23471,23471,5,5,1,0
23471,76277,5,5,1,0.375
23471,117999,5,5,1,0.251
23471,118002,5,5,1,0.29
23471,118006,5,5,1,0.261
23471,150501,5,5,1,0.6
23471,247492,5,5,1,0.271
28682,68037,5,5,1,0.555
28682,165233,5,5,1,0.483
28682,185067,5,5,2,0.408
28682,223184,5,5,2,0.402
28682,244869,5,5,1,0.362
29161,41209,5,5,1,0.854
29161,255404,5,5,3,0.783
40624,100851,5,5,1,0.579
40624,148294,5,5,1,0.544
40624,194386,5,5,1,0.428
40624,218244,5,5,1,0.612
41198,41200,5,5,1,0.199
41198,41209,5,5,1,0.163
41200,41198,5,5,1,0.199
41200,148348,5,5,1,0.315
41209,29161,5,5,2,0.854
41209,41198,5,5,1,0.163
51597,117334,5,5,1,0.274
51756,59763,5,5,1,0.275
51756,242029,5,5,1,0.3
51757,246234,5,5,2,0.745
51757,247318,5,5,1,0.306
51757,254345,5,5,1,0.282
52114,254748,5,5,1,0.248
52115,68829,5,5,1,0.191
52115,69523,5,5,1,0.048
52115,185067,5,5,1,0.238
52985,211090,5,5,1,0.163
53399,75940,5,5,1,0.165
53447,197398,5,5,1,0.262
53448,117207,5,5,4,0.431
53449,118630,5,5,1,0.255
53885,61646,5,5,1,0.287
53885,86276,5,5,1,0.472
54143,141330,5,5,1,0.626
54143,180723,5,5,1,0.082
54145,224385,5,5,1,0.225
54145,224386,5,5,1,0.236
54145,246250,5,5,1,0.419
54984,72361,5,5,1,0.185
54984,140738,5,5,1,0.17
55593,242127,5,5,1,0.097
55593,258307,5,5,1,0.323
55594,63520,5,5,1,0.342
55594,234659,5,5,2,0.694
56295,116325,5,5,1,0.071
56295,193652,5,5,1,0.46
56295,261234,5,5,1,1.884
56500,193802,5,5,2,0.073
58195,152018,5,5,1,1.736
59049,59054,5,5,1,0.034
59049,110307,5,5,1,0.051
59049,172935,5,5,1,0.347
59049,201822,5,5,1,0.189
59054,59049,5,5,1,0.034
59054,110307,5,5,1,0.084
59054,201822,5,5,1,0.159
59294,103271,5,5,1,0.089
59294,192556,5,5,1,0.522
59412,149857,5,5,6,1.518
59412,257364,5,5,3,1.099
59763,111554,5,5,1,0.32
59763,173960,5,5,1,0.404
59763,189622,5,5,1,0.51
59763,242029,5,5,1,0.036
59764,51757,5,5,1,0.283
59764,242030,5,5,1,0.058
59911,68158,5,5,1,0.453
60085,84016,5,5,1,0.375
60085,197117,5,5,1,0.126
60085,197118,5,5,1,0.104
60085,232188,5,5,1,0.456
60086,68036,5,5,1,0.261
60086,68037,5,5,1,0.243
60352,23471,5,5,1,0.523
60352,118006,5,5,2,0.755
60352,118007,5,5,3,0.768
60352,127583,5,5,4,0.77
60352,141345,5,5,1,1.466
60352,161295,5,5,1,0.21
60352,178991,5,5,1,0.115
60352,242222,5,5,2,0.76
60456,189621,5,5,1,0.143
60620,201536,5,5,1,0.128
60621,155304,5,5,1,0.107
61646,86276,5,5,1,0.189
61646,190927,5,5,1,0.66
62967,54984,5,5,1,0.233
62967,140738,5,5,2,0.403
63519,55593,5,5,1,0.273
63520,234659,5,5,1,0.358
64319,128514,5,5,1,1.429
64320,246819,5,5,1,0.255
65226,96062,5,5,2,1.549
65226,224990,5,5,1,1.1
65486,224989,5,5,1,0.38
66397,54145,5,5,1,0.383
66397,131742,5,5,1,0.41
66397,141330,5,5,1,0.262
66397,180723,5,5,1,0.422
66805,116048,5,5,1,0.272
66806,207749,5,5,1,0.142
67119,210545,5,5,1,0.142
67439,169256,5,5,1,0.107
67439,255746,5,5,1,0.165
68036,28682,5,5,1,0.529
68036,60085,5,5,1,0.277
68036,74742,5,5,2,0.211
68036,185067,5,5,1,0.222
68037,60085,5,5,1,0.258
68037,83946,5,5,7,3.049
68037,185067,5,5,1,0.239
68158,82629,5,5,3,0.544
68158,86449,5,5,2,0.543
68158,201821,5,5,1,0.352
68829,28682,5,5,1,0.46
68829,68036,5,5,1,0.224
68829,68037,5,5,1,0.236
68829,124677,5,5,1,0.662
68829,124678,5,5,1,0.67
68829,127583,5,5,14,4.925
68829,153786,5,5,3,1.885
68829,169445,5,5,1,0.618
68923,195117,5,5,1,0.337
68935,76827,5,5,2,0.161
69121,102144,5,5,1,0.175
69523,52114,5,5,1,0.054
69523,52985,5,5,1,0.314
69523,68829,5,5,1,0.194
69523,77544,5,5,1,0.354
69523,77545,5,5,1,0.383
69523,171417,5,5,1,0.554
69523,182474,5,5,1,0.463
69523,185067,5,5,2,0.246
69523,254748,5,5,1,0.296
69645,133210,5,5,5,1.328
69987,78039,5,5,1,0.239
69988,109375,5,5,1,0.085
69988,109722,5,5,1,0.259
69989,151733,5,5,1,0.212
70726,116325,5,5,1,0.873
70726,158151,5,5,1,0.473
70727,129747,5,5,1,0.042
70727,172251,5,5,1,0.362
70727,214192,5,5,1,0.484
71534,55593,5,5,2,0.682
71534,63519,5,5,1,0.415
71995,70727,5,5,1,0.752
71995,129747,5,5,1,0.763
71995,149646,5,5,1,0.965
71995,234351,5,5,1,0.294
72251,261234,5,5,2,1.989
72252,133429,5,5,6,2.816
72252,169393,5,5,1,0.425
72252,193653,5,5,1,0.403
72361,127211,5,5,1,0.144
72361,135385,5,5,1,0.203
73185,61646,5,5,1,0.455
73185,110513,5,5,1,0.15
74742,52114,5,5,1,0.24
74742,69523,5,5,1,0.264
75939,84017,5,5,1,0.165
75939,203247,5,5,1,0.278
75939,244534,5,5,1,0.138
75940,84017,5,5,1,0.232
75940,203247,5,5,1,0.211
75940,224168,5,5,1,0.577
76277,223275,5,5,2,0.457
76446,84495,5,5,1,0.109
76827,142386,5,5,1,0.266
76870,258437,5,5,1,0.527
76872,135376,5,5,1,0.336
77070,182848,5,5,1,0.113
77070,209003,5,5,1,0.307
77071,106669,5,5,1,0.321
77071,119337,5,5,1,0.488
77072,171184,5,5,1,0.301
77492,58195,5,5,1,0.457
77493,131591,5,5,8,0.857
77544,69523,5,5,1,0.354
77544,96143,5,5,1,0.104
77544,201039,5,5,1,0.214
77545,69523,5,5,1,0.383
77545,171417,5,5,1,0.17
77666,256668,5,5,1,0.115
77762,86593,5,5,1,0.203
78039,246235,5,5,1,0.254
78040,69988,5,5,1,0.155
78878,53885,5,5,2,0.735
78878,113795,5,5,1,0.414
78878,159554,5,5,1,0.341
78878,182852,5,5,1,0.328
78879,180135,5,5,1,0.17
78879,191461,5,5,1,0.344
79980,84903,5,5,1,0.088
79980,255097,5,5,1,0.096
81016,89089,5,5,1,0.225
81451,174410,5,5,1,0.191
81964,209622,5,5,1,0.161
82351,182848,5,5,1,0.291
82629,164582,5,5,1,0.46
82629,230815,5,5,1,0.149
83358,190588,5,5,4,1.543
83358,214192,5,5,3,1.028
83503,83504,5,5,1,0.167
83504,184972,5,5,1,0.302
83505,244174,5,5,1,0.19
83946,82629,5,5,4,1.545
83946,85082,5,5,3,0.632
83946,119337,5,5,1,0.539
83946,127583,5,5,5,1.745
83946,153786,5,5,2,1.428
83946,171184,5,5,1,0.897
83946,182425,5,5,1,0.43
83946,185067,5,5,8,3.288
83946,223184,5,5,7,3.283
83946,242222,5,5,5,1.761
83946,252205,5,5,1,1.494
83946,252434,5,5,1,0.53
83946,252435,5,5,2,0.522
84016,75939,5,5,1,0.279
84016,75940,5,5,1,0.345
84017,60086,5,5,1,0.503
84017,74742,5,5,1,0.971
84017,164861,5,5,1,0.295
84017,197118,5,5,1,0.386
84495,92483,5,5,1,0.257
84903,190953,5,5,1,0.09
84903,224168,5,5,1,0.087
85080,83946,5,5,2,0.674
85080,252435,5,5,1,0.167
85081,84017,5,5,3,1.607
85081,252205,5,5,2,0.792
85082,171184,5,5,1,0.292
85082,257377,5,5,1,0.184
85083,223872,5,5,1,0.393
85438,69523,5,5,1,0.311
85438,96143,5,5,1,0.109
85990,78040,5,5,1,0.132
86230,164709,5,5,1,0.297
86230,261235,5,5,2,0.374
86231,214440,5,5,1,0.285
86272,207477,5,5,1,0.213
86276,102323,5,5,1,0.276
86449,86449,5,5,1,0
86449,164582,5,5,1,0.456
86449,230815,5,5,1,0.118
86593,151969,5,5,1,0.157
86812,222408,5,5,1,0.08
86918,181337,5,5,2,0.726
86918,203248,5,5,1,0.502
86918,209003,5,5,1,0.185
86919,149857,5,5,3,2.047
86919,223184,5,5,7,3.123
86919,257019,5,5,1,0.23
87363,179103,5,5,1,0.219
87363,262365,5,5,3,0.637
88113,71995,5,5,2,0.294
88113,119690,5,5,2,0.621
88113,154421,5,5,1,0.431
88113,234351,5,5,1,0.479
88767,122240,5,5,1,0.569
88770,101714,5,5,1,0.052
88770,252447,5,5,1,0.123
89089,97097,5,5,1,0.083
89270,118002,5,5,1,0.306
89270,127583,5,5,1,0.337
89270,144713,5,5,1,0.316
89270,242222,5,5,1,0.35
90985,96143,5,5,1,0.519
90985,163347,5,5,1,0.09
90985,201039,5,5,1,0.202
90985,239329,5,5,1,0.266
91025,212254,5,5,1,0.222
91441,150501,5,5,4,1.101
91441,205718,5,5,1,0.136
91441,220452,5,5,1,0.419
91441,242222,5,5,1,0.331
91913,91979,5,5,2,0.905
91913,183726,5,5,1,0.252
91979,56295,5,5,4,1.234
91979,116325,5,5,3,1.303
91979,177296,5,5,1,1.094
91980,228256,5,5,1,0.265
92101,100210,5,5,1,0.269
92102,100210,5,5,1,0.273
92102,233998,5,5,1,1.656
92483,138818,5,5,1,0.143
92692,100851,5,5,1,0.237
92692,194386,5,5,1,0.433
