"ori_node","des_node","ori_layer","des_layer","minutes","km"
7270,7270,5,5,1,0
7270,58267,5,5,1,0.818
7270,90453,5,5,1,0.437
7270,106688,5,5,1,0.672
7270,129395,5,5,1,0.577
7270,224329,5,5,1,0.479
7270,234280,5,5,2,0.718
51557,142819,5,5,1,0.356
51617,91857,5,5,1,0.082
51617,199299,5,5,1,0.233
51851,179895,5,5,1,0.372
52249,165321,5,5,1,0.111
52280,233548,5,5,1,0.321
52866,211761,5,5,1,0.257
53007,218223,5,5,1,0.445
53021,182302,5,5,1,0.274
53025,110956,5,5,1,0.331
53200,60923,5,5,1,0.223
53360,60755,5,5,1,0.17
53571,182636,5,5,1,0.23
53585,135556,5,5,1,0.201
53957,118570,5,5,1,0.331
54040,63676,5,5,1,0.264
54043,157485,5,5,1,0.323
54477,63321,5,5,1,0.23
54477,84671,5,5,1,0.236
54537,247075,5,5,1,0.278
54620,132170,5,5,1,0.17
54620,157806,5,5,1,0.145
54637,102789,5,5,1,0.124
54641,64286,5,5,1,0.303
54978,177294,5,5,1,0.243
55067,56640,5,5,1,0.32
55067,132613,5,5,1,0.486
55221,132348,5,5,1,0.174
55221,220605,5,5,1,0.268
55346,66916,5,5,1,0.276
55388,74431,5,5,1,0.44
55576,128422,5,5,1,0.138
55745,99975,5,5,1,0.296
55820,176476,5,5,1,0.232
55820,178834,5,5,1,0.274
56112,223901,5,5,1,0.376
56197,254010,5,5,3,0.874
56461,247753,5,5,1,0.312
56637,54537,5,5,1,0.415
56640,114857,5,5,1,0.509
56677,59817,5,5,1,0.256
56677,218548,5,5,1,0.419
56677,246934,5,5,1,0.325
56922,66542,5,5,1,0.529
56922,133423,5,5,2,0.598
57407,100271,5,5,1,0.125
57879,179895,5,5,1,0.297
57999,249323,5,5,1,0.311
58174,59990,5,5,1,0.247
58174,100925,5,5,1,0.208
58174,213468,5,5,1,0.235
58267,259453,5,5,1,0.297
58623,60346,5,5,1,0.438
58882,78166,5,5,1,0.317
58942,68576,5,5,1,0.179
58949,173434,5,5,1,0.207
58949,241647,5,5,1,0.053
59285,162588,5,5,1,0.29
59432,78723,5,5,1,0.345
59432,117680,5,5,2,0.877
59432,201996,5,5,1,0.274
59482,67468,5,5,1,0.289
59482,127450,5,5,1,0.198
59497,227310,5,5,1,0.192
59742,197454,5,5,1,0.222
59742,260970,5,5,1,0.212
59759,252371,5,5,1,0.073
59817,55576,5,5,1,0.222
59990,251294,5,5,1,0.271
60114,163441,5,5,1,0.105
60114,256180,5,5,1,0.322
60174,54641,5,5,1,0.302
60175,215470,5,5,2,0.638
60346,75617,5,5,1,0.236
60346,218052,5,5,1,0.158
60376,115706,5,5,1,0.019
60755,63043,5,5,1,0.206
60923,225520,5,5,1,0.196
60940,119165,5,5,1,0.335
61206,111010,5,5,1,0.246
61206,153298,5,5,1,0.162
61264,252460,5,5,1,0.402
61640,7270,5,5,1,0.4
61640,224329,5,5,2,0.311
61662,159193,5,5,1,0.282
61762,212066,5,5,1,0.358
61864,68522,5,5,1,0.352
61984,71491,5,5,1,0.435
62016,52280,5,5,1,0.281
62708,156631,5,5,1,0.409
62709,81960,5,5,1,0.399
62932,103455,5,5,1,0.231
63043,147553,5,5,1,0.164
63096,99404,5,5,1,0.308
63157,242219,5,5,1,0.34
63321,54477,5,5,1,0.23
63321,111321,5,5,1,0.246
63357,240909,5,5,1,0.171
63591,113669,5,5,1,0.641
63676,138053,5,5,1,0.295
63894,127648,5,5,1,0.171
63894,239645,5,5,6,2.108
64284,257979,5,5,1,0.13
64286,189008,5,5,1,0.159
64935,208407,5,5,1,0.292
64984,256424,5,5,1,0.324
65401,119538,5,5,1,0.158
65447,74865,5,5,1,0.174
65447,174704,5,5,1,0.067
65513,243701,5,5,1,0.259
66093,182398,5,5,1,0.181
66129,76680,5,5,1,0.255
66129,96071,5,5,1,0.203
66267,98806,5,5,1,0.317
66542,142819,5,5,1,0.369
66597,225822,5,5,1,0.218
66778,53021,5,5,1,0.142
66778,73233,5,5,1,0.167
66916,89529,5,5,1,0.187
66916,209122,5,5,2,0.271
67075,89010,5,5,1,0.255
67468,66778,5,5,1,0.136
67680,202259,5,5,1,0.325
67921,7270,5,5,1,0.723
67927,210081,5,5,1,0.318
68020,94419,5,5,1,0.179
68020,209431,5,5,1,0.257
68286,199372,5,5,1,0.236
68517,152774,5,5,1,0.331
68522,110808,5,5,1,0.472
68522,128587,5,5,1,0.51
68576,230556,5,5,1,0.395
68584,78436,5,5,1,0.211
68584,109200,5,5,1,0.354
68765,128808,5,5,1,0.069
69081,93126,5,5,1,0.048
69585,100925,5,5,1,0.314
69585,121998,5,5,2,0.438
69585,213468,5,5,1,0.269
69638,136106,5,5,1,0.414
69638,158309,5,5,2,0.6
69852,79622,5,5,1,0.309
70099,206453,5,5,1,0.109
70464,232512,5,5,1,0.332
70481,89842,5,5,1,0.41
70856,90174,5,5,1,0.146
70856,186384,5,5,1,0.327
71153,235444,5,5,1,0.28
71168,262006,5,5,1,0.271
71267,202398,5,5,1,0.474
71381,89331,5,5,1,0.273
71491,52249,5,5,1,0.511
71525,145650,5,5,1,0.331
72406,115832,5,5,1,0.143
72671,92009,5,5,1,0.306
72869,111920,5,5,1,0.234
72990,70464,5,5,1,0.332
73173,54040,5,5,1,0.07
73233,212066,5,5,1,0.076
73413,209087,5,5,1,0.504
73413,239645,5,5,11,2.395
73704,216402,5,5,1,0.225
73709,112638,5,5,1,0.295
73754,206453,5,5,1,0.521
73950,112194,5,5,1,0.2
74222,161529,5,5,1,0.181
74222,171272,5,5,1,0.168
74222,232655,5,5,1,0.188
74431,141214,5,5,1,0.318
74431,170742,5,5,1,0.047
74653,191098,5,5,1,0.281
74749,210961,5,5,1,0.297
74865,65447,5,5,1,0.174
74865,76634,5,5,1,0.295
74980,214749,5,5,1,0.307
75283,245872,5,5,1,0.36
75617,222269,5,5,1,0.166
76100,56922,5,5,1,0.2
76198,85861,5,5,1,0.314
76501,64935,5,5,1,0.215
76501,184522,5,5,1,0.276
76634,74865,5,5,1,0.295
76634,84671,5,5,1,0.055
76680,173823,5,5,1,0.118
77549,94419,5,5,1,0.129
77956,97334,5,5,1,0.512
78123,54978,5,5,1,0.235
78123,146713,5,5,1,0.383
78123,158031,5,5,1,0.17
78166,230486,5,5,1,0.341
78239,181850,5,5,1,0.366
78307,89960,5,5,1,0.246
78436,109200,5,5,1,0.142
78436,115698,5,5,1,0.279
78580,97950,5,5,1,0.186
78723,98089,5,5,1,0.233
79049,103653,5,5,1,0.415
79255,61662,5,5,1,0.237
79622,53957,5,5,1,0.277
79659,239981,5,5,1,0.273
80204,60940,5,5,1,0.325
80204,109260,5,5,4,1.169
80547,139103,5,5,1,0.24
80947,136418,5,5,1,0.145
81638,107029,5,5,2,0.29
81702,61264,5,5,1,0.333
81702,133423,5,5,1,0.225
81960,178045,5,5,1,0.155
82009,195490,5,5,1,0.187
82235,109745,5,5,1,0.356
82235,160996,5,5,5,0.291
82235,247285,5,5,1,0.103
82247,53360,5,5,1,0.261
82302,219248,5,5,1,0.211
82412,63157,5,5,1,0.214
83293,223901,5,5,1,0.315
83293,260099,5,5,1,0.182
