"ori_node","des_node","ori_layer","des_layer","minutes","km"
20293,21395,2,2,13,8.317
21395,20293,2,2,14,8.317
7272,40349,4,4,5,2.023
7465,102289,4,4,3,0.739
7465,193647,4,4,4,0.801
9427,40349,4,4,1,0.746
9427,102289,4,4,2,1.564
40349,7272,4,4,5,2.023
40349,9427,4,4,1,0.746
102289,7465,4,4,3,0.739
102289,9427,4,4,2,1.564
193647,7465,4,4,4,0.801
182,182,5,5,2,0
182,83269,5,5,4,0.762
182,107025,5,5,3,0.53
7272,70118,5,5,1,1.465
7272,197765,5,5,1,0.701
7463,7464,5,5,1,0.111
7463,57727,5,5,1,0.358
7463,57728,5,5,1,0.32
7463,57730,5,5,1,0.393
7463,155359,5,5,1,0.268
7463,177094,5,5,2,0.606
7463,177097,5,5,2,0.588
7463,182409,5,5,1,0.443
7463,228796,5,5,5,2.105
7463,246021,5,5,1,0.491
7464,7463,5,5,1,0.111
7464,7465,5,5,2,0.664
7464,51762,5,5,2,0.468
7464,57726,5,5,3,0.224
7464,57727,5,5,2,0.305
7464,57728,5,5,7,0.271
7464,57729,5,5,3,0.356
7464,57730,5,5,2,0.336
7464,79596,5,5,2,0.404
7464,89975,5,5,2,0.386
7464,148571,5,5,1,0.474
7464,177094,5,5,1,0.504
7464,246020,5,5,1,0.394
7465,54511,5,5,1,0.317
7465,54512,5,5,1,0.38
7465,55149,5,5,1,0.787
7465,102289,5,5,1,0.739
7465,127298,5,5,1,0.67
7465,150311,5,5,1,0.432
7465,155359,5,5,2,0.468
7465,163430,5,5,1,0.752
7465,193644,5,5,15,0.8
7465,193646,5,5,10,0.801
9427,9427,5,5,1,0
9427,40349,5,5,2,0.746
9427,56167,5,5,1,0.326
9427,113267,5,5,1,0.418
9427,144144,5,5,1,0.364
9427,228872,5,5,1,0.437
9427,253289,5,5,2,1.651
9427,262226,5,5,1,0.36
15180,15180,5,5,1,0
15180,75109,5,5,1,0.374
15180,134632,5,5,1,0.332
15180,150015,5,5,1,0.209
15180,176362,5,5,1,0.274
15180,180850,5,5,1,0.295
15180,249242,5,5,2,0.308
20293,20293,5,5,1,0
20293,89975,5,5,4,0.713
20293,90380,5,5,1,0.547
20293,108065,5,5,4,0.942
20293,126001,5,5,1,0.664
20293,126002,5,5,2,0.66
20293,146103,5,5,1,0.321
20293,170044,5,5,1,0.485
20293,193643,5,5,2,0.53
20293,203362,5,5,1,0.534
20293,234041,5,5,1,0.544
20293,239090,5,5,8,0.964
21395,21395,5,5,1,0
21395,121146,5,5,5,2.487
21395,160249,5,5,5,2.393
21421,104351,5,5,1,0.761
21421,224811,5,5,1,0.74
28935,40349,5,5,5,2.074
28935,135018,5,5,2,1.335
28935,197765,5,5,1,0.765
28935,254908,5,5,2,1.524
36635,89838,5,5,1,2.043
36635,160295,5,5,1,0.887
38731,85138,5,5,1,0.554
39623,39623,5,5,1,0
39623,53032,5,5,1,0.413
39623,57682,5,5,1,0.41
39623,130619,5,5,1,0.311
39623,239353,5,5,1,0.384
40349,9427,5,5,2,0.746
40349,28935,5,5,6,2.074
40349,55811,5,5,1,0.412
40349,62435,5,5,2,0.125
40349,89411,5,5,1,0.29
40349,205821,5,5,2,1.203
40349,206862,5,5,2,0.862
40349,232662,5,5,1,0.358
40349,257216,5,5,1,0.474
51618,230343,5,5,1,0.246
51687,138827,5,5,1,0.328
51762,7465,5,5,1,0.302
51904,249674,5,5,2,0.178
52139,80459,5,5,1,0.563
52139,112018,5,5,1,0.329
52332,115704,5,5,1,0.393
52392,164356,5,5,1,0.281
53032,167413,5,5,1,0.284
53365,84639,5,5,2,0.807
53365,180337,5,5,1,0.141
53406,110561,5,5,1,0.191
53452,176664,5,5,1,0.234
54017,67686,5,5,1,0.329
54511,7464,5,5,1,0.449
54512,7464,5,5,1,0.419
54512,239090,5,5,2,0.16
54563,173264,5,5,1,0.59
55114,65114,5,5,1,0.363
55129,79956,5,5,1,0.235
55149,84046,5,5,2,1.209
55149,97536,5,5,1,0.29
55149,149676,5,5,1,0.18
55149,243185,5,5,1,0.32
55464,206862,5,5,1,0.177
55575,107025,5,5,1,0.252
55811,55464,5,5,1,0.276
56008,56853,5,5,5,1.475
56096,88493,5,5,1,0.243
56167,61037,5,5,15,3.748
56167,130449,5,5,10,1.102
56167,167532,5,5,2,0.353
56167,188784,5,5,1,0.347
56333,226402,5,5,1,0.234
56360,121775,5,5,1,0.22
56393,104034,5,5,1,0.231
56440,82502,5,5,1,0.108
56853,92381,5,5,1,1.856
57171,120844,5,5,1,0.229
57480,196860,5,5,1,0.564
57522,183810,5,5,2,0.729
57682,40349,5,5,1,0.343
57682,232662,5,5,3,0.39
57726,7465,5,5,2,0.478
57726,57727,5,5,1,0.091
57727,7465,5,5,1,0.461
57727,51762,5,5,1,0.187
57728,7465,5,5,1,0.463
57729,7465,5,5,2,0.461
57730,7465,5,5,1,0.461
57742,210225,5,5,1,0.168
58118,161861,5,5,1,0.226
58569,121319,5,5,1,0.089
59762,202185,5,5,1,0.196
59821,101935,5,5,1,0.435
60035,246829,5,5,1,0.229
60373,198265,5,5,1,0.299
60373,261466,5,5,2,0.558
60810,75647,5,5,1,0.602
60889,105278,5,5,1,0.236
60890,113390,5,5,1,0.236
60890,183318,5,5,1,0.198
61037,56167,5,5,15,3.748
61037,71021,5,5,3,1.343
61037,92381,5,5,1,0.804
