"ori_node","des_node","ori_layer","des_layer","minutes","km"
811,22272,2,2,2,1.237
811,23690,2,2,5,2.648
811,48591,2,2,2,1.691
3597,21728,2,2,2,1.718
4176,48374,2,2,2,1.627
18447,23690,2,2,3,1.103
21728,3597,2,2,3,1.718
21728,28709,2,2,2,1.18
22272,811,2,2,2,1.237
22272,48374,2,2,2,0.924
22272,48585,2,2,3,1.222
23690,811,2,2,5,2.648
23690,18447,2,2,3,1.103
23690,22272,2,2,6,3.861
23690,34600,2,2,3,1.737
23690,48253,2,2,2,0.728
28709,21728,2,2,1,1.18
34600,23690,2,2,3,1.737
34600,48253,2,2,2,1.023
48253,23690,2,2,2,0.728
48253,34600,2,2,2,1.023
48374,4176,2,2,2,1.627
48374,22272,2,2,2,0.924
48585,22272,2,2,2,1.222
48591,811,2,2,2,1.691
23690,23690,3,3,1,0
23690,31964,3,3,1,1.111
31964,23690,3,3,1,1.111
642,28709,4,4,5,3.004
23690,28709,4,4,5,2.104
28709,23690,4,4,7,2.104
28709,94175,4,4,4,3.011
353,22505,5,5,1,0.264
353,30151,5,5,1,0.383
642,11223,5,5,1,0.403
642,18567,5,5,1,0.406
642,22505,5,5,1,0.434
811,811,5,5,1,0
811,104606,5,5,1,1.194
811,148260,5,5,1,0.48
811,164745,5,5,1,0.425
974,17430,5,5,1,0.188
974,30151,5,5,1,0.255
1026,39156,5,5,1,0.206
1026,40177,5,5,1,0.344
1389,4176,5,5,1,0.609
1389,8659,5,5,1,0.13
1389,39671,5,5,1,0.29
1574,9514,5,5,1,0.268
1574,26025,5,5,1,0.425
2154,21997,5,5,1,0.127
2154,32584,5,5,1,0.274
2252,16761,5,5,1,0.41
2447,11387,5,5,1,0.314
2447,13142,5,5,1,0.395
2729,17551,5,5,1,0.242
2729,205900,5,5,1,0.264
3008,17551,5,5,1,0.31
3008,22272,5,5,1,0.727
3008,39669,5,5,1,0.392
3597,3597,5,5,1,0
3597,15617,5,5,1,0.697
3597,18295,5,5,1,0.706
3597,23414,5,5,1,0.665
3597,37155,5,5,1,0.62
3597,41004,5,5,1,0.626
3597,48591,5,5,1,0.849
3718,15332,5,5,1,0.337
4154,18567,5,5,1,0.189
4154,22825,5,5,1,0.287
4172,4173,5,5,1,0.375
4172,39872,5,5,1,0.233
4172,39876,5,5,1,0.304
4172,45189,5,5,1,0.268
4172,155448,5,5,1,0.227
4173,4172,5,5,1,0.375
4173,155448,5,5,2,0.329
4176,1389,5,5,1,0.609
4176,4176,5,5,1,0
4176,4227,5,5,1,0.774
4176,45948,5,5,1,0.759
4176,142361,5,5,1,0.253
4227,4176,5,5,1,0.774
4227,10149,5,5,1,0.317
4227,17430,5,5,1,0.232
4249,21728,5,5,1,0.606
4249,137988,5,5,1,0.076
4678,8471,5,5,1,0.106
4678,12243,5,5,1,0.178
5275,18447,5,5,1,0.558
5275,29098,5,5,1,0.271
5308,43463,5,5,1,0.237
5308,230044,5,5,1,0.331
6391,11129,5,5,1,0.222
6451,30151,5,5,1,0.361
6451,31719,5,5,1,0.331
7337,11273,5,5,1,0.255
7337,18659,5,5,1,0.291
7762,7762,5,5,1,0
7762,37030,5,5,1,0.224
7792,8659,5,5,1,0.273
7792,50899,5,5,1,0.461
8471,4678,5,5,1,0.106
8471,208492,5,5,1,0.226
8659,7792,5,5,1,0.273
8659,39671,5,5,1,0.402
9185,41403,5,5,1,0.427
9514,1574,5,5,1,0.268
9514,29168,5,5,1,0.292
10149,4227,5,5,1,0.317
10149,39671,5,5,1,0.27
10307,22272,5,5,1,0.872
10307,22513,5,5,1,0.187
10307,144473,5,5,1,0.143
11129,6391,5,5,1,0.222
11129,43463,5,5,1,0.386
11223,642,5,5,1,0.403
11273,7337,5,5,1,0.255
11273,28059,5,5,1,0.267
11273,48585,5,5,1,0.553
11387,2447,5,5,1,0.314
11387,16370,5,5,1,0.359
11423,15395,5,5,1,0.093
11423,138972,5,5,1,0.205
12243,4678,5,5,1,0.178
12243,19024,5,5,1,0.181
13142,2447,5,5,1,0.395
13142,18235,5,5,2,0.305
13142,20517,5,5,1,0.302
13142,39156,5,5,1,0.416
13546,39669,5,5,1,0.334
13801,17923,5,5,1,0.143
13801,29451,5,5,8,0.231
15332,3718,5,5,1,0.337
15332,19976,5,5,1,0.327
15332,51397,5,5,1,0.268
15333,45401,5,5,1,0.242
15333,48309,5,5,1,0.11
15333,76690,5,5,1,0.243
15395,11423,5,5,1,0.093
15395,170682,5,5,1,0.208
15617,3597,5,5,1,0.697
15617,40524,5,5,1,0.274
16023,11223,5,5,1,0.151
16023,51397,5,5,1,0.244
16057,42256,5,5,1,0.156
16057,121680,5,5,1,0.086
16057,130660,5,5,1,0.437
16370,11387,5,5,1,0.359
16370,28059,5,5,1,0.31
16761,2252,5,5,1,0.41
16761,17923,5,5,1,0.379
17081,31028,5,5,1,0.278
17081,40177,5,5,1,0.34
17430,974,5,5,1,0.188
17430,4227,5,5,1,0.232
17551,2729,5,5,1,0.242
17551,95494,5,5,1,0.182
17923,23690,5,5,1,0.6
17923,29451,5,5,1,0.218
17923,41406,5,5,1,0.289
17923,182205,5,5,1,0.22
18224,22825,5,5,1,0.35
18224,31719,5,5,1,0.183
18235,13142,5,5,1,0.305
