"ori_node","des_node","ori_layer","des_layer","minutes","km"
7611,97632,2,2,8,9.306
97632,7611,2,2,10,9.306
651,102589,5,5,1,0.781
651,102590,5,5,2,0.546
651,151301,5,5,1,0.754
651,168743,5,5,1,0.407
916,160540,5,5,4,0.843
916,160555,5,5,2,0.284
916,169221,5,5,1,0.17
916,179025,5,5,2,0.39
965,134295,5,5,8,4.502
1006,14321,5,5,1,0.457
1006,14324,5,5,1,0.52
1007,33504,5,5,1,0.278
1007,88072,5,5,1,0.224
1008,1009,5,5,4,0.741
1008,44226,5,5,5,2.073
1009,1008,5,5,3,0.741
1009,31004,5,5,1,1.296
1009,44225,5,5,2,1.597
1010,19342,5,5,1,0.371
1010,45901,5,5,4,2.089
1010,64650,5,5,1,0.366
1011,6032,5,5,1,0.993
1011,38504,5,5,1,0.529
1011,46682,5,5,3,1.114
1011,111931,5,5,3,2.399
1012,1013,5,5,1,0.282
1012,21904,5,5,1,0.442
1012,27682,5,5,1,0.333
1013,1012,5,5,1,0.282
1013,21904,5,5,1,0.16
1135,1136,5,5,1,0.302
1135,1142,5,5,1,0.414
1136,1135,5,5,1,0.302
1136,1137,5,5,1,0.253
1137,1136,5,5,1,0.253
1137,1138,5,5,1,0.284
1137,132385,5,5,1,0.206
1138,1137,5,5,1,0.284
1138,8525,5,5,1,0.142
1139,1140,5,5,1,0.197
1139,40995,5,5,1,0.556
1140,1139,5,5,1,0.197
1140,1141,5,5,1,0.263
1141,1140,5,5,1,0.263
1141,1142,5,5,1,0.485
1141,158909,5,5,3,0.514
1142,1135,5,5,1,0.414
1142,1141,5,5,1,0.485
1144,1145,5,5,1,0.294
1144,27677,5,5,1,0.671
1144,46682,5,5,6,3.537
1144,50219,5,5,4,2.083
1145,1144,5,5,1,0.294
1145,7611,5,5,1,0.758
1497,9251,5,5,1,0.758
1497,45463,5,5,1,0.544
2945,33502,5,5,1,0.285
2945,41652,5,5,1,0.451
2945,51487,5,5,3,1.053
5005,38507,5,5,1,0.274
5005,102591,5,5,1,0.243
5006,37514,5,5,1,0.507
5006,38506,5,5,1,0.65
5006,46682,5,5,4,0.97
5008,7611,5,5,1,0.772
5008,8476,5,5,1,0.316
5008,19351,5,5,1,0.287
5009,5010,5,5,1,0.374
5009,7611,5,5,3,0.932
5009,8523,5,5,1,0.366
5009,25161,5,5,1,0.164
5010,5009,5,5,1,0.374
5010,25154,5,5,1,0.348
5010,25161,5,5,2,0.393
5010,46683,5,5,1,0.379
5011,34394,5,5,1,0.35
5011,158883,5,5,1,0.204
6024,25936,5,5,1,0.861
6024,45064,5,5,1,0.909
6025,7611,5,5,1,0.594
6025,40994,5,5,1,0.378
6025,46681,5,5,6,2.523
6025,59164,5,5,1,0.271
6026,33364,5,5,7,1.681
6026,33478,5,5,2,0.582
6026,46680,5,5,1,0.182
6026,171136,5,5,1,0.452
6027,46730,5,5,2,0.338
6027,123566,5,5,1,0.184
6028,6030,5,5,1,0.365
6028,20125,5,5,1,0.195
6029,25934,5,5,1,0.054
6029,205947,5,5,1,0.079
6030,6028,5,5,1,0.365
6030,98841,5,5,1,0.081
6030,170536,5,5,1,0.365
6031,21906,5,5,2,0.175
6031,25911,5,5,1,0.344
6032,1011,5,5,1,0.993
6032,21906,5,5,1,0.14
6032,38504,5,5,3,1.414
6621,24408,5,5,1,0.286
6621,248364,5,5,1,0.111
6624,25933,5,5,1,0.296
6624,45054,5,5,1,0.187
6624,45062,5,5,1,0.257
6627,30189,5,5,1,0.907
6627,33369,5,5,1,0.471
7611,1144,5,5,1,1.042
7611,1145,5,5,1,0.758
7611,5008,5,5,1,0.772
7611,5009,5,5,3,0.932
7611,6025,5,5,1,0.594
7611,6026,5,5,5,2.96
7611,7611,5,5,2,0
7611,10015,5,5,1,0.705
7611,18318,5,5,15,5.166
7611,27678,5,5,5,1.049
7611,33364,5,5,1,2.803
7611,46683,5,5,1,0.574
7611,88649,5,5,1,0.577
7611,109797,5,5,1,0.355
7611,142755,5,5,1,3.115
7611,193665,5,5,1,0.517
7611,239330,5,5,2,5.337
8473,14206,5,5,2,0.743
8473,97716,5,5,1,0.356
8473,168342,5,5,1,0.357
8476,5008,5,5,1,0.316
8476,25161,5,5,2,0.383
8476,25931,5,5,1,0.305
8478,11811,5,5,1,0.296
8478,45034,5,5,1,0.234
8478,45037,5,5,1,0.218
8478,45038,5,5,1,0.503
8478,166280,5,5,1,0.246
8479,14349,5,5,1,0.372
8479,14350,5,5,1,0.309
8479,27680,5,5,1,0.126
8479,33506,5,5,1,0.407
8520,14208,5,5,1,0.321
8520,156928,5,5,1,0.344
8520,156929,5,5,1,0.454
8521,41000,5,5,1,0.243
8521,156928,5,5,1,0.295
8522,19351,5,5,1,0.264
8522,52313,5,5,1,0.268
8523,5009,5,5,1,0.366
8523,8524,5,5,1,0.264
8524,8523,5,5,1,0.264
8524,52309,5,5,1,0.208
8525,1138,5,5,1,0.142
8525,62670,5,5,1,0.226
8704,14328,5,5,1,0.263
8704,29982,5,5,1,0.31
9188,14780,5,5,1,0.289
9188,42320,5,5,1,0.265
9188,43435,5,5,1,0.197
9251,1497,5,5,1,0.758
9251,41451,5,5,1,0.204
10015,7611,5,5,1,0.705
10015,21908,5,5,1,0.47
10015,25907,5,5,2,0.902
10015,34394,5,5,3,0.414
10015,41001,5,5,1,0.349
10527,42320,5,5,1,0.321
10527,82776,5,5,1,1.01
11646,11646,5,5,1,0
11646,14351,5,5,1,0.455
11646,25932,5,5,1,0.294
11646,25935,5,5,1,0.32
11646,61285,5,5,1,0.313
11646,73275,5,5,1,0.213
11807,11808,5,5,1,0.311
11807,11810,5,5,1,0.462
11808,11807,5,5,1,0.311
11808,46736,5,5,3,1.821
11810,11807,5,5,1,0.462
11810,40932,5,5,1,0.204
11811,8478,5,5,1,0.296
11811,144991,5,5,1,0.166
11813,15083,5,5,1,0.797
11813,31808,5,5,2,0.662
11813,144989,5,5,1,0.51
11817,14210,5,5,1,1.428
11817,106868,5,5,1,1.686
11817,124853,5,5,1,0.378
12575,35960,5,5,1,0.267
12575,232300,5,5,1,0.472
13515,30970,5,5,1,0.461
13515,44005,5,5,1,0.309
14204,14211,5,5,2,2.974
14204,14321,5,5,1,0.427
14204,14322,5,5,1,0.472
14205,14205,5,5,1,0
14205,31011,5,5,1,0.588
14205,45061,5,5,1,0.381
14205,179406,5,5,1,0.464
14206,8473,5,5,3,0.743
14206,31006,5,5,3,0.67
14206,33506,5,5,1,0.31
14207,11813,5,5,1,0.296
14207,14207,5,5,1,0
14207,46682,5,5,4,2.664
14207,144989,5,5,1,0.277
14208,8520,5,5,1,0.321
14208,14343,5,5,1,0.202
14208,19347,5,5,2,0.363
14209,25799,5,5,1,0.362
14209,37516,5,5,1,0.243
14209,232928,5,5,1,0.367
14210,11817,5,5,2,1.428
14210,64228,5,5,1,0.199
14211,14204,5,5,2,2.974
14211,14321,5,5,4,3.029
14211,28881,5,5,1,0.305
14211,44218,5,5,3,4.412
14212,28881,5,5,1,0.69
14212,33362,5,5,3,1.62
14212,220740,5,5,1,2.044
14314,14315,5,5,1,0.474
14314,33480,5,5,1,0.431
14314,170249,5,5,1,0.557
14315,14314,5,5,1,0.474
14315,57325,5,5,1,0.461
14315,57327,5,5,1,0.463
14315,104885,5,5,1,0.452
14320,35063,5,5,1,0.303
14320,141381,5,5,1,0.306
14321,1006,5,5,1,0.457
14321,14204,5,5,1,0.427
14321,14211,5,5,4,3.029
14322,14204,5,5,1,0.472
14322,35063,5,5,1,0.445
14323,14324,5,5,1,0.39
14323,57326,5,5,1,0.701
14323,174669,5,5,2,0.606
14324,1006,5,5,1,0.52
14324,14323,5,5,1,0.39
14328,8704,5,5,1,0.263
14328,93151,5,5,1,0.282
14343,14208,5,5,1,0.202
14343,27680,5,5,1,0.31
14344,14345,5,5,1,0.132
14344,19347,5,5,1,0.3
14345,14344,5,5,1,0.132
14345,14346,5,5,1,0.348
14346,14345,5,5,1,0.348
14346,14347,5,5,1,0.167
14347,14346,5,5,1,0.167
14347,14348,5,5,1,0.186
14348,14347,5,5,1,0.186
14348,27738,5,5,1,0.235
14348,163908,5,5,1,0.309
14348,217650,5,5,1,0.134
14349,8479,5,5,1,0.372
14349,27738,5,5,1,0.219
14350,8479,5,5,1,0.309
14350,14351,5,5,1,0.24
14351,11646,5,5,1,0.455
14351,14350,5,5,1,0.24
14780,9188,5,5,1,0.289
15083,11813,5,5,2,0.797
15083,46373,5,5,1,0.215
18316,25798,5,5,1,1.393
18316,33369,5,5,1,0.481
18317,25158,5,5,1,0.426
18317,25798,5,5,1,0.712
18317,27683,5,5,1,0.403
18317,50219,5,5,1,0.346
18318,7611,5,5,17,5.166
18318,18319,5,5,1,0.284
18318,18321,5,5,1,0.23
18319,6627,5,5,2,0.589
18319,18318,5,5,1,0.284
18319,33369,5,5,1,0.158
18320,18323,5,5,1,0.337
18320,94154,5,5,1,0.207
18320,94155,5,5,1,0.284
18321,18318,5,5,1,0.23
18321,25798,5,5,2,1.349
18321,94156,5,5,1,0.186
18322,18323,5,5,1,0.371
18322,18325,5,5,1,0.184
18323,18320,5,5,1,0.337
18323,18322,5,5,1,0.371
18324,18325,5,5,1,0.351
18324,25798,5,5,2,0.776
18325,18322,5,5,1,0.184
18325,18324,5,5,1,0.351
19342,1009,5,5,1,0.932
