"ori_node","des_node","ori_layer","des_layer","minutes","km"
14552,25714,1,1,5,0.392
22564,65725,1,1,15,3.288
25714,14552,1,1,5,0.392
25714,65725,1,1,15,0.794
65725,22564,1,1,35,3.288
65725,25714,1,1,15,0.794
2695,2704,2,2,6,7.637
2695,7382,2,2,4,2.613
2695,84854,2,2,4,4.387
2704,2695,2,2,6,7.637
2704,84854,2,2,3,3.338
7382,2695,2,2,4,2.613
7382,28520,2,2,4,2.45
28520,7382,2,2,3,2.45
84854,2695,2,2,4,4.387
84854,2704,2,2,4,3.338
33675,180814,3,3,3,0.868
180814,33675,3,3,2,0.868
86,7382,4,4,15,9.636
86,33675,4,4,10,6.601
7382,86,4,4,15,9.636
7382,45825,4,4,5,3.25
33675,86,4,4,10,6.601
45825,7382,4,4,5,3.25
86,134979,5,5,1,0.215
86,144996,5,5,1,0.378
86,179222,5,5,1,0.457
2695,246708,5,5,1,0.332
2695,256526,5,5,1,0.451
2695,256528,5,5,1,0.311
2704,2704,5,5,1,0
2704,144993,5,5,1,0.364
2704,144994,5,5,1,0.327
2704,144998,5,5,2,0.423
2704,154913,5,5,1,0.683
7382,7382,5,5,1,0
7382,58940,5,5,3,0.42
7382,74258,5,5,2,0.517
7382,76964,5,5,3,0.337
7382,84039,5,5,2,0.497
7382,87917,5,5,2,0.389
7382,87919,5,5,1,0.404
7382,87921,5,5,2,0.372
7382,87922,5,5,2,0.378
7382,87923,5,5,5,0.41
7382,133191,5,5,11,7.716
7382,178217,5,5,1,0.312
7382,182851,5,5,7,3.107
7382,209170,5,5,9,4.625
7382,228713,5,5,2,0.403
7382,229578,5,5,6,4.782
14552,25714,5,5,9,0.392
14552,172746,5,5,1,1.135
22564,22564,5,5,1,0
22564,63190,5,5,2,0.331
22564,86670,5,5,1,0.349
22564,154096,5,5,1,0.409
22564,207584,5,5,1,0.379
25714,14552,5,5,10,0.392
25714,25714,5,5,1,0
25714,65780,5,5,1,0.459
28520,28520,5,5,1,0
28520,163474,5,5,1,0.268
28520,183034,5,5,1,0.403
28520,191246,5,5,1,0.472
28520,207250,5,5,1,0.48
33675,134976,5,5,1,0.492
45825,228466,5,5,1,0.204
45825,228471,5,5,1,0.376
54990,248087,5,5,1,0.191
55485,84344,5,5,1,0.233
55486,92043,5,5,3,0.826
55486,103684,5,5,1,0.194
55486,182851,5,5,2,0.565
55487,55485,5,5,1,0.274
55850,250199,5,5,1,0.262
56180,78212,5,5,1,0.223
56181,56182,5,5,1,0.343
56181,65678,5,5,1,0.409
56182,56189,5,5,1,0.183
56183,56182,5,5,1,0.323
56184,56183,5,5,2,0.386
56185,56184,5,5,1,0.246
56186,56180,5,5,1,0.269
56187,56186,5,5,1,0.073
56187,163472,5,5,1,0.562
56188,56187,5,5,1,0.403
56189,163475,5,5,1,0.348
57719,22564,5,5,1,0.388
57720,67367,5,5,1,0.632
57721,22564,5,5,1,0.404
57723,58940,5,5,4,0.745
58584,210001,5,5,1,0.506
58939,178217,5,5,1,0.206
58940,7382,5,5,2,0.42
58940,57720,5,5,3,0.845
58940,168385,5,5,1,0.313
58940,178217,5,5,1,0.204
58941,57719,5,5,2,0.139
58941,57721,5,5,1,0.346
58941,57723,5,5,1,0.378
60404,174489,5,5,1,0.631
60808,45825,5,5,1,0.282
61967,76964,5,5,1,0.344
61985,120767,5,5,1,0.148
61985,170005,5,5,1,0.122
62158,228708,5,5,1,0.248
62281,189740,5,5,1,0.181
62281,209173,5,5,1,0.209
63186,97470,5,5,5,0.979
63186,181573,5,5,1,0.095
63190,63185,5,5,1,0.334
63479,101271,5,5,1,0.272
63480,101277,5,5,10,0.402
63480,101278,5,5,1,0.35
65010,123360,5,5,2,1.492
65066,94027,5,5,1,0.183
65066,251014,5,5,2,0.253
65067,246711,5,5,1,0.269
65417,105596,5,5,1,0.315
65614,75029,5,5,1,0.345
65674,148817,5,5,1,0.159
65676,56186,5,5,1,0.409
65678,207304,5,5,1,0.374
65682,84347,5,5,1,0.25
65777,65778,5,5,1,0.2
65778,56185,5,5,1,0.242
65778,78209,5,5,1,0.213
65780,65781,5,5,1,0.314
65781,153721,5,5,1,0.208
65781,244217,5,5,1,0.185
65782,153719,5,5,1,0.543
66269,197639,5,5,1,0.185
67364,148515,5,5,1,0.265
67365,94030,5,5,2,0.343
67366,58941,5,5,1,0.344
67367,67368,5,5,1,0.287
67368,67364,5,5,2,0.303
67368,236796,5,5,1,0.382
67371,67365,5,5,1,0.39
67372,110191,5,5,1,0.21
70452,189740,5,5,1,0.416
70452,209171,5,5,1,0.492
70453,120343,5,5,1,0.21
70454,70457,5,5,2,0.259
70455,178214,5,5,2,0.335
70456,70455,5,5,1,0.197
70457,232502,5,5,1,0.277
72708,72712,5,5,1,0.152
72709,209174,5,5,1,0.234
72710,199472,5,5,1,0.281
72711,216202,5,5,1,0.223
72712,72709,5,5,1,0.183
72713,254546,5,5,1,0.166
74258,7382,5,5,1,0.517
74258,168385,5,5,1,0.43
74517,74525,5,5,1,0.181
74518,74517,5,5,1,0.304
74519,74520,5,5,1,0.188
74520,74522,5,5,1,0.135
74520,248391,5,5,1,0.212
74522,65682,5,5,1,0.194
74522,84347,5,5,1,0.444
74523,192872,5,5,1,0.179
74523,248391,5,5,1,0.219
74524,132710,5,5,1,0.19
74525,103686,5,5,1,0.122
74526,74519,5,5,1,0.312
75027,75030,5,5,1,0.237
75028,75027,5,5,1,0.298
75028,193978,5,5,1,0.541
75028,219872,5,5,2,0.478
75028,260974,5,5,1,0.287
75029,193978,5,5,1,0.21
75029,219872,5,5,1,0.185
75029,260973,5,5,1,0.095
75030,94025,5,5,1,0.418
76963,61967,5,5,3,0.354
76963,87917,5,5,7,0.358
76963,228713,5,5,4,0.765
76964,86671,5,5,1,0.213
76964,122157,5,5,1,0.115
78007,78010,5,5,1,0.199
78008,78007,5,5,1,0.177
78009,78008,5,5,1,0.172
78010,87687,5,5,1,0.357
78011,78009,5,5,1,0.328
78012,78011,5,5,1,0.333
78208,178217,5,5,1,0.174
78209,78211,5,5,1,0.323
78210,163478,5,5,1,0.19
78211,78213,5,5,1,0.202
78212,78210,5,5,1,0.33
78213,56181,5,5,1,0.296
78216,168385,5,5,1,0.276
82928,229575,5,5,1,0.699
83353,83356,5,5,1,0.929
83354,173720,5,5,2,1.063
83356,97472,5,5,1,0.388
83356,143781,5,5,2,0.602
83356,162031,5,5,2,0.537
84039,7382,5,5,1,0.497
84039,154098,5,5,1,0.177
84039,168385,5,5,1,0.39
84039,207305,5,5,5,1.385
84307,93987,5,5,1,0.114
84339,84341,5,5,1,0.261
84339,189744,5,5,1,0.204
84340,84346,5,5,1,0.315
84341,74524,5,5,1,0.314
84342,189744,5,5,1,0.158
84343,55486,5,5,1,0.281
84344,84345,5,5,1,0.206
84345,84339,5,5,1,0.24
84346,202978,5,5,1,0.237
84347,84342,5,5,1,0.223
85329,197643,5,5,1,0.271
85341,168004,5,5,1,0.357
86545,209171,5,5,1,0.37
86545,209173,5,5,1,0.343
86545,249315,5,5,1,0.48
86666,86667,5,5,1,0.213
86667,207257,5,5,2,0.176
86668,86666,5,5,1,0.156
86670,76963,5,5,1,0.17
86670,97469,5,5,1,0.109
86670,144165,5,5,1,0.262
86671,22564,5,5,1,0.327
86671,63190,5,5,2,0.139
86940,239347,5,5,1,0.282
86940,239360,5,5,1,0.374
86957,132977,5,5,1,0.19
86957,214020,5,5,1,0.533
87686,62281,5,5,1,0.324
87686,97470,5,5,3,0.595
87687,132713,5,5,1,0.147
87688,181567,5,5,1,1.02
87689,62281,5,5,1,0.726
87689,87691,5,5,2,0.548
87689,189739,5,5,4,1.003
87689,209166,5,5,6,0.489
87690,171828,5,5,2,1.174
87691,132713,5,5,1,0.222
87692,87694,5,5,1,0.205
87693,152167,5,5,1,0.265
87694,93993,5,5,1,0.386
87695,87688,5,5,1,0.273
87779,210785,5,5,1,0.262
87917,7382,5,5,1,0.389
87917,57720,5,5,3,0.818
87917,76964,5,5,2,0.347
87917,154099,5,5,2,0.086
87917,168385,5,5,1,0.295
87918,178217,5,5,1,0.194
87919,7382,5,5,1,0.404
87919,178217,5,5,1,0.196
87920,168385,5,5,1,0.281
