"ori_node","des_node","ori_layer","des_layer","minutes","km"
34760,152298,1,1,4,0.329
152298,34760,1,1,4,0.329
31793,48599,2,2,3,1.2
32002,46118,2,2,3,3.701
46118,32002,2,2,4,3.701
46118,48599,2,2,3,1.211
48599,31793,2,2,3,1.2
48599,46118,2,2,3,1.211
2185,31793,4,4,10,4.937
10976,31793,4,4,10,1.423
10976,74542,4,4,2,1.046
31793,2185,4,4,8,4.937
31793,10976,4,4,5,1.423
31793,48599,4,4,5,1.2
31793,74543,4,4,2,0.804
31793,163666,4,4,5,2.11
31793,241361,4,4,5,1.068
48599,31793,4,4,5,1.2
48599,236811,4,4,5,1.382
53252,31793,4,4,4,1.077
74542,31793,4,4,10,0.8
74543,10976,4,4,3,1.064
163666,31793,4,4,5,2.11
236811,48599,4,4,5,1.382
2185,220712,5,5,1,0.181
2185,224387,5,5,1,0.384
10976,94042,5,5,1,0.486
10976,238473,5,5,1,0.509
10976,238476,5,5,1,0.375
10976,251626,5,5,1,0.343
31793,48599,5,5,5,1.2
31793,53251,5,5,5,1.1
31793,55505,5,5,1,0.491
31793,74540,5,5,1,0.283
32002,32002,5,5,1,0
32002,210798,5,5,1,0.517
32002,210802,5,5,1,0.553
34760,170156,5,5,1,0.558
46118,46118,5,5,1,0
46118,103698,5,5,1,0.51
46118,209186,5,5,1,0.266
46118,222372,5,5,1,0.393
46118,237181,5,5,1,0.345
48599,31793,5,5,5,1.2
48599,48599,5,5,1,0
48599,55506,5,5,1,0.463
48599,55509,5,5,2,0.527
48599,55510,5,5,2,0.51
48599,74542,5,5,1,0.631
48599,94045,5,5,1,0.61
48599,103699,5,5,1,0.428
48599,126786,5,5,1,0.378
48599,236809,5,5,2,0.603
48599,245323,5,5,2,1.054
48599,246727,5,5,1,0.352
53250,53252,5,5,10,4.713
53251,53250,5,5,10,4.693
53252,31793,5,5,5,1.077
54534,227445,5,5,1,0.174
55505,55508,5,5,1,0.348
55506,55507,5,5,1,0.352
55507,31793,5,5,2,0.5
55508,48599,5,5,1,0.494
55508,236809,5,5,2,0.855
55509,55511,5,5,1,0.286
55509,153889,5,5,1,0.28
55509,246732,5,5,2,0.473
55510,153889,5,5,1,0.297
55510,246732,5,5,2,0.484
55511,48599,5,5,2,0.471
55511,55506,5,5,2,0.484
56078,209188,5,5,1,0.207
56509,58522,5,5,1,0.128
56509,85942,5,5,1,0.181
58513,85942,5,5,1,0.192
58513,181588,5,5,1,0.149
58516,87239,5,5,1,0.258
58522,193032,5,5,1,0.395
58524,193035,5,5,1,0.178
67451,181580,5,5,1,0.177
69491,199484,5,5,1,0.35
69780,141122,5,5,1,0.303
70395,179298,5,5,1,0.103
70395,230720,5,5,2,0.638
70396,70395,5,5,1,0.332
74536,74538,5,5,1,0.153
74536,84358,5,5,1,0.39
74536,94043,5,5,1,0.342
74537,84358,5,5,1,0.337
74537,94043,5,5,1,0.406
74537,124158,5,5,9,3.969
74537,227100,5,5,4,2.418
74538,192947,5,5,1,0.272
74539,74537,5,5,1,0.315
74540,74539,5,5,1,0.135
74542,74536,5,5,1,0.2
74543,48599,5,5,1,0.611
74543,94047,5,5,1,0.335
74984,78027,5,5,1,0.297
76285,202791,5,5,1,0.166
76288,217576,5,5,1,0.308
76293,76288,5,5,1,0.168
76294,133791,5,5,1,0.326
78025,87702,5,5,1,0.155
78026,87698,5,5,1,0.31
78027,78026,5,5,1,0.241
78028,74984,5,5,2,0.342
78029,83198,5,5,1,0.414
78029,162049,5,5,1,0.319
78031,212649,5,5,1,0.44
83198,162047,5,5,1,0.172
83286,152187,5,5,2,0.51
84353,84357,5,5,1,0.353
84353,84361,5,5,1,0.438
84354,94939,5,5,1,0.266
84355,84353,5,5,1,0.219
84356,74537,5,5,1,0.124
84356,74538,5,5,1,0.199
84356,74543,5,5,1,0.278
84357,74538,5,5,1,0.159
84357,74543,5,5,1,0.342
84358,84354,5,5,1,0.246
84358,84361,5,5,1,0.401
84358,248417,5,5,8,1.134
84359,84354,5,5,1,0.204
84359,84357,5,5,1,0.324
84361,10976,5,5,2,0.339
84361,238473,5,5,2,0.528
84361,239502,5,5,1,0.294
85941,58522,5,5,2,0.317
85941,114170,5,5,1,0.137
85941,141883,5,5,1,0.393
85942,261633,5,5,1,0.21
85943,213319,5,5,1,0.171
85944,193032,5,5,1,0.096
87238,202825,5,5,2,0.293
87239,232006,5,5,3,0.673
87698,116735,5,5,1,0.281
87699,78029,5,5,1,0.332
87700,87703,5,5,1,0.349
87701,202832,5,5,1,0.197
87702,227447,5,5,1,0.265
87703,87701,5,5,1,0.314
89413,89415,5,5,1,0.293
89415,89417,5,5,1,0.223
89417,70396,5,5,1,0.154
89417,89418,5,5,1,0.285
89418,79732,5,5,1,0.4
89418,253930,5,5,1,0.235
89419,89417,5,5,1,0.242
89420,89419,5,5,1,0.296
94038,48599,5,5,1,0.43
94041,10976,5,5,2,0.483
94041,238473,5,5,1,0.497
94042,94044,5,5,1,0.221
94043,94041,5,5,1,0.218
94044,84356,5,5,1,0.265
94045,94043,5,5,2,0.339
94045,214174,5,5,1,0.308
94047,48599,5,5,1,0.34
94939,84355,5,5,1,0.172
103697,46118,5,5,1,0.48
103697,209191,5,5,1,0.207
103698,158065,5,5,1,0.19
103699,217034,5,5,1,0.349
106726,201143,5,5,1,0.45
106729,191355,5,5,1,0.402
108063,210796,5,5,1,0.19
114170,181588,5,5,1,0.199
114171,248410,5,5,1,0.191
114558,199484,5,5,1,0.107
114559,114561,5,5,1,0.084
114559,114567,5,5,1,0.368
114560,114558,5,5,1,0.127
114561,114563,5,5,1,0.28
114562,222170,5,5,1,0.138
114563,114562,5,5,1,0.101
114565,114560,5,5,1,0.243
114566,227096,5,5,1,0.257
114567,114566,5,5,1,0.265
114816,58524,5,5,1,0.27
114817,114816,5,5,2,0.334
114818,114819,5,5,1,0.357
114819,171848,5,5,1,0.098
116735,202829,5,5,1,0.179
118245,153890,5,5,10,4.356
118245,194735,5,5,2,0.69
118245,194736,5,5,2,0.69
118245,227100,5,5,5,3.769
124153,141200,5,5,2,0.367
124153,199396,5,5,1,0.425
124157,69780,5,5,2,0.429
124157,141200,5,5,1,0.47
124158,191362,5,5,5,1.174
124158,251690,5,5,1,0.14
124160,261650,5,5,1,0.081
126714,133796,5,5,1,0.261
126786,239510,5,5,1,0.215
128343,128349,5,5,1,0.223
128344,128346,5,5,1,0.156
128345,128343,5,5,1,0.148
128347,179297,5,5,1,0.282
128348,128350,5,5,1,0.314
128349,128347,5,5,1,0.348
128350,128344,5,5,1,0.234
129935,162048,5,5,1,0.417
133790,133792,5,5,1,0.414
133791,126714,5,5,1,0.23
133792,76293,5,5,1,0.196
133793,133797,5,5,1,0.183
133794,133793,5,5,1,0.157
133795,133790,5,5,1,0.223
133796,133794,5,5,1,0.1
133797,185887,5,5,1,0.205
133798,227448,5,5,1,0.21
135152,228720,5,5,1,0.292
138842,219346,5,5,1,0.298
138843,138842,5,5,1,0.254
141065,124153,5,5,1,0.257
141122,124160,5,5,2,0.345
141200,114559,5,5,1,0.176
141883,171846,5,5,1,0.171
143803,133798,5,5,1,0.163
143805,85941,5,5,3,0.596
143805,143803,5,5,1,0.179
143806,143805,5,5,1,0.181
143807,143806,5,5,1,0.017
143807,143808,5,5,1,0.118
143807,237179,5,5,1,0.281
143808,143809,5,5,1,0.289
143809,170157,5,5,1,0.207
152184,227441,5,5,1,0.389
152187,67451,5,5,1,0.148
152188,129935,5,5,1,0.375
152189,235691,5,5,1,0.269
152191,152189,5,5,1,0.173
153888,55511,5,5,1,0.457
153888,236809,5,5,1,0.222
153889,245323,5,5,1,0.289
153890,55511,5,5,1,0.611
153890,153888,5,5,1,0.26
155760,155774,5,5,1,0.152
155774,209192,5,5,1,0.297
155775,245837,5,5,1,0.134
158065,94038,5,5,1,0.311
162046,212646,5,5,1,0.421
162047,152191,5,5,1,0.345
162048,138843,5,5,1,0.108
162048,162046,5,5,1,0.192
162049,78031,5,5,1,0.198
163667,194735,5,5,7,4.046
