"ori_node","des_node","ori_layer","des_layer","minutes","km"
2523,9044,2,2,2,0.968
2523,17423,2,2,3,2.926
2523,28376,2,2,3,1.687
3438,10541,2,2,4,2.994
3438,13020,2,2,2,0.775
3438,18956,2,2,3,2.803
3438,28376,2,2,3,2.142
9044,2523,2,2,3,0.968
9044,45936,2,2,2,1.268
10541,3438,2,2,3,2.994
13020,3438,2,2,2,0.775
13020,15453,2,2,4,2.379
15453,13020,2,2,3,2.379
17423,2523,2,2,3,2.926
17888,45936,2,2,3,1.412
18956,3438,2,2,4,2.803
28376,2523,2,2,3,1.687
28376,3438,2,2,3,2.142
45936,9044,2,2,2,1.268
45936,17888,2,2,3,1.412
689,15453,5,5,1,0.561
689,33020,5,5,1,0.247
707,33027,5,5,1,0.261
707,33733,5,5,1,0.355
1533,2523,5,5,1,0.744
1533,28376,5,5,1,1.076
1866,32691,5,5,1,0.367
1866,44410,5,5,1,0.453
1907,2523,5,5,1,0.618
1907,15961,5,5,1,0.245
1998,13425,5,5,2,1.055
1998,34386,5,5,1,0.238
2449,34808,5,5,1,0.459
2449,126096,5,5,1,0.449
2449,179602,5,5,2,0.573
2523,1533,5,5,1,0.744
2523,2523,5,5,1,0
2523,8495,5,5,1,0.744
2523,9044,5,5,1,0.968
2523,11654,5,5,1,0.784
2523,46342,5,5,1,0.51
2523,48474,5,5,1,0.776
2523,156663,5,5,3,0.718
2523,162580,5,5,1,0.379
2523,237004,5,5,1,0.344
2523,253757,5,5,1,0.284
2829,8495,5,5,1,0.407
2829,47088,5,5,1,0.307
2896,21564,5,5,1,0.57
2896,45936,5,5,1,1.343
3133,40163,5,5,2,0.955
3146,30442,5,5,1,0.148
3146,49208,5,5,1,0.43
3368,10670,5,5,1,0.475
3368,43013,5,5,1,0.189
3438,3438,5,5,1,0
3438,10670,5,5,2,0.606
3438,13020,5,5,1,0.775
3438,34511,5,5,1,0.943
3438,34808,5,5,3,1.582
3438,34889,5,5,1,0.683
3438,179602,5,5,9,1.336
3444,32360,5,5,1,0.373
3444,34889,5,5,1,0.389
3727,23248,5,5,1,0.139
3727,155215,5,5,1,0.154
3879,10541,5,5,1,0.787
3879,36362,5,5,1,0.3
4119,4121,5,5,1,0.308
4119,70005,5,5,1,0.217
4121,4119,5,5,1,0.308
4121,205471,5,5,1,0.296
4123,24997,5,5,1,0.487
4123,25304,5,5,1,0.187
4740,32569,5,5,1,0.573
4740,40139,5,5,1,0.317
4740,179877,5,5,1,0.338
5172,22867,5,5,1,0.235
5172,197446,5,5,1,0.379
5305,14607,5,5,1,0.355
5305,23248,5,5,2,0.615
5305,40936,5,5,1,0.562
6267,15453,5,5,1,0.805
8495,2523,5,5,1,0.744
8495,2829,5,5,1,0.407
9044,2523,5,5,1,0.968
9044,9044,5,5,1,0
9044,47580,5,5,1,0.614
9044,111493,5,5,1,0.491
10541,3879,5,5,1,0.787
10541,10541,5,5,1,0
10541,11424,5,5,2,0.891
10670,3368,5,5,1,0.475
10670,3438,5,5,1,0.606
10760,34036,5,5,1,0.266
10760,49223,5,5,1,0.221
11424,10541,5,5,3,0.891
11424,40512,5,5,2,0.576
11654,2523,5,5,1,0.784
11654,18956,5,5,1,0.532
12808,43437,5,5,1,0.402
12819,28376,5,5,1,0.538
12819,48177,5,5,1,0.233
13020,3438,5,5,1,0.775
13020,13020,5,5,1,0
13020,18458,5,5,1,0.513
13020,26046,5,5,4,1.106
13020,38787,5,5,1,0.997
13425,1998,5,5,2,1.055
13425,41634,5,5,1,0.85
13893,33020,5,5,1,0.214
13893,50784,5,5,1,0.31
13893,127350,5,5,1,0.109
14607,5305,5,5,1,0.355
14607,46997,5,5,1,0.142
14739,22867,5,5,1,0.384
14739,22931,5,5,1,0.275
14739,225554,5,5,2,1.72
15453,689,5,5,1,0.561
15453,6267,5,5,1,0.805
15453,15453,5,5,1,0
15453,33733,5,5,1,0.653
15599,21732,5,5,1,0.292
15599,28292,5,5,1,0.44
15849,22931,5,5,1,0.247
15849,26807,5,5,1,0.268
15849,104119,5,5,2,0.5
15961,1907,5,5,1,0.245
16438,28292,5,5,1,0.198
16438,35562,5,5,1,0.229
16741,28997,5,5,1,0.355
16741,50641,5,5,1,0.479
17090,30513,5,5,1,0.351
17090,38086,5,5,1,0.586
17338,22570,5,5,1,0.326
17338,33372,5,5,1,0.392
17423,17423,5,5,1,0
17423,28125,5,5,1,0.579
17423,38384,5,5,1,0.605
17423,45936,5,5,1,0.726
17423,210265,5,5,1,0.27
17423,239995,5,5,1,0.747
17423,260691,5,5,2,1.126
17888,17888,5,5,1,0
17888,28327,5,5,1,0.752
17888,36562,5,5,3,0.798
17888,41394,5,5,1,0.514
17888,45936,5,5,2,1.412
18458,13020,5,5,1,0.513
18458,48649,5,5,1,0.222
18951,24309,5,5,1,0.382
18951,29581,5,5,1,0.331
18956,11654,5,5,1,0.532
18956,18956,5,5,1,0
18956,47746,5,5,1,0.725
19326,32385,5,5,1,0.39
19326,38384,5,5,1,0.287
20108,24606,5,5,1,0.287
20108,49208,5,5,1,0.361
20108,50784,5,5,1,0.261
20494,22570,5,5,1,0.256
21564,2896,5,5,1,0.57
21564,36816,5,5,1,0.468
21732,15599,5,5,1,0.292
21732,49877,5,5,1,0.118
21732,153385,5,5,8,0.92
22312,24606,5,5,1,0.252
22312,49877,5,5,1,0.247
22312,250513,5,5,1,0.441
22570,17338,5,5,1,0.326
22570,20494,5,5,1,0.256
22867,5172,5,5,1,0.235
22867,14739,5,5,1,0.384
22931,14739,5,5,1,0.275
22931,15849,5,5,1,0.247
23248,3727,5,5,1,0.139
23248,5305,5,5,2,0.615
24309,18951,5,5,1,0.382
24309,48474,5,5,1,0.514
24606,20108,5,5,1,0.287
24606,22312,5,5,1,0.252
24606,49877,5,5,1,0.499
24992,31989,5,5,1,0.258
24997,4123,5,5,1,0.487
24997,31989,5,5,1,0.259
25304,4123,5,5,1,0.187
25304,32979,5,5,1,0.278
26046,13020,5,5,4,1.106
26046,26112,5,5,3,0.806
26046,28292,5,5,2,0.85
26046,38787,5,5,1,0.765
26112,13893,5,5,1,0.373
26112,26046,5,5,4,0.806
26807,15849,5,5,1,0.268
26807,22931,5,5,1,0.513
26807,41634,5,5,1,0.545
26807,104119,5,5,1,0.32
27529,4121,5,5,1,0.472
27529,46071,5,5,2,0.639
28125,17423,5,5,1,0.579
28125,30256,5,5,1,0.233
28292,15599,5,5,1,0.44
28292,16438,5,5,1,0.198
28292,26046,5,5,3,0.85
28327,41394,5,5,1,0.24
28327,45936,5,5,1,0.692
28376,1533,5,5,2,1.076
28376,12819,5,5,1,0.538
28376,28376,5,5,1,0
28376,32360,5,5,1,0.828
28376,34512,5,5,1,0.522
28997,16741,5,5,1,0.355
29581,18951,5,5,1,0.331
29581,42397,5,5,1,0.25
29889,35562,5,5,1,0.327
29889,48807,5,5,1,0.234
30256,28125,5,5,1,0.233
30256,30258,5,5,1,0.324
30258,30256,5,5,1,0.324
30258,107016,5,5,1,0.423
30442,3146,5,5,1,0.148
30513,17090,5,5,1,0.351
30513,40512,5,5,1,0.404
31989,24992,5,5,1,0.258
31989,24997,5,5,1,0.259
32360,3444,5,5,1,0.373
32360,28376,5,5,1,0.828
32385,19326,5,5,4,0.39
32385,92939,5,5,1,0.59
32385,173791,5,5,1,0.25
32569,40139,5,5,1,0.257
32569,40936,5,5,1,0.371
32691,1866,5,5,1,0.367
32910,45321,5,5,1,0.751
32910,253757,5,5,1,0.655
32979,25304,5,5,1,0.278
32979,47746,5,5,1,0.268
33020,689,5,5,1,0.247
33020,13893,5,5,1,0.214
33027,707,5,5,1,0.261
33027,38787,5,5,1,0.487
33372,22570,5,5,1,0.451
33372,43059,5,5,1,0.138
33733,707,5,5,1,0.355
33733,15453,5,5,1,0.653
34036,61599,5,5,1,0.281
34036,118083,5,5,1,0.131
34386,1998,5,5,1,0.238
34386,40163,5,5,2,1.185
34511,3438,5,5,1,0.943
34511,34512,5,5,1,0.685
34512,28376,5,5,1,0.522
34512,34511,5,5,1,0.685
34808,2449,5,5,1,0.459
34808,43280,5,5,1,0.303
34889,3438,5,5,1,0.683
34889,3444,5,5,1,0.389
35562,16438,5,5,1,0.229
35562,29889,5,5,1,0.327
36362,3879,5,5,1,0.3
36362,38787,5,5,1,0.583
36562,17888,5,5,2,0.798
36562,45936,5,5,1,1.432
36816,21564,5,5,1,0.468
36816,42397,5,5,1,0.306
36816,49903,5,5,1,0.375
37686,9044,5,5,1,0.666
37686,37686,5,5,1,0
38086,17090,5,5,1,0.586
38384,17423,5,5,1,0.605
38384,19326,5,5,1,0.287
38787,13020,5,5,1,0.997
38787,26046,5,5,3,0.765
38787,33027,5,5,1,0.487
38787,36362,5,5,1,0.583
39472,34808,5,5,3,0.616
39472,42561,5,5,1,0.254
39472,43280,5,5,1,0.449
40139,4740,5,5,1,0.317
40139,32569,5,5,1,0.257
40139,49223,5,5,1,0.189
40139,138404,5,5,2,0.94
40163,3133,5,5,1,0.955
40163,34386,5,5,2,1.185
40512,30513,5,5,1,0.404
40512,54000,5,5,1,0.3
40936,5305,5,5,1,0.562
40936,32569,5,5,1,0.371
41394,17888,5,5,1,0.514
41394,28327,5,5,1,0.24
41394,153074,5,5,2,0.558
41443,111493,5,5,1,0.419
41443,156663,5,5,3,1.13
41634,13425,5,5,1,0.85
41634,26807,5,5,1,0.545
42397,29581,5,5,1,0.25
42397,36816,5,5,1,0.306
42561,39472,5,5,1,0.254
42561,48946,5,5,1,0.327
43013,3368,5,5,1,0.189
43013,48807,5,5,1,0.21
43059,33372,5,5,1,0.138
43059,58459,5,5,1,0.266
43211,43280,5,5,2,0.58
43211,43283,5,5,1,0.27
43280,34808,5,5,1,0.303
43280,39472,5,5,1,0.449
43280,43211,5,5,1,0.58
43283,43211,5,5,1,0.27
43283,190850,5,5,1,0.183
43437,12808,5,5,1,0.402
43437,239995,5,5,1,0.328
44410,1866,5,5,1,0.453
