"ori_node","des_node","ori_layer","des_layer","minutes","km"
7922,11542,2,2,3,2.873
8105,14357,2,2,3,2.899
11542,7922,2,2,4,2.873
11542,14357,2,2,2,1.469
11542,40174,2,2,4,2.68
14357,8105,2,2,3,2.899
14357,11542,2,2,3,1.469
21708,40174,2,2,5,5.898
40174,11542,2,2,5,2.68
40174,21708,2,2,6,5.898
1928,8747,5,5,1,0.351
1928,11564,5,5,3,1.986
1928,49871,5,5,1,0.36
1929,1930,5,5,1,0.634
1929,49871,5,5,1,0.542
1930,1929,5,5,2,0.634
1930,11543,5,5,1,0.727
1930,14562,5,5,2,0.519
1933,1934,5,5,2,1.351
1933,15220,5,5,1,0.381
1934,1933,5,5,1,1.351
1934,8747,5,5,1,1.357
2060,9605,5,5,1,0.585
2060,21142,5,5,1,0.303
2102,8453,5,5,1,0.197
2102,19513,5,5,1,0.277
2441,19727,5,5,1,0.751
2441,32539,5,5,1,0.199
2441,37485,5,5,1,0.518
2522,14357,5,5,1,0.519
2522,48161,5,5,1,0.346
2522,49944,5,5,1,0.205
2901,23774,5,5,1,0.455
2901,35360,5,5,1,0.47
3410,11564,5,5,1,0.327
3945,206058,5,5,1,0.976
4030,36539,5,5,1,0.309
4030,237238,5,5,1,0.305
4986,39281,5,5,1,0.213
4986,41572,5,5,1,0.226
5333,11828,5,5,1,0.196
5333,42402,5,5,1,0.155
5355,15963,5,5,1,0.266
5355,44479,5,5,1,0.312
6606,14562,5,5,1,0.472
6978,12676,5,5,1,0.329
6978,29300,5,5,2,0.964
6978,41292,5,5,1,0.473
7922,17274,5,5,1,0.547
7922,22491,5,5,1,0.674
7922,33956,5,5,1,0.586
7922,164771,5,5,1,0.786
8105,8105,5,5,1,0
8105,23774,5,5,1,0.709
8105,46813,5,5,1,0.696
8105,48083,5,5,5,2.305
8105,159965,5,5,5,1.426
8453,2102,5,5,1,0.197
8616,8747,5,5,4,2.601
8616,15220,5,5,1,0.293
8616,40174,5,5,1,0.631
8747,1928,5,5,1,0.351
8747,1934,5,5,1,1.357
8747,8616,5,5,3,2.601
9088,9090,5,5,1,0.13
9088,16655,5,5,1,0.237
9088,41461,5,5,1,0.522
9090,28240,5,5,2,0.44
