"ori_node","des_node","ori_layer","des_layer","minutes","km"
4293,39980,2,2,4,4.441
39980,4293,2,2,4,4.441
323,18294,5,5,1,0.496
323,18296,5,5,2,0.586
323,23852,5,5,1,0.332
323,137849,5,5,1,0.188
907,6733,5,5,1,0.247
907,20131,5,5,1,0.508
1057,31631,5,5,1,0.405
1079,33482,5,5,1,0.343
1079,46741,5,5,1,0.242
2186,2216,5,5,1,0.425
2186,18296,5,5,3,2.124
2186,21433,5,5,2,0.776
2186,23852,5,5,1,1.21
2216,2186,5,5,1,0.425
2216,21433,5,5,2,0.363
3071,7254,5,5,1,0.233
3071,40399,5,5,1,0.429
3071,44229,5,5,1,0.088
3594,22650,5,5,1,0.305
3594,32432,5,5,1,0.393
3819,5257,5,5,1,0.205
3819,32431,5,5,1,0.243
3819,45674,5,5,1,0.391
3956,10016,5,5,1,0.384
3956,14038,5,5,1,0.041
3956,37724,5,5,1,0.174
4213,18229,5,5,1,0.423
4213,32363,5,5,3,2.268
4293,4293,5,5,1,0
4293,21043,5,5,1,1.308
4293,38534,5,5,3,1.544
4917,23992,5,5,1,0.557
4917,42347,5,5,1,0.244
5173,7419,5,5,1,0.37
5173,37426,5,5,1,0.342
5173,45674,5,5,1,0.249
5257,3819,5,5,1,0.205
5257,45674,5,5,1,0.191
6518,29284,5,5,1,0.095
6518,30445,5,5,1,0.272
6518,44320,5,5,1,0.294
6733,907,5,5,1,0.247
6733,14265,5,5,1,0.287
7254,3071,5,5,1,0.233
7254,18294,5,5,1,0.274
7254,18296,5,5,1,0.31
7355,18229,5,5,1,0.591
7355,27872,5,5,1,0.148
7419,5173,5,5,1,0.37
7419,216432,5,5,1,0.342
8714,11251,5,5,1,0.523
8714,45472,5,5,1,0.294
9236,10581,5,5,1,0.252
9236,18930,5,5,1,0.556
9236,28389,5,5,1,0.313
9236,37759,5,5,3,1.549
9445,46269,5,5,1,0.491
9445,49118,5,5,1,0.245
9751,19334,5,5,1,0.277
9751,23852,5,5,3,2.704
9825,15622,5,5,1,0.577
10016,3956,5,5,1,0.384
10288,36040,5,5,2,0.269
10288,36701,5,5,1,0.161
10581,9236,5,5,1,0.252
10581,35813,5,5,1,0.706
11251,8714,5,5,1,0.523
11251,21043,5,5,1,0.325
11793,47944,5,5,1,0.519
12444,15846,5,5,1,0.673
12444,43042,5,5,1,0.367
14038,10016,5,5,1,0.398
14265,6733,5,5,1,0.287
14265,7419,5,5,1,0.094
14265,26066,5,5,3,0.884
14265,156314,5,5,2,0.394
15622,9825,5,5,1,0.577
15622,28040,5,5,1,0.493
15846,12444,5,5,1,0.673
15846,16389,5,5,1,0.374
16389,15846,5,5,1,0.374
16389,33235,5,5,3,1.357
16389,45472,5,5,1,0.381
17593,36821,5,5,1,0.448
18149,27531,5,5,1,0.617
18149,37235,5,5,1,0.511
18229,4213,5,5,1,0.423
18229,7355,5,5,2,0.591
18230,32363,5,5,1,0.318
18230,45610,5,5,1,0.386
18231,18232,5,5,1,0.421
18231,223458,5,5,1,0.867
18232,18231,5,5,1,0.421
18232,18930,5,5,1,0.184
18294,3071,5,5,1,0.506
18294,7254,5,5,1,0.274
18294,22650,5,5,1,0.252
18294,36043,5,5,1,0.18
18294,44229,5,5,1,0.525
18296,323,5,5,1,0.586
18296,2186,5,5,3,2.124
18296,18294,5,5,1,0.091
18296,18930,5,5,7,3.968
18296,37426,5,5,1,0.363
18296,138679,5,5,4,1.468
18656,22068,5,5,1,0.2
18656,48104,5,5,2,0.841
18930,9236,5,5,1,0.556
18930,18232,5,5,1,0.184
18930,18296,5,5,7,3.968
18930,28389,5,5,1,0.263
18930,32363,5,5,4,2.412
18930,40372,5,5,4,2.652
19334,9751,5,5,1,0.277
19334,47944,5,5,1,0.648
20131,907,5,5,1,0.508
21043,4293,5,5,2,1.308
21043,11251,5,5,1,0.325
21043,43317,5,5,5,2.695
21433,2186,5,5,2,0.776
21433,2216,5,5,1,0.363
21433,40372,5,5,1,0.581
22068,18656,5,5,1,0.2
22068,33235,5,5,1,0.32
22153,119540,5,5,1,0.391
22650,323,5,5,1,0.428
22650,3594,5,5,1,0.305
22650,18294,5,5,1,0.252
22784,31763,5,5,2,0.618
22784,40372,5,5,1,0.392
23852,323,5,5,1,0.332
23852,2186,5,5,3,1.21
23852,9751,5,5,2,2.704
23992,4917,5,5,1,0.557
23992,43042,5,5,1,0.343
23995,49118,5,5,2,1.19
25840,31631,5,5,2,1.238
25840,43914,5,5,1,0.377
26066,36701,5,5,2,0.498
26066,49946,5,5,1,0.265
27531,18149,5,5,1,0.617
27531,34814,5,5,1,0.332
27872,7355,5,5,1,0.148
27872,45610,5,5,1,0.485
28040,9825,5,5,1,1.07
28040,15622,5,5,1,0.493
28040,38316,5,5,1,0.53
