"ori_node","des_node","ori_layer","des_layer","minutes","km"
7485,19056,2,2,2,1.461
7485,50971,2,2,3,1.696
10416,36376,2,2,3,1.42
10416,38125,2,2,3,1.726
19056,7485,2,2,3,1.461
23882,49361,2,2,2,1.295
36376,10416,2,2,2,1.42
38125,10416,2,2,2,1.726
38125,49361,2,2,3,1.369
49361,23882,2,2,6,1.295
49361,38125,2,2,2,1.369
50971,7485,2,2,3,1.696
7485,7485,5,5,1,0
7485,101927,5,5,1,0.457
7485,134227,5,5,1,0.376
7485,254819,5,5,1,0.385
7485,254822,5,5,1,0.426
10416,10416,5,5,1,0
10416,136251,5,5,1,0.505
10416,185120,5,5,4,1.247
10416,244558,5,5,1,0.35
10416,249301,5,5,2,0.56
19056,19056,5,5,1,0
19056,72931,5,5,1,0.268
19056,101928,5,5,1,0.892
23882,146035,5,5,4,0.672
23882,146244,5,5,1,0.36
23882,162884,5,5,1,0.314
36376,36376,5,5,1,0
36376,106889,5,5,1,0.35
36376,128932,5,5,1,0.516
36376,128933,5,5,1,0.341
38125,38125,5,5,1,0
38125,82598,5,5,1,0.349
38125,90300,5,5,1,0.443
38125,126420,5,5,1,0.389
38125,150590,5,5,4,0.282
49361,49361,5,5,1,0
49361,146242,5,5,1,0.659
49361,159818,5,5,1,0.25
50971,159299,5,5,1,0.332
50971,244980,5,5,1,0.333
52203,55817,5,5,1,0.198
52204,118795,5,5,1,0.165
52204,224187,5,5,1,0.08
52205,222098,5,5,1,0.088
52206,52205,5,5,1,0.324
52206,207924,5,5,1,0.269
52207,52209,5,5,1,0.667
52207,97678,5,5,1,0.656
52208,52206,5,5,1,0.631
52209,113854,5,5,1,0.286
52210,253154,5,5,1,0.04
52211,211977,5,5,1,0.323
55817,112728,5,5,1,0.144
57696,113845,5,5,1,0.244
59357,36376,5,5,1,0.508
59357,128933,5,5,1,0.216
59705,213257,5,5,1,0.26
60220,185375,5,5,1,0.159
63188,57696,5,5,1,0.144
67770,106887,5,5,1,0.311
67772,90355,5,5,1,0.346
69173,89202,5,5,2,0.213
69183,141316,5,5,1,0.414
72931,182704,5,5,1,0.132
75808,89202,5,5,1,0.413
76208,69183,5,5,1,0.092
79525,221522,5,5,1,0.139
79526,225705,5,5,1,0.328
79527,79526,5,5,1,0.154
79529,60220,5,5,1,0.163
79530,185344,5,5,1,0.186
82584,126419,5,5,2,0.552
82598,141314,5,5,1,0.308
88672,233180,5,5,2,0.515
88875,92281,5,5,1,0.298
88875,244982,5,5,1,0.52
88875,244984,5,5,1,0.442
88879,88883,5,5,1,0.336
88882,92284,5,5,2,0.867
88882,92286,5,5,1,0.207
88883,254820,5,5,1,0.28
89017,89082,5,5,1,0.177
89070,149312,5,5,1,0.358
89082,90352,5,5,1,0.211
89202,108832,5,5,1,0.124
89203,69173,5,5,2,0.194
89203,89200,5,5,1,0.278
89484,52203,5,5,1,0.364
89484,118795,5,5,1,0.516
90300,185109,5,5,3,0.669
90300,231732,5,5,1,0.7
90352,89070,5,5,1,0.258
90353,90354,5,5,1,0.213
90354,67772,5,5,1,0.113
90355,89017,5,5,1,0.344
92281,92283,5,5,1,0.246
92281,92284,5,5,1,0.251
92282,88875,5,5,1,0.309
92283,88879,5,5,1,0.663
92284,92282,5,5,1,0.243
92286,92284,5,5,1,0.666
92289,88882,5,5,1,0.113
97678,52206,5,5,1,0.711
97678,52209,5,5,1,0.067
98819,137001,5,5,1,0.07
98820,127440,5,5,1,0.083
99256,126419,5,5,1,0.321
101927,101929,5,5,1,0.226
101928,147667,5,5,1,0.207
101929,19056,5,5,1,0.841
101930,92281,5,5,1,0.354
102604,50971,5,5,1,0.316
106886,206087,5,5,1,0.3
106887,106888,5,5,1,0.255
106888,36376,5,5,1,0.389
106889,106886,5,5,1,0.293
106890,116712,5,5,1,0.694
106891,116710,5,5,2,0.392
106891,238074,5,5,1,0.237
108818,79527,5,5,1,0.167
108818,89203,5,5,1,0.141
108832,108861,5,5,1,0.246
108851,59705,5,5,1,0.369
108861,108851,5,5,1,0.322
108889,162878,5,5,1,0.315
111885,59357,5,5,1,0.331
112728,52211,5,5,1,0.328
112729,52204,5,5,1,0.19
113839,113843,5,5,1,0.272
113843,113855,5,5,1,0.276
113844,157912,5,5,1,0.232
113845,182050,5,5,1,0.234
113849,106890,5,5,1,0.255
113849,116710,5,5,2,0.277
113854,244809,5,5,1,0.241
113855,52208,5,5,1,0.327
113855,97678,5,5,2,0.226
116707,36376,5,5,1,0.327
116707,128932,5,5,1,0.228
116708,116707,5,5,1,0.345
116709,116710,5,5,2,0.535
116710,116712,5,5,1,0.669
116710,128952,5,5,1,0.292
116710,179750,5,5,1,0.41
116710,222099,5,5,2,0.577
116711,116709,5,5,1,0.386
116712,116708,5,5,1,0.276
118625,52203,5,5,1,0.216
118625,224187,5,5,1,0.265
118795,207923,5,5,1,0.154
123481,88672,5,5,1,0.261
125750,10416,5,5,1,0.361
126418,82584,5,5,2,0.428
126418,159882,5,5,1,0.389
126418,233551,5,5,2,0.303
126419,38125,5,5,1,0.413
126420,126418,5,5,1,0.213
127440,244621,5,5,1,0.284
127459,98819,5,5,1,0.319
128932,59358,5,5,1,0.281
128933,116711,5,5,1,0.356
128952,128956,5,5,1,0.274
128956,106891,5,5,1,0.512
134227,201005,5,5,3,0.964
134227,202384,5,5,3,0.23
136245,136252,5,5,1,0.13
136246,136247,5,5,1,0.35
136246,249299,5,5,1,0.104
136247,141316,5,5,1,0.26
136248,136245,5,5,1,0.52
136251,136246,5,5,1,0.281
136252,141303,5,5,1,0.255
137001,67770,5,5,1,0.139
141303,10416,5,5,1,0.256
141314,136248,5,5,1,0.167
141314,185113,5,5,1,0.359
141316,38125,5,5,2,0.524
141316,213238,5,5,1,0.268
146004,146243,5,5,1,0.211
146035,200077,5,5,1,0.208
146242,200071,5,5,1,0.137
146243,49361,5,5,1,0.603
146244,146004,5,5,1,0.235
146245,23882,5,5,1,0.365
146245,146035,5,5,1,0.323
147667,7485,5,5,1,0.426
147667,134227,5,5,1,0.097
149310,90353,5,5,1,0.34
149312,160988,5,5,1,0.426
149319,165245,5,5,1,0.179
149324,149325,5,5,1,0.195
149325,242822,5,5,1,0.316
149326,149324,5,5,1,0.278
149328,149319,5,5,1,0.298
150588,10416,5,5,2,0.566
150590,38125,5,5,3,0.282
150590,90300,5,5,1,0.505
157912,113839,5,5,1,0.249
159220,159237,5,5,2,0.226
159233,63188,5,5,1,0.151
159233,113839,5,5,1,0.265
159237,159233,5,5,1,0.193
159293,50971,5,5,1,0.351
159299,101930,5,5,1,0.315
159299,244982,5,5,1,0.443
159818,222039,5,5,1,0.328
159842,231731,5,5,1,0.488
159882,49361,5,5,1,0.505
160988,149326,5,5,1,0.228
162878,162883,5,5,1,0.321
162883,108818,5,5,1,0.248
162884,108889,5,5,1,0.321
162886,23882,5,5,1,0.274
165245,165262,5,5,1,0.401
165262,149310,5,5,1,0.391
179750,113844,5,5,1,0.237
182050,113849,5,5,1,0.143
182704,182709,5,5,1,0.14
182709,240339,5,5,1,0.129
182714,19056,5,5,1,0.265
185109,10416,5,5,5,1.231
185113,249303,5,5,1,0.104
185120,150590,5,5,5,0.252
185340,79525,5,5,1,0.33
185344,185340,5,5,1,0.25
185375,79530,5,5,1,0.17
197897,254283,5,5,1,0.25
200071,146245,5,5,1,0.23
200077,23882,5,5,6,0.796
200077,146244,5,5,1,0.438
201005,7485,5,5,9,0.615
201005,202384,5,5,2,0.873
206087,98820,5,5,1,0.147
207923,241014,5,5,1,0.169
207924,118625,5,5,1,0.344
207924,251880,5,5,2,0.497
208842,244983,5,5,1,0.191
211977,52210,5,5,1,0.117
213238,38125,5,5,1,0.328
213257,162886,5,5,1,0.101
217737,254821,5,5,1,0.284
218411,233181,5,5,1,0.329
221522,89203,5,5,1,0.227
221522,108832,5,5,1,0.192
222039,99256,5,5,1,0.276
222075,159842,5,5,1,0.296
222075,231730,5,5,4,1.001
222098,52207,5,5,1,0.45
222098,207924,5,5,1,0.178
222099,244672,5,5,2,0.747
222103,7485,5,5,3,0.39
224187,242819,5,5,1,0.333
225705,79529,5,5,1,0.282
231730,38125,5,5,5,0.777
231731,38125,5,5,3,0.998
231732,222075,5,5,2,0.645
233181,123481,5,5,2,0.598
233551,126419,5,5,2,0.358
238074,116710,5,5,1,0.292
240339,182714,5,5,1,0.149
240973,112729,5,5,1,0.325
241014,52205,5,5,2,0.047
241014,52207,5,5,1,0.38
241039,149328,5,5,1,0.281
242819,242821,5,5,1,0.26
242821,241039,5,5,1,0.252
242822,89484,5,5,1,0.312
244558,127459,5,5,1,0.246
244621,125750,5,5,1,0.26
244621,150588,5,5,2,0.428
244672,113855,5,5,3,0.206
244672,244809,5,5,3,0.098
244737,57696,5,5,1,0.224
244737,63188,5,5,1,0.117
244737,197897,5,5,1,0.477
244809,244737,5,5,1,0.29
244979,217737,5,5,1,0.223
244980,244979,5,5,1,0.503
244982,63424,5,5,1,0.174
244983,101930,5,5,1,0.615
244983,244984,5,5,1,0.229
244984,159293,5,5,1,0.354
249299,76208,5,5,1,0.18
249301,127459,5,5,1,0.413
249302,136245,5,5,1,0.175
249303,249302,5,5,1,0.17
251880,118795,5,5,1,0.126
