"ori_node","des_node","ori_layer","des_layer","minutes","km"
20285,37970,2,2,3,2.617
26756,42594,2,2,2,1.645
26756,51218,2,2,6,5.949
37970,20285,2,2,3,2.617
37970,26756,2,2,5,5.309
37970,42594,2,2,4,3.665
42594,26756,2,2,3,1.645
42594,37970,2,2,3,3.665
51218,26756,2,2,6,5.949
1325,24591,5,5,1,0.268
1325,51440,5,5,1,0.324
10140,51218,5,5,1,0.629
20285,20285,5,5,1,0
20285,81976,5,5,1,0.379
20285,199742,5,5,1,0.315
20285,224728,5,5,1,0.287
24588,26576,5,5,1,0.29
24588,26585,5,5,1,0.625
24590,24591,5,5,1,0.222
24590,37930,5,5,1,0.133
24591,1325,5,5,1,0.268
24591,24590,5,5,1,0.222
26576,24588,5,5,1,0.29
26576,113934,5,5,1,0.694
26585,24588,5,5,1,0.625
26585,33227,5,5,1,0.181
26756,26756,5,5,1,0
26756,58906,5,5,1,0.418
26756,81934,5,5,1,0.261
26756,205576,5,5,1,0.274
33227,26585,5,5,1,0.181
33227,51440,5,5,1,0.177
37930,24590,5,5,1,0.133
37930,51218,5,5,1,0.596
37930,251096,5,5,1,0.163
37970,37970,5,5,1,0
37970,91405,5,5,1,0.382
37970,119168,5,5,1,0.331
37970,242986,5,5,1,0.456
42594,42594,5,5,1,0
42594,126141,5,5,1,0.27
42594,255190,5,5,1,0.357
49664,111173,5,5,1,0.231
51218,10140,5,5,1,0.629
51218,37930,5,5,1,0.596
51218,51218,5,5,1,0
51218,113934,5,5,5,3.349
51218,181331,5,5,1,0.352
51440,1325,5,5,1,0.324
51440,33227,5,5,1,0.177
51532,53584,5,5,1,0.374
51534,121201,5,5,1,0.155
51535,51534,5,5,1,0.173
51567,242555,5,5,1,0.278
51796,121258,5,5,1,0.2
52041,153651,5,5,1,0.107
52109,151356,5,5,1,0.295
52166,72980,5,5,1,0.147
52166,147253,5,5,1,0.255
52166,253112,5,5,1,0.137
52506,179432,5,5,1,0.232
53045,20285,5,5,1,0.363
53208,184204,5,5,1,0.236
53373,111377,5,5,1,0.201
53483,63175,5,5,1,0.201
53579,72780,5,5,1,0.146
53584,130955,5,5,1,0.406
53846,245062,5,5,1,0.234
53846,252063,5,5,1,0.127
54071,115449,5,5,1,0.607
54071,207177,5,5,1,0.242
54161,72138,5,5,1,0.232
54459,167368,5,5,1,0.304
54840,125216,5,5,1,0.121
55782,113771,5,5,1,0.203
