"ori_node","des_node","ori_layer","des_layer","minutes","km"
858,10217,2,2,4,2.228
6194,44899,2,2,4,2.377
10217,858,2,2,3,2.228
10217,14766,2,2,2,1.754
14766,10217,2,2,3,1.754
14766,44899,2,2,4,2.635
44899,6194,2,2,4,2.377
44899,14766,2,2,4,2.635
6194,26371,3,3,2,1.041
11548,26371,3,3,2,1.254
26371,6194,3,3,1,1.041
26371,11548,3,3,2,1.254
271,273,5,5,1,0.298
271,3172,5,5,1,0.151
271,23814,5,5,1,0.139
273,271,5,5,1,0.298
273,33837,5,5,1,0.284
858,858,5,5,1,0
858,5941,5,5,1,0.644
858,13000,5,5,1,0.505
858,31446,5,5,1,0.768
858,248864,5,5,1,0.422
886,38296,5,5,1,0.249
886,62837,5,5,1,0.336
886,153132,5,5,1,0.179
999,999,5,5,1,0
999,1582,5,5,1,0.351
999,14766,5,5,1,0.655
999,44773,5,5,1,0.398
999,62741,5,5,1,0.4
999,191331,5,5,1,0.23
1118,14399,5,5,1,0.192
1118,39140,5,5,1,0.39
1194,27433,5,5,1,0.234
1194,32170,5,5,1,0.518
1194,129275,5,5,1,0.233
1582,999,5,5,1,0.351
1582,14766,5,5,1,0.637
2069,2077,5,5,1,0.256
2069,28500,5,5,1,0.518
2077,2069,5,5,1,0.256
2077,3172,5,5,1,0.115
2095,26369,5,5,1,0.422
2095,51102,5,5,1,0.403
2096,3126,5,5,1,0.224
2096,30180,5,5,1,0.172
2377,2673,5,5,1,0.281
2377,35719,5,5,1,0.195
2673,2377,5,5,1,0.281
2673,16891,5,5,1,0.321
2673,38561,5,5,1,0.281
2673,50705,5,5,1,0.385
3126,2096,5,5,1,0.224
3172,271,5,5,1,0.151
3172,2077,5,5,1,0.115
3172,9449,5,5,1,0.231
3172,23814,5,5,1,0.205
3261,7634,5,5,1,0.374
3261,261361,5,5,1,0.291
3426,26183,5,5,1,0.365
3426,47206,5,5,1,0.448
3434,7634,5,5,1,0.354
3434,35105,5,5,1,0.364
4702,9449,5,5,1,0.414
4702,22462,5,5,1,0.174
4733,24401,5,5,1,0.276
4733,50183,5,5,1,0.24
4797,36937,5,5,1,0.53
4797,41568,5,5,1,0.643
5711,886,5,5,1,0.276
5711,36677,5,5,1,0.347
5711,124471,5,5,1,0.443
5894,38181,5,5,1,0.189
5894,43436,5,5,1,0.325
5901,14679,5,5,1,0.308
5901,24402,5,5,1,0.497
5901,233611,5,5,1,0.271
5941,858,5,5,1,0.644
5941,27435,5,5,1,0.365
5988,14934,5,5,2,0.743
5988,16567,5,5,1,0.426
5988,225609,5,5,2,0.807
6194,6194,5,5,1,0
6194,30791,5,5,1,0.537
6194,39896,5,5,1,0.624
6194,45841,5,5,1,0.742
6194,136335,5,5,1,0.469
6194,196317,5,5,1,0.26
6234,10093,5,5,1,0.088
6234,27991,5,5,1,0.263
6575,18358,5,5,2,0.667
6575,23115,5,5,1,0.246
6575,113975,5,5,1,0.252
6575,116848,5,5,1,0.164
6584,37782,5,5,1,0.345
6584,40225,5,5,1,0.32
6806,27916,5,5,4,2.302
6911,11425,5,5,1,0.549
6911,197026,5,5,1,0.493
6938,22726,5,5,1,0.387
6938,204545,5,5,1,0.584
7043,13513,5,5,1,0.21
7043,22991,5,5,1,0.385
7602,31382,5,5,1,0.252
7602,217753,5,5,1,0.191
7634,3261,5,5,1,0.374
7634,3434,5,5,1,0.354
8474,28500,5,5,1,0.233
8474,32170,5,5,1,0.238
8494,18762,5,5,1,0.43
8494,40962,5,5,2,0.7
8494,196317,5,5,1,0.413
8496,45589,5,5,1,0.284
8496,45868,5,5,1,0.194
8511,16738,5,5,1,0.465
8511,30225,5,5,1,0.303
8680,8681,5,5,1,0.258
8680,17374,5,5,1,0.385
8681,8680,5,5,1,0.258
8681,8685,5,5,1,0.257
8683,8686,5,5,1,0.391
8683,23997,5,5,2,0.787
8684,23997,5,5,1,0.524
8684,27922,5,5,2,0.639
8685,8681,5,5,1,0.257
8685,8686,5,5,1,0.368
8686,8683,5,5,1,0.391
8686,8685,5,5,1,0.368
8687,8688,5,5,1,0.319
8687,8690,5,5,1,0.711
8688,8687,5,5,1,0.319
8688,27926,5,5,1,0.923
8689,8690,5,5,1,0.293
8689,42666,5,5,1,0.639
8690,8687,5,5,1,0.711
8690,8689,5,5,1,0.293
8986,1582,5,5,1,0.41
8986,37225,5,5,1,0.317
9319,14936,5,5,1,0.289
9319,30314,5,5,1,0.21
9449,3172,5,5,1,0.231
9449,4702,5,5,1,0.414
9662,15442,5,5,1,0.374
9662,127713,5,5,1,0.964
9662,142679,5,5,1,0.269
10086,16379,5,5,1,0.486
10093,14934,5,5,1,0.328
10093,28182,5,5,1,0.346
10175,10218,5,5,1,0.216
10175,45589,5,5,1,0.25
10176,10218,5,5,1,0.267
10176,27238,5,5,2,0.36
10212,34990,5,5,2,0.596
10212,40286,5,5,1,0.278
10217,10217,5,5,1,0
10217,34639,5,5,1,0.678
10217,35719,5,5,1,0.684
10217,42805,5,5,1,0.868
10217,45868,5,5,1,0.682
10217,129788,5,5,1,0.53
10218,10175,5,5,1,0.216
10218,10176,5,5,1,0.267
10300,30180,5,5,1,0.306
10300,45990,5,5,1,0.246
10898,6575,5,5,1,0.526
10898,25115,5,5,1,0.468
11425,6911,5,5,1,0.549
11425,22726,5,5,1,0.265
11548,17757,5,5,1,0.437
11548,40286,5,5,1,0.415
12069,14688,5,5,1,0.307
12541,31978,5,5,1,0.333
12541,49966,5,5,1,0.554
12738,14679,5,5,1,0.546
12738,18594,5,5,1,0.444
13000,858,5,5,1,0.505
13000,41568,5,5,2,0.613
13000,156881,5,5,1,0.277
13354,858,5,5,1,0.578
13354,49982,5,5,1,0.358
13513,7043,5,5,1,0.21
13513,14766,5,5,1,0.928
14099,17808,5,5,1,1.951
14099,21195,5,5,1,0.44
14399,1118,5,5,1,0.192
14399,26371,5,5,1,0.509
14670,18072,5,5,1,0.263
14670,24416,5,5,1,0.279
14670,40962,5,5,1,0.308
14679,12738,5,5,1,0.546
14679,20195,5,5,1,0.394
14679,44773,5,5,2,0.771
14679,176404,5,5,1,0.504
14688,12069,5,5,1,0.307
14688,19660,5,5,1,0.256
14766,999,5,5,1,0.655
14766,1582,5,5,1,0.637
14766,14766,5,5,1,0
14766,18358,5,5,1,0.625
14766,23115,5,5,1,0.827
14766,26909,5,5,1,0.88
14766,34100,5,5,1,0.623
14766,37782,5,5,1,0.632
14766,45990,5,5,1,0.602
14766,62741,5,5,1,0.333
14766,96185,5,5,1,0.688
14766,109971,5,5,1,0.393
14766,191331,5,5,1,0.72
14804,15966,5,5,1,0.273
14804,50951,5,5,1,0.148
14934,5988,5,5,1,0.743
14934,10093,5,5,1,0.328
14934,225609,5,5,1,0.064
14936,5711,5,5,1,0.171
14936,9319,5,5,1,0.289
15442,9662,5,5,1,0.374
15442,43508,5,5,1,0.447
15966,14804,5,5,1,0.273
15966,21550,5,5,1,0.435
15966,37532,5,5,1,0.576
16379,10086,5,5,1,0.486
16379,101381,5,5,1,0.338
16567,5988,5,5,1,0.426
16567,20848,5,5,1,0.387
16610,39498,5,5,1,0.211
16610,50183,5,5,1,0.237
16738,8511,5,5,1,0.465
16738,43508,5,5,1,0.399
16891,2673,5,5,1,0.321
16891,30724,5,5,1,0.262
16891,44079,5,5,1,0.345
16891,50705,5,5,1,0.166
17373,17374,5,5,1,0.26
17373,52353,5,5,1,0.21
17374,8680,5,5,1,0.385
17374,17373,5,5,1,0.26
17502,35105,5,5,1,0.408
17502,170350,5,5,1,0.337
17704,39140,5,5,1,0.332
17704,49966,5,5,1,0.233
17704,141153,5,5,1,0.276
17757,11548,5,5,1,0.437
17757,39140,5,5,1,0.412
17808,14099,5,5,1,1.951
17808,31446,5,5,1,0.332
17996,21195,5,5,1,0.093
17996,23550,5,5,1,0.223
18072,14670,5,5,1,0.263
18358,6575,5,5,2,0.667
18358,14766,5,5,1,0.625
18358,26369,5,5,1,0.452
18594,24349,5,5,1,0.249
18594,45053,5,5,1,0.314
18762,8494,5,5,1,0.43
18762,40962,5,5,1,0.271
19109,42684,5,5,1,0.225
19109,191229,5,5,1,0.257
19660,14688,5,5,1,0.256
19660,45040,5,5,2,0.439
20193,231872,5,5,1,0.246
20195,14679,5,5,1,0.394
20195,220043,5,5,1,0.401
20632,7602,5,5,1,0.276
20845,31977,5,5,1,0.357
20845,36679,5,5,1,0.141
20848,5988,5,5,2,0.812
20848,16567,5,5,1,0.387
20848,141282,5,5,1,0.347
21184,34100,5,5,1,0.328
21184,45589,5,5,1,0.311
21195,14099,5,5,1,0.44
21195,17996,5,5,1,0.093
21195,23756,5,5,1,0.318
21550,15966,5,5,1,0.435
21550,27021,5,5,1,0.236
22305,9662,5,5,1,0.402
22305,46178,5,5,1,0.316
22305,142679,5,5,1,0.135
22462,4702,5,5,1,0.174
22462,27433,5,5,1,0.241
22462,38181,5,5,1,0.178
22462,136683,5,5,1,0.645
22726,6938,5,5,1,0.387
22726,11425,5,5,1,0.265
22991,7043,5,5,1,0.385
22991,245562,5,5,1,0.506
23115,6575,5,5,1,0.246
23115,14766,5,5,1,0.827
23115,26369,5,5,1,0.365
23550,17996,5,5,1,0.223
23550,42684,5,5,1,0.233
23756,21195,5,5,1,0.318
23756,45841,5,5,1,0.209
23814,271,5,5,1,0.139
23814,3172,5,5,1,0.205
23814,46066,5,5,1,0.406
23814,82154,5,5,1,0.404
23997,8683,5,5,1,0.787
23997,8684,5,5,1,0.524
24349,18594,5,5,1,0.249
24349,24350,5,5,1,0.274
24350,24349,5,5,1,0.274
24350,41514,5,5,1,0.204
24350,120879,5,5,1,0.352
24401,4733,5,5,1,0.276
24401,37225,5,5,1,0.349
24402,51698,5,5,2,0.334
24402,59806,5,5,1,1.848
24415,24416,5,5,1,0.446
24415,44805,5,5,1,0.637
