"ori_node","des_node","ori_layer","des_layer","minutes","km"
7995,170324,5,5,1,0.395
8033,9621,5,5,1,0.177
8033,16267,5,5,1,0.173
8033,16281,5,5,1,0.493
9621,8033,5,5,1,0.177
9621,16281,5,5,1,0.317
11197,16281,5,5,1,0.178
11197,43604,5,5,1,0.168
16267,7995,5,5,1,0.71
16267,8033,5,5,1,0.173
16281,9621,5,5,1,0.317
16281,11197,5,5,1,0.178
43604,11197,5,5,1,0.168
43604,115710,5,5,1,1
53677,234952,5,5,1,0.247
53686,171056,5,5,1,0.434
56912,185124,5,5,3,0.322
56912,185695,5,5,1,0.123
56913,135430,5,5,1,0.169
56919,115712,5,5,1,0.299
56919,253838,5,5,1,0.125
56920,92801,5,5,1,0.191
59060,204999,5,5,1,0.417
60916,78301,5,5,2,0.721
60916,86450,5,5,1,0.35
60916,121979,5,5,1,0.337
60916,148127,5,5,2,0.317
60916,158190,5,5,1,0.415
60916,194553,5,5,1,0.339
62188,184304,5,5,1,0.318
62188,216042,5,5,1,0.35
62188,216368,5,5,1,0.041
62189,135822,5,5,1,0.399
62189,194958,5,5,1,0.324
62190,110900,5,5,1,0.325
62190,137406,5,5,1,0.705
62638,128276,5,5,1,0.25
62827,64338,5,5,1,0.253
62965,78298,5,5,2,0.6
62965,249210,5,5,1,0.279
63278,164742,5,5,1,0.081
64000,86074,5,5,1,0.14
64000,239789,5,5,1,0.293
64093,159020,5,5,1,0.481
64093,241537,5,5,1,0.179
64094,64093,5,5,1,0.174
64096,174734,5,5,1,0.325
64099,64094,5,5,1,0.338
64099,135822,5,5,1,0.451
64338,196066,5,5,1,0.247
66536,77928,5,5,1,0.216
66766,248434,5,5,1,0.196
66928,197961,5,5,1,0.241
68043,94812,5,5,1,0.223
68043,204854,5,5,1,0.377
68043,229098,5,5,2,0.818
68699,229096,5,5,3,2.546
69146,222114,5,5,6,1.771
69147,91376,5,5,1,0.256
71735,53677,5,5,1,0.168
71737,232715,5,5,1,0.141
72084,156858,5,5,1,0.378
72144,174737,5,5,1,0.292
72145,137410,5,5,1,0.274
72146,184307,5,5,1,0.26
72477,72480,5,5,1,0.449
72477,193138,5,5,2,0.673
72478,92803,5,5,1,0.487
72478,224653,5,5,1,0.196
72479,72478,5,5,1,0.686
72480,193138,5,5,1,0.243
73077,206686,5,5,1,0.17
76217,82266,5,5,1,0.288
76217,174215,5,5,1,0.349
76697,170475,5,5,1,0.452
76755,137407,5,5,1,0.243
76756,62190,5,5,1,0.387
76757,117874,5,5,1,0.317
77928,135208,5,5,5,1.191
77928,138003,5,5,4,2.078
77928,206283,5,5,1,0.538
78298,221699,5,5,1,0.321
78299,78303,5,5,1,0.268
78300,88024,5,5,1,0.166
78301,78304,5,5,1,0.301
78303,158190,5,5,3,0.52
78303,174570,5,5,2,0.51
78303,194553,5,5,3,0.644
78303,202903,5,5,2,0.77
78303,211667,5,5,1,0.319
78304,62965,5,5,1,0.319
79454,196626,5,5,1,0.3
79455,196631,5,5,1,0.382
79456,135818,5,5,1,0.376
79472,209645,5,5,5,3.038
79472,229096,5,5,1,0.515
80180,228552,5,5,1,0.354
80433,221578,5,5,1,0.367
81888,161684,5,5,1,0.337
82081,107282,5,5,2,0.596
82081,258025,5,5,1,0.303
82266,230932,5,5,1,0.394
86074,239789,5,5,1,0.153
86448,88402,5,5,1,0.352
86450,158195,5,5,1,0.196
86450,163068,5,5,1,0.458
86450,202903,5,5,1,0.256
86451,211666,5,5,1,0.107
86452,221701,5,5,1,0.235
88024,242733,5,5,1,0.307
88355,176829,5,5,1,0.332
88402,211671,5,5,1,0.334
91375,164742,5,5,1,0.161
91375,248186,5,5,1,0.111
91376,248183,5,5,1,0.198
91817,211668,5,5,1,0.387
92685,165598,5,5,1,0.195
92796,214701,5,5,1,0.359
92797,214697,5,5,1,0.226
92797,214700,5,5,1,0.262
92797,223502,5,5,1,0.865
92797,258023,5,5,1,0.2
92799,204998,5,5,1,0.315
