"ori_node","des_node","ori_layer","des_layer","minutes","km"
18955,31292,2,2,2,3.108
18955,97757,2,2,5,5.154
31292,18955,2,2,2,3.108
31292,97757,2,2,2,2.051
97757,18955,2,2,4,5.154
97757,31292,2,2,2,2.051
89119,138880,4,4,10,6.908
89119,253207,4,4,10,4.007
89119,253209,4,4,10,4.039
161421,89119,4,4,10,6.864
253209,89119,4,4,10,4.039
18955,18955,5,5,1,0
18955,84713,5,5,1,1.032
18955,87679,5,5,1,0.559
18955,87942,5,5,2,0.74
18955,130566,5,5,1,0.275
18955,135398,5,5,1,0.625
18955,138850,5,5,1,0.421
18955,139076,5,5,3,0.932
18955,160142,5,5,1,0.457
18955,200589,5,5,9,0.9
18955,262017,5,5,1,0.258
31292,31292,5,5,1,0
31292,125970,5,5,1,0.359
31292,189781,5,5,1,0.44
31292,221697,5,5,1,0.302
52401,224183,5,5,2,0.45
52766,54649,5,5,1,0.401
53858,75177,5,5,2,1.587
53858,157418,5,5,2,1.728
54649,68364,5,5,1,0.477
54649,157838,5,5,2,1.574
54651,52766,5,5,2,0.405
55041,82240,5,5,1,0.363
55041,217617,5,5,1,2.119
55041,238306,5,5,2,1.267
55069,111237,5,5,1,0.651
55106,63104,5,5,1,0.351
55107,79162,5,5,1,0.392
55663,253209,5,5,1,0.153
56073,229341,5,5,1,0.826
56073,253205,5,5,1,0.145
56073,253206,5,5,1,0.149
56292,250852,5,5,1,0.273
57963,253209,5,5,1,0.473
58600,143850,5,5,1,0.278
58629,99224,5,5,1,0.171
59252,198915,5,5,1,0.351
59253,157418,5,5,1,0.29
59254,59252,5,5,1,0.196
59407,174366,5,5,1,0.253
59407,183200,5,5,1,0.138
59626,149550,5,5,1,0.189
59770,252411,5,5,1,1.82
59827,122745,5,5,1,0.274
59827,248251,5,5,2,2.369
62423,136388,5,5,1,0.4
63103,55107,5,5,1,0.344
63104,87248,5,5,1,0.246
63376,116200,5,5,8,4.91
63817,72689,5,5,8,1.318
63817,102300,5,5,2,0.354
63817,132198,5,5,8,1.325
63817,172081,5,5,8,1.489
64793,89523,5,5,4,2.365
64793,99173,5,5,1,0.171
65846,250395,5,5,1,0.279
65933,117313,5,5,1,1.541
66995,66997,5,5,1,0.795
66996,59770,5,5,1,2.418
66996,154575,5,5,2,2.726
66997,216840,5,5,1,0.895
67489,140314,5,5,7,0.73
67489,234234,5,5,2,0.31
67536,100340,5,5,1,0.261
67536,254214,5,5,1,0.336
68364,59626,5,5,1,0.735
68789,246092,5,5,1,0.263
71079,152847,5,5,1,0.18
71084,258791,5,5,1,0.281
71114,221369,5,5,1,0.53
71702,117076,5,5,1,0.299
71702,223105,5,5,1,0.282
71851,237796,5,5,1,0.292
72689,63817,5,5,5,1.318
72689,141323,5,5,5,0.512
73058,76876,5,5,6,4.326
73058,81283,5,5,2,3.724
73058,89523,5,5,1,0.349
73058,214720,5,5,7,3.506
73471,226815,5,5,1,0.132
74835,197229,5,5,1,0.513
74863,262017,5,5,1,0.631
75177,136388,5,5,3,0.905
75177,144033,5,5,1,0.15
75177,171786,5,5,1,0.271
76876,73058,5,5,6,4.326
79162,71079,5,5,1,0.359
79163,55106,5,5,1,0.333
79964,136388,5,5,5,0.628
79964,246558,5,5,4,0.619
81056,87942,5,5,1,0.457
81056,139076,5,5,2,0.518
81283,82240,5,5,2,3.2
81283,82248,5,5,2,3.109
81283,133011,5,5,1,0.969
81283,217617,5,5,1,0.977
81442,130051,5,5,1,0.163
82103,147902,5,5,1,0.304
82240,55041,5,5,1,0.363
82240,217617,5,5,5,2.25
82240,238306,5,5,4,1.134
82451,142338,5,5,1,0.197
82835,117076,5,5,1,0.178
82835,122142,5,5,1,1.322
82986,185938,5,5,1,0.259
82986,246067,5,5,1,0.47
83011,67536,5,5,1,0.387
83209,95059,5,5,1,0.322
83209,193343,5,5,1,0.147
83351,166735,5,5,1,0.327
83797,262214,5,5,1,0.294
84499,250853,5,5,1,0.276
84713,136283,5,5,1,0.301
86305,143971,5,5,4,1.716
86305,144643,5,5,3,1.624
87105,63103,5,5,1,0.248
87105,165125,5,5,2,0.86
87247,95157,5,5,1,0.296
87248,95158,5,5,1,0.198
87248,107913,5,5,1,0.209
87248,131721,5,5,2,0.379
87248,150273,5,5,1,0.054
87679,87941,5,5,1,0.134
87679,87942,5,5,1,0.182
87716,145174,5,5,1,0.142
87788,124041,5,5,1,0.116
87790,206371,5,5,1,0.236
87941,71851,5,5,1,0.25
87941,83011,5,5,1,0.328
