"ori_node","des_node","ori_layer","des_layer","minutes","km"
10022,50550,4,4,2,1.674
44086,50550,4,4,3,1.024
50550,10022,4,4,3,1.674
50550,44086,4,4,4,1.024
7386,7386,5,5,1,0
7386,44086,5,5,1,0.799
7386,83452,5,5,1,0.258
7386,226478,5,5,1,0.247
10022,123039,5,5,1,0.294
10022,142810,5,5,1,0.417
10022,209614,5,5,1,0.499
10022,236137,5,5,1,0.203
44086,44086,5,5,1,0
44086,58867,5,5,1,0.461
44086,106569,5,5,1,0.316
44086,111516,5,5,5,0.635
44086,163869,5,5,1,0.48
44086,187968,5,5,1,0.318
44086,205748,5,5,3,0.778
44086,213062,5,5,2,0.75
44086,237052,5,5,1,0.291
50550,139241,5,5,1,0.537
50550,142941,5,5,1,0.348
50550,159431,5,5,1,0.182
54883,207156,5,5,1,0.343
54883,241715,5,5,1,0.207
56314,104951,5,5,1,0.406
56314,226478,5,5,1,0.633
56314,235739,5,5,1,0.167
58867,95462,5,5,1,0.229
58867,237807,5,5,1,0.213
60158,152885,5,5,1,0.248
64502,100404,5,5,2,0.866
64502,117008,5,5,2,0.599
64502,138029,5,5,3,0.817
64502,138033,5,5,2,0.819
64502,149659,5,5,2,0.665
64502,202136,5,5,1,0.694
66385,216575,5,5,1,0.666
68105,125987,5,5,1,0.202
68673,7386,5,5,1,0.207
68673,83452,5,5,1,0.133
74081,151068,5,5,2,0.374
74082,123592,5,5,2,0.411
74091,50550,5,5,1,0.377
74091,89736,5,5,2,0.48
74207,126555,5,5,1,0.313
75836,192777,5,5,1,0.243
75998,68105,5,5,1,0.168
78789,7386,5,5,4,0.649
78789,104952,5,5,1,0.239
79754,10022,5,5,4,0.777
83452,7386,5,5,3,0.258
83452,104951,5,5,1,0.236
83452,143280,5,5,1,0.226
83452,146875,5,5,1,0.399
83452,226478,5,5,1,0.19
83675,123592,5,5,1,0.265
84062,75998,5,5,1,0.197
86072,155092,5,5,1,0.879
86747,78789,5,5,1,0.113
86747,116585,5,5,1,0.072
87722,75836,5,5,1,0.337
89736,97735,5,5,1,0.273
89736,142941,5,5,1,0.497
89736,220385,5,5,1,0.221
91491,261013,5,5,1,0.235
92113,84062,5,5,1,0.208
92769,233873,5,5,1,0.186
95462,193834,5,5,1,0.381
96914,56314,5,5,1,0.1
97735,237913,5,5,1,0.375
100404,259729,5,5,1,0.387
101549,117484,5,5,1,0.31
101549,118035,5,5,1,0.253
103390,228452,5,5,1,0.254
104836,78789,5,5,1,0.184
104836,86747,5,5,1,0.071
104951,104953,5,5,1,0.22
104952,7386,5,5,2,0.488
104952,83452,5,5,4,0.246
104952,143280,5,5,1,0.118
104952,146875,5,5,1,0.175
104952,226478,5,5,2,0.415
104953,116585,5,5,1,0.189
106568,106570,5,5,1,0.237
106569,233869,5,5,1,0.18
106570,44086,5,5,1,0.281
108854,100404,5,5,1,0.694
108854,138029,5,5,2,0.44
108854,138033,5,5,1,0.448
108854,139325,5,5,1,0.23
108854,209982,5,5,2,0.732
109756,60158,5,5,1,0.174
109756,241626,5,5,1,0.291
111067,205748,5,5,1,0.219
111516,260761,5,5,1,0.318
113838,216576,5,5,1,0.439
113840,213062,5,5,1,0.3
113841,113840,5,5,1,0.315
113842,153707,5,5,1,0.259
115879,176889,5,5,1,0.266
116585,64502,5,5,1,0.279
116585,104836,5,5,1,0.015
116585,125987,5,5,10,0.642
116585,133280,5,5,1,0.308
117008,138029,5,5,1,0.263
117484,104836,5,5,1,0.378
117484,133282,5,5,1,0.067
118035,54883,5,5,1,0.141
119856,127836,5,5,1,0.319
123039,91491,5,5,1,0.331
123592,74081,5,5,1,0.326
123592,75836,5,5,1,0.308
123592,151068,5,5,3,0.692
123592,208942,5,5,1,0.132
123927,143776,5,5,1,0.231
125987,109756,5,5,1,0.256
126555,134737,5,5,1,0.399
127152,175586,5,5,1,0.237
127836,103390,5,5,1,0.18
131257,10022,5,5,2,0.352
131257,87722,5,5,2,1.089
131257,123039,5,5,1,0.224
131810,123592,5,5,1,0.285
132661,224955,5,5,1,0.325
132661,244027,5,5,1,0.233
