"ori_node","des_node","ori_layer","des_layer","minutes","km"
24578,27779,3,3,2,0.882
24686,27779,3,3,1,0.845
27779,24578,3,3,2,0.882
27779,24686,3,3,1,0.845
16823,158692,5,5,1,0.345
24578,24578,5,5,1,0
24578,51546,5,5,1,0.41
24578,102908,5,5,1,0.43
24686,257014,5,5,1,0.524
27779,27779,5,5,1,0
27779,51556,5,5,1,0.318
27779,53179,5,5,1,0.366
27779,62347,5,5,1,0.254
27779,96178,5,5,1,0.372
27779,205137,5,5,1,0.29
27779,227543,5,5,1,0.388
36201,182021,5,5,1,0.26
36201,235375,5,5,1,0.072
51516,99699,5,5,1,0.468
51516,119401,5,5,1,0.425
51546,61249,5,5,1,0.269
51556,130966,5,5,1,0.317
52713,165806,5,5,1,0.414
52713,216345,5,5,1,0.328
53179,183891,5,5,1,0.226
53389,249715,5,5,1,0.232
54663,208007,5,5,1,0.145
54663,247099,5,5,1,0.371
55037,98729,5,5,1,0.239
55127,149549,5,5,1,0.094
55331,85806,5,5,2,0.579
55331,163538,5,5,1,0.101
55960,65556,5,5,1,0.476
56190,113268,5,5,1,0.244
56190,121214,5,5,1,0.23
56653,130363,5,5,1,0.241
56838,58686,5,5,1,0.227
56838,68340,5,5,1,0.289
57927,164507,5,5,1,0.363
57927,259109,5,5,1,0.198
58686,92997,5,5,1,0.254
58722,259952,5,5,1,0.193
59249,68899,5,5,1,0.394
61214,203646,5,5,1,0.324
61249,242541,5,5,1,0.314
62347,51556,5,5,1,0.167
62395,71916,5,5,1,0.276
62395,107062,5,5,1,0.384
63462,252017,5,5,1,0.199
64194,218578,5,5,2,0.623
64646,55037,5,5,1,0.436
64646,119692,5,5,1,0.411
65193,74631,5,5,1,0.529
65193,173617,5,5,1,0.162
65556,256034,5,5,2,0.665
66106,27779,5,5,1,0.372
66298,204265,5,5,1,0.144
66464,174908,5,5,1,0.265
66599,95645,5,5,1,0.304
66599,247099,5,5,6,2.294
66606,102222,5,5,1,0.368
66749,66464,5,5,1,0.062
66769,196976,5,5,1,0.208
66879,76469,5,5,1,0.201
67140,113389,5,5,1,0.434
68340,156364,5,5,1,0.233
68899,199949,5,5,1,0.181
69675,88516,5,5,1,0.525
70280,245838,5,5,1,0.356
70394,99415,5,5,1,0.257
70802,80488,5,5,1,0.262
71001,71656,5,5,1,0.177
71001,126627,5,5,1,0.148
71262,229116,5,5,1,0.237
71262,238859,5,5,1,0.212
71871,66879,5,5,1,0.243
71916,91205,5,5,1,0.324
74308,200664,5,5,1,0.217
74631,65193,5,5,1,0.529
74631,98471,5,5,1,0.454
76272,85928,5,5,1,0.27
76469,86124,5,5,1,0.215
77665,24578,5,5,1,0.353
78988,169930,5,5,1,0.069
80137,70394,5,5,1,0.53
80445,166922,5,5,1,0.227
80488,27779,5,5,1,0.533
81643,52713,5,5,1,0.247
83376,235888,5,5,1,0.377
85806,51516,5,5,1,0.427
85806,225619,5,5,1,0.344
85928,136424,5,5,1,0.224
86124,95923,5,5,1,0.282
86922,84577,5,5,1,0.264
87473,64646,5,5,1,0.269
