"ori_node","des_node","ori_layer","des_layer","minutes","km"
3921,122975,4,4,10,7.848
122975,3921,4,4,10,7.848
3921,3921,5,5,1,0
3921,66238,5,5,2,0.698
3921,102576,5,5,1,0.568
3921,102946,5,5,4,0.905
3921,104675,5,5,1,0.409
3921,121763,5,5,1,0.272
3921,133771,5,5,1,0.505
3921,133772,5,5,1,0.346
3921,136694,5,5,1,0.281
3921,136695,5,5,1,0.322
3921,156499,5,5,13,8.465
3921,160396,5,5,1,0.693
3921,191916,5,5,10,2.332
3921,200787,5,5,1,0.428
51905,191917,5,5,1,0.293
52503,84461,5,5,3,2.718
52503,203258,5,5,3,1.92
53048,53050,5,5,1,0.27
53050,53057,5,5,1,0.508
53050,62738,5,5,1,0.795
53051,60945,5,5,1,0.16
53052,53054,5,5,1,0.244
53053,259434,5,5,1,0.318
53054,53048,5,5,1,0.288
53055,53053,5,5,1,0.239
53057,53051,5,5,1,0.517
53057,62738,5,5,1,0.288
53058,53051,5,5,1,0.493
53494,261517,5,5,2,0.791
54332,222739,5,5,1,0.289
54923,146076,5,5,3,2.723
54924,255053,5,5,6,2.599
56094,122976,5,5,1,0.515
56094,200100,5,5,5,3.739
56094,257674,5,5,1,0.351
56827,114159,5,5,1,0.193
57203,86049,5,5,1,0.169
57204,227525,5,5,1,0.169
58274,62737,5,5,1,0.128
58275,58274,5,5,4,1.065
58275,186670,5,5,3,0.411
58276,208251,5,5,1,0.125
58781,138630,5,5,3,1.587
58781,246097,5,5,1,0.295
60945,53055,5,5,1,0.368
61527,61530,5,5,1,0.478
61527,61534,5,5,3,0.924
61528,62554,5,5,3,1.982
61528,79917,5,5,3,2.378
61528,228781,5,5,2,1.142
61529,61528,5,5,1,0.507
61530,61532,5,5,1,0.23
61531,61529,5,5,1,0.179
61532,61534,5,5,1,0.244
61533,61528,5,5,3,0.868
61533,61531,5,5,1,0.205
61534,61536,5,5,1,0.329
61534,111628,5,5,3,0.979
61535,61533,5,5,2,0.42
61536,71044,5,5,1,0.221
62442,62448,5,5,1,0.259
62443,62445,5,5,1,0.169
62444,62442,5,5,1,0.207
62445,62444,5,5,1,0.219
62445,62452,5,5,1,0.134
62446,259434,5,5,2,0.13
62447,62449,5,5,1,0.251
62447,62451,5,5,1,0.098
62448,62446,5,5,1,0.313
62449,62443,5,5,1,0.355
62451,62449,5,5,1,0.154
62452,54332,5,5,1,0.269
62452,71357,5,5,2,0.392
62452,150522,5,5,1,0.291
62554,188633,5,5,2,0.642
62555,157636,5,5,3,1.063
62556,172466,5,5,3,0.494
62556,177055,5,5,2,0.546
62737,53057,5,5,1,0.285
62737,53058,5,5,1,0.306
62738,92652,5,5,1,0.308
62738,125842,5,5,1,0.543
62738,188867,5,5,1,0.386
62738,218484,5,5,1,0.529
62920,114990,5,5,3,1.574
62921,68290,5,5,3,2.721
63920,146075,5,5,1,0.295
63920,183565,5,5,1,0.312
63921,63923,5,5,1,0.522
63921,102449,5,5,6,3.104
63922,63920,5,5,1,0.509
63923,73386,5,5,1,0.517
63923,257684,5,5,2,0.589
64327,156974,5,5,3,1.312
64721,185647,5,5,1,0.14
65785,180299,5,5,3,1.397
65786,247822,5,5,3,2.221
65909,93077,5,5,1,0.148
