"ori_node","des_node","ori_layer","des_layer","minutes","km"
998,5044,2,2,3,3.463
5044,998,2,2,2,3.463
5044,6771,2,2,2,4.004
6771,5044,2,2,3,4.004
998,998,5,5,1,0
998,17652,5,5,1,0.627
998,29350,5,5,1,0.642
998,36819,5,5,1,0.645
998,170334,5,5,1,0.359
2584,4190,5,5,1,0.138
2584,6771,5,5,1,0.613
2584,12175,5,5,1,0.401
2608,9678,5,5,2,0.485
2608,25974,5,5,1,0.357
4190,2584,5,5,1,0.138
4190,35001,5,5,1,0.145
4326,4327,5,5,1,0.236
4326,27418,5,5,1,0.186
4327,4326,5,5,1,0.236
4327,4329,5,5,1,0.311
4328,4329,5,5,1,0.087
4328,36819,5,5,4,0.488
4328,37557,5,5,1,0.385
4329,4327,5,5,1,0.311
4329,4328,5,5,1,0.087
5044,5044,5,5,1,0
5044,9678,5,5,1,0.515
5044,9681,5,5,1,1.153
5044,28915,5,5,1,1.109
5044,28917,5,5,5,1.551
5044,36413,5,5,1,0.598
5044,47853,5,5,1,0.532
5044,222469,5,5,1,0.687
5044,232370,5,5,3,0.507
5044,232371,5,5,1,0.503
6380,6382,5,5,1,0.157
6380,25524,5,5,1,0.336
6382,6380,5,5,1,0.157
6382,25527,5,5,1,0.257
6771,2584,5,5,1,0.613
6771,6771,5,5,1,0
6771,10107,5,5,1,0.832
6771,20200,5,5,1,0.742
6771,23474,5,5,1,0.584
6771,36410,5,5,1,0.557
8281,11506,5,5,1,0.325
8281,50423,5,5,1,0.208
8282,8283,5,5,1,0.263
8282,50423,5,5,1,0.31
8283,8282,5,5,1,0.263
8283,8284,5,5,1,0.293
8284,8283,5,5,1,0.293
8284,30639,5,5,1,0.413
9678,2608,5,5,1,0.485
9678,5044,5,5,1,0.515
9678,28915,5,5,1,0.596
9678,47853,5,5,2,0.753
9678,50876,5,5,1,0.385
9680,9681,5,5,1,0.272
9680,47853,5,5,1,0.358
9681,5044,5,5,6,1.153
9681,9680,5,5,1,0.272
9681,35322,5,5,2,0.729
10088,27418,5,5,1,0.141
10088,149283,5,5,1,0.145
10089,10088,5,5,1,0.21
10089,29336,5,5,1,0.307
10107,6771,5,5,1,0.832
10107,31373,5,5,1,0.428
10138,10138,5,5,1,0
10138,62152,5,5,1,0.27
11506,8281,5,5,2,0.325
11506,11512,5,5,2,0.346
11510,11511,5,5,1,0.243
11510,30643,5,5,1,0.403
11511,11510,5,5,1,0.243
11511,42045,5,5,1,0.274
11512,11506,5,5,1,0.346
11512,23049,5,5,1,0.129
12175,2584,5,5,1,0.401
12175,12176,5,5,1,0.341
12175,23477,5,5,1,0.5
12176,12175,5,5,1,0.341
12176,12181,5,5,1,0.271
12177,31373,5,5,1,0.578
12177,44660,5,5,1,0.143
12181,12176,5,5,1,0.271
12181,25528,5,5,1,0.447
12623,12624,5,5,1,0.259
12623,12628,5,5,1,0.308
12624,12623,5,5,1,0.259
12624,12625,5,5,1,0.152
12625,12624,5,5,1,0.152
12625,107392,5,5,1,0.076
12628,12623,5,5,2,0.308
12628,25973,5,5,1,0.227
13098,45101,5,5,1,0.344
13098,45110,5,5,1,0.384
13995,13998,5,5,1,0.294
13995,46444,5,5,1,0.358
13998,13995,5,5,1,0.294
13998,21727,5,5,1,0.491
17652,998,5,5,1,0.627
17652,50109,5,5,1,0.405
17652,137233,5,5,3,1.458
17937,23049,5,5,1,0.346
17937,224354,5,5,1,0.268
18377,18379,5,5,1,0.302
18377,18381,5,5,1,0.422
18379,18377,5,5,1,0.302
18379,18380,5,5,2,1.097
18379,149283,5,5,1,0.276
18380,18379,5,5,1,1.097
18380,18381,5,5,1,0.372
18380,50878,5,5,1,0.672
18380,50880,5,5,1,0.325
18381,18377,5,5,1,0.422
18381,18380,5,5,1,0.372
20200,6771,5,5,2,0.742
20200,39315,5,5,2,0.397
20200,88046,5,5,1,0.157
21727,13998,5,5,2,0.491
21727,47853,5,5,1,0.32
21738,46444,5,5,1,0.335
21738,46448,5,5,1,0.213
21752,88047,5,5,1,0.27
21752,130340,5,5,1,0.179
23048,23049,5,5,1,0.538
23048,35530,5,5,1,0.348
23049,11512,5,5,1,0.129
23049,17937,5,5,1,0.346
23049,23048,5,5,1,0.538
23049,23050,5,5,1,0.297
23050,23049,5,5,1,0.297
23050,42045,5,5,1,0.252
23050,42047,5,5,1,0.446
23474,6771,5,5,1,0.584
23474,23477,5,5,1,0.222
23477,12175,5,5,1,0.5
23477,23474,5,5,1,0.222
25524,6380,5,5,1,0.336
25524,17937,5,5,1,0.351
25524,25528,5,5,1,0.565
25526,25527,5,5,1,0.25
25526,137674,5,5,1,0.117
25527,6382,5,5,1,0.257
25527,25526,5,5,1,0.25
25528,12181,5,5,1,0.447
25528,93387,5,5,1,0.335
25528,137674,5,5,1,0.402
25971,25973,5,5,1,0.273
25971,45107,5,5,1,0.202
25972,25975,5,5,1,0.304
25972,46496,5,5,1,0.382
25973,12628,5,5,1,0.227
25973,25971,5,5,1,0.273
25974,2608,5,5,1,0.357
25974,31855,5,5,1,0.282
25975,25972,5,5,1,0.304
25975,31855,5,5,1,0.165
27418,4326,5,5,1,0.186
27418,10088,5,5,1,0.141
27418,40741,5,5,1,0.219
27453,36413,5,5,1,0.417
27453,71685,5,5,1,0.516
28915,5044,5,5,1,1.109
28915,9678,5,5,1,0.596
28915,50114,5,5,1,0.361
28915,50878,5,5,1,0.75
28917,9678,5,5,4,1.284
28917,29349,5,5,1,0.439
29333,29334,5,5,1,0.265
29333,50880,5,5,1,0.321
29334,29333,5,5,1,0.265
29334,29335,5,5,1,0.24
29335,29334,5,5,1,0.24
29335,29336,5,5,1,0.315
29336,10089,5,5,1,0.307
29336,29335,5,5,1,0.315
29336,38901,5,5,1,0.086
29349,28917,5,5,2,0.439
29349,60541,5,5,2,0.676
29350,998,5,5,1,0.642
29350,193134,5,5,1,0.159
30639,8284,5,5,1,0.413
30639,30640,5,5,1,0.26
30639,30643,5,5,1,0.472
30640,30639,5,5,1,0.26
30640,36413,5,5,1,0.293
30641,5044,5,5,2,0.898
30641,30642,5,5,1,0.379
30641,37076,5,5,2,0.631
30642,30641,5,5,1,0.379
30642,37076,5,5,1,0.26
30643,11510,5,5,1,0.403
30643,30639,5,5,1,0.472
31372,31373,5,5,1,0.291
31372,37077,5,5,1,0.475
31373,10107,5,5,1,0.428
31373,12177,5,5,1,0.578
31373,31372,5,5,1,0.291
31373,88048,5,5,3,0.74
31377,31379,5,5,1,0.282
31377,204720,5,5,1,0.15
31379,31377,5,5,1,0.282
31379,50395,5,5,1,0.131
31852,31853,5,5,1,0.288
31852,31854,5,5,1,0.319
31852,50876,5,5,1,0.184
31853,31852,5,5,1,0.288
31853,31856,5,5,1,0.253
31854,31853,5,5,1,0.093
31854,31855,5,5,1,0.277
31855,25974,5,5,2,0.282
31855,25975,5,5,1,0.165
31855,31852,5,5,2,0.508
31855,31854,5,5,1,0.277
31856,31853,5,5,1,0.253
31856,31854,5,5,1,0.282
31856,31858,5,5,1,0.301
31858,12625,5,5,1,0.217
31858,31856,5,5,1,0.301
31858,45110,5,5,1,0.672
35001,4190,5,5,1,0.145
35001,44658,5,5,1,0.225
35322,9681,5,5,1,0.729
35530,23048,5,5,1,0.348
35530,23049,5,5,2,0.885
35530,146546,5,5,1,0.438
36410,6771,5,5,1,0.557
36410,37072,5,5,2,0.445
36413,5044,5,5,1,0.598
36413,27453,5,5,1,0.417
36413,30640,5,5,1,0.293
36413,36413,5,5,1,0
36819,998,5,5,1,0.645
36819,4328,5,5,2,0.488
36819,40741,5,5,1,0.31
37072,36410,5,5,1,0.445
37072,37073,5,5,1,0.414
37073,37072,5,5,1,0.414
37073,37074,5,5,1,0.332
37074,37073,5,5,1,0.332
37074,37075,5,5,1,0.329
37075,37074,5,5,1,0.329
37075,37076,5,5,2,0.525
37076,30642,5,5,1,0.26
37076,37075,5,5,1,0.525
37076,42047,5,5,1,0.781
37077,31372,5,5,1,0.475
37077,42045,5,5,1,0.189
37557,4328,5,5,1,0.385
37557,37559,5,5,1,0.172
37559,37557,5,5,1,0.172
37559,37561,5,5,1,0.15
37561,37559,5,5,1,0.15
37561,40740,5,5,1,0.447
38901,29336,5,5,1,0.086
38901,29350,5,5,1,0.265
39315,183418,5,5,1,0.136
40740,37561,5,5,1,0.447
40740,136815,5,5,1,0.237
40741,27418,5,5,1,0.219
40741,36819,5,5,1,0.31
42045,11511,5,5,1,0.274
42045,23050,5,5,1,0.252
42045,37077,5,5,1,0.189
42047,23050,5,5,1,0.446
42047,37076,5,5,1,0.781
44654,44655,5,5,1,0.193
44654,44660,5,5,1,0.252
44655,44654,5,5,1,0.193
44655,44656,5,5,1,0.112
44656,44655,5,5,1,0.112
44656,44658,5,5,1,0.292
44658,35001,5,5,1,0.225
44658,44656,5,5,1,0.292
44660,12177,5,5,1,0.143
44660,44654,5,5,1,0.252
45101,13098,5,5,1,0.344
45101,100150,5,5,2,0.673
45101,126650,5,5,11,4.864
45101,137237,5,5,1,0.763
45101,156453,5,5,1,0.602
45107,25971,5,5,1,0.202
45107,45109,5,5,1,0.26
45109,45107,5,5,1,0.26
45109,107392,5,5,1,0.122
45110,13098,5,5,1,0.384
45110,31858,5,5,1,0.672
45110,45109,5,5,1,0.402
46444,13995,5,5,1,0.358
46444,21738,5,5,1,0.335
46444,113305,5,5,1,0.317
46448,21738,5,5,1,0.213
46448,46449,5,5,1,0.341
46449,21752,5,5,1,0.532
46449,46448,5,5,1,0.341
46449,50392,5,5,1,0.298
46496,25972,5,5,1,0.382
