"ori_node","des_node","ori_layer","des_layer","minutes","km"
385,13385,2,2,3,3.892
9769,13385,2,2,3,3.023
9769,38478,2,2,3,2.258
13385,385,2,2,4,3.892
13385,9769,2,2,3,3.023
13385,38478,2,2,4,5.279
22446,37026,2,2,3,2.279
22446,41715,2,2,3,3.39
24227,38478,2,2,3,2.885
37026,22446,2,2,3,2.279
38478,9769,2,2,3,2.258
38478,13385,2,2,4,5.279
38478,24227,2,2,3,2.885
41715,22446,2,2,3,3.39
53637,203874,3,3,2,0.507
203874,53637,3,3,2,0.507
385,169542,5,5,2,1.344
9769,9769,5,5,1,0
9769,71561,5,5,1,0.832
9769,149505,5,5,1,0.534
9769,232717,5,5,1,0.553
9769,232719,5,5,1,0.539
13385,13385,5,5,1,0
13385,147790,5,5,1,0.567
13385,192912,5,5,1,0.404
13385,208506,5,5,1,0.586
13385,261868,5,5,1,0.484
22446,103208,5,5,3,0.93
22446,108842,5,5,1,0.487
22446,114077,5,5,1,1.235
22446,122078,5,5,2,0.505
22446,122081,5,5,1,0.495
23798,38478,5,5,3,0.953
23798,106847,5,5,1,0.299
23798,106849,5,5,1,0.329
23798,123225,5,5,1,0.23
23798,215745,5,5,2,0.383
24227,24227,5,5,1,0
24227,75461,5,5,1,0.616
24227,151999,5,5,1,0.292
24227,201861,5,5,1,0.478
37026,37026,5,5,1,0
37026,157841,5,5,1,0.368
37026,211281,5,5,1,0.557
37026,243785,5,5,3,0.829
37026,247952,5,5,1,0.539
38478,23798,5,5,2,0.953
38478,38478,5,5,1,0
38478,64804,5,5,2,0.758
38478,106848,5,5,2,0.633
38478,106849,5,5,1,0.626
38478,135374,5,5,1,0.282
38478,168264,5,5,1,0.369
38478,215746,5,5,1,0.556
38478,215747,5,5,2,0.568
38478,215748,5,5,1,0.575
41715,110442,5,5,1,0.413
41715,243677,5,5,1,0.523
51695,121066,5,5,1,0.338
51696,232896,5,5,1,0.189
52058,98032,5,5,1,0.316
52058,131833,5,5,1,0.19
52058,140170,5,5,1,0.447
52058,159972,5,5,1,0.208
52141,89250,5,5,1,0.189
52142,254777,5,5,1,0.207
52697,57900,5,5,1,0.27
52697,206311,5,5,1,0.127
53073,75277,5,5,1,0.433
53162,71539,5,5,2,0.843
53614,38478,5,5,2,0.824
53614,106849,5,5,1,0.327
54116,106810,5,5,1,0.182
54116,114978,5,5,1,0.339
54127,106592,5,5,1,0.28
54128,196326,5,5,1,0.195
55085,156707,5,5,1,0.307
55086,63080,5,5,1,0.385
55086,151231,5,5,1,0.475
55111,131280,5,5,1,0.313
55761,165663,5,5,1,0.238
56775,130117,5,5,1,0.226
56775,145160,5,5,1,0.231
57259,65274,5,5,2,0.87
57259,135158,5,5,1,0.916
57260,110441,5,5,1,0.604
57398,73063,5,5,1,0.088
57398,211219,5,5,1,0.1
57399,65433,5,5,3,0.486
57399,73063,5,5,1,0.065
57399,210326,5,5,1,0.361
57614,60570,5,5,1,0.348
57614,116692,5,5,1,0.18
57899,52697,5,5,1,0.28
57900,188462,5,5,1,0.29
58069,216416,5,5,1,0.432
58322,166115,5,5,1,0.168
59174,124261,5,5,1,0.355
59433,67334,5,5,1,0.11
59434,262343,5,5,1,0.301
60030,91507,5,5,1,0.278
60569,116693,5,5,2,0.328
60570,203523,5,5,1,0.335
