"ori_node","des_node","ori_layer","des_layer","minutes","km"
3886,50588,1,1,7,0.746
50588,3886,1,1,7,0.746
1163,9011,3,3,1,1.297
1163,12626,3,3,1,1.042
9011,1163,3,3,2,1.297
9011,41082,3,3,2,1.325
12626,1163,3,3,2,1.042
12626,29288,3,3,1,0.632
29288,12626,3,3,1,0.632
41082,9011,3,3,2,1.325
1163,1163,5,5,1,0
1163,99003,5,5,1,0.566
1163,120276,5,5,2,0.592
1163,130024,5,5,1,0.374
1163,208198,5,5,1,0.366
1163,253324,5,5,1,0.514
3886,3886,5,5,1,0
3886,123110,5,5,2,0.468
9011,9011,5,5,1,0
9011,125325,5,5,1,0.426
9011,125337,5,5,1,0.392
9011,149373,5,5,1,0.533
9011,185211,5,5,1,0.492
9011,185212,5,5,1,0.427
9011,188795,5,5,4,1.171
9011,217632,5,5,1,0.443
9011,242881,5,5,1,0.431
12626,12626,5,5,1,0
12626,80471,5,5,1,0.28
20998,95107,5,5,1,0.334
20998,95142,5,5,1,0.473
20998,164545,5,5,4,0.733
20998,225603,5,5,1,0.46
20998,230320,5,5,1,0.28
29288,93527,5,5,6,1.027
41082,41082,5,5,1,0
41082,50588,5,5,1,0.454
41082,75075,5,5,4,0.843
41082,110051,5,5,1,0.258
41082,114314,5,5,2,0.358
41082,149591,5,5,1,0.44
41082,217813,5,5,1,0.752
41082,220403,5,5,1,0.48
41082,230028,5,5,1,0.523
41082,230029,5,5,1,0.541
50588,41082,5,5,1,0.454
50588,50588,5,5,1,0
50588,114314,5,5,2,0.265
50588,195708,5,5,2,0.309
50588,214226,5,5,1,0.416
50588,239812,5,5,1,0.294
50588,261050,5,5,1,0.408
52120,41082,5,5,2,0.49
52365,93527,5,5,1,0.192
52366,164544,5,5,1,0.474
52367,52368,5,5,1,0.421
52367,250387,5,5,1,0.305
52368,56859,5,5,1,0.232
56850,52365,5,5,1,0.364
56859,108744,5,5,1,0.23
56859,120276,5,5,1,0.291
59036,112425,5,5,1,0.527
59089,56850,5,5,1,0.338
60408,69952,5,5,1,0.237
60409,60408,5,5,1,0.183
60411,231189,5,5,1,0.289
60413,164543,5,5,1,0.21
60414,60417,5,5,1,0.337
60416,104928,5,5,1,0.316
60417,60416,5,5,1,0.419
60417,75074,5,5,1,0.362
60417,118669,5,5,1,0.335
60809,69950,5,5,4,1.176
60809,85662,5,5,1,0.303
60809,164543,5,5,1,0.41
61553,61555,5,5,1,0.534
61553,83890,5,5,1,0.261
61553,90370,5,5,1,0.025
61553,147618,5,5,1,0.236
61554,61553,5,5,1,0.519
61555,253323,5,5,1,0.706
61668,159390,5,5,1,0.346
61677,67012,5,5,1,0.361
62082,164265,5,5,1,0.142
62082,164267,5,5,1,0.155
62083,62082,5,5,1,0.557
62083,108745,5,5,1,0.394
62083,164266,5,5,1,0.435
62088,108747,5,5,5,1.127
62088,134691,5,5,1,0.31
62316,69954,5,5,1,0.196
64685,20998,5,5,1,0.46
65442,209623,5,5,1,0.375
65489,41082,5,5,1,0.233
65491,229215,5,5,1,0.185
66448,110318,5,5,1,0.104
67010,61668,5,5,1,0.573
67012,67010,5,5,1,0.278
67013,248916,5,5,1,0.764
67014,61677,5,5,1,0.474
67017,67013,5,5,1,0.309
69950,71624,5,5,1,0.233
69950,138291,5,5,4,1.399
69950,152486,5,5,1,0.857
69951,62316,5,5,1,0.185
69951,97312,5,5,5,2.564
69951,228470,5,5,5,1.094
69952,164104,5,5,1,0.166
69953,164543,5,5,1,0.228
69954,69953,5,5,1,0.218
69955,69956,5,5,1,0.318
69956,130026,5,5,1,0.39
69956,253023,5,5,1,0.33
71619,71620,5,5,1,0.158
71620,108747,5,5,1,0.088
71620,154450,5,5,1,0.08
71621,71622,5,5,1,0.378
71622,115040,5,5,1,0.411
71622,164267,5,5,1,0.159
71623,98469,5,5,2,0.443
71623,113082,5,5,1,0.302
71623,118106,5,5,1,0.479
71624,71621,5,5,1,0.418
71625,165085,5,5,1,0.42
71625,174089,5,5,1,0.377
71627,90938,5,5,1,0.515
71627,90939,5,5,1,0.408
71627,90940,5,5,1,0.334
71628,71625,5,5,1,0.301
71628,165085,5,5,2,0.72
74118,83897,5,5,1,0.172
74416,93913,5,5,1,0.116
74416,238449,5,5,1,0.184
75074,84898,5,5,1,0.219
75075,65489,5,5,4,0.739
75075,191953,5,5,1,0.213
78945,255096,5,5,1,1.068
80264,81340,5,5,1,0.307
80471,90369,5,5,1,0.22
80471,122774,5,5,3,0.61
81340,100642,5,5,1,0.025
81340,154446,5,5,1,0.228
81340,164543,5,5,1,1.659
81345,71627,5,5,1,0.366
81346,81345,5,5,1,0.476
81346,165085,5,5,1,0.379
83889,164545,5,5,1,0.356
83889,196533,5,5,1,0.397
83889,225319,5,5,1,0.021
83890,83889,5,5,1,0.422
83890,249106,5,5,1,0.415
83894,20998,5,5,4,0.552
83894,171361,5,5,1,0.168
83895,83894,5,5,1,0.275
83897,83889,5,5,1,0.091
83897,196530,5,5,1,0.316
84894,84895,5,5,1,0.45
84894,204542,5,5,1,0.284
84895,84896,5,5,1,0.34
84896,84897,5,5,1,0.268
84897,238979,5,5,1,0.098
84897,255007,5,5,1,0.253
84898,84899,5,5,1,0.242
84899,84900,5,5,1,0.339
84899,175412,5,5,1,0.401
84900,100639,5,5,1,0.363
84900,159205,5,5,1,0.275
85660,85666,5,5,1,0.222
85661,85662,5,5,1,0.079
85661,228470,5,5,1,0.229
85662,260094,5,5,1,0.2
85663,128325,5,5,1,0.395
85664,253318,5,5,1,0.082
85665,116681,5,5,1,0.145
85666,85665,5,5,1,0.081
85671,85663,5,5,1,0.296
85937,85938,5,5,1,0.368
86406,249106,5,5,1,0.201
90369,83890,5,5,1,0.305
90369,90370,5,5,1,0.457
90369,147618,5,5,1,0.382
90370,83894,5,5,1,0.433
90370,83895,5,5,1,0.157
90370,90371,5,5,1,0.498
90936,90937,5,5,1,0.476
90937,71628,5,5,1,0.472
90939,71625,5,5,1,0.405
90939,90938,5,5,1,0.108
90940,90941,5,5,1,0.484
90941,62083,5,5,1,0.513
90942,90943,5,5,1,0.355
90942,164270,5,5,1,0.252
90943,62088,5,5,1,0.206
90943,90944,5,5,1,0.306
90944,97312,5,5,1,0.539
