"ori_node","des_node","ori_layer","des_layer","minutes","km"
33547,47257,1,1,15,2.74
47257,33547,1,1,15,2.74
3108,32014,2,2,2,1.487
3348,5290,2,2,4,3.639
3348,28490,2,2,3,2.142
3348,32014,2,2,9,2.728
3348,36860,2,2,2,0.883
3348,240914,2,2,4,2.69
5290,3348,2,2,4,3.639
5290,23302,2,2,2,0.964
5290,36860,2,2,4,2.921
23302,5290,2,2,2,0.964
23302,49945,2,2,3,2.211
28490,3348,2,2,3,2.142
28490,240914,2,2,2,0.872
32014,3108,2,2,2,1.487
32014,3348,2,2,9,2.728
32014,240914,2,2,5,2.439
36860,3348,2,2,2,0.883
36860,5290,2,2,4,2.921
49945,23302,2,2,3,2.211
240914,3348,2,2,5,2.69
240914,28490,2,2,2,0.872
240914,32014,2,2,4,2.439
32014,36610,4,4,5,3.664
32014,47257,4,4,5,1.481
36610,32014,4,4,10,3.664
47257,32014,4,4,10,1.481
47257,240455,4,4,5,1.469
47257,244423,4,4,10,0.811
183241,203771,4,4,10,3.82
202758,240455,4,4,5,3.366
203771,47257,4,4,5,0.819
240455,47257,4,4,5,1.469
240455,202758,4,4,5,3.366
244423,183240,4,4,10,3.847
3108,3108,5,5,1,0
3108,32014,5,5,3,1.487
3108,64508,5,5,2,0.715
3108,157413,5,5,1,0.749
3108,255882,5,5,1,0.462
3348,3348,5,5,1,0
3348,167025,5,5,1,0.342
3348,177086,5,5,2,1.01
3348,178547,5,5,1,0.312
3348,178548,5,5,2,1.066
3348,207684,5,5,1,0.345
3348,207685,5,5,1,0.461
5290,52496,5,5,1,0.323
5290,236842,5,5,1,0.442
5290,246751,5,5,1,0.398
23302,168401,5,5,1,0.393
23302,168405,5,5,1,0.461
23302,217253,5,5,5,0.574
28490,28490,5,5,1,0
28490,98159,5,5,1,0.503
28490,103029,5,5,1,0.252
28490,232468,5,5,1,0.473
32014,3108,5,5,2,1.487
32014,32014,5,5,1,0
32014,68761,5,5,1,0.509
32014,72193,5,5,2,0.679
32014,73837,5,5,1,0.529
32014,73847,5,5,1,0.471
32014,210417,5,5,3,0.495
32014,224997,5,5,1,0.547
32014,226394,5,5,1,0.323
32014,226430,5,5,1,0.828
33547,33547,5,5,1,0
