"ori_node","des_node","ori_layer","des_layer","minutes","km"
4191,21665,2,2,2,1.449
6068,14513,2,2,4,2.434
6068,31636,2,2,3,2.071
14513,6068,2,2,3,2.434
21665,4191,2,2,2,1.449
21665,26574,2,2,2,1.407
21797,26574,2,2,3,1.267
21797,28471,2,2,4,3.494
26574,21665,2,2,2,1.407
26574,21797,2,2,2,1.267
26574,28471,2,2,4,4.755
26574,31636,2,2,2,1.396
28471,21797,2,2,3,3.494
28471,26574,2,2,8,4.755
28471,33238,2,2,3,3.846
31636,6068,2,2,2,2.071
31636,26574,2,2,2,1.396
33238,28471,2,2,3,3.846
13768,26574,4,4,5,1.446
13768,43688,4,4,4,2.56
26574,13768,4,4,5,1.446
43688,13768,4,4,4,2.56
557,558,5,5,2,1.129
557,13033,5,5,1,0.372
557,32939,5,5,1,0.392
557,187162,5,5,3,0.837
557,196853,5,5,2,1.326
558,557,5,5,2,1.129
558,13031,5,5,4,0.652
558,13032,5,5,1,0.682
558,187162,5,5,2,0.295
558,187163,5,5,1,0.553
558,196853,5,5,1,0.199
559,558,5,5,1,1.025
559,559,5,5,1,0
559,7210,5,5,2,0.397
559,7212,5,5,1,0.386
559,7214,5,5,1,0.642
559,7215,5,5,1,0.292
559,13032,5,5,1,0.351
559,196853,5,5,1,0.827
560,12656,5,5,1,0.321
560,26375,5,5,1,0.273
561,26382,5,5,1,0.493
561,33947,5,5,1,0.184
562,20677,5,5,1,0.14
562,39750,5,5,1,0.254
562,187162,5,5,3,0.859
693,699,5,5,1,0.751
693,15059,5,5,3,1.429
694,15059,5,5,1,0.405
694,15064,5,5,1,0.251
694,34798,5,5,1,0.191
695,702,5,5,1,0.287
695,15064,5,5,1,0.361
696,697,5,5,1,0.32
696,19690,5,5,1,0.186
697,696,5,5,1,0.32
697,698,5,5,1,0.365
698,697,5,5,1,0.365
698,19691,5,5,1,0.367
699,693,5,5,1,0.751
699,12126,5,5,2,1.416
702,695,5,5,1,0.287
702,703,5,5,1,0.697
703,702,5,5,1,0.697
703,11823,5,5,3,1.77
703,33292,5,5,6,1.951
1563,1578,5,5,1,0.275
1563,21787,5,5,1,0.315
1578,1563,5,5,1,0.275
1578,21795,5,5,1,0.312
1588,27156,5,5,1,0.353
1588,34725,5,5,2,0.326
1589,21665,5,5,1,1.022
1589,37979,5,5,1,0.68
1590,34721,5,5,1,0.319
1590,216817,5,5,1,0.392
3579,15062,5,5,1,0.181
3579,21788,5,5,1,0.393
3580,3581,5,5,1,0.214
3580,9294,5,5,1,0.273
3581,3580,5,5,1,0.214
3581,21788,5,5,1,0.348
4191,4191,5,5,1,0
4191,24644,5,5,1,0.503
4191,72855,5,5,1,0.398
4778,9299,5,5,1,0.149
4778,15061,5,5,1,0.28
5513,5514,5,5,1,0.368
5513,5517,5,5,1,0.374
5513,13768,5,5,2,0.657
5514,5513,5,5,1,0.368
5514,5514,5,5,1,0
5514,32251,5,5,5,0.999
5514,32265,5,5,4,0.951
5514,43682,5,5,1,0.314
5514,119993,5,5,1,0.183
5516,13768,5,5,2,0.365
5516,28201,5,5,1,0.101
5516,63121,5,5,1,0.262
5517,5513,5,5,1,0.374
5517,13768,5,5,1,0.286
6068,6068,5,5,1,0
6068,15563,5,5,3,1.112
6068,18829,5,5,1,0.831
6068,37121,5,5,1,0.559
6068,46173,5,5,1,0.847
6337,50187,5,5,1,0.297
6337,50189,5,5,1,0.287
7208,26375,5,5,1,0.581
7208,39750,5,5,1,0.278
7209,13031,5,5,1,0.18
7209,118366,5,5,1,0.192
7210,559,5,5,2,0.397
7210,21797,5,5,1,0.637
7211,7209,5,5,1,0.387
7211,32934,5,5,2,0.484
7211,33948,5,5,1,0.376
7212,559,5,5,1,0.386
7212,33948,5,5,1,0.323
7213,13038,5,5,1,0.253
7213,218577,5,5,2,0.492
7214,7215,5,5,1,0.352
7214,13038,5,5,1,0.278
7214,21797,5,5,1,0.571
7214,32940,5,5,1,0.355
7215,559,5,5,1,0.292
7215,7214,5,5,1,0.352
7415,15062,5,5,1,0.193
7415,33500,5,5,1,0.199
7415,34028,5,5,1,0.252
7950,48574,5,5,1,0.268
7950,48577,5,5,1,0.283
7951,7952,5,5,1,0.365
7951,7954,5,5,1,0.314
7952,7951,5,5,1,0.365
7952,48577,5,5,1,0.314
7952,203886,5,5,1,0.594
7953,39755,5,5,1,0.336
7953,40461,5,5,1,0.238
7954,7951,5,5,1,0.314
7954,14513,5,5,3,1
7954,40474,5,5,1,0.406
9288,9289,5,5,1,0.457
9288,9301,5,5,1,0.3
9289,9288,5,5,1,0.457
9289,21205,5,5,1,0.218
9294,3580,5,5,1,0.273
9294,9295,5,5,1,0.34
9295,9294,5,5,1,0.34
9295,9296,5,5,1,0.495
9296,9295,5,5,2,0.495
9296,9297,5,5,1,0.285
9297,9296,5,5,1,0.285
9297,15061,5,5,1,0.57
9299,4778,5,5,1,0.149
9299,9300,5,5,1,0.347
9300,9299,5,5,1,0.347
9300,15060,5,5,1,0.622
9301,9288,5,5,1,0.3
9301,39753,5,5,1,0.425
10982,13765,5,5,1,0.334
10982,43688,5,5,1,0.319
11236,19527,5,5,1,0.18
11236,19530,5,5,2,0.418
11238,11238,5,5,1,0
11238,13031,5,5,1,0.424
11238,13035,5,5,2,0.798
11238,32252,5,5,5,1.756
11238,32940,5,5,1,0.311
11238,46172,5,5,15,4.09
11238,46174,5,5,15,3.841
11238,60073,5,5,1,0.508
11238,90660,5,5,1,0.022
11238,167572,5,5,1,0.42
11238,238070,5,5,1,0.464
11239,15563,5,5,1,0.501
11239,18832,5,5,1,0.668
11240,13765,5,5,1,0.365
11240,32252,5,5,1,0.546
11240,32255,5,5,1,0.263
11240,51326,5,5,3,1.446
11240,51329,5,5,2,1.02
11241,43685,5,5,1,0.304
11265,21797,5,5,1,0.679
11265,26574,5,5,1,0.652
11265,256145,5,5,2,1.261
11266,11266,5,5,1,0
11266,32253,5,5,1,0.195
11266,32257,5,5,1,0.227
11266,51325,5,5,1,0.347
11266,179746,5,5,1,0.473
11267,13769,5,5,1,0.374
11267,32938,5,5,1,0.258
11269,15566,5,5,1,0.287
11269,18828,5,5,3,1.1
11269,34721,5,5,4,0.957
11269,46173,5,5,3,1.613
11270,37979,5,5,1,0.592
11270,79176,5,5,1,0.285
11823,15063,5,5,2,0.656
11823,33258,5,5,1,0.378
12117,21791,5,5,1,0.337
12117,33071,5,5,1,0.397
12126,12129,5,5,1,0.589
12126,21791,5,5,1,0.166
12129,12126,5,5,1,0.589
