"ori_node","des_node","ori_layer","des_layer","minutes","km"
2431,15195,2,2,2,0.908
2431,19110,2,2,4,2.146
15195,2431,2,2,2,0.908
15195,30495,2,2,3,1.69
19110,2431,2,2,3,2.146
30495,15195,2,2,2,1.69
31680,39448,2,2,5,7.344
39448,31680,2,2,5,7.344
846,851,5,5,1,0.199
846,19850,5,5,1,0.393
847,851,5,5,1,0.355
847,10888,5,5,1,0.39
848,851,5,5,1,0.429
848,8299,5,5,1,0.236
849,850,5,5,1,0.333
849,31320,5,5,1,0.273
850,849,5,5,1,0.333
850,19851,5,5,1,0.442
851,846,5,5,1,0.199
851,847,5,5,1,0.355
851,848,5,5,1,0.429
891,5336,5,5,1,0.902
891,9092,5,5,1,1.08
893,5336,5,5,1,0.69
893,19903,5,5,1,0.815
2431,2431,5,5,1,0
2431,11602,5,5,1,0.665
2431,15195,5,5,1,0.908
2431,25020,5,5,1,0.545
2431,110667,5,5,1,0.511
2709,2710,5,5,1,0.438
2709,8389,5,5,1,0.846
2710,2709,5,5,1,0.438
2710,2711,5,5,1,0.438
2711,2710,5,5,1,0.438
2711,2712,5,5,1,0.36
2711,2715,5,5,1,0.298
2712,2711,5,5,1,0.36
2712,42442,5,5,1,0.206
2713,2714,5,5,1,0.415
2713,2715,5,5,1,0.347
2714,2713,5,5,1,0.415
2714,8387,5,5,1,0.786
2715,2711,5,5,1,0.298
2715,2713,5,5,1,0.347
3387,22498,5,5,1,0.434
3387,26851,5,5,1,0.38
3387,41524,5,5,2,0.575
3387,250541,5,5,1,0.616
3388,3389,5,5,1,0.331
3388,35810,5,5,1,0.275
3389,3388,5,5,1,0.331
3389,35810,5,5,2,0.607
3389,43300,5,5,3,1.582
3389,250541,5,5,1,0.35
3390,3389,5,5,1,0.379
3390,43300,5,5,3,1.208
3456,3459,5,5,1,0.287
3456,3462,5,5,1,0.208
3456,22502,5,5,1,0.31
3457,3459,5,5,1,0.338
3457,9096,5,5,1,0.535
3458,22502,5,5,1,0.238
3458,47296,5,5,2,0.521
3459,3456,5,5,1,0.287
3459,3457,5,5,1,0.338
3459,3462,5,5,1,0.491
3459,9096,5,5,2,0.873
3460,35868,5,5,1,0.299
3460,149584,5,5,1,0.362
3461,8392,5,5,1,0.399
3461,35868,5,5,1,0.454
3462,3456,5,5,1,0.208
3462,3459,5,5,1,0.491
3462,9053,5,5,1,0.363
3462,35865,5,5,1,0.334
3462,106571,5,5,6,0.984
4637,31680,5,5,1,0.547
5336,891,5,5,1,0.902
5336,893,5,5,1,0.69
8296,8297,5,5,1,0.173
8296,8299,5,5,1,0.479
8296,31320,5,5,1,0.423
8297,8296,5,5,1,0.173
8297,50502,5,5,1,0.175
8298,8304,5,5,1,0.289
8298,10888,5,5,6,2.344
8298,50502,5,5,1,0.379
8299,848,5,5,1,0.236
8299,8296,5,5,1,0.479
8299,31320,5,5,1,0.095
8304,8298,5,5,1,0.289
8304,8305,5,5,1,0.598
8304,10888,5,5,8,2.619
8304,19849,5,5,1,0.739
8305,8304,5,5,1,0.598
8387,2714,5,5,1,0.786
