"ori_node","des_node","ori_layer","des_layer","minutes","km"
6641,45741,2,2,6,5.497
38225,45741,2,2,3,2.658
43491,45739,2,2,4,4.568
43943,45739,2,2,3,1.724
45739,43491,2,2,4,4.568
45739,43943,2,2,3,1.724
45741,6641,2,2,7,5.497
45741,38225,2,2,3,2.658
6641,6641,5,5,1,0
6641,62891,5,5,1,0.281
6641,103021,5,5,1,0.425
38225,38225,5,5,1,0
38225,53358,5,5,1,0.389
38225,71204,5,5,1,0.293
38225,176527,5,5,1,0.26
38225,186060,5,5,1,0.482
38225,255266,5,5,1,0.353
43491,43491,5,5,1,0
43491,82950,5,5,1,0.609
43491,94357,5,5,1,0.3
43491,95343,5,5,1,0.815
43491,96598,5,5,1,0.322
43491,124547,5,5,1,0.521
43491,245650,5,5,1,0.736
43491,249396,5,5,1,0.383
43491,259223,5,5,1,0.25
43943,43943,5,5,1,0
43943,58848,5,5,1,0.976
43943,104091,5,5,1,0.815
43943,104182,5,5,1,0.497
43943,146596,5,5,1,0.323
43943,166310,5,5,1,0.472
43943,191004,5,5,2,0.746
43943,232536,5,5,1,0.395
45739,45739,5,5,1,0
45739,68193,5,5,1,0.271
45739,110438,5,5,1,0.47
45739,153163,5,5,1,0.29
45739,211204,5,5,1,0.371
45739,239658,5,5,1,0.782
45741,45741,5,5,1,0
45741,94293,5,5,1,0.594
45741,100901,5,5,1,0.553
45741,100903,5,5,1,0.562
45741,100904,5,5,1,0.576
45741,100909,5,5,1,0.467
45741,110608,5,5,1,0.279
45741,110609,5,5,1,0.255
45741,139961,5,5,5,0.276
45741,140645,5,5,1,0.538
45741,180798,5,5,1,0.552
45741,185548,5,5,1,0.513
45741,197764,5,5,1,0.554
45741,197771,5,5,1,0.545
45741,207058,5,5,1,0.348
45741,215074,5,5,1,0.57
45741,215075,5,5,1,0.586
45741,215076,5,5,1,0.604
45741,215077,5,5,1,0.514
45741,224541,5,5,1,0.572
45741,247874,5,5,1,0.769
46791,46792,5,5,1,0.229
46791,171658,5,5,1,0.284
46792,46791,5,5,1,0.229
46792,157891,5,5,2,0.848
51543,116378,5,5,1,0.241
52040,97255,5,5,1,0.279
52042,252950,5,5,1,0.596
52049,182885,5,5,1,1.161
52051,79602,5,5,1,0.428
52474,253369,5,5,1,0.327
52475,179414,5,5,1,0.402
52508,154792,5,5,1,0.23
52508,253410,5,5,1,0.281
52509,115342,5,5,1,0.165
52509,115577,5,5,1,0.413
52509,184936,5,5,1,0.312
52510,52508,5,5,1,0.169
52510,253410,5,5,1,0.446
53357,38225,5,5,1,0.367
53358,254342,5,5,1,0.186
53822,124765,5,5,2,0.284
53824,56657,5,5,1,0.259
55018,236818,5,5,1,0.204
55019,55018,5,5,1,0.166
55019,256044,5,5,1,0.426
55020,256044,5,5,1,0.311
55020,260241,5,5,1,0.415
55021,231581,5,5,1,0.508
55547,133956,5,5,1,0.227
56591,70516,5,5,1,0.371
56591,119543,5,5,1,0.067
56655,58847,5,5,1,0.553
56655,167588,5,5,1,0.257
56655,173804,5,5,1,0.111
56656,173804,5,5,1,0.152
56657,190379,5,5,1,0.484
58367,237833,5,5,1,0.224
58558,45739,5,5,1,0.413
58558,153163,5,5,1,0.134
58559,87576,5,5,1,0.124
58805,228332,5,5,1,0.257
58806,68431,5,5,1,0.334
58847,43943,5,5,1,0.977
58848,43943,5,5,1,0.976
58848,80535,5,5,1,0.574
60275,252199,5,5,1,0.513
60276,158978,5,5,1,0.37
60277,89252,5,5,1,0.301
60277,246763,5,5,1,0.254
60278,69801,5,5,1,0.365
60278,151370,5,5,1,0.358
60523,235934,5,5,1,0.161
60523,249623,5,5,1,0.2
60576,205183,5,5,1,0.508
60867,92538,5,5,1,0.349
60867,168170,5,5,1,0.454
61412,176851,5,5,1,0.232
61412,195235,5,5,1,0.227
61414,236808,5,5,1,0.354
61417,119447,5,5,1,0.362
61417,119450,5,5,1,0.309
61751,252952,5,5,1,0.634
61752,166536,5,5,1,0.248
61752,223663,5,5,1,0.173
62890,6641,5,5,1,0.267
62891,235610,5,5,1,0.39
63548,63549,5,5,1,0.08
63548,155293,5,5,1,0.326
63549,111939,5,5,1,0.327
63550,131683,5,5,1,0.276
63550,181036,5,5,1,0.219
63550,206925,5,5,1,0.381
63551,63550,5,5,1,0.073
63551,244401,5,5,1,0.172
65312,74753,5,5,1,0.313
65313,94294,5,5,1,0.2
65317,194191,5,5,1,0.22
65560,156113,5,5,1,0.211
66340,82951,5,5,1,0.27
66341,247947,5,5,1,0.331
66627,199906,5,5,1,0.12
66838,199905,5,5,1,0.113
66838,239173,5,5,1,0.226
68193,58559,5,5,1,0.171
68193,128416,5,5,1,0.243
68193,153163,5,5,1,0.039
68193,249623,5,5,1,0.398
68259,38225,5,5,1,0.542
68430,58805,5,5,1,0.232
68430,70139,5,5,1,0.211
68431,99116,5,5,1,0.211
68507,211205,5,5,1,0.481
69479,168171,5,5,1,0.197
69800,255574,5,5,1,0.27
69801,110185,5,5,1,0.601
69802,60277,5,5,1,0.27
69802,256552,5,5,1,0.279
69803,220520,5,5,1,0.325
69803,256986,5,5,1,0.173
70139,60576,5,5,1,0.225
70516,56655,5,5,1,0.196
70857,70858,5,5,1,0.156
70857,80563,5,5,1,0.741
70858,80563,5,5,1,0.599
70859,189024,5,5,1,0.26
70859,198691,5,5,1,0.362
70860,70859,5,5,1,0.171
71204,150238,5,5,1,0.188
71282,52040,5,5,1,0.152
71282,52042,5,5,1,0.191
71574,179312,5,5,1,0.228
71575,81272,5,5,1,0.324
71575,234472,5,5,1,0.31
71744,115578,5,5,1,0.225
74576,102020,5,5,1,0.26
74577,225499,5,5,1,0.174
74753,176556,5,5,1,0.593
75233,80564,5,5,1,0.327
75234,99850,5,5,1,0.616
75811,85546,5,5,1,0.238
75812,70516,5,5,1,0.216
75812,183544,5,5,1,0.18
76136,192868,5,5,1,0.437
77501,182009,5,5,1,0.348
77501,182388,5,5,1,0.182
77831,125018,5,5,1,0.228
77832,231052,5,5,1,0.268
77833,87575,5,5,1,0.263
77834,231052,5,5,1,0.221
78457,182010,5,5,1,1.261
78458,183543,5,5,1,0.306
79601,89253,5,5,1,0.194
79602,241609,5,5,1,0.413
79603,52049,5,5,2,0.337
79603,182885,5,5,3,1.496
79604,92539,5,5,1,0.334
80535,141765,5,5,1,0.211
80563,75234,5,5,1,0.279
80564,70860,5,5,1,0.625
81195,186322,5,5,1,0.314
81271,71574,5,5,1,0.326
81272,141494,5,5,1,0.205
81440,91034,5,5,1,0.284
81441,71744,5,5,1,0.333
82730,97254,5,5,1,0.43
82730,121402,5,5,1,0.263
82730,213936,5,5,1,0.108
82731,92346,5,5,1,0.21
82870,92548,5,5,1,0.696
82870,203591,5,5,1,1.218
82871,151487,5,5,1,0.932
82950,66341,5,5,1,0.258
82951,85543,5,5,1,0.234
84538,254343,5,5,1,0.218
84539,55019,5,5,1,0.391
85543,43491,5,5,1,0.318
85545,75812,5,5,1,0.236
85546,150239,5,5,1,0.272
87574,102019,5,5,1,0.153
87575,58558,5,5,1,0.143
87576,77832,5,5,1,0.274
87855,51543,5,5,1,0.242
87856,68507,5,5,1,0.229
88612,178702,5,5,1,0.235
89252,79604,5,5,1,0.348
89253,60278,5,5,1,0.361
89253,135922,5,5,1,0.058
89256,220521,5,5,1,0.488
89499,99116,5,5,1,0.255
89633,182685,5,5,1,0.213
90834,213809,5,5,1,0.262
90835,81195,5,5,1,0.272
91034,134275,5,5,1,0.128
91035,81441,5,5,1,0.182
91735,216599,5,5,1,0.411
92005,53824,5,5,1,0.139
92345,82730,5,5,1,0.236
92346,102021,5,5,1,0.328
92427,121753,5,5,1,0.251
92428,102099,5,5,1,0.207
92428,232810,5,5,5,2.196
92538,79601,5,5,1,0.275
92539,158382,5,5,1,0.175
92548,102193,5,5,1,0.591
92548,102194,5,5,1,0.552
93403,103020,5,5,1,0.476
93403,214922,5,5,1,0.203
93404,103020,5,5,1,0.431
94293,65312,5,5,1,0.171
94294,45741,5,5,1,0.589
94294,100900,5,5,1,0.248
94294,100901,5,5,2,0.218
94294,140645,5,5,1,0.249
94294,215076,5,5,3,0.525
94358,43491,5,5,1,0.273
95343,105001,5,5,1,0.234
95361,196037,5,5,1,0.196
95361,196038,5,5,1,0.153
95362,205681,5,5,1,0.308
95844,105521,5,5,1,0.191
96466,159171,5,5,2,0.221
96598,43491,5,5,1,0.322
96598,151575,5,5,1,0.313
97254,187166,5,5,1,0.27
97255,121402,5,5,1,0.331
97255,213936,5,5,2,0.286
97694,107430,5,5,1,0.316
97696,126963,5,5,1,0.277
99114,68430,5,5,1,0.357
99115,89500,5,5,1,0.252
99116,195567,5,5,1,0.189
99127,108860,5,5,1,0.317
99127,184191,5,5,1,0.352
99129,77501,5,5,1,0.416
99129,117770,5,5,1,0.242
99129,126389,5,5,1,0.492
99820,99821,5,5,2,0.021
99821,256745,5,5,2,0.752
99850,109581,5,5,1,0.496
99850,214920,5,5,1,0.102
99851,75233,5,5,1,0.585
100116,109884,5,5,1,0.164
100495,110186,5,5,1,0.362
100710,91035,5,5,1,0.203
100710,110437,5,5,1,0.593
100711,91035,5,5,1,0.261
100711,177475,5,5,1,0.281
100713,205081,5,5,1,0.245
100740,151118,5,5,1,0.268
100742,147083,5,5,1,0.184
100900,45741,5,5,1,0.422
100901,45741,5,5,1,0.553
100901,100900,5,5,1,0.13
100901,110397,5,5,1,0.353
100901,215076,5,5,1,0.307
100903,234607,5,5,1,0.355
100903,247874,5,5,1,0.236
100904,100900,5,5,1,0.154
100904,247874,5,5,1,0.21
100909,100903,5,5,1,0.098
100909,100904,5,5,1,0.121
100909,197764,5,5,1,0.087
