"ori_node","des_node","ori_layer","des_layer","minutes","km"
4548,21492,2,2,2,1.561
4548,125751,2,2,2,1.455
18852,45203,2,2,3,2.37
21492,4548,2,2,2,1.561
21492,38390,2,2,3,1.661
38390,21492,2,2,3,1.661
38390,82968,2,2,2,2.18
45203,18852,2,2,3,2.37
49947,82968,2,2,1,1.119
82968,38390,2,2,2,2.18
82968,49947,2,2,2,1.119
125751,4548,2,2,2,1.455
4548,4548,5,5,1,0
4548,104628,5,5,1,0.321
4548,244100,5,5,2,0.719
4548,255835,5,5,1,0.379
18852,18852,5,5,1,0
18852,128030,5,5,5,1.581
18852,175882,5,5,1,2.031
18852,201971,5,5,1,0.397
18852,241655,5,5,1,0.815
18852,244619,5,5,5,1.815
21492,21492,5,5,1,0
21492,100835,5,5,1,0.56
21492,209443,5,5,2,1.161
21492,239407,5,5,1,0.423
38390,38390,5,5,1,0
38390,52955,5,5,1,0.402
38390,138219,5,5,1,0.28
38390,138221,5,5,1,0.288
38390,138223,5,5,1,0.265
38390,198876,5,5,1,0.333
38390,207349,5,5,1,0.33
38390,243739,5,5,1,0.51
38390,255597,5,5,1,0.722
45203,194304,5,5,2,0.572
49947,49947,5,5,1,0
49947,60533,5,5,1,0.331
49947,125938,5,5,2,0.357
49947,176267,5,5,1,0.278
49947,180138,5,5,1,0.261
49947,250622,5,5,1,0.372
51616,99523,5,5,1,0.095
51616,157026,5,5,1,0.098
51616,229690,5,5,1,0.513
51860,148268,5,5,1,0.219
51860,148269,5,5,1,0.279
51861,59852,5,5,1,0.208
52062,169285,5,5,2,0.425
52062,188755,5,5,1,0.268
52062,210151,5,5,1,0.138
52063,188755,5,5,1,0.233
52070,56060,5,5,1,0.451
52162,131842,5,5,2,0.444
52162,156687,5,5,1,0.448
52489,76362,5,5,1,0.283
52489,190970,5,5,1,0.216
52490,190970,5,5,1,0.234
52514,68480,5,5,1,0.106
52514,92439,5,5,1,0.096
52517,95153,5,5,1,0.422
52517,95154,5,5,1,0.421
52517,210662,5,5,1,0.419
52953,38390,5,5,1,0.375
52955,222401,5,5,1,0.248
52955,255597,5,5,1,0.34
53206,90206,5,5,1,0.338
53206,106313,5,5,1,0.342
53206,145398,5,5,1,0.081
53206,175416,5,5,1,0.175
53207,239406,5,5,1,0.331
53480,61645,5,5,1,0.243
53481,158248,5,5,1,0.111
53606,229008,5,5,1,0.495
53607,77651,5,5,1,0.242
54609,94163,5,5,1,0.286
54609,257314,5,5,1,0.377
54801,117817,5,5,1,0.288
54801,149190,5,5,1,0.401
55022,88881,5,5,1,0.081
55022,139467,5,5,1,0.409
55022,155938,5,5,1,0.253
56060,103888,5,5,1,0.156
56060,110593,5,5,1,0.513
56430,112519,5,5,2,0.271
56430,149313,5,5,1,0.088
56430,210621,5,5,4,0.879
56430,234785,5,5,3,0.728
56430,262219,5,5,3,0.746
56623,141146,5,5,1,0.099
56624,259413,5,5,1,0.149
56923,255000,5,5,1,0.336
