"ori_node","des_node","ori_layer","des_layer","minutes","km"
8561,14941,4,4,3,1.686
8561,18172,4,4,15,8.508
8561,116957,4,4,6,4.474
8661,14941,4,4,2,1.977
14941,8561,4,4,3,1.686
14941,8661,4,4,2,1.977
18172,8561,4,4,15,8.508
116957,8561,4,4,13,4.474
217300,8561,4,4,8,4.876
217300,8661,4,4,3,1.268
8561,8561,5,5,2,0
8561,80796,5,5,1,0.265
8561,87640,5,5,1,0.39
8561,104066,5,5,1,0.582
8561,107962,5,5,1,0.382
8561,117839,5,5,1,0.346
8561,117840,5,5,2,0.388
8561,124263,5,5,2,0.289
8561,147714,5,5,1,0.745
8561,149406,5,5,1,0.876
8561,152737,5,5,1,0.372
8561,164109,5,5,1,0.255
8561,164110,5,5,1,0.272
8561,172180,5,5,1,0.282
8561,228301,5,5,4,0.304
8561,228302,5,5,1,0.331
8561,231589,5,5,1,0.561
8561,258405,5,5,1,0.327
8661,155846,5,5,1,0.494
8661,221822,5,5,1,0.264
8661,242611,5,5,3,0.585
14941,69571,5,5,1,0.263
14941,155839,5,5,1,0.308
14941,155840,5,5,1,0.362
14941,222648,5,5,1,0.249
18172,132242,5,5,1,0.286
18172,155262,5,5,1,0.548
18172,155271,5,5,1,0.429
18172,234521,5,5,1,0.367
51573,131048,5,5,1,0.163
51574,235525,5,5,1,0.24
51575,139390,5,5,1,0.592
51575,231580,5,5,3,1.272
54573,107113,5,5,1,0.156
54573,124523,5,5,1,0.368
54573,134381,5,5,3,2.517
54573,134384,5,5,5,2.548
55071,72953,5,5,1,0.208
57155,227704,5,5,1,0.192
57156,169278,5,5,3,0.394
57156,238999,5,5,2,0.346
57157,227707,5,5,1,0.272
57161,57162,5,5,1,0.408
57162,198520,5,5,1,0.39
57622,258800,5,5,1,0.309
57623,57625,5,5,1,0.999
57624,217804,5,5,1,0.154
57624,248941,5,5,1,0.204
57625,105556,5,5,1,0.76
57626,57624,5,5,1,0.975
58166,87299,5,5,1,0.195
58282,155533,5,5,1,0.162
58287,67933,5,5,1,0.216
58290,58291,5,5,1,0.263
58291,155470,5,5,1,0.161
58635,114878,5,5,1,0.191
58636,248649,5,5,1,0.458
58637,160718,5,5,1,0.208
58638,258257,5,5,1,0.198
58639,101591,5,5,1,0.217
58639,131049,5,5,1,0.419
59655,212055,5,5,1,0.183
59674,228304,5,5,1,0.702
59674,229247,5,5,1,0.642
59677,228303,5,5,1,0.491
59681,237987,5,5,3,2.231
59971,59973,5,5,1,0.202
59972,89039,5,5,1,0.274
59973,59977,5,5,1,0.228
59974,59972,5,5,1,0.279
59975,89039,5,5,1,0.374
59975,231587,5,5,1,0.36
59976,59971,5,5,1,0.249
59977,69574,5,5,1,0.319
59978,59974,5,5,1,0.167
61266,116961,5,5,1,0.308
61267,236419,5,5,1,0.291
61268,154270,5,5,1,0.305
63753,238702,5,5,1,0.301
64569,107966,5,5,1,0.27
64569,194581,5,5,1,0.262
64593,194579,5,5,1,0.223
64679,69572,5,5,1,0.378
64680,144549,5,5,1,0.239
64682,64684,5,5,1,0.347
64683,131424,5,5,1,0.205
64684,213914,5,5,1,0.299
65522,88971,5,5,1,0.294
65612,229250,5,5,1,0.215
65618,112983,5,5,2,1.236
66783,66789,5,5,3,1.417
66784,66783,5,5,1,0.33
66785,66784,5,5,1,0.203
66789,94677,5,5,3,1.623
67756,88972,5,5,1,0.275
67756,170335,5,5,2,0.404
67933,151651,5,5,1,0.253
67934,155508,5,5,1,0.261
67935,67934,5,5,1,0.23
67936,67939,5,5,1,0.181
67937,67935,5,5,1,0.448
67938,67937,5,5,1,0.211
67939,67941,5,5,1,0.247
67939,107961,5,5,1,0.346
67940,67938,5,5,1,0.279
67941,77603,5,5,1,0.256
68016,59977,5,5,1,0.359
68388,237984,5,5,1,0.488
69569,69570,5,5,1,0.165
69570,69577,5,5,2,0.197
69571,69573,5,5,1,0.227
69572,69575,5,5,1,0.422
69573,59975,5,5,1,0.346
69573,59978,5,5,1,0.301
69574,14941,5,5,1,0.25
69575,107862,5,5,1,0.254
69575,251283,5,5,1,0.191
69575,261231,5,5,1,0.276
69576,64682,5,5,1,0.334
69576,155840,5,5,1,0.329
69577,69576,5,5,1,0.416
69577,87641,5,5,1,0.218
72952,147713,5,5,1,0.168
72952,208195,5,5,1,0.167
72953,258406,5,5,1,0.306
72954,235530,5,5,1,0.271
72954,245422,5,5,1,0.322
72955,72954,5,5,1,0.229
74115,181919,5,5,1,0.168
74121,208188,5,5,1,0.345
74121,208189,5,5,1,0.358
74121,220689,5,5,1,0.267
74122,220659,5,5,1,0.354
75020,107965,5,5,1,0.254
76341,154739,5,5,1,0.667
76343,237986,5,5,1,0.49
76349,258796,5,5,1,0.231
76349,258797,5,5,2,0.434
77537,149899,5,5,1,0.258
77537,209943,5,5,1,0.242
77540,246795,5,5,2,1.799
77543,149899,5,5,1,0.439
77543,209939,5,5,1,0.267
77603,149405,5,5,1,0.228
77604,67940,5,5,1,0.233
79269,233466,5,5,2,1.613
79270,79278,5,5,1,0.416
79271,79273,5,5,1,0.158
79272,88971,5,5,1,0.497
79272,108330,5,5,4,1.796
79273,79275,5,5,1,0.291
79275,79277,5,5,1,0.382
79276,220032,5,5,1,0.295
79277,116498,5,5,1,0.766
79277,134381,5,5,3,3.049
79277,210305,5,5,5,1.709
79277,220209,5,5,1,1.714
79278,79276,5,5,1,0.184
79335,89041,5,5,1,0.305
79336,79338,5,5,1,0.244
79337,79335,5,5,1,0.211
79338,233843,5,5,1,0.279
79339,79337,5,5,1,0.258
79340,89043,5,5,1,0.476
79340,117836,5,5,1,0.324
79340,149587,5,5,1,0.348
79341,79343,5,5,1,0.421
79342,79340,5,5,1,0.371
79343,233843,5,5,1,0.224
79344,79339,5,5,1,0.185
79344,79342,5,5,1,0.237
80794,104066,5,5,1,0.348
80794,147714,5,5,1,0.489
80795,104066,5,5,1,0.351
80795,164109,5,5,1,0.108
80796,147714,5,5,2,0.484
80797,231589,5,5,1,0.46
80798,87640,5,5,2,0.375
80798,104066,5,5,1,0.338
80799,90414,5,5,1,0.193
80799,104066,5,5,1,0.353
80799,164109,5,5,1,0.109
81297,109844,5,5,1,0.446
81297,139390,5,5,1,0.376
83885,72955,5,5,1,0.26
83886,134384,5,5,1,0.575
83887,83885,5,5,1,0.34
83887,87637,5,5,4,1.033
83887,87734,5,5,1,0.664
84918,84919,5,5,3,1.458
84919,84920,5,5,1,0.323
84920,84921,5,5,1,0.188
84921,59677,5,5,3,1.492
84922,84924,5,5,2,1.329
84923,137739,5,5,2,1.183
84924,87229,5,5,3,3.96
84924,121572,5,5,1,0.435
84925,84923,5,5,1,1.449
86468,261162,5,5,1,0.301
86471,91925,5,5,1,0.237
87233,84925,5,5,4,3.835
87292,100091,5,5,1,0.282
