"ori_node","des_node","ori_layer","des_layer","minutes","km"
24143,38988,2,2,5,5.595
24143,39680,2,2,4,4.59
33317,38988,2,2,5,4.943
38988,24143,2,2,5,5.595
38988,33317,2,2,4,4.943
38988,39680,2,2,2,1.498
39680,24143,2,2,4,4.59
39680,38988,2,2,2,1.498
24143,24143,5,5,1,0
24143,65691,5,5,1,0.477
24143,143008,5,5,1,0.355
24143,143535,5,5,1,0.29
24143,168027,5,5,1,0.521
24143,236066,5,5,3,0.713
24143,249354,5,5,5,0.759
24143,261349,5,5,1,0.787
33317,33317,5,5,1,0
33317,59496,5,5,1,0.327
33317,102554,5,5,1,0.357
33317,136716,5,5,2,0.682
33317,180076,5,5,1,0.277
33317,211956,5,5,12,5.144
33317,217595,5,5,3,3.445
33317,261086,5,5,3,2.557
38988,54855,5,5,2,4.705
38988,85652,5,5,1,0.581
38988,245801,5,5,1,0.4
39680,54981,5,5,1,0.272
39680,70941,5,5,1,0.425
39680,128636,5,5,1,0.275
39680,147756,5,5,1,0.268
39680,171949,5,5,1,0.323
39680,234599,5,5,2,0.288
51605,181320,5,5,1,0.197
52092,237815,5,5,1,0.42
52999,84776,5,5,1,0.51
52999,91880,5,5,1,0.632
52999,120510,5,5,2,0.766
53034,255695,5,5,1,0.088
53035,246722,5,5,1,0.149
53134,86344,5,5,2,0.413
54001,126312,5,5,1,0.369
54130,103710,5,5,1,0.212
54456,244884,5,5,1,0.304
54510,79507,5,5,2,0.452
54510,257246,5,5,1,0.199
54855,233761,5,5,1,0.357
54873,257573,5,5,1,0.224
54981,39680,5,5,1,0.272
55038,232104,5,5,1,0.334
55608,258316,5,5,1,0.224
56055,80130,5,5,1,0.18
56070,33317,5,5,3,3.448
56070,193324,5,5,4,2.53
56210,175452,5,5,1,0.161
56210,240755,5,5,1,0.377
56220,54130,5,5,1,0.382
56263,80255,5,5,3,0.779
56768,60026,5,5,1,0.408
56768,60432,5,5,1,0.207
56768,233761,5,5,1,0.118
56768,254955,5,5,1,0.298
56796,140975,5,5,1,0.229
56843,251428,5,5,1,0.411
56867,238606,5,5,1,0.295
57133,139033,5,5,1,0.252
57627,65691,5,5,1,0.254
