"ori_node","des_node","ori_layer","des_layer","minutes","km"
16822,17201,2,2,4,2.174
17201,16822,2,2,3,2.174
17201,30710,2,2,2,0.809
21503,30710,2,2,3,1.613
30710,17201,2,2,2,0.809
30710,21503,2,2,2,1.613
16822,16822,5,5,1,0
16822,71687,5,5,2,0.44
16822,87442,5,5,2,0.461
16822,114575,5,5,1,0.458
16822,116635,5,5,1,0.343
16822,117308,5,5,2,0.527
16822,126348,5,5,2,0.281
16822,126355,5,5,2,0.461
16822,192880,5,5,4,0.616
16822,205727,5,5,3,0.785
16822,251455,5,5,1,0.462
17201,17201,5,5,1,0
17201,109284,5,5,1,0.327
17201,133367,5,5,1,0.272
17201,167998,5,5,2,0.769
17201,238435,5,5,1,0.322
17201,244877,5,5,3,0.79
21503,21503,5,5,1,0
21503,77778,5,5,1,0.344
21503,77779,5,5,1,0.311
30710,30710,5,5,1,0
30710,68127,5,5,1,0.653
30710,109289,5,5,1,0.548
30710,127442,5,5,1,0.278
30710,152840,5,5,1,0.46
30710,174007,5,5,1,0.357
30710,253951,5,5,2,0.251
51991,215392,5,5,1,0.143
51992,87445,5,5,1,0.368
51993,200490,5,5,1,0.215
54061,158592,5,5,4,2.497
56192,86229,5,5,1,0.168
58181,100423,5,5,1,0.491
59380,97203,5,5,1,0.156
59383,59386,5,5,1,0.274
59386,103823,5,5,1,0.098
59386,247317,5,5,1,0.169
60195,60198,5,5,1,0.428
60196,203035,5,5,1,0.326
60197,60196,5,5,1,0.412
60198,60200,5,5,1,0.19
60199,60197,5,5,1,0.161
60200,148001,5,5,1,0.512
60200,244063,5,5,1,0.202
61647,256624,5,5,1,0.257
63003,67771,5,5,1,0.17
63003,71687,5,5,1,0.12
64287,230303,5,5,1,0.148
64643,225618,5,5,1,0.207
64645,176896,5,5,1,0.124
67771,16822,5,5,1,0.384
67827,219536,5,5,1,0.381
67828,201284,5,5,1,0.268
67829,161034,5,5,1,0.257
67832,150987,5,5,1,0.289
67833,67828,5,5,1,0.195
67834,67833,5,5,1,0.281
67850,173976,5,5,1,0.277
67850,249343,5,5,1,0.287
68080,68082,5,5,1,0.226
68081,77732,5,5,1,0.397
68082,135052,5,5,1,0.108
68082,241519,5,5,1,0.38
68083,68081,5,5,1,0.226
68084,68085,5,5,1,0.16
68085,17201,5,5,1,0.638
68122,68128,5,5,1,0.261
68123,211415,5,5,1,0.304
68125,68123,5,5,1,0.327
68125,68128,5,5,1,0.296
68125,88471,5,5,1,0.197
68125,238880,5,5,1,0.355
68127,68125,5,5,1,0.267
68127,102167,5,5,1,0.256
68127,152826,5,5,1,0.236
68127,152830,5,5,1,0.256
68128,152839,5,5,1,0.178
68956,51993,5,5,1,0.071
68957,68956,5,5,1,0.076
69082,148801,5,5,1,0.473
69082,214149,5,5,1,0.217
70629,126351,5,5,1,0.227
71370,231652,5,5,1,0.466
71371,168372,5,5,1,0.599
71378,100365,5,5,1,0.709
71378,231651,5,5,1,0.089
73139,120372,5,5,1,0.265
76366,21503,5,5,1,0.336
76366,103823,5,5,1,0.492
76366,245130,5,5,1,0.559
77723,77724,5,5,1,0.538
77724,145655,5,5,1,0.198
77726,77727,5,5,1,0.172
77727,134356,5,5,1,0.163
77728,77726,5,5,1,0.198
77728,145655,5,5,1,0.135
77732,77723,5,5,1,0.208
77778,30710,5,5,5,1.334
77778,247357,5,5,1,0.32
77779,103823,5,5,1,0.199
77779,119199,5,5,1,0.316
77779,245130,5,5,1,0.262
78662,90692,5,5,3,0.377
78662,120014,5,5,2,1.234
79402,209946,5,5,1,0.245
79404,134210,5,5,1,0.175
79404,220878,5,5,1,0.318
79836,134214,5,5,1,0.227
82470,69082,5,5,1,0.555
82470,90869,5,5,1,0.437
82471,67771,5,5,3,0.525
82901,209773,5,5,1,0.118
86229,79402,5,5,1,0.628
86229,219822,5,5,1,0.332
87149,232051,5,5,1,0.03
87150,87149,5,5,1,0.262
87151,235404,5,5,1,0.083
87436,87443,5,5,1,0.355
87436,215395,5,5,1,0.147
87439,68957,5,5,1,0.076
87440,196040,5,5,1,0.082
87441,51993,5,5,1,0.054
87442,87441,5,5,1,0.174
87443,87446,5,5,1,0.207
87444,77728,5,5,1,0.366
87444,87445,5,5,1,0.2
87445,77728,5,5,1,0.515
87445,87444,5,5,1,0.2
87445,134359,5,5,1,0.149
87446,51991,5,5,1,0.368
87446,116633,5,5,1,0.431
88468,176898,5,5,1,0.253
88469,97208,5,5,1,0.259
88469,217883,5,5,1,0.053
88470,176899,5,5,1,0.105
88471,88469,5,5,1,0.303
90688,90689,5,5,1,0.223
90689,100373,5,5,1,0.337
90690,90692,5,5,3,0.434
90691,90694,5,5,1,0.262
90692,90688,5,5,1,0.329
90692,90693,5,5,1,0.341
90693,90691,5,5,1,0.087
90693,120014,5,5,4,1.293
90694,120019,5,5,1,0.148
90694,137121,5,5,2,0.579
90695,90694,5,5,1,0.264
90860,138805,5,5,1,0.312
90860,158592,5,5,1,0.552
90869,148808,5,5,2,0.281
90869,158591,5,5,1,0.352
90869,214163,5,5,2,0.291
91941,251457,5,5,1,0.18
91982,256633,5,5,1,0.259
93121,96900,5,5,1,0.306
95853,126348,5,5,2,0.24
96794,128889,5,5,1,0.308
96795,96796,5,5,1,0.234
96796,128887,5,5,1,0.118
96895,96896,5,5,1,0.289
96896,64287,5,5,1,0.295
96898,150986,5,5,1,0.17
96899,101817,5,5,1,0.325
96900,96901,5,5,1,0.285
96901,161244,5,5,1,0.133
96905,245262,5,5,1,0.176
97159,16822,5,5,2,0.54
97159,126348,5,5,1,0.343
97202,97203,5,5,2,0.522
97202,241406,5,5,1,0.162
97203,97210,5,5,2,0.545
97203,111870,5,5,1,0.189
97203,241407,5,5,1,0.366
97205,68122,5,5,1,0.097
97205,68125,5,5,1,0.116
97206,97205,5,5,1,0.219
97207,97206,5,5,1,0.214
97208,97202,5,5,1,0.34
97208,210184,5,5,1,0.225
97209,97207,5,5,1,0.264
97210,97209,5,5,1,0.301
97210,138421,5,5,1,0.087
97654,97655,5,5,1,0.346
97655,138800,5,5,1,0.193
100365,100367,5,5,1,0.51
100367,120018,5,5,1,0.355
100367,137124,5,5,1,0.139
100372,90690,5,5,1,0.34
100373,205725,5,5,1,0.154
100423,100508,5,5,1,0.389
100477,87436,5,5,1,0.275
100477,145655,5,5,2,0.229
100508,68080,5,5,1,0.248
101626,220876,5,5,1,0.31
101814,67832,5,5,1,0.2
101815,232051,5,5,1,0.187
101817,255085,5,5,1,0.302
102167,68128,5,5,1,0.285
103784,209771,5,5,1,0.058
103789,60195,5,5,1,0.333
103823,59384,5,5,1,0.254
103823,247317,5,5,1,0.124
106258,87150,5,5,1,0.218
109284,109286,5,5,1,0.201
109285,17201,5,5,1,0.275
109286,97654,5,5,1,0.121
109287,190698,5,5,1,0.102
109289,17201,5,5,1,0.27
109289,109284,5,5,1,0.563
111563,233675,5,5,2,0.541
111870,245147,5,5,1,0.185
114575,111563,5,5,2,0.438
114575,138803,5,5,1,0.264
116633,16822,5,5,4,0.724
116633,126347,5,5,1,0.227
118878,227211,5,5,1,0.364
119191,173976,5,5,1,0.302
119191,249343,5,5,1,0.263
119193,67850,5,5,1,0.281
119193,119191,5,5,1,0.306
119194,76366,5,5,1,0.369
119198,119193,5,5,1,0.142
119198,176897,5,5,1,0.16
119199,119198,5,5,1,0.369
120014,136999,5,5,1,0.207
120017,137118,5,5,1,0.398
120017,137121,5,5,1,0.276
120018,120024,5,5,1,0.2
120019,205725,5,5,1,0.153
120020,215394,5,5,1,0.135
120023,120017,5,5,1,0.192
120024,179748,5,5,1,0.835
120358,71378,5,5,1,0.575
120358,168378,5,5,1,0.402
120372,168372,5,5,1,0.463
126142,241519,5,5,1,0.5
126174,241520,5,5,1,0.454
126347,16822,5,5,2,0.497
126347,126355,5,5,1,0.132
126348,16822,5,5,1,0.281
126348,126350,5,5,1,0.73
126350,136173,5,5,2,0.812
126350,167995,5,5,1,0.224
126351,16822,5,5,1,0.529
126352,70629,5,5,1,0.251
126353,126352,5,5,1,0.196
126355,196039,5,5,1,0.22
126355,252957,5,5,1,0.248
127312,137118,5,5,1,0.175
127312,137121,5,5,1,0.191
127442,180459,5,5,2,0.253
127442,241518,5,5,1,0.335
128306,255084,5,5,1,0.208
128884,215396,5,5,1,0.245
128885,138806,5,5,1,0.451
128887,135343,5,5,1,0.431
128888,128885,5,5,1,0.235
128889,128888,5,5,1,0.227
129326,255525,5,5,1,0.155
129336,79404,5,5,1,0.091
133367,136172,5,5,1,0.426
134208,160767,5,5,1,0.158
134210,220878,5,5,1,0.144
134211,160770,5,5,1,0.141
134212,209951,5,5,1,0.229
134214,79402,5,5,1,0.254
134356,100477,5,5,1,0.229
134359,243454,5,5,1,0.211
135052,241519,5,5,1,0.273
135343,164658,5,5,1,0.301
136164,244877,5,5,2,0.345
136166,17201,5,5,1,0.335
136166,136169,5,5,2,0.267
136167,136166,5,5,1,0.297
136169,206513,5,5,1,0.268
136170,140850,5,5,1,0.27
136172,126353,5,5,1,0.341
136173,136167,5,5,1,0.275
136999,58181,5,5,1,0.209
136999,77726,5,5,1,0.189
136999,87436,5,5,1,0.157
137118,71370,5,5,1,0.397
137121,251458,5,5,1,0.202
137121,251459,5,5,1,0.379
137123,120018,5,5,1,0.28
137123,137124,5,5,1,0.193
137124,167156,5,5,1,0.22
138143,187667,5,5,1,0.172
138421,97209,5,5,1,0.214
138800,138804,5,5,1,0.292
138801,109287,5,5,1,0.378
138802,138801,5,5,1,0.213
138803,138802,5,5,1,0.302
138804,67771,5,5,1,0.408
138804,71687,5,5,1,0.363
138805,158594,5,5,1,0.27
138806,215397,5,5,1,0.23
138807,171315,5,5,4,2.701
138807,215393,5,5,1,0.307
139104,91941,5,5,2,1.442
139106,126142,5,5,2,0.471
140237,158597,5,5,1,0.331
140850,133367,5,5,1,0.225
145655,254722,5,5,1,0.246
148001,244768,5,5,1,0.291
148005,148006,5,5,1,0.155
148006,63187,5,5,2,0.229
148006,209767,5,5,1,0.277
148800,82470,5,5,2,0.555
148800,90869,5,5,1,0.991
148800,158591,5,5,2,1.308
148801,148803,5,5,1,0.155
148801,231729,5,5,1,0.195
148802,148800,5,5,1,0.544
148802,214148,5,5,1,0.331
148803,178202,5,5,1,0.299
148808,214147,5,5,1,0.264
150986,67829,5,5,1,0.24
150987,128306,5,5,1,0.301
151840,101815,5,5,1,0.382
152538,244877,5,5,5,0.388
152758,30710,5,5,1,0.618
152759,238888,5,5,1,0.225
152826,238880,5,5,1,0.358
152830,68123,5,5,1,0.341
152839,30710,5,5,1,0.442
152840,68127,5,5,1,0.193
153943,61647,5,5,2,0.111
153943,103789,5,5,1,0.143
158590,214147,5,5,1,0.339
158591,90860,5,5,1,0.156
158592,138807,5,5,1,0.269
158594,158596,5,5,1,0.323
158595,138807,5,5,1,0.299
158596,205723,5,5,1,0.27
158597,215397,5,5,1,0.268
160765,209945,5,5,1,0.296
160767,160765,5,5,1,0.238
160770,134212,5,5,1,0.389
160770,209951,5,5,2,0.615
161019,101815,5,5,1,0.668
161019,151840,5,5,1,0.295
161030,245264,5,5,1,0.169
161034,87151,5,5,1,0.156
161034,161019,5,5,1,0.24
161241,161249,5,5,1,0.307
161242,161244,5,5,1,0.246
161243,96895,5,5,1,0.177
161243,161241,5,5,1,0.288
161244,161245,5,5,1,0.39
161245,161243,5,5,1,0.345
161249,230303,5,5,1,0.096
164658,140237,5,5,1,0.17
166314,93121,5,5,1,0.148
166314,259585,5,5,1,0.11
167156,100372,5,5,1,0.166
167156,120020,5,5,1,0.144
167995,136173,5,5,1,0.588
167998,244877,5,5,1,0.179
168364,168422,5,5,1,0.261
168378,178199,5,5,1,0.305
168418,103789,5,5,1,0.313
168422,168418,5,5,1,0.151
168423,245458,5,5,1,0.246
173976,119194,5,5,1,0.167
174007,67850,5,5,1,0.272
174007,119191,5,5,1,0.247
174418,114575,5,5,1,0.074
174418,251455,5,5,1,0.041
176896,64643,5,5,1,0.254
176897,64645,5,5,1,0.093
176898,88470,5,5,1,0.124
176899,119194,5,5,1,0.17
178198,178201,5,5,1,0.462
178199,179458,5,5,1,0.308
178201,179445,5,5,1,0.177
178202,179463,5,5,1,0.212
179445,179448,5,5,1,0.264
179448,148802,5,5,1,0.094
179448,231729,5,5,1,0.13
179455,73139,5,5,1,0.334
179458,178198,5,5,1,0.144
179461,179455,5,5,1,0.129
179463,179461,5,5,1,0.412
179747,241409,5,5,1,0.138
179748,120014,5,5,1,0.423
180456,241518,5,5,3,0.365
180459,152758,5,5,4,0.357
180459,180456,5,5,3,0.358
183018,68083,5,5,1,0.107
183018,126174,5,5,2,0.302
183018,135052,5,5,1,0.006
187667,235390,5,5,1,0.283
190698,109285,5,5,1,0.261
192880,126348,5,5,5,0.893
193340,87446,5,5,1,0.17
194267,209774,5,5,1,0.158
196039,87440,5,5,1,0.08
196040,205728,5,5,1,0.263
200490,16822,5,5,4,0.473
200490,205727,5,5,1,0.351
201284,67827,5,5,1,0.19
