"ori_node","des_node","ori_layer","des_layer","minutes","km"
4390,48572,2,2,4,2.584
25815,48572,2,2,3,1.137
29643,48572,2,2,4,3.75
48572,4390,2,2,3,2.584
48572,25815,2,2,3,1.137
48572,29643,2,2,4,3.75
109,12493,5,5,1,0.177
109,38805,5,5,1,0.351
508,10225,5,5,1,0.226
508,177558,5,5,1,0.33
546,2237,5,5,1,0.13
546,189118,5,5,1,0.445
876,40571,5,5,1,0.45
876,171900,5,5,1,0.221
1841,35041,5,5,1,0.185
1841,47279,5,5,1,0.198
1841,47282,5,5,1,0.223
1939,6000,5,5,1,0.274
1939,76484,5,5,1,0.14
1994,12724,5,5,1,0.265
1994,32950,5,5,1,0.177
2206,43063,5,5,1,0.601
2236,18239,5,5,2,0.885
2236,32955,5,5,1,0.207
2237,546,5,5,1,0.13
2237,47656,5,5,1,0.342
2259,2263,5,5,1,0.332
2259,24707,5,5,1,0.342
2259,225553,5,5,1,0.276
2261,2262,5,5,1,0.281
2261,2344,5,5,1,0.23
2262,2261,5,5,1,0.281
2262,2263,5,5,1,0.364
2263,2259,5,5,1,0.332
2263,24707,5,5,1,0.132
2263,77367,5,5,1,0.119
2342,26095,5,5,1,0.244
2342,217337,5,5,1,0.296
2344,2261,5,5,1,0.23
2344,2345,5,5,1,0.19
2344,13639,5,5,1,0.274
2344,82729,5,5,1,0.112
2345,2344,5,5,1,0.19
2345,40429,5,5,1,0.341
2345,82729,5,5,1,0.079
2416,17833,5,5,1,0.282
2416,17835,5,5,1,0.657
2416,88549,5,5,1,0.621
2632,17484,5,5,1,0.166
2632,50779,5,5,1,0.608
2643,17484,5,5,1,0.21
2643,46799,5,5,1,0.201
2903,3590,5,5,1,0.168
2903,21793,5,5,1,0.095
3590,2903,5,5,1,0.168
3590,3595,5,5,1,0.27
3591,3595,5,5,1,0.179
3591,43502,5,5,1,0.241
3591,236151,5,5,1,0.267
3595,3591,5,5,1,0.179
3595,9075,5,5,1,0.406
3598,21793,5,5,1,0.232
3598,245997,5,5,1,0.085
4187,508,5,5,1,0.593
4187,6870,5,5,1,0.222
4187,177558,5,5,1,0.263
4247,7911,5,5,1,0.159
4247,37529,5,5,1,0.213
4247,202041,5,5,1,0.195
4385,4386,5,5,1,0.18
4385,22984,5,5,1,0.291
4386,4385,5,5,1,0.18
4386,27984,5,5,1,0.173
4386,28739,5,5,2,0.799
4390,4390,5,5,1,0
4390,4404,5,5,1,0.653
4390,5477,5,5,1,0.659
4390,46947,5,5,1,0.712
4390,101069,5,5,1,0.552
4400,23557,5,5,2,0.795
4403,4404,5,5,1,0.164
4403,187305,5,5,1,0.282
4404,4390,5,5,1,0.653
4404,4403,5,5,1,0.164
4405,4403,5,5,1,0.58
4405,9490,5,5,1,0.36
4405,124885,5,5,1,0.304
4528,25360,5,5,1,0.293
4528,238735,5,5,1,0.211
5473,33321,5,5,1,0.391
5473,135521,5,5,1,0.202
5473,262206,5,5,1,0.233
5477,4390,5,5,1,0.659
5477,33314,5,5,1,0.341
5605,16892,5,5,1,0.255
5605,46947,5,5,1,0.139
6000,1939,5,5,1,0.274
6000,93538,5,5,1,0.167
6283,6284,5,5,1,0.227
6283,30465,5,5,1,0.472
6283,30467,5,5,1,0.267
6283,38748,5,5,1,0.489
6284,6283,5,5,1,0.227
6284,17835,5,5,1,0.363
6493,39891,5,5,1,0.399
6493,39894,5,5,1,0.347
6495,28071,5,5,4,0.788
6495,39894,5,5,1,0.218
6495,39898,5,5,1,0.43
6495,162085,5,5,4,1.609
6640,6937,5,5,1,0.177
6640,34656,5,5,5,1.712
6640,42501,5,5,1,0.225
6640,42599,5,5,5,0.659
6861,10225,5,5,1,0.188
6861,39480,5,5,2,0.196
6870,4187,5,5,1,0.222
6870,15028,5,5,1,0.051
6870,39484,5,5,1,0.281
6890,39484,5,5,1,0.37
6890,50161,5,5,1,0.292
6890,187793,5,5,4,1.41
6905,6907,5,5,1,0.272
6905,50996,5,5,1,0.073
6906,6907,5,5,1,0.284
6906,26095,5,5,1,0.27
6907,6905,5,5,1,0.272
6907,6906,5,5,1,0.284
6907,50996,5,5,1,0.252
6907,192467,5,5,1,0.193
6937,6640,5,5,1,0.177
6937,12086,5,5,1,0.272
6953,232571,5,5,1,0.251
6953,233334,5,5,1,0.265
7247,22984,5,5,1,0.256
7247,44407,5,5,1,0.223
7248,39796,5,5,1,0.269
7248,47281,5,5,1,0.244
7904,9836,5,5,1,0.224
7904,19803,5,5,1,0.219
7911,4247,5,5,1,0.159
7911,7912,5,5,1,0.16
7912,7911,5,5,1,0.16
7912,10388,5,5,1,0.253
8809,13731,5,5,1,0.159
8809,32912,5,5,1,0.272
8809,217546,5,5,1,0.148
9012,27210,5,5,1,0.325
9012,46243,5,5,1,0.202
9075,3595,5,5,1,0.406
9075,43033,5,5,1,0.42
9075,187793,5,5,1,0.57
9377,25815,5,5,1,0.656
9377,50721,5,5,1,0.273
9396,135521,5,5,1,1.004
9396,242253,5,5,1,0.213
9396,262206,5,5,3,0.911
9490,4405,5,5,1,0.36
9490,216329,5,5,1,0.187
9492,21085,5,5,1,0.142
9492,216332,5,5,1,0.203
9836,7904,5,5,1,0.224
9836,9843,5,5,1,0.123
9836,76484,5,5,1,0.227
9843,9836,5,5,1,0.123
9843,30859,5,5,1,0.204
10077,10077,5,5,1,0
10077,36950,5,5,1,0.239
10077,36975,5,5,1,0.271
10077,148090,5,5,1,0.274
10205,26853,5,5,1,0.264
10205,51287,5,5,1,0.122
10211,18798,5,5,1,0.262
10211,26853,5,5,1,0.193
10225,508,5,5,1,0.226
10225,6861,5,5,1,0.188
10225,35035,5,5,1,0.297
10388,7912,5,5,1,0.253
10388,10403,5,5,1,0.212
10403,10388,5,5,1,0.212
10403,40425,5,5,1,0.192
11105,11168,5,5,1,0.237
11105,21588,5,5,1,0.387
11168,11105,5,5,1,0.237
11280,18466,5,5,1,0.213
11280,112663,5,5,1,0.81
11320,12086,5,5,1,0.246
11320,196993,5,5,1,0.804
11752,42501,5,5,1,0.21
11752,42599,5,5,1,0.23
12053,12054,5,5,1,0.712
12053,12056,5,5,1,0.313
12054,12053,5,5,1,0.712
12054,12335,5,5,1,0.41
12054,44431,5,5,1,0.26
12055,12056,5,5,1,0.283
12055,12058,5,5,1,0.336
12056,12053,5,5,1,0.313
12056,12055,5,5,1,0.283
12056,46422,5,5,1,0.762
12058,12055,5,5,1,0.336
12058,26853,5,5,1,0.373
12059,12062,5,5,1,0.35
12059,43398,5,5,1,0.593
12060,12062,5,5,1,0.356
12060,26853,5,5,1,0.388
12061,43398,5,5,1,1.289
12061,233334,5,5,1,0.257
12062,12059,5,5,1,0.35
12062,12060,5,5,1,0.356
12086,6937,5,5,1,0.272
12086,11320,5,5,1,0.246
12269,12269,5,5,1,0
12269,24466,5,5,3,0.812
12269,44984,5,5,1,0.489
12269,161302,5,5,1,0.26
12335,12054,5,5,1,0.41
12335,27207,5,5,1,0.245
12467,12468,5,5,1,0.282
12467,12471,5,5,1,0.183
12468,12467,5,5,1,0.282
12468,35361,5,5,1,0.215
12471,12467,5,5,1,0.183
12471,46799,5,5,1,0.258
12473,23828,5,5,1,0.163
12473,46799,5,5,1,0.274
12473,149017,5,5,1,0.192
12493,109,5,5,1,0.177
12493,12503,5,5,1,0.243
12497,23994,5,5,1,0.196
12497,27252,5,5,1,0.108
12499,12501,5,5,2,0.977
12499,23994,5,5,1,0.761
12501,12499,5,5,1,0.977
12501,12503,5,5,1,0.284
12503,12493,5,5,1,0.243
12503,12501,5,5,1,0.284
12723,12724,5,5,1,0.241
12724,1994,5,5,1,0.265
12724,12723,5,5,1,0.241
13013,13014,5,5,1,0.357
13013,25815,5,5,1,0.701
13014,13013,5,5,1,0.357
13014,13016,5,5,1,0.281
13016,13014,5,5,1,0.281
13016,18239,5,5,1,0.321
13017,18239,5,5,1,0.246
13017,91665,5,5,1,0.272
13138,27998,5,5,1,0.236
13138,28000,5,5,1,0.197
13139,27984,5,5,1,0.211
13139,39891,5,5,1,0.108
13639,2261,5,5,1,0.086
13639,13659,5,5,1,0.165
13655,2262,5,5,1,0.079
13655,13659,5,5,1,0.192
13659,13639,5,5,1,0.165
13659,13655,5,5,1,0.192
13731,8809,5,5,1,0.159
13731,35712,5,5,1,0.26
13731,166986,5,5,1,0.062
14563,14564,5,5,1,0.173
14563,24898,5,5,1,0.388
14564,14563,5,5,1,0.173
14564,35712,5,5,1,0.414
14587,22785,5,5,1,0.252
14587,148092,5,5,1,0.169
14847,14848,5,5,1,0.347
14847,14851,5,5,1,0.308
14848,14847,5,5,1,0.347
14848,29643,5,5,1,0.539
14851,14847,5,5,1,0.308
14851,21289,5,5,1,0.34
15028,4187,5,5,1,0.226
15028,23834,5,5,1,0.168
15081,19608,5,5,1,0.166
15081,37692,5,5,1,0.259
15084,28276,5,5,1,0.246
15084,47280,5,5,1,0.3
15094,23155,5,5,1,0.182
15094,49689,5,5,1,0.373
16403,23834,5,5,1,0.221
16403,187323,5,5,1,0.257
16435,16403,5,5,1,0.358
16892,5605,5,5,1,0.255
16892,145380,5,5,1,0.151
17284,28711,5,5,1,0.423
17284,28714,5,5,1,0.228
17484,2632,5,5,1,0.166
17484,2643,5,5,1,0.21
17484,17484,5,5,3,0
