"ori_node","des_node","ori_layer","des_layer","minutes","km"
413,3628,2,2,2,1.486
413,16439,2,2,2,1.397
413,32297,2,2,2,2.54
1254,5316,2,2,3,1.919
3628,413,2,2,3,1.486
3628,25580,2,2,5,2.187
5316,1254,2,2,5,1.919
5316,8309,2,2,2,0.704
8309,5316,2,2,2,0.704
8309,39675,2,2,2,1.248
10298,45699,2,2,4,1.777
16439,413,2,2,2,1.397
16439,39832,2,2,2,0.925
25580,3628,2,2,4,2.187
25580,45699,2,2,1,0.568
32297,413,2,2,7,2.54
39675,8309,2,2,1,1.248
39675,39832,2,2,3,2.832
39832,16439,2,2,2,0.925
39832,39675,2,2,4,2.832
45699,10298,2,2,5,1.777
45699,25580,2,2,2,0.568
413,141702,5,5,1,0.829
413,152324,5,5,1,1.459
1254,1254,5,5,1,0
1254,144931,5,5,1,0.503
1254,185730,5,5,1,0.528
1254,237428,5,5,1,0.285
1254,250598,5,5,3,0.776
1254,258787,5,5,1,0.307
3628,194865,5,5,1,0.384
3628,197665,5,5,1,0.564
3628,238602,5,5,1,0.513
5316,5316,5,5,1,0
5316,154865,5,5,1,0.562
5316,174453,5,5,1,0.278
5316,190807,5,5,1,0.426
8309,213071,5,5,1,0.445
8309,259490,5,5,1,0.307
10298,10298,5,5,1,0
10298,137339,5,5,1,0.475
10298,157461,5,5,1,0.278
10298,167236,5,5,1,0.496
10298,191908,5,5,1,0.437
10298,254169,5,5,1,0.332
16439,16439,5,5,1,0
16439,152324,5,5,1,0.414
16439,210920,5,5,1,0.386
25580,25580,5,5,1,0
25580,70077,5,5,1,0.336
25580,114417,5,5,1,0.364
25580,232151,5,5,1,0.825
32297,32297,5,5,1,0
32297,238743,5,5,1,0.428
32297,256921,5,5,1,0.29
32297,258540,5,5,1,0.273
39675,73994,5,5,1,0.467
39675,93446,5,5,1,0.407
39832,39832,5,5,1,0
39832,78393,5,5,1,0.505
39832,93415,5,5,1,0.254
39832,93416,5,5,1,0.271
39832,206026,5,5,1,0.694
39832,206028,5,5,1,0.562
45699,45699,5,5,1,0
45699,71774,5,5,1,0.497
45699,133874,5,5,1,0.611
45699,133875,5,5,1,0.595
45699,147340,5,5,1,0.435
45699,155759,5,5,1,0.342
45699,175346,5,5,1,0.412
53220,234445,5,5,1,0.164
53556,144930,5,5,1,0.366
54068,135591,5,5,1,0.212
54069,248698,5,5,1,0.207
54070,118055,5,5,1,0.183
54073,118055,5,5,1,0.123
54179,83002,5,5,1,0.352
54387,84677,5,5,1,0.484
54958,261856,5,5,1,0.331
55630,65228,5,5,1,0.284
55846,65449,5,5,1,0.237
56501,83003,5,5,1,0.287
57378,86287,5,5,1,0.254
57379,66986,5,5,1,0.297
57379,248699,5,5,1,0.583
57605,67245,5,5,1,0.184
57606,219527,5,5,1,0.192
59088,68718,5,5,1,0.346
60324,172431,5,5,1,0.282
60325,116051,5,5,1,0.162
60325,172431,5,5,1,0.276
60571,25580,5,5,1,0.482
60571,70076,5,5,1,0.206
60572,88840,5,5,1,0.368
60572,242113,5,5,1,0.245
63070,98107,5,5,1,0.368
63071,203188,5,5,1,0.244
63801,148035,5,5,1,0.483
63801,261856,5,5,1,0.321
63802,54179,5,5,1,0.484
64526,207707,5,5,1,0.312
65056,228842,5,5,1,0.205
65063,152325,5,5,1,0.299
65227,84690,5,5,1,0.338
65228,168754,5,5,1,0.326
65228,181743,5,5,1,0.734
65449,171257,5,5,1,0.205
65450,77668,5,5,1,0.25
66986,146130,5,5,1,0.189
66986,218947,5,5,1,0.196
66986,248699,5,5,1,0.286
66987,57378,5,5,1,0.344
66987,95106,5,5,1,0.307
67244,57606,5,5,1,0.23
67245,248972,5,5,1,0.242
68718,235875,5,5,1,0.146
