"ori_node","des_node","ori_layer","des_layer","minutes","km"
16751,32327,2,2,7,3.541
16751,32983,2,2,1,1.51
32327,16751,2,2,5,3.541
32327,32983,2,2,3,2.404
32983,16751,2,2,2,1.51
32983,32327,2,2,4,2.404
16751,109345,5,5,1,0.47
16751,220920,5,5,2,0.647
32327,32327,5,5,1,0
32327,80265,5,5,1,0.534
32327,104841,5,5,1,0.693
32327,107533,5,5,1,0.253
32327,133236,5,5,1,0.366
32327,165304,5,5,1,0.456
32327,165305,5,5,1,0.455
32327,165306,5,5,1,0.463
32327,165939,5,5,1,0.301
32327,183754,5,5,1,0.354
32327,192774,5,5,1,0.338
32327,194231,5,5,1,0.472
32327,194232,5,5,1,0.457
32327,202337,5,5,1,0.369
32983,32983,5,5,1,0
32983,74528,5,5,1,0.653
32983,94620,5,5,1,0.5
32983,192911,5,5,2,0.638
52059,164977,5,5,1,0.243
52163,209332,5,5,2,0.335
52513,129539,5,5,1,0.161
53612,137475,5,5,1,0.284
53825,240082,5,5,1,0.168
53826,96240,5,5,2,0.357
53894,200349,5,5,1,0.174
53895,71748,5,5,1,0.497
53958,78014,5,5,1,0.255
53958,162113,5,5,1,0.386
53959,162113,5,5,1,0.305
55040,219070,5,5,1,0.155
55211,124652,5,5,1,0.261
55212,166584,5,5,1,0.503
55212,172975,5,5,1,0.312
55212,212010,5,5,1,0.309
55896,191095,5,5,1,0.056
55896,219007,5,5,1,0.14
56013,165758,5,5,1,0.307
56014,258689,5,5,1,0.187
56462,125489,5,5,1,0.352
56678,216944,5,5,1,0.129
56678,256113,5,5,1,0.659
57896,203973,5,5,1,0.171
57896,260827,5,5,1,0.214
57897,260828,5,5,1,0.199
58363,63721,5,5,1,0.36
58363,122154,5,5,1,0.173
58910,220074,5,5,1,0.145
58910,242744,5,5,1,0.107
59304,62497,5,5,1,0.168
59304,67230,5,5,3,0.273
59304,67233,5,5,1,0.298
59304,249841,5,5,1,0.547
59728,151632,5,5,1,0.176
59728,224937,5,5,2,0.291
59728,249431,5,5,1,0.049
60155,104200,5,5,1,0.103
60819,130854,5,5,1,0.261
61386,79838,5,5,1,0.286
61386,103790,5,5,1,0.161
61386,103793,5,5,1,0.118
61387,69236,5,5,1,0.168
61418,119607,5,5,1,0.106
61418,127526,5,5,1,0.248
61418,232167,5,5,1,0.063
61817,69646,5,5,2,0.385
61817,183691,5,5,2,0.972
61817,224164,5,5,1,0.412
61818,74635,5,5,2,0.456
61818,74637,5,5,1,0.404
62497,89103,5,5,2,0.702
62497,248995,5,5,2,0.626
62498,59304,5,5,1,0.167
63179,55212,5,5,1,0.304
63721,58363,5,5,1,0.36
66743,72769,5,5,1,0.226
66744,151479,5,5,1,0.165
67230,59304,5,5,1,0.273
67230,249841,5,5,1,0.297
67231,98730,5,5,1,0.403
67232,249841,5,5,1,0.295
67233,75099,5,5,1,0.293
67517,75322,5,5,1,0.281
67517,99615,5,5,1,0.223
67995,229150,5,5,2,0.424
68104,73057,5,5,1,0.094
68104,178173,5,5,1,0.173
69236,240025,5,5,1,0.175
69237,61386,5,5,1,0.169
69646,89985,5,5,1,0.18
69647,61818,5,5,3,0.368
69647,183691,5,5,1,0.813
69647,207958,5,5,1,0.307
70421,208634,5,5,3,0.503
70738,94824,5,5,1,0.195
70738,232765,5,5,1,0.233
71169,63179,5,5,1,0.247
71169,134586,5,5,1,0.515
71169,197352,5,5,1,0.102
71747,53894,5,5,1,0.565
71748,79837,5,5,1,0.244
72768,66744,5,5,1,0.252
72769,97036,5,5,1,0.245
72784,80993,5,5,1,0.433
72785,80992,5,5,1,0.445
72785,104841,5,5,1,0.264
72785,104842,5,5,1,0.215
73057,210240,5,5,1,0.246
73661,138726,5,5,1,0.278
73661,138729,5,5,1,0.306
73662,125959,5,5,1,0.507
74528,146085,5,5,1,0.207
74528,174491,5,5,2,0.374
74532,111443,5,5,1,0.273
74533,183252,5,5,1,0.509
74635,61817,5,5,1,0.513
74635,85596,5,5,1,0.354
74635,220074,5,5,1,0.119
74637,218547,5,5,1,0.058
74637,220074,5,5,1,0.173
74833,212713,5,5,1,0.341
75099,217236,5,5,1,0.246
75100,67231,5,5,1,0.282
75321,67517,5,5,1,0.247
75322,205359,5,5,1,0.197
75879,253858,5,5,1,0.197
76502,185920,5,5,1,0.273
76503,193921,5,5,1,0.207
77036,129542,5,5,1,0.361
77056,223866,5,5,1,0.114
77057,162112,5,5,1,0.39
77057,218281,5,5,1,0.411
77057,218588,5,5,1,0.461
77282,215923,5,5,1,0.462
77567,221637,5,5,1,0.203
77567,237670,5,5,1,0.245
77669,101070,5,5,1,0.417
77669,153941,5,5,1,0.126
