"ori_node","des_node","ori_layer","des_layer","minutes","km"
11626,34950,2,2,3,2.818
11626,46224,2,2,4,4.809
34950,11626,2,2,3,2.818
34950,46224,2,2,3,2.023
46224,11626,2,2,5,4.809
46224,34950,2,2,3,2.023
13,14,5,5,1,0.225
13,16,5,5,1,0.247
14,13,5,5,1,0.225
14,34950,5,5,1,0.637
16,13,5,5,1,0.247
16,27333,5,5,1,0.636
16,27336,5,5,1,0.11
16,38134,5,5,2,0.403
438,439,5,5,1,0.327
438,33600,5,5,1,0.376
439,438,5,5,1,0.327
439,39378,5,5,1,0.323
441,442,5,5,1,0.265
441,43082,5,5,3,1.277
442,441,5,5,1,0.265
442,444,5,5,1,0.53
443,442,5,5,1,0.275
443,444,5,5,1,0.277
443,32827,5,5,1,0.191
444,443,5,5,1,0.277
444,37610,5,5,1,0.359
445,14468,5,5,1,0.435
445,39376,5,5,1,0.416
446,14468,5,5,1,0.565
446,27019,5,5,2,0.611
447,33599,5,5,1,0.337
447,187840,5,5,1,0.09
1250,1251,5,5,1,0.367
1250,4429,5,5,1,0.479
1250,80760,5,5,1,0.511
1250,161070,5,5,1,0.24
1250,233149,5,5,1,0.626
1251,1250,5,5,1,0.367
1251,6088,5,5,1,0.479
1251,27012,5,5,1,0.174
1251,33598,5,5,1,0.354
1251,63502,5,5,2,1.798
1255,1256,5,5,1,0.154
1255,20280,5,5,1,0.741
1255,242940,5,5,1,0.249
1256,1255,5,5,1,0.154
1256,1257,5,5,1,0.479
1257,1256,5,5,1,0.479
1257,14475,5,5,1,0.322
1258,14475,5,5,1,0.212
1258,38554,5,5,1,0.313
1260,4433,5,5,1,0.414
1260,14473,5,5,1,0.447
1260,52116,5,5,1,0.485
1430,8563,5,5,1,0.19
1430,27797,5,5,1,0.151
4429,233149,5,5,1,0.147
4429,235233,5,5,1,0.253
4430,6079,5,5,1,0.095
4430,13635,5,5,1,0.271
4431,13630,5,5,2,0.888
4431,33596,5,5,1,0.262
4431,47319,5,5,1,0.54
4432,39377,5,5,1,0.409
4432,47319,5,5,1,0.29
4432,127214,5,5,1,0.435
4433,1260,5,5,1,0.414
4433,4434,5,5,1,0.541
4433,14467,5,5,1,0.32
4433,27898,5,5,1,0.422
4433,32826,5,5,1,0.175
4434,4433,5,5,1,0.541
4434,6078,5,5,1,0.077
4434,37600,5,5,1,0.42
4435,32826,5,5,2,0.897
4435,43082,5,5,2,1.301
4950,22512,5,5,1,0.349
4950,37535,5,5,1,0.382
4950,79712,5,5,1,0.153
4950,148955,5,5,3,0.46
4953,4954,5,5,1,0.229
4953,30290,5,5,1,0.167
4954,4953,5,5,1,0.229
4954,4955,5,5,1,0.162
4955,4954,5,5,1,0.162
4955,4956,5,5,1,0.22
4956,4955,5,5,1,0.22
4956,22512,5,5,1,0.297
4956,37522,5,5,1,0.139
5114,5662,5,5,4,1.445
5114,13632,5,5,1,0.178
5114,22031,5,5,2,0.448
5114,32828,5,5,1,0.198
5114,46224,5,5,2,0.92
5114,114362,5,5,1,0.454
5115,14473,5,5,1,0.237
5115,39377,5,5,1,0.454
5118,14365,5,5,1,0.259
5118,24835,5,5,1,0.758
5119,5120,5,5,1,0.237
5119,14368,5,5,1,0.463
5120,5119,5,5,1,0.237
5120,14366,5,5,1,0.367
5120,24835,5,5,1,0.75
5122,13634,5,5,2,0.843
5122,37599,5,5,2,1.23
5122,71148,5,5,1,0.219
5123,24834,5,5,1,0.657
5123,27901,5,5,1,0.704
5124,27898,5,5,1,0.24
5124,27899,5,5,1,0.279
5659,5660,5,5,1,0.456
5659,5662,5,5,1,0.261
5660,5659,5,5,1,0.456
5660,34950,5,5,1,0.515
5661,12634,5,5,1,0.273
5661,38137,5,5,1,0.318
5662,5114,5,5,4,1.445
5662,5659,5,5,1,0.261
5662,114362,5,5,4,1.647
6078,4433,5,5,2,0.601
6078,6080,5,5,1,0.238
6079,4430,5,5,1,0.095
6079,6080,5,5,1,0.214
6079,38553,5,5,1,0.073
6080,6078,5,5,1,0.238
6080,6079,5,5,1,0.214
6081,6084,5,5,1,0.5
6081,6087,5,5,1,0.371
6081,167022,5,5,2,0.388
6082,151201,5,5,2,0.262
6082,167022,5,5,2,0.212
6084,6081,5,5,1,0.5
6087,4429,5,5,1,0.333
6087,6081,5,5,1,0.371
6087,6082,5,5,1,0.169
