"ori_node","des_node","ori_layer","des_layer","minutes","km"
728,15616,4,4,3,1.352
728,46669,4,4,2,1.923
15616,728,4,4,3,1.352
15616,34205,4,4,3,1.607
30778,34205,4,4,2,1.903
30778,42940,4,4,5,2.545
34205,15616,4,4,3,1.607
34205,30778,4,4,2,1.903
42940,30778,4,4,5,2.545
46669,728,4,4,2,1.923
728,53706,5,5,1,0.211
728,147768,5,5,1,0.335
728,162740,5,5,1,0.296
15616,122247,5,5,1,0.463
15616,143003,5,5,1,0.254
30778,86701,5,5,1,0.286
30778,102054,5,5,1,0.295
30778,111906,5,5,1,0.166
30778,111908,5,5,1,0.55
30778,111910,5,5,1,0.172
34205,66803,5,5,9,2.69
34205,105055,5,5,8,3.65
34205,131499,5,5,2,0.679
34205,159622,5,5,1,0.433
34205,182451,5,5,1,0.145
34205,192096,5,5,1,0.423
42940,145731,5,5,1,0.324
42940,187612,5,5,1,0.256
42940,246124,5,5,1,0.208
46669,46669,5,5,1,0
46669,155647,5,5,1,0.653
46669,157375,5,5,1,0.357
46669,186706,5,5,1,0.319
46669,186710,5,5,1,0.352
46669,232041,5,5,1,0.621
46669,242014,5,5,1,0.398
51978,191076,5,5,1,0.416
52942,192097,5,5,1,0.323
53706,125906,5,5,1,0.479
53707,728,5,5,1,0.203
53708,53707,5,5,1,0.448
53708,65325,5,5,1,0.417
53709,65326,5,5,1,0.444
53710,93279,5,5,1,0.903
54479,194326,5,5,2,1.25
54835,121732,5,5,1,0.348
54835,241846,5,5,1,0.306
54839,34205,5,5,1,0.359
54839,131499,5,5,1,0.53
58685,105055,5,5,1,0.492
61154,229446,5,5,1,0.207
62005,70117,5,5,1,0.314
63380,205843,5,5,2,0.519
63380,243613,5,5,1,0.704
63381,116183,5,5,2,1.127
63381,116187,5,5,2,1.063
65325,53710,5,5,1,0.373
65326,125906,5,5,1,0.378
66803,34205,5,5,9,2.69
66803,102048,5,5,6,1.145
66803,219787,5,5,1,0.367
66809,82758,5,5,1,0.306
67660,30778,5,5,1,0.32
68933,68941,5,5,1,0.462
68934,78613,5,5,1,0.438
68936,157745,5,5,1,0.169
68937,105050,5,5,1,0.689
68937,169466,5,5,1,0.504
68938,159620,5,5,1,0.284
68938,159621,5,5,1,0.328
68939,68934,5,5,1,0.268
68940,126512,5,5,1,0.519
68940,169469,5,5,1,0.563
68941,68942,5,5,1,0.278
68942,217571,5,5,2,0.869
70117,229990,5,5,1,0.243
70120,229452,5,5,1,0.22
78607,78609,5,5,2,0.907
78609,206585,5,5,1,0.429
78610,217569,5,5,1,0.505
78611,68940,5,5,1,0.511
78612,78610,5,5,1,0.881
78613,78611,5,5,1,0.39
78614,68933,5,5,1,0.358
82757,92394,5,5,1,0.463
82758,229448,5,5,1,0.106
82759,229448,5,5,1,0.326
86701,111908,5,5,1,0.263
89494,92395,5,5,1,0.199
89496,92398,5,5,1,0.41
89497,92393,5,5,1,0.264
89603,127557,5,5,1,0.245
89605,117961,5,5,1,0.105
92393,92399,5,5,1,0.264
92393,131500,5,5,2,0.653
92394,89494,5,5,1,0.249
92394,131500,5,5,2,0.622
92395,89496,5,5,1,0.172
92398,102052,5,5,1,0.466
92399,165816,5,5,1,0.423
93279,201832,5,5,1,0.36
93280,53709,5,5,1,0.882
94392,223996,5,5,1,0.313
94392,223997,5,5,1,0.341
96940,46669,5,5,2,0.272
97991,219781,5,5,1,0.239
102046,231880,5,5,1,0.343
102047,102046,5,5,1,0.446
102048,66803,5,5,6,1.145
102048,102049,5,5,1,0.324
102048,187612,5,5,5,1.397
102049,111902,5,5,1,0.306
102050,102055,5,5,1,0.488
102051,102050,5,5,1,0.214
102052,102053,5,5,1,0.272
102053,30778,5,5,1,0.323
102054,102047,5,5,1,0.307
102055,249700,5,5,1,0.293
104755,163909,5,5,1,0.299
104759,104761,5,5,1,0.443
104761,200801,5,5,1,0.575
104761,200804,5,5,3,1.22
104763,104755,5,5,1,0.326
104774,104763,5,5,1,0.631
105049,105054,5,5,1,0.323
105050,105049,5,5,1,0.448
105050,105055,5,5,5,0.801
105051,68940,5,5,2,0.802
105051,180598,5,5,1,0.221
105052,105055,5,5,1,0.244
105053,105052,5,5,1,0.195
105054,157897,5,5,2,0.551
105054,165857,5,5,1,0.522
105054,213680,5,5,1,0.315
105055,34205,5,5,8,3.65
105055,165860,5,5,1,0.423
108557,230528,5,5,1,0.286
108562,102048,5,5,1,0.369
111901,30778,5,5,1,0.177
111901,111908,5,5,2,0.412
111902,111901,5,5,1,0.223
111906,121730,5,5,1,0.21
111908,206888,5,5,1,0.298
111909,206887,5,5,1,0.426
111910,102051,5,5,1,0.267
114172,116186,5,5,1,0.209
114172,155648,5,5,1,0.284
114173,94392,5,5,1,0.458
114173,155646,5,5,1,0.234
114947,213674,5,5,1,0.177
116180,116182,5,5,1,0.55
116180,116184,5,5,1,0.669
116182,63380,5,5,2,1.197
116182,116187,5,5,1,0.116
116183,116184,5,5,1,0.37
116183,232034,5,5,1,0.424
116184,46669,5,5,1,0.612
116184,96940,5,5,2,0.393
116184,155647,5,5,1,0.296
116184,157374,5,5,2,0.249
116184,176960,5,5,1,0.379
116186,63380,5,5,1,0.963
116186,116183,5,5,1,0.214
116187,114173,5,5,1,0.244
116187,155648,5,5,1,0.364
116187,241362,5,5,1,0.25
117960,89603,5,5,1,0.152
117961,242010,5,5,1,0.229
117962,117960,5,5,1,0.151
117963,117965,5,5,1,0.373
117964,117962,5,5,1,0.245
117965,46669,5,5,1,0.404
118244,147495,5,5,1,0.481
119619,104763,5,5,2,0.605
121729,30778,5,5,1,0.201
121730,54835,5,5,1,0.282
121731,121734,5,5,1,0.247
121732,121737,5,5,1,0.268
121734,121729,5,5,1,0.485
121735,121736,5,5,1,0.3
121736,121731,5,5,1,0.323
121736,241846,5,5,1,0.304
