"ori_node","des_node","ori_layer","des_layer","minutes","km"
1231,30332,2,2,4,3.47
1833,5515,2,2,3,2.417
4643,37494,2,2,2,1.349
5515,1833,2,2,3,2.417
5515,13050,2,2,3,1.914
13050,5515,2,2,3,1.914
13050,37496,2,2,2,2.175
13050,38277,2,2,2,0.92
30332,1231,2,2,6,3.47
37494,4643,2,2,3,1.349
37494,37496,2,2,3,1.372
37496,13050,2,2,2,2.175
37496,37494,2,2,2,1.372
37496,38277,2,2,3,1.282
38277,13050,2,2,2,0.92
38277,37496,2,2,4,1.282
1231,2880,3,3,4,3.051
1231,30332,3,3,4,3.47
1231,48937,3,3,4,2.301
2880,1231,3,3,4,3.051
2880,48937,3,3,4,2.02
23507,48937,3,3,3,2.035
30332,1231,3,3,4,3.47
48937,1231,3,3,4,2.301
48937,2880,3,3,4,2.02
48937,23507,3,3,3,2.035
456,30332,5,5,1,0.888
456,34330,5,5,1,0.56
456,46618,5,5,7,2.751
456,68958,5,5,3,0.483
611,618,5,5,2,0.454
611,19600,5,5,2,0.482
612,613,5,5,2,0.691
612,614,5,5,1,0.672
612,42548,5,5,1,0.43
613,612,5,5,2,0.691
613,616,5,5,1,0.552
614,612,5,5,1,0.672
614,615,5,5,1,0.267
615,614,5,5,1,0.267
616,613,5,5,1,0.552
616,6219,5,5,1,0.404
617,6214,5,5,2,0.799
617,19600,5,5,3,0.996
618,611,5,5,1,0.454
618,42548,5,5,6,2.257
1231,1231,5,5,1,0
1231,9471,5,5,3,0.786
1231,25357,5,5,3,1.621
1231,28697,5,5,1,0.581
1231,28698,5,5,1,0.864
1231,28708,5,5,1,0.933
1231,41851,5,5,3,0.818
1231,48937,5,5,3,2.301
1231,56234,5,5,1,0.374
1231,151435,5,5,1,0.518
1231,152025,5,5,1,0.52
1833,1833,5,5,1,0
1833,24347,5,5,1,0.541
1971,28700,5,5,1,0.688
2048,45898,5,5,1,0.156
2048,56826,5,5,1,0.224
2048,218920,5,5,1,0.179
2049,4643,5,5,1,0.636
2049,19244,5,5,1,0.226
2050,7642,5,5,2,0.903
2050,9054,5,5,1,0.52
2050,81147,5,5,4,0.647
2050,121708,5,5,1,0.15
2634,9474,5,5,1,0.284
2634,9475,5,5,1,0.389
3359,50198,5,5,1,0.29
3359,50201,5,5,1,0.28
4413,4414,5,5,1,0.284
4413,4415,5,5,3,0.563
4413,23571,5,5,1,0.281
4414,4413,5,5,1,0.284
4414,36420,5,5,3,0.398
4414,161266,5,5,3,0.552
4414,175105,5,5,1,0.277
4415,617,5,5,4,1.716
4415,618,5,5,4,1.768
4415,4414,5,5,2,0.551
4421,4414,5,5,1,0.551
4421,13050,5,5,1,0.633
4643,2048,5,5,1,0.504
4643,2049,5,5,1,0.636
4643,4643,5,5,1,0
4643,7642,5,5,1,0.54
4643,24077,5,5,7,2.331
4838,16153,5,5,1,0.451
4838,29529,5,5,1,0.237
5515,5515,5,5,1,0
5515,19592,5,5,1,0.655
5515,19598,5,5,1,0.588
5515,23571,5,5,1,1.069
5515,32994,5,5,1,0.594
5515,32996,5,5,1,0.765
5515,42545,5,5,1,0.599
5515,219234,5,5,1,0.266
5934,88877,5,5,1,0.38
5934,214780,5,5,1,0.087
6211,6212,5,5,1,0.266
6211,6214,5,5,1,0.193
6211,6219,5,5,1,0.191
6212,6218,5,5,1,0.126
6212,92278,5,5,1,0.11
6213,6215,5,5,1,0.23
6213,32995,5,5,1,0.197
6214,5515,5,5,4,1.576
6214,6211,5,5,1,0.193
6214,6215,5,5,1,0.067
6214,6218,5,5,1,0.246
6215,6213,5,5,1,0.23
6215,6214,5,5,1,0.067
6215,6218,5,5,1,0.23
6218,6212,5,5,1,0.126
6218,6214,5,5,1,0.246
6218,6215,5,5,1,0.23
6218,32997,5,5,1,0.295
6219,616,5,5,1,0.404
6219,6211,5,5,1,0.191
6891,6892,5,5,1,0.245
6891,26081,5,5,2,0.453
6892,6891,5,5,1,0.245
6892,6893,5,5,1,0.312
6892,39428,5,5,1,0.577
6893,6892,5,5,1,0.312
6893,29409,5,5,1,0.265
6893,39428,5,5,1,0.308
6900,20316,5,5,1,0.365
6900,26083,5,5,1,0.359
6982,6983,5,5,1,0.176
6982,6987,5,5,1,0.187
6982,57482,5,5,1,0.245
6983,6982,5,5,1,0.176
6983,39592,5,5,1,0.214
6984,6985,5,5,1,0.263
6984,6987,5,5,1,0.185
6984,6994,5,5,1,0.277
6985,6984,5,5,1,0.263
6985,6987,5,5,1,0.211
6985,22994,5,5,7,1.595
6985,42708,5,5,1,0.147
6986,41479,5,5,2,0.209
6986,119050,5,5,4,1.114
6987,6982,5,5,1,0.187
6987,6984,5,5,1,0.185
6987,6985,5,5,1,0.211
6987,57482,5,5,3,0.415
6991,22999,5,5,1,0.281
6991,26845,5,5,1,0.332
6994,6984,5,5,1,0.277
6994,39592,5,5,1,0.228
6994,255403,5,5,1,0.311
6998,26850,5,5,1,0.277
6998,41478,5,5,1,0.365
7637,7640,5,5,1,0.25
7637,47048,5,5,1,0.303
7637,66449,5,5,5,0.967
7638,26082,5,5,1,0.249
7638,46991,5,5,3,0.898
7638,64838,5,5,1,0.171
7638,143472,5,5,5,0.857
7639,13462,5,5,1,0.277
7639,41980,5,5,1,0.255
7640,7637,5,5,1,0.25
7640,19244,5,5,1,0.222
7640,22997,5,5,7,2.585
7640,31929,5,5,4,1.766
7642,2048,5,5,1,0.409
7642,2050,5,5,1,0.903
7642,4643,5,5,1,0.54
7642,9054,5,5,1,0.385
7642,10968,5,5,3,0.891
7642,45899,5,5,2,1.309
7642,129860,5,5,3,0.971
9054,2050,5,5,1,0.52
9054,4643,5,5,1,0.891
9054,7642,5,5,1,0.385
9054,9054,5,5,1,0
9054,34418,5,5,1,0.579
9054,129860,5,5,4,1.028
9471,1231,5,5,2,0.786
9471,25357,5,5,1,0.841
9471,38710,5,5,1,0.621
9471,41854,5,5,3,1.005
9471,48937,5,5,4,1.532
9471,152025,5,5,1,0.425
9474,2634,5,5,1,0.284
9474,42543,5,5,1,0.256
9475,2634,5,5,1,0.389
9475,38431,5,5,1,0.447
9476,1231,5,5,1,0.596
9476,42543,5,5,1,0.285
10168,37496,5,5,1,0.58
10168,46992,5,5,1,0.246
10968,7642,5,5,4,0.891
10968,25471,5,5,1,0.365
10968,26850,5,5,1,0.279
10968,129860,5,5,1,0.135
12008,12011,5,5,1,0.129
12008,39427,5,5,1,0.145
12008,92916,5,5,1,0.35
12010,39422,5,5,1,0.427
12010,48937,5,5,1,0.539
12011,12008,5,5,1,0.129
12011,39427,5,5,1,0.158
12011,175243,5,5,1,0.245
12710,12711,5,5,1,0.282
12710,31928,5,5,3,0.652
12710,31931,5,5,1,0.237
12710,150725,5,5,12,2.362
12711,12710,5,5,1,0.282
12711,31930,5,5,1,0.296
12712,6985,5,5,2,1.336
12712,12713,5,5,1,0.628
12712,42708,5,5,2,1.281
12713,12712,5,5,1,0.628
12713,45199,5,5,1,0.302
13050,4421,5,5,1,0.633
13050,13050,5,5,1,0
13050,17767,5,5,1,0.799
13050,23568,5,5,1,0.557
13050,23569,5,5,2,0.562
13050,36914,5,5,6,1.218
13050,38277,5,5,1,0.92
13050,100520,5,5,3,0.75
13050,107209,5,5,1,0.5
13050,242884,5,5,8,1.8
13460,37494,5,5,1,0.544
13460,45899,5,5,1,0.287
13460,218704,5,5,1,0.192
13461,41980,5,5,1,0.231
13461,45895,5,5,2,0.176
13462,7639,5,5,1,0.277
13462,13463,5,5,1,0.067
13462,29411,5,5,1,0.266
13463,29411,5,5,1,0.309
13463,37494,5,5,1,0.507
13487,19597,5,5,2,0.629
13487,215638,5,5,1,0.167
13813,13813,5,5,1,0
13813,14532,5,5,1,0.199
13813,20316,5,5,3,1.159
13813,20318,5,5,1,0.383
13813,20320,5,5,6,1.769
13813,26083,5,5,1,0.463
13813,39422,5,5,2,2.094
13813,50976,5,5,4,0.83
13814,19592,5,5,1,0.366
13814,42546,5,5,1,0.651
13814,46547,5,5,5,1.913
14532,13813,5,5,1,0.199
14532,14533,5,5,2,0.507
14532,26080,5,5,2,0.513
14532,34427,5,5,1,0.356
14532,115148,5,5,2,0.332
14533,38277,5,5,1,0.544
15239,28707,5,5,1,0.274
15239,34329,5,5,1,0.458
15240,21071,5,5,1,0.339
15240,30332,5,5,1,0.553
15241,21069,5,5,1,0.326
15241,30332,5,5,1,0.679
15572,17762,5,5,2,0.534
15572,23568,5,5,1,0.437
15572,36914,5,5,1,0.252
15909,26868,5,5,1,0.456
15909,29529,5,5,1,0.566
16153,28181,5,5,1,0.48
16153,45878,5,5,1,0.402
16153,74597,5,5,1,0.185
16153,145358,5,5,1,0.188
17758,13050,5,5,8,1.493
17758,17765,5,5,1,0.304
17758,31928,5,5,1,0.414
17758,242884,5,5,2,0.309
17761,17762,5,5,1,0.356
17761,17764,5,5,1,0.468
17762,15572,5,5,3,0.534
17762,17761,5,5,1,0.356
17762,17766,5,5,1,0.272
17763,36918,5,5,1,0.367
17763,48463,5,5,1,0.325
17764,17761,5,5,1,0.468
17764,48463,5,5,1,0.489
17765,17758,5,5,1,0.304
17765,17767,5,5,1,0.399
17765,17768,5,5,1,0.103
