"ori_node","des_node","ori_layer","des_layer","minutes","km"
183,184,5,5,1,0.23
183,203,5,5,1,0.332
183,1225,5,5,1,0.144
183,17263,5,5,1,0.183
184,183,5,5,1,0.23
184,5805,5,5,1,0.281
185,1225,5,5,1,0.311
185,256750,5,5,2,0.637
186,457,5,5,1,0.486
186,33297,5,5,2,0.373
187,185,5,5,2,0.802
187,189,5,5,2,0.776
187,33297,5,5,2,0.378
187,40332,5,5,3,0.836
188,190,5,5,1,0.1
188,191,5,5,1,0.421
188,1170,5,5,1,0.44
189,187,5,5,2,0.776
189,5804,5,5,1,0.524
190,188,5,5,1,0.1
190,8929,5,5,2,0.254
190,17033,5,5,1,0.257
191,188,5,5,1,0.421
191,461,5,5,1,0.358
191,26893,5,5,2,0.698
191,33297,5,5,5,1.102
195,196,5,5,1,0.296
195,15643,5,5,1,0.627
196,195,5,5,1,0.296
196,197,5,5,1,0.308
197,196,5,5,1,0.308
197,198,5,5,1,0.289
198,197,5,5,1,0.289
198,208422,5,5,2,0.449
200,201,5,5,1,0.265
200,5833,5,5,1,0.187
201,200,5,5,1,0.265
201,76363,5,5,1,0.163
202,17844,5,5,1,0.141
202,232653,5,5,1,0.138
203,183,5,5,1,0.332
203,30929,5,5,1,0.215
457,186,5,5,2,0.486
457,25511,5,5,1,0.396
458,459,5,5,1,0.257
458,49495,5,5,4,2.784
459,458,5,5,1,0.257
459,37613,5,5,1,0.283
460,461,5,5,1,0.3
460,15646,5,5,1,0.212
460,26893,5,5,1,0.214
460,35588,5,5,1,0.439
460,49892,5,5,1,1.175
461,191,5,5,1,0.358
461,460,5,5,1,0.3
461,26893,5,5,1,0.341
462,460,5,5,1,0.312
462,15648,5,5,1,0.177
462,26893,5,5,1,0.174
514,36032,5,5,1,0.32
514,48810,5,5,1,0.519
1170,188,5,5,1,0.44
1170,33297,5,5,2,0.269
1225,183,5,5,1,0.144
1225,185,5,5,1,0.311
1225,202,5,5,1,0.26
1225,30713,5,5,1,0.409
2369,2375,5,5,1,0.166
2369,25511,5,5,2,0.337
2375,2369,5,5,1,0.166
2375,156726,5,5,2,0.835
2744,12944,5,5,1,0.363
2744,35554,5,5,2,0.531
2744,35561,5,5,1,0.289
5804,189,5,5,1,0.524
5804,5805,5,5,1,0.211
5805,184,5,5,1,0.281
5805,5804,5,5,1,0.211
5805,35588,5,5,1,0.39
5805,35591,5,5,1,0.292
5806,5807,5,5,1,0.124
5806,35591,5,5,1,0.148
5807,5806,5,5,1,0.124
5807,42904,5,5,1,0.243
5833,200,5,5,1,0.187
5833,75574,5,5,1,0.191
6174,17486,5,5,2,1.766
6174,26505,5,5,3,1.853
6175,21524,5,5,1,0.316
6175,25252,5,5,4,3.104
8929,17033,5,5,1,0.079
8929,47966,5,5,1,0.161
10402,10402,5,5,1,0
