"ori_node","des_node","ori_layer","des_layer","minutes","km"
6675,27851,2,2,2,1.525
6776,35633,2,2,2,1.474
6776,44940,2,2,3,2.061
12764,22447,2,2,2,0.9
12764,34946,2,2,1,1.253
20981,34946,2,2,4,5.147
20981,40835,2,2,2,1.671
22447,12764,2,2,2,0.9
22447,40835,2,2,2,1.414
27851,6675,2,2,2,1.525
27851,34946,2,2,2,1.689
34946,12764,2,2,1,1.253
34946,20981,2,2,4,5.147
34946,27851,2,2,2,1.689
35633,6776,2,2,2,1.474
35633,44940,2,2,4,3.493
40835,20981,2,2,2,1.671
40835,22447,2,2,2,1.414
44940,6776,2,2,3,2.061
44940,35633,2,2,4,3.493
598,21715,3,3,2,1.25
598,31540,3,3,1,0.776
6675,27851,3,3,2,1.525
6776,35633,3,3,2,1.474
6776,35871,3,3,2,1.88
12764,22447,3,3,2,0.9
12764,34946,3,3,2,1.253
18422,44808,3,3,3,2.106
20981,40835,3,3,2,1.671
21715,598,3,3,2,1.25
22447,12764,3,3,2,0.9
22447,40835,3,3,2,1.414
25303,31540,3,3,3,2.273
25303,37877,3,3,2,1.465
25303,42596,3,3,5,4.364
25303,50848,3,3,3,2.403
27851,6675,3,3,2,1.525
27851,34946,3,3,2,1.689
31540,598,3,3,1,0.776
31540,25303,3,3,3,2.273
34385,50848,3,3,2,1.157
34946,12764,3,3,2,1.253
34946,27851,3,3,2,1.689
35633,6776,3,3,2,1.474
35871,6776,3,3,2,1.88
37877,25303,3,3,2,1.465
37877,40835,3,3,2,1.862
40835,20981,3,3,2,1.671
40835,22447,3,3,2,1.414
40835,37877,3,3,2,1.862
40835,42596,3,3,2,1.409
42596,25303,3,3,5,4.364
42596,40835,3,3,2,1.409
44808,18422,3,3,3,2.106
50848,25303,3,3,4,2.403
50848,34385,3,3,2,1.157
176,38235,5,5,1,0.226
176,38892,5,5,1,0.344
301,5837,5,5,1,0.433
301,24809,5,5,1,0.509
354,40835,5,5,1,0.601
354,112601,5,5,1,0.333
354,196036,5,5,1,0.296
354,246266,5,5,1,0.317
440,30657,5,5,1,0.345
440,71339,5,5,1,0.585
440,110143,5,5,1,0.297
440,118847,5,5,1,0.366
440,135111,5,5,1,0.273
598,598,5,5,1,0
598,31895,5,5,1,0.405
598,44809,5,5,1,0.34
598,51243,5,5,1,0.351
598,159377,5,5,1,0.376
800,37877,5,5,1,0.545
800,87667,5,5,1,0.339
834,45558,5,5,1,0.372
834,94793,5,5,1,0.321
1016,3402,5,5,1,0.163
1016,30827,5,5,1,0.269
1016,38618,5,5,1,0.378
1016,144370,5,5,1,0.146
1448,10849,5,5,1,0.427
1448,32268,5,5,1,0.798
1449,10100,5,5,1,0.084
1449,49040,5,5,1,0.399
1560,6675,5,5,2,0.561
1560,24340,5,5,2,0.326
3402,1016,5,5,1,0.163
3402,36850,5,5,1,0.444
3412,1449,5,5,1,0.376
3412,10100,5,5,1,0.356
3412,42859,5,5,1,0.577
3482,118591,5,5,1,0.778
3482,166535,5,5,1,0.508
4184,13804,5,5,2,0.316
4184,35241,5,5,1,0.356
4655,10965,5,5,1,0.296
4655,27459,5,5,1,0.4
4655,44014,5,5,1,0.258
4680,32804,5,5,1,0.269
4680,37785,5,5,1,0.285
5233,23335,5,5,1,0.384
5233,119597,5,5,1,0.256
5395,28335,5,5,1,0.411
5395,46648,5,5,1,0.417
5716,5717,5,5,1,0.277
5716,41473,5,5,1,0.228
5717,5716,5,5,1,0.277
5717,51173,5,5,1,0.175
5731,35633,5,5,1,0.591
5731,46366,5,5,1,0.517
5837,301,5,5,1,0.433
5837,10845,5,5,1,0.467
5837,55963,5,5,2,0.439
5874,35966,5,5,1,0.507
5874,176200,5,5,1,0.435
6036,41473,5,5,1,0.334
6036,140502,5,5,1,0.238
6036,216955,5,5,1,0.546
6036,231966,5,5,1,0.273
6038,14985,5,5,1,0.323
6038,118435,5,5,1,0.175
6421,38618,5,5,1,0.216
6421,159005,5,5,1,0.13
6675,1560,5,5,1,0.561
6675,6675,5,5,1,0
6675,9318,5,5,1,0.753
6675,14835,5,5,1,0.599
6776,6776,5,5,1,0
6776,19020,5,5,1,1.338
6776,24405,5,5,1,0.595
6776,39821,5,5,1,0.72
6776,48641,5,5,1,0.695
6776,83534,5,5,1,0.597
6776,126902,5,5,1,0.295
6776,132050,5,5,1,0.333
6776,258179,5,5,1,0.419
6927,32659,5,5,1,0.382
6927,42596,5,5,1,0.726
7589,23677,5,5,1,0.15
7589,46575,5,5,1,0.204
7604,43350,5,5,1,0.305
7604,256103,5,5,1,0.316
7669,24405,5,5,1,0.361
7669,35633,5,5,1,0.608
8203,30123,5,5,1,0.354
8203,44014,5,5,1,0.308
8457,19021,5,5,1,0.515
8457,23815,5,5,1,0.441
8765,13256,5,5,1,0.207
8765,44940,5,5,1,0.736
8765,46882,5,5,1,0.164
9119,29502,5,5,1,0.481
9119,219039,5,5,1,0.435
9318,6675,5,5,1,0.753
9318,14835,5,5,1,0.216
9318,37151,5,5,1,0.244
9322,35241,5,5,1,0.34
9633,152416,5,5,1,0.183
9633,186606,5,5,1,0.16
9711,38288,5,5,1,0.975
9711,42596,5,5,1,0.835
10100,3412,5,5,1,0.356
10100,12381,5,5,1,0.296
10100,228884,5,5,1,0.325
10112,10112,5,5,1,0
10112,47143,5,5,1,0.336
10112,61315,5,5,1,0.305
10845,10845,5,5,1,0
10845,48395,5,5,1,0.438
10845,259359,5,5,1,0.146
10849,1448,5,5,1,0.427
10849,49656,5,5,1,0.408
10965,4655,5,5,1,0.296
10965,51110,5,5,1,0.342
11026,28333,5,5,1,0.41
11026,39846,5,5,1,0.186
11495,1016,5,5,1,0.14
11495,38618,5,5,1,0.309
11495,44039,5,5,1,0.264
11608,28931,5,5,1,0.216
11608,34385,5,5,1,0.324
11608,161813,5,5,1,0.382
11777,27851,5,5,1,0.972
11777,60318,5,5,1,0.365
11785,47897,5,5,1,0.294
11785,54692,5,5,1,0.282
11930,20454,5,5,1,0.347
11930,28168,5,5,1,0.259
11942,10112,5,5,1,0.36
11942,174978,5,5,1,0.227
11942,248193,5,5,1,0.228
12305,14737,5,5,1,0.376
12305,37151,5,5,1,0.254
12322,40835,5,5,1,0.771
12322,160202,5,5,1,0.246
12381,1449,5,5,1,0.321
12381,10100,5,5,1,0.296
12381,27767,5,5,1,0.627
12511,20981,5,5,1,0.81
12511,261383,5,5,1,0.361
12556,9711,5,5,1,0.087
12556,40835,5,5,1,0.821
12556,42596,5,5,1,0.922
12556,122653,5,5,2,0.43
12764,12764,5,5,1,0
12764,28333,5,5,1,0.594
12764,126114,5,5,1,0.901
13256,8765,5,5,1,0.207
13256,47613,5,5,1,0.182
13427,15803,5,5,1,0.12
13427,51243,5,5,1,0.416
13448,20981,5,5,1,0.499
13448,23221,5,5,1,0.453
13480,31540,5,5,1,0.256
13480,86662,5,5,1,0.212
13502,14985,5,5,1,0.321
13502,46575,5,5,1,0.165
13502,95269,5,5,1,0.588
13502,118591,5,5,1,0.509
13528,11942,5,5,1,0.375
13528,46882,5,5,1,0.253
13551,51110,5,5,1,0.328
13551,186590,5,5,1,0.567
13589,27851,5,5,1,0.722
13589,41564,5,5,1,0.399
13804,4184,5,5,2,0.316
13804,34385,5,5,2,0.305
13985,24340,5,5,1,0.181
13985,29858,5,5,1,0.288
13987,14025,5,5,1,0.226
13987,22644,5,5,1,0.528
13987,44121,5,5,1,0.191
14025,13987,5,5,1,0.226
14025,23015,5,5,1,0.319
14025,44121,5,5,1,0.194
14443,31611,5,5,1,0.209
14443,145536,5,5,1,0.28
14618,19278,5,5,1,0.267
14737,12305,5,5,1,0.376
14737,13502,5,5,2,0.325
14737,46575,5,5,1,0.252
14835,6675,5,5,1,0.599
14835,9318,5,5,1,0.216
14835,28249,5,5,1,0.378
14985,6038,5,5,1,0.323
14985,14737,5,5,1,0.3
14985,37326,5,5,1,0.585
15464,38189,5,5,1,0.306
15464,43350,5,5,1,0.372
15803,13427,5,5,1,0.12
15803,86662,5,5,1,0.221
15960,16599,5,5,1,0.105
15960,23547,5,5,1,0.443
16322,598,5,5,1,0.321
16322,31895,5,5,1,0.2
16599,15960,5,5,1,0.105
16827,34385,5,5,1,0.259
16827,141281,5,5,1,0.45
17441,21715,5,5,1,0.265
17441,28970,5,5,1,0.345
17441,43006,5,5,1,0.277
17459,40889,5,5,1,0.207
17459,43636,5,5,1,0.244
17459,159919,5,5,1,0.129
17659,26789,5,5,1,0.327
17659,186590,5,5,1,0.366
17897,33826,5,5,1,0.317
17897,49040,5,5,1,0.403
17941,31895,5,5,1,0.309
17941,43006,5,5,1,0.375
17941,159004,5,5,1,0.197
18067,35871,5,5,1,0.381
18067,83902,5,5,1,0.282
18422,9633,5,5,1,0.534
18422,18422,5,5,1,0
18422,32268,5,5,1,0.918
18422,51169,5,5,1,0.388
18422,195286,5,5,1,0.386
18490,23547,5,5,1,0.395
18490,213163,5,5,1,0.36
18867,36850,5,5,1,0.383
18867,43006,5,5,1,0.515
18867,71632,5,5,1,0.389
19020,6776,5,5,1,1.338
19020,35871,5,5,1,0.564
19020,39821,5,5,1,0.668
19021,8457,5,5,1,0.515
19021,86662,5,5,1,0.153
19225,30126,5,5,1,0.271
19225,202534,5,5,2,0.287
19278,14618,5,5,1,0.267
19278,38235,5,5,1,0.256
20291,23015,5,5,1,0.251
20454,11930,5,5,1,0.347
20454,50848,5,5,1,0.702
