"ori_node","des_node","ori_layer","des_layer","minutes","km"
17099,35313,2,2,2,0.896
23566,35313,2,2,2,1.184
24812,35313,2,2,2,2.235
35313,17099,2,2,2,0.896
35313,23566,2,2,2,1.184
35313,24812,2,2,2,2.235
35313,50851,2,2,3,1.871
50851,35313,2,2,3,1.871
725,19677,3,3,1,0.498
725,41140,3,3,1,0.701
12135,41140,3,3,1,0.405
12135,47221,3,3,1,0.38
16094,21587,3,3,1,0.617
19677,725,3,3,1,0.498
19677,23566,3,3,2,1.315
21587,16094,3,3,1,0.617
21587,47221,3,3,1,0.586
23566,19677,3,3,2,1.315
23566,36993,3,3,2,0.884
36993,23566,3,3,1,0.884
41140,725,3,3,1,0.701
41140,12135,3,3,1,0.405
47221,12135,3,3,1,0.38
47221,21587,3,3,1,0.586
725,125998,5,5,2,0.359
725,240128,5,5,1,0.334
12135,12135,5,5,1,0
12135,41140,5,5,1,0.405
12135,47221,5,5,1,0.38
16094,16094,5,5,1,0
16094,61000,5,5,1,0.297
16094,234845,5,5,2,0.43
16094,242333,5,5,1,0.763
16094,258717,5,5,1,0.74
17099,17099,5,5,1,0
17099,35313,5,5,1,0.896
17099,57386,5,5,1,0.416
17099,103902,5,5,1,0.498
17099,133585,5,5,1,0.252
17099,186572,5,5,1,0.435
17099,210631,5,5,1,0.261
17099,226935,5,5,2,0.41
17099,236411,5,5,1,0.557
19677,125999,5,5,1,0.467
19677,130004,5,5,3,0.657
19677,138255,5,5,3,0.626
19677,191778,5,5,2,0.785
21587,21587,5,5,1,0
21587,127377,5,5,1,0.467
21587,190293,5,5,1,0.329
23566,23566,5,5,1,0
23566,65710,5,5,1,0.521
23566,65711,5,5,1,0.556
23566,162713,5,5,1,0.262
24812,24812,5,5,1,0
24812,150054,5,5,2,0.48
24812,169804,5,5,1,0.294
24812,214540,5,5,1,0.282
24812,244508,5,5,1,0.366
35313,17099,5,5,2,0.896
35313,35313,5,5,1,0
35313,76562,5,5,1,0.372
35313,103903,5,5,1,0.336
35313,116025,5,5,1,0.514
35313,130003,5,5,1,0.335
35313,189305,5,5,1,0.575
35313,197920,5,5,1,0.315
35313,197922,5,5,1,0.322
35313,226935,5,5,4,1.299
36993,36993,5,5,1,0
36993,93882,5,5,1,0.476
36993,93883,5,5,1,0.48
36993,95799,5,5,3,0.705
36993,199348,5,5,1,0.504
36993,259024,5,5,1,0.407
41140,12135,5,5,1,0.405
41140,77030,5,5,1,0.487
41140,91138,5,5,1,0.274
41140,136244,5,5,1,0.321
41140,154017,5,5,1,0.298
41140,246969,5,5,1,0.367
41140,248445,5,5,1,0.368
47221,12135,5,5,1,0.38
47221,47221,5,5,1,0
47221,168325,5,5,1,0.277
50851,150972,5,5,1,0.305
50851,198370,5,5,1,0.352
50851,212179,5,5,1,0.519
51859,153893,5,5,1,0.079
51859,190010,5,5,1,0.35
51859,231128,5,5,1,0.099
51874,230955,5,5,1,0.18
52126,75658,5,5,1,0.407
52126,75659,5,5,1,0.411
52126,145315,5,5,1,0.463
53410,108684,5,5,1,0.381
53410,108686,5,5,1,0.391
53410,218794,5,5,1,0.079
53411,158200,5,5,1,0.516
53411,166291,5,5,1,0.356
53411,166292,5,5,1,0.33
56639,69211,5,5,1,0.109
56639,69212,5,5,1,0.129
56639,154112,5,5,1,0.213
56639,241131,5,5,1,0.152
57357,62376,5,5,1,0.155
57385,17099,5,5,1,0.426
57386,158494,5,5,5,0.59
57386,173925,5,5,1,0.244
57386,237284,5,5,1,0.123
57620,118117,5,5,1,0.411
57620,161219,5,5,1,0.222
57621,143952,5,5,1,0.251
57972,144618,5,5,1,0.181
58545,139418,5,5,1,0.39
58562,130895,5,5,1,0.13
58744,134550,5,5,1,0.411
58744,207723,5,5,3,0.716
58744,215705,5,5,1,0.467
58799,89606,5,5,1,0.338
58804,181579,5,5,1,0.226
59192,245731,5,5,1,0.174
59199,118117,5,5,2,0.499
59200,67111,5,5,1,0.173
61000,16094,5,5,1,0.297
61000,166153,5,5,1,0.221
61000,174203,5,5,1,0.101
61308,95275,5,5,1,0.306
61308,123795,5,5,1,0.179
61308,187382,5,5,1,0.113
61308,204581,5,5,1,0.207
61874,162713,5,5,1,0.221
61874,220870,5,5,1,0.124
61874,229558,5,5,1,0.145
62017,77912,5,5,1,0.177
62017,138436,5,5,1,0.052
62018,192055,5,5,1,0.178
62376,220792,5,5,1,0.23
62377,157835,5,5,1,0.129
62602,76829,5,5,1,0.051
62602,202461,5,5,1,0.348
62714,240933,5,5,1,0.364
62715,101102,5,5,1,0.099
62715,151057,5,5,1,0.102
62715,203567,5,5,1,0.371
63355,74788,5,5,1,0.314
64753,83333,5,5,1,0.095
64754,81208,5,5,1,0.31
64754,227091,5,5,1,0.319
65086,72981,5,5,1,0.186
65087,215356,5,5,1,0.273
65710,108685,5,5,1,0.322
65710,108686,5,5,1,0.17
65711,183732,5,5,1,0.209
65711,191777,5,5,1,0.361
67111,233474,5,5,1,0.29
67112,59199,5,5,1,0.154
