"ori_node","des_node","ori_layer","des_layer","minutes","km"
9429,12816,2,2,1,2.082
9429,42787,2,2,5,4.563
12816,9429,2,2,1,2.082
12816,42787,2,2,2,2.507
42787,9429,2,2,5,4.563
42787,12816,2,2,4,2.507
9429,42787,4,4,3,4.563
9429,180351,4,4,5,1.943
42787,9429,4,4,3,4.563
141049,180352,4,4,5,2.186
180351,169712,4,4,5,2.085
180352,9429,4,4,5,1.845
9429,9429,5,5,1,0
9429,54173,5,5,8,2.334
9429,55866,5,5,2,0.686
9429,55872,5,5,1,0.65
9429,58918,5,5,5,0.959
9429,75522,5,5,2,0.722
9429,86538,5,5,1,0.479
9429,180351,5,5,5,1.943
9429,190057,5,5,1,0.347
9429,190059,5,5,1,0.301
9429,199844,5,5,1,0.275
9429,227453,5,5,1,0.338
9429,236211,5,5,2,0.541
9429,237186,5,5,2,0.571
12816,12816,5,5,1,0
12816,79960,5,5,1,0.464
12816,97575,5,5,1,0.26
12816,107288,5,5,1,1.009
12816,180352,5,5,1,0.303
12816,188029,5,5,1,0.332
12816,257685,5,5,2,0.374
42787,42787,5,5,1,0
42787,141048,5,5,1,0.264
42787,150964,5,5,1,0.338
42787,150967,5,5,1,0.28
42787,150970,5,5,1,0.835
42787,160837,5,5,1,0.272
42787,160838,5,5,1,0.269
52643,187859,5,5,1,0.368
52644,210251,5,5,1,0.532
53674,63354,5,5,1,0.17
53674,123255,5,5,1,0.148
54166,102657,5,5,1,0.232
54166,209446,5,5,2,0.487
54167,54169,5,5,1,0.306
54167,219320,5,5,1,0.275
54167,219321,5,5,1,0.263
54168,54173,5,5,1,0.503
54168,85092,5,5,1,0.581
54168,126936,5,5,2,0.697
54169,54170,5,5,1,0.191
54170,169072,5,5,1,0.194
54170,229048,5,5,1,0.297
54171,54168,5,5,1,0.291
54171,219320,5,5,1,0.184
54172,54167,5,5,1,0.265
54172,130206,5,5,3,1.242
54172,256345,5,5,1,0.479
54173,54174,5,5,1,0.339
54173,255196,5,5,1,0.538
54174,255196,5,5,1,0.21
54175,54172,5,5,1,0.484
54175,54173,5,5,1,0.361
54979,165577,5,5,1,0.701
54980,165571,5,5,1,0.313
55306,55308,5,5,1,1.042
55306,143897,5,5,1,0.308
55306,226545,5,5,1,0.34
55307,159794,5,5,1,0.321
55308,111687,5,5,1,0.654
55309,55307,5,5,1,0.71
55865,55866,5,5,1,0.175
55866,190058,5,5,1,0.443
55866,198285,5,5,1,0.176
55866,198287,5,5,1,0.413
55866,251727,5,5,1,0.455
55868,55869,5,5,1,0.397
55869,55870,5,5,1,0.312
55870,55871,5,5,1,0.186
55871,9429,5,5,2,0.657
55871,55865,5,5,1,0.129
55872,55873,5,5,1,0.233
55872,199838,5,5,1,0.431
55873,55874,5,5,1,0.236
55874,55875,5,5,1,0.327
55875,130211,5,5,1,0.386
56007,261883,5,5,1,0.341
58918,97575,5,5,3,1.699
58918,117153,5,5,1,0.296
58918,190057,5,5,4,1.288
58918,197672,5,5,4,1.109
58918,209440,5,5,2,0.485
58918,219326,5,5,1,0.55
58919,86538,5,5,2,0.224
58919,86541,5,5,2,0.291
58919,190057,5,5,1,0.164
58919,237186,5,5,2,0.329
58920,58918,5,5,1,0.21
58920,219326,5,5,1,0.662
58921,58919,5,5,1,0.212
58921,78228,5,5,1,0.175
59033,78227,5,5,1,0.125
60671,60673,5,5,1,0.773
60673,60674,5,5,1,0.547
60674,207692,5,5,1,0.751
62001,78221,5,5,1,0.292
63349,63350,5,5,3,1.651
63350,182195,5,5,1,0.519
63351,53673,5,5,1,0.166
63351,182196,5,5,1,0.364
63352,130439,5,5,3,1.667
63353,53673,5,5,1,0.145
63354,72854,5,5,3,1.364
63809,63818,5,5,1,0.382
63810,63816,5,5,1,0.334
63811,63812,5,5,1,0.309
63812,63810,5,5,1,0.294
63813,63815,5,5,1,0.308
63814,73285,5,5,1,0.43
63815,63809,5,5,1,0.302
63816,63814,5,5,1,0.289
63818,92671,5,5,1,0.297
65233,194195,5,5,1,0.189
65235,126937,5,5,1,0.181
66055,66057,5,5,1,0.124
66056,66055,5,5,1,0.228
66057,161533,5,5,1,0.222
68561,68562,5,5,1,0.117
68562,68568,5,5,1,0.185
68563,68564,5,5,1,0.234
68564,68561,5,5,2,0.239
68565,68566,5,5,1,0.16
68566,68563,5,5,1,0.163
68568,59033,5,5,1,0.294
68700,68702,5,5,1,0.186
68702,157627,5,5,1,0.122
68702,167386,5,5,1,0.187
70214,54980,5,5,1,0.619
70215,70216,5,5,1,0.678
70216,60676,5,5,1,0.567
72851,63349,5,5,1,0.298
72853,63351,5,5,3,1.355
72854,121539,5,5,3,1.093
72854,182204,5,5,1,0.741
73278,73279,5,5,1,0.241
73279,63813,5,5,1,0.355
73280,255203,5,5,1,0.286
73281,73280,5,5,1,0.2
73283,73286,5,5,1,0.329
73284,58921,5,5,1,0.232
73284,120471,5,5,1,0.269
73285,73284,5,5,1,0.31
73285,78222,5,5,2,0.409
73286,120465,5,5,1,0.201
73287,73278,5,5,1,0.391
74013,95062,5,5,1,0.114
74014,74015,5,5,1,0.143
74015,74017,5,5,1,0.164
74016,164612,5,5,1,0.123
74017,74019,5,5,1,0.217
74018,74016,5,5,1,0.142
74019,236212,5,5,1,0.279
74021,95064,5,5,1,0.157
75522,187727,5,5,1,0.15
75523,86538,5,5,4,1.174
75523,134069,5,5,4,1.233
75523,190057,5,5,2,1.04
75525,75527,5,5,1,0.203
75526,75524,5,5,1,0.2
75527,75529,5,5,1,0.121
75528,75526,5,5,1,0.12
75529,213623,5,5,3,0.45
75530,219326,5,5,1,0.577
