"ori_node","des_node","ori_layer","des_layer","minutes","km"
8189,49694,2,2,3,2.832
49694,8189,2,2,2,2.832
8189,8189,5,5,1,0
8189,67619,5,5,1,0.343
8189,86897,5,5,1,0.43
8189,140608,5,5,1,0.281
27903,173504,5,5,1,0.782
30699,111050,5,5,1,0.801
30699,219132,5,5,1,0.291
30699,219133,5,5,1,0.255
30699,219134,5,5,2,0.354
30699,219136,5,5,1,0.248
30699,248581,5,5,1,0.265
49694,49694,5,5,1,0
49694,104610,5,5,1,0.579
49694,106380,5,5,1,0.564
49694,229587,5,5,1,0.283
59838,172979,5,5,1,0.606
59839,124129,5,5,1,0.062
67618,135716,5,5,1,0.321
67619,67620,5,5,1,0.35
67620,67623,5,5,1,0.251
67621,8189,5,5,1,0.306
67621,77231,5,5,1,0.108
67621,122690,5,5,1,0.109
67621,140608,5,5,2,0.496
67622,67624,5,5,1,0.218
67623,67622,5,5,1,0.297
67624,67618,5,5,1,0.381
67624,135714,5,5,2,0.272
77230,67619,5,5,1,0.147
77231,142282,5,5,1,0.824
77431,207522,5,5,1,0.185
79647,67618,5,5,1,0.431
79844,211810,5,5,1,0.321
86075,104613,5,5,1,0.336
86075,124125,5,5,1,0.37
86887,205399,5,5,1,0.414
86888,86890,5,5,1,0.21
86889,86887,5,5,1,0.448
86889,160445,5,5,1,0.429
86889,160446,5,5,1,0.136
86890,96687,5,5,1,0.337
86891,8189,5,5,1,0.281
86892,86894,5,5,1,0.406
86894,86888,5,5,1,0.339
86897,86892,5,5,1,0.244
86897,140610,5,5,1,0.189
87037,101292,5,5,3,1.337
87037,223188,5,5,1,1.275
87038,183401,5,5,1,0.388
92058,140607,5,5,1,0.251
96680,96682,5,5,1,0.217
96681,116155,5,5,1,0.435
96681,116156,5,5,1,0.343
96682,96684,5,5,1,0.46
96683,96681,5,5,1,0.263
96684,96686,5,5,1,0.39
96685,96683,5,5,1,0.261
96686,96688,5,5,1,0.322
96687,96685,5,5,1,0.535
96688,86889,5,5,1,0.224
98055,189924,5,5,4,0.614
101293,210486,5,5,1,0.801
104609,49694,5,5,1,0.506
104609,219898,5,5,1,0.318
104610,86075,5,5,1,0.35
104611,104609,5,5,1,0.372
104613,124125,5,5,1,0.105
104614,104611,5,5,1,0.295
106380,106383,5,5,1,0.245
106381,49694,5,5,1,0.313
106382,219897,5,5,1,0.21
106383,116155,5,5,1,0.507
106384,229590,5,5,1,0.174
111047,120950,5,5,1,0.28
111048,111047,5,5,1,0.483
111049,111048,5,5,1,0.538
111050,111049,5,5,1,0.486
111051,160449,5,5,1,0.383
111158,237666,5,5,1,0.228
114538,114539,5,5,1,0.357
114539,114541,5,5,1,0.458
114539,163743,5,5,1,0.398
114539,219894,5,5,1,0.404
114540,222008,5,5,1,0.3
114541,114543,5,5,1,0.432
114542,114540,5,5,1,0.414
114544,222012,5,5,1,0.409
115853,237665,5,5,1,0.132
116152,106382,5,5,1,0.223
116152,229588,5,5,1,0.341
116153,116159,5,5,1,0.202
116155,189923,5,5,1,0.145
116155,192014,5,5,1,0.49
116155,250625,5,5,1,0.156
116156,116160,5,5,1,0.197
116157,96680,5,5,1,0.366
116157,106384,5,5,1,0.478
116157,116156,5,5,1,0.064
116158,116152,5,5,1,0.207
116159,189924,5,5,1,0.716
116159,231881,5,5,1,0.405
116160,116158,5,5,1,0.453
116160,173510,5,5,1,0.504
116160,237663,5,5,1,0.351
119570,180201,5,5,2,0.289
120948,111051,5,5,1,0.427
120949,120951,5,5,1,0.218
120949,120955,5,5,1,0.121
120950,120949,5,5,1,0.33
120953,120948,5,5,1,0.428
120955,120948,5,5,1,0.311
120955,120951,5,5,1,0.099
122689,67619,5,5,1,0.156
122690,142282,5,5,1,0.819
124125,124128,5,5,1,0.549
124125,124133,5,5,1,0.618
124126,104614,5,5,1,0.122
124126,124132,5,5,1,0.425
124127,124126,5,5,1,0.135
124127,124133,5,5,1,0.592
124128,114538,5,5,1,0.304
124129,124131,5,5,1,0.294
124130,59838,5,5,1,0.137
124130,125346,5,5,1,0.768
124131,104614,5,5,1,0.374
124131,124125,5,5,1,0.395
124132,124130,5,5,1,0.184
124133,133978,5,5,1,0.458
124134,104614,5,5,1,0.272
124134,124126,5,5,1,0.155
124134,124128,5,5,1,0.446
125346,190841,5,5,1,0.261
125884,135715,5,5,1,0.194
133977,104614,5,5,1,0.712
133977,124134,5,5,1,0.474
133978,153089,5,5,1,0.167
135711,135712,5,5,1,0.361
135712,79647,5,5,1,0.191
