"ori_node","des_node","ori_layer","des_layer","minutes","km"
8507,17535,2,2,5,4.371
17535,8507,2,2,4,4.371
17535,29415,2,2,3,1.549
17535,47129,2,2,7,5.012
17535,47385,2,2,4,2.891
17535,120660,2,2,5,3.814
29415,17535,2,2,3,1.549
29415,120660,2,2,3,2.404
47129,17535,2,2,7,5.012
47385,17535,2,2,5,2.891
120660,17535,2,2,5,3.814
120660,29415,2,2,3,2.404
8507,187124,5,5,1,0.506
8507,187685,5,5,1,0.316
10780,58268,5,5,1,0.523
10780,252173,5,5,5,1.235
17535,17535,5,5,1,0
17535,53654,5,5,1,0.319
17535,71705,5,5,1,0.547
17535,117149,5,5,2,0.44
17535,118513,5,5,1,0.324
17535,198132,5,5,1,0.473
17535,211602,5,5,4,1.345
29415,29415,5,5,1,0
29415,85828,5,5,1,0.328
29415,113909,5,5,1,0.261
29415,189417,5,5,1,0.447
29415,230822,5,5,1,0.431
47129,47129,5,5,1,0
47129,99149,5,5,1,0.348
47129,200990,5,5,1,0.261
47129,239643,5,5,1,0.482
47129,240145,5,5,1,0.781
47385,47385,5,5,1,0
47385,131267,5,5,1,0.359
47385,221903,5,5,1,0.545
51675,166415,5,5,1,0.383
52202,114481,5,5,1,0.589
52266,235161,5,5,1,0.047
52487,224736,5,5,1,0.227
52487,253416,5,5,2,0.235
53265,254205,5,5,1,0.423
53299,62949,5,5,1,0.218
53555,156976,5,5,1,0.271
53654,17535,5,5,1,0.319
53654,85747,5,5,1,0.351
53654,90852,5,5,1,0.261
53654,124285,5,5,1,0.28
53654,128307,5,5,5,0.949
53654,175103,5,5,2,0.439
53654,197005,5,5,1,0.249
53654,253399,5,5,1,0.244
53823,55376,5,5,1,0.276
53899,61353,5,5,1,0.458
54446,133726,5,5,1,0.25
54598,116369,5,5,1,0.346
55101,83932,5,5,1,0.233
55326,161001,5,5,1,0.35
55376,74417,5,5,1,0.57
55681,159009,5,5,1,0.243
55681,214045,5,5,1,0.136
55840,65430,5,5,1,0.127
56221,139323,5,5,1,0.267
56296,114393,5,5,1,0.133
56296,204263,5,5,1,0.218
56378,237732,5,5,1,0.392
56464,248589,5,5,2,0.448
56473,75595,5,5,1,0.252
56473,164521,5,5,1,0.198
56619,90115,5,5,1,0.036
56619,213301,5,5,1,0.319
56684,255431,5,5,1,0.138
57068,186640,5,5,1,0.187
57664,69007,5,5,1,0.245
57664,132157,5,5,1,0.141
57747,86691,5,5,1,0.201
58167,92200,5,5,1,0.088
58167,182126,5,5,1,0.264
58218,138895,5,5,1,0.31
58218,205945,5,5,1,0.322
58268,116638,5,5,1,0.08
58268,178473,5,5,1,0.28
